VBR,Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
1,Ronald Acuna Jr. ,480,103,27,76,44,0.3,0.395,144,27,2,67,96,0.533,0.928,0.99,0.99,1.0,6966 d,ATL 
2,Shohei Ohtani ,449,87,31,87,16,0.282,0.39,127,26,4,69,121,0.562,0.952,1.0,0.0,1.0,7354 d,LAD 
3,Bobby Witt Jr. ,498,82,23,74,35,0.281,0.33,140,28,6,34,100,0.499,0.83,0.99,0.99,1.0,6810 d,KC 
4,Kyle Tucker ,478,80,26,84,21,0.279,0.367,133,28,3,62,82,0.51,0.877,0.99,0.99,1.0,6006 d,HOU 
5,Fernando Tatis Jr. ,471,83,28,78,22,0.271,0.347,128,26,2,52,115,0.514,0.861,0.99,0.99,1.0,6853 d,SD 
6,Mookie Betts ,467,92,25,77,13,0.285,0.383,133,29,2,69,81,0.52,0.902,0.99,0.99,1.0,4921 d,LAD 
7,Juan Soto ,437,88,29,81,9,0.281,0.425,123,22,1,103,87,0.536,0.961,0.99,0.99,1.0,6906 d,NYY 
8,Yordan Alvarez ,427,79,31,87,1,0.294,0.396,125,25,1,62,94,0.574,0.969,0.99,0.99,1.0,6461 d,HOU 
9,Aaron Judge ,438,82,35,89,6,0.264,0.39,116,19,0,81,141,0.55,0.94,0.99,0.99,0.99,4955 d,NYY 
10,Julio Rodriguez ,495,78,23,71,28,0.273,0.338,135,26,2,40,132,0.473,0.811,0.98,0.99,0.97,43685 ,SEA 
11,Freddie Freeman ,468,81,19,75,10,0.298,0.395,140,31,1,63,88,0.491,0.887,0.99,0.99,1.0,3365 d,LAD 
12,Jose Ramirez ,472,74,22,77,20,0.275,0.363,130,29,3,53,62,0.489,0.852,0.99,0.99,1.0,5288 d,CLE 
13,Matt Olson ,472,81,31,90,1,0.259,0.366,122,24,1,72,125,0.51,0.876,0.99,0.99,1.0,5718 d,ATL 
14,Rafael Devers ,476,77,27,81,3,0.279,0.363,133,29,1,52,101,0.514,0.877,0.99,0.99,0.98,5175 d,BOS 
15,Austin Riley ,496,79,28,84,2,0.273,0.346,135,27,2,47,133,0.501,0.847,0.99,0.99,0.98,6022 d,ATL 
16,Trea Turner ,498,77,17,65,24,0.283,0.336,141,28,3,37,105,0.453,0.789,0.99,0.99,0.99,5828 d,PHI 
17,Gunnar Henderson ,483,82,25,74,12,0.262,0.34,127,24,5,52,136,0.489,0.828,0.99,0.99,1.0,23372 ,BAL 
18,Corbin Carroll ,460,77,16,62,34,0.266,0.347,122,23,6,51,106,0.448,0.795,0.99,0.99,1.0,23993 ,ARI 
19,Elly De La Cruz ,459,74,20,65,36,0.25,0.319,114,23,5,44,156,0.451,0.769,0.99,0.99,0.99,44884 ,CIN 
20,Vladimir Guerrero Jr. ,471,74,25,76,5,0.278,0.363,131,25,1,56,83,0.492,0.856,0.99,0.99,0.98,6050 d,TOR 
21,Pete Alonso ,470,74,32,88,3,0.246,0.343,116,19,1,54,113,0.499,0.842,0.99,0.99,0.99,6960 d,NYM 
22,Michael Harris II ,472,71,17,66,20,0.284,0.33,134,28,3,29,103,0.466,0.796,0.98,0.99,0.98,43924 ,ATL 
23,Bryce Harper ,426,73,23,73,10,0.277,0.394,118,26,1,72,108,0.504,0.897,0.99,0.99,0.99,4293 d,PHI 
24,Ozzie Albies ,477,75,20,73,11,0.273,0.329,130,28,3,36,87,0.47,0.799,0.99,0.99,0.99,5980 d,ATL 
25,Jose Altuve ,464,80,20,63,12,0.276,0.353,128,25,1,51,82,0.466,0.819,0.99,0.99,1.0,4334 d,HOU 
26,Marcus Semien ,493,79,21,68,11,0.263,0.331,130,27,3,49,86,0.457,0.787,0.99,0.99,1.0,4544 d,TEX 
27,Corey Seager ,424,68,22,69,2,0.287,0.368,122,26,1,47,77,0.507,0.876,0.98,0.99,0.98,4805 d,TEX 
28,Adolis Garcia ,455,69,26,77,12,0.245,0.311,111,22,1,39,140,0.469,0.78,0.98,0.99,0.97,6901 d,TEX 
29,Tyler O'Neill ,434,69,24,70,11,0.257,0.34,112,21,1,49,131,0.477,0.818,0.84,0.9,0.77,5050 d,BOS 
30,Bo Bichette ,484,67,16,67,11,0.284,0.328,137,27,2,30,98,0.451,0.779,0.94,0.97,0.9,6808 d,TOR 
31,Francisco Lindor ,480,73,21,69,18,0.248,0.327,119,23,2,51,102,0.435,0.762,0.97,0.99,0.95,4569 d,NYM 
32,Manny Machado ,466,67,23,76,5,0.265,0.336,123,22,1,47,99,0.466,0.802,0.98,0.99,0.97,3778 d,SD 
33,Marcell Ozuna ,442,66,27,78,1,0.259,0.33,114,20,1,45,110,0.487,0.817,0.97,0.97,0.96,4726 d,ATL 
34,Josh Naylor ,439,59,20,74,7,0.279,0.349,122,26,0,38,68,0.478,0.827,0.92,0.94,0.91,6054 d,CLE 
35,Ketel Marte ,469,72,17,67,5,0.276,0.354,130,29,3,52,91,0.464,0.818,0.98,0.97,0.99,5179 d,ARI 
36,Christian Walker ,464,68,23,76,5,0.254,0.339,118,23,1,54,110,0.457,0.796,0.95,0.97,0.94,4905 d,ARI 
37,Kyle Schwarber ,448,79,32,77,3,0.219,0.345,98,16,1,81,158,0.471,0.817,0.96,0.97,0.96,5686 d,PHI 
38,CJ Abrams ,461,68,15,54,30,0.257,0.312,118,23,5,28,90,0.424,0.736,0.94,0.98,0.9,19879 ,WSH 
