VBR,Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
1,Ronald Acuna Jr. ,337,70,19,53,27,0.3,0.39,101,21,1,44,76,0.543,0.932,0.99,0.99,1.0,6966,ATL 
2,Fernando Tatis Jr. ,348,67,25,63,18,0.286,0.361,100,20,1,38,85,0.564,0.925,0.99,0.99,1.0,6853,SD 
3,Freddie Freeman ,342,65,16,58,7,0.314,0.406,107,23,1,46,59,0.526,0.932,0.99,0.99,1.0,3365,LAD 
4,Jose Ramirez ,338,57,18,62,13,0.281,0.375,95,23,2,41,45,0.521,0.895,0.99,0.99,1.0,5288,CLE 
5,Shohei Ohtani ,313,57,22,57,11,0.281,0.374,88,16,3,41,85,0.563,0.937,0.5,0.0,1.0,7354,LAA 
6,Mookie Betts ,338,67,20,55,8,0.277,0.363,94,21,2,43,63,0.524,0.887,0.99,0.99,1.0,4921,LAD 
7,Kyle Tucker ,335,53,17,60,14,0.28,0.355,94,20,1,37,57,0.503,0.859,0.99,0.99,1.0,6006,HOU 
8,Bo Bichette ,356,55,16,55,9,0.297,0.34,106,20,1,22,73,0.493,0.833,0.99,0.99,1.0,6808,TOR 
9,Rafael Devers ,345,56,21,65,2,0.283,0.352,98,22,1,30,74,0.538,0.891,0.99,0.99,1.0,5175,BOS 
10,Julio Rodriguez ,345,56,18,52,17,0.271,0.337,94,17,2,29,96,0.489,0.826,0.99,0.99,0.99,43685,SEA 
11,Vladimir Guerrero Jr. ,328,54,19,60,4,0.295,0.373,97,19,0,36,57,0.531,0.904,0.99,0.99,1.0,6050,TOR 
12,Mike Trout ,319,61,24,59,2,0.272,0.381,87,17,1,48,100,0.559,0.94,0.99,0.99,1.0,3785,LAA 
13,Paul Goldschmidt ,337,59,18,57,6,0.286,0.376,96,20,0,46,83,0.509,0.885,0.99,0.99,1.0,4403,STL 
14,Juan Soto ,310,62,18,53,6,0.281,0.438,87,17,1,81,63,0.519,0.957,0.99,0.99,1.0,6906,SD 
