VBR,Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost,Yahoo,ESPN,PlayerId,Team
2,Zack Wheeler ,173.3,177,12,0,3.52,1.19,68,155,43,19,29,29,8,0,0.99,0.99,1.0,4603 d,PHI 
3,Pablo Lopez ,171.1,188,11,0,3.56,1.20,68,151,46,20,29,29,8,0,0.98,0.98,0.98,7289 d,MIN 
4,Luis Castillo ,172.1,181,12,0,3.56,1.21,68,151,51,20,29,29,9,0,0.97,0.98,0.97,3679 d,SEA 
5,Corbin Burnes ,172.2,185,11,0,3.57,1.20,68,148,52,19,28,28,8,0,0.99,0.99,1.0,7251 d,BAL 
6,Kevin Gausman ,166.9,188,11,0,3.61,1.19,67,151,44,21,28,28,8,0,0.96,0.98,0.95,4671 d,TOR 
7,George Kirby ,167.6,154,11,0,3.64,1.16,68,161,27,21,29,29,9,0,0.97,0.98,0.96,20405 ,SEA 
8,Zach Eflin ,155.8,149,11,0,3.59,1.15,62,147,28,19,27,27,8,0,0.94,0.97,0.9,6146 d,TB 
9,Logan Webb ,175.7,154,12,0,3.48,1.24,68,172,39,14,28,28,8,0,0.99,0.99,0.98,8146 d,SF 
10,Yoshinobu Yamamoto ,151.9,161,11,0,3.69,1.14,62,130,39,19,26,26,7,0,0.99,0.99,0.99,48250 ,LAD 
11,Max Fried ,157.9,150,13,0,3.42,1.24,60,149,41,15,27,27,6,0,0.95,0.97,0.94,4729 d,ATL 
12,Zac Gallen ,172.6,175,12,0,3.67,1.23,70,157,49,20,29,29,8,0,0.99,0.99,1.0,7245 d,ARI 
13,Tarik Skubal ,139.7,160,9,0,3.38,1.15,52,119,37,15,26,26,8,0,0.99,0.99,0.99,43633 ,DET 
14,Freddy Peralta ,148.9,182,10,0,3.56,1.19,59,119,51,19,26,26,8,0,0.99,0.99,1.0,7274 d,MIL 
15,Joe Ryan ,157.3,180,10,0,3.79,1.16,66,134,41,23,28,28,9,0,0.97,0.97,0.97,43688 ,MIN 
16,Tyler Glasnow ,126.3,160,10,0,3.48,1.15,49,102,40,16,23,23,5,0,0.99,0.99,1.0,4587 d,LAD 
17,Logan Gilbert ,168.5,166,10,0,3.82,1.20,72,156,41,23,29,29,8,0,0.99,0.98,0.99,7453 d,SEA 
18,Aaron Nola ,172.7,172,11,0,4.03,1.21,77,164,40,24,29,29,9,0,0.99,0.99,0.99,5682 d,PHI 
19,Framber Valdez ,143.9,141,11,0,3.39,1.29,54,129,48,12,23,23,6,0,0.97,0.98,0.96,7627 d,HOU 
20,Chris Sale ,130.9,159,10,0,3.64,1.22,53,113,39,17,25,25,6,0,0.93,0.95,0.91,3207 d,ATL 
21,Dylan Cease ,154.1,185,10,0,3.72,1.29,64,127,65,18,27,27,8,0,0.98,0.98,0.98,6848 d,SD 
22,Sonny Gray ,154.6,146,10,0,3.65,1.28,63,141,50,16,27,27,8,0,0.91,0.94,0.88,4755 d,STL 
23,Carlos Rodon ,140.3,162,10,0,3.92,1.22,61,118,47,20,26,26,7,0,0.78,0.87,0.69,5674 d,NYY 
24,Blake Snell ,144.2,182,10,0,3.66,1.32,59,118,68,15,26,26,8,0,0.94,0.97,0.91,5835 d,SF 
25,Grayson Rodriguez ,150.3,161,9,0,3.81,1.25,64,133,50,19,28,28,8,0,0.98,0.99,0.98,7924 d,BAL 
26,Joe Musgrove ,147.0,141,10,0,3.79,1.28,62,137,40,18,26,26,8,0,0.88,0.93,0.84,5883 d,SD 
27,Chris Bassitt ,172.8,157,12,0,4.03,1.31,77,163,53,23,29,29,10,0,0.88,0.93,0.83,5554 d,TOR 
28,Shota Imanaga ,146.0,151,9,0,3.91,1.25,63,136,41,20,26,26,8,0,0.91,0.94,0.87,6979 d,CHC 
29,Jesus Luzardo ,146.0,163,9,0,3.94,1.29,64,131,52,19,26,26,9,0,0.88,0.91,0.86,6889 d,MIA 
30,Cole Ragans ,146.9,157,9,0,3.80,1.32,62,130,59,16,26,26,8,0,0.96,0.97,0.95,6834 d,KC 
31,Justin Steele ,133.1,128,9,0,3.68,1.29,54,126,40,14,23,23,7,0,0.93,0.95,0.91,8158 d,CHC 
32,Edwin Diaz ,53.5,79,3,31,2.91,1.12,17,38,19,5,57,0,2,0,0.98,0.99,0.97,5996 d,NYM 
33,Merrill Kelly ,161.9,154,10,0,4.02,1.31,72,153,55,21,28,28,9,0,0.95,0.94,0.97,8374 d,ARI 
34,Justin Verlander ,146.9,136,8,0,4.04,1.24,66,137,41,22,24,24,6,0,0.85,0.92,0.78,3623 d,HOU 
35,Yu Darvish ,144.5,143,9,0,4.13,1.25,66,132,41,21,25,25,8,0,0.84,0.89,0.79,3965 d,SD 
36,Jose Berrios ,158.7,148,10,0,4.10,1.30,72,153,44,21,28,28,9,0,0.94,0.93,0.94,5722 d,TOR 
