Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,PlayerId,Team
Marcell Ozuna ,514,75,31,87,1,0.256,0.323,131,24,1,51,132,0.485,0.807,4726 d,ATL 
Anthony Santander ,563,78,29,89,3,0.25,0.311,141,31,1,50,135,0.463,0.774,4903 d,BAL 
George Springer ,539,84,23,73,14,0.258,0.327,139,25,2,55,115,0.44,0.767,4614 d,TOR 
Yandy Diaz ,526,84,18,71,2,0.292,0.378,153,30,1,73,89,0.455,0.833,6677 d,TB 
Spencer Torkelson ,565,82,30,87,3,0.243,0.322,137,30,1,66,152,0.459,0.782,43877 ,DET 
Oneil Cruz ,510,80,23,72,22,0.247,0.318,126,24,4,53,157,0.445,0.763,39199 ,PIT 
Triston Casas ,507,79,27,82,1,0.258,0.36,131,26,2,81,141,0.477,0.837,6997 d,BOS 
Seiya Suzuki ,509,76,22,75,9,0.27,0.349,137,28,3,61,131,0.467,0.816,6973 d,CHC 
Luis Arraez ,567,78,8,63,4,0.317,0.368,180,30,4,46,41,0.425,0.793,8162 d,MIA 
Willy Adames ,555,80,27,86,6,0.243,0.321,135,30,1,63,162,0.448,0.768,5988 d,MIL 
Nathaniel Lowe ,566,79,21,79,3,0.271,0.351,153,28,2,70,146,0.439,0.789,7914 d,TEX 
Josh Jung ,546,75,25,83,3,0.256,0.303,140,28,2,37,167,0.452,0.755,23130 ,TEX 
Ian Happ ,558,81,21,79,11,0.25,0.343,140,31,3,78,151,0.427,0.77,6008 d,CHC 
William Contreras ,520,77,21,75,4,0.27,0.344,141,28,1,58,131,0.452,0.796,7659 d,MIL 
Lane Thomas ,565,81,22,73,15,0.25,0.305,141,31,3,45,155,0.434,0.739,8293 d,WSH 
Eloy Jimenez ,507,66,25,80,0,0.274,0.328,139,25,0,40,114,0.473,0.801,5141 d,CWS 
Jake Burger ,536,72,29,82,1,0.251,0.301,135,27,2,38,158,0.468,0.769,10074 ,MIA 
Brandon Nimmo ,553,89,19,67,4,0.267,0.353,148,28,5,73,129,0.438,0.791,4685 d,NYM 
Adley Rutschman ,522,82,19,71,3,0.271,0.366,141,31,1,78,95,0.444,0.81,8022 d,BAL 
Jorge Soler ,504,74,30,82,1,0.242,0.328,122,24,0,65,145,0.468,0.796,4495 d,SF 
Masataka Yoshida ,508,69,16,72,5,0.29,0.351,147,29,2,47,72,0.452,0.803,46547 ,BOS 
Cedric Mullins II ,520,75,18,66,27,0.249,0.311,129,27,3,47,117,0.418,0.73,7400 d,BAL 
Josh Lowe ,486,68,18,68,25,0.257,0.317,125,29,3,43,146,0.436,0.753,10142 ,TB 
Vinnie Pasquantino ,501,69,21,75,2,0.276,0.353,138,32,2,59,73,0.473,0.826,44894 ,KC 
Alec Bohm ,551,72,17,77,4,0.274,0.325,151,29,1,41,104,0.421,0.747,7921 d,PHI 
Ezequiel Tovar ,570,75,17,71,13,0.263,0.299,150,33,4,30,147,0.423,0.723,45000 ,COL 
Andrew Vaughn ,555,71,23,80,0,0.262,0.313,146,30,1,42,120,0.444,0.758,22216 ,CWS 
Rhys Hoskins ,506,76,27,81,3,0.239,0.331,121,28,1,69,147,0.463,0.794,6744 d,MIL 
Riley Greene ,537,78,17,66,9,0.27,0.338,145,26,6,54,155,0.435,0.773,19457 ,DET 
Thairo Estrada ,536,73,15,62,22,0.26,0.302,140,25,3,32,115,0.401,0.703,7544 d,SF 
Ke'Bryan Hayes ,542,72,16,67,15,0.263,0.317,143,30,5,43,119,0.424,0.741,6910 d,PIT 
Taylor Ward ,476,74,20,68,6,0.265,0.341,126,26,1,55,114,0.452,0.793,6071 d,LAA 
Christopher Morel ,469,70,25,73,11,0.241,0.308,113,22,4,45,159,0.46,0.768,44057 ,CHC 
Daulton Varsho ,506,72,24,72,16,0.235,0.299,119,24,3,46,131,0.436,0.735,7551 d,TOR 
Tyler O'Neill ,454,68,22,68,13,0.253,0.324,115,23,1,48,140,0.457,0.781,5050 d,BOS 
Jeremy Pena ,554,76,16,66,14,0.259,0.306,144,27,2,37,129,0.404,0.709,43642 ,HOU 
Bryson Stott ,536,71,13,63,21,0.265,0.321,142,28,3,44,103,0.401,0.722,22308 ,PHI 
Will Smith ,442,70,21,75,2,0.262,0.345,116,23,2,56,88,0.467,0.812,7671 d,LAD 
Spencer Steer ,504,70,20,74,8,0.256,0.328,129,30,2,55,124,0.442,0.771,44364 ,CIN 
Evan Carter ,486,74,16,65,18,0.256,0.346,124,24,4,67,142,0.423,0.769,43894 ,TEX 
Ryan Mountcastle ,485,66,22,74,4,0.263,0.32,127,23,1,41,128,0.452,0.772,7239 d,BAL 
Nolan Gorman ,465,68,27,76,6,0.24,0.314,111,20,1,51,159,0.459,0.774,7471 d,STL 
Ha-Seong Kim ,538,75,15,62,26,0.246,0.325,133,26,2,62,118,0.387,0.712,6866 d,SD 
Salvador Perez ,505,61,25,81,0,0.257,0.288,130,22,1,22,129,0.453,0.741,4147 d,KC 
Byron Buxton ,430,70,27,68,11,0.234,0.302,101,24,2,42,143,0.486,0.789,4672 d,MIN 
Max Muncy ,450,77,28,80,2,0.223,0.339,100,19,1,79,138,0.458,0.797,5207 d,LAD 
TJ Friedl ,492,73,15,61,21,0.255,0.323,126,22,6,49,96,0.418,0.74,8358 d,CIN 
Steven Kwan ,565,82,6,55,18,0.278,0.349,157,30,6,62,65,0.381,0.73,44349 ,CLE 
Trevor Story ,502,70,20,69,21,0.237,0.299,119,28,2,45,160,0.421,0.72,4747 d,BOS 
Carlos Correa ,517,72,21,73,0,0.261,0.338,135,28,1,60,123,0.44,0.779,4673 d,MIN 
Chas McCormick ,454,67,20,67,15,0.25,0.322,114,18,2,48,135,0.431,0.753,10177 ,HOU 
J.T. Realmuto ,462,66,19,67,15,0.256,0.312,118,24,3,38,125,0.446,0.758,5371 d,PHI 
Jeimer Candelario ,494,70,21,75,4,0.253,0.321,125,30,2,50,129,0.452,0.773,5920 d,CIN 
Anthony Volpe ,521,72,20,67,24,0.23,0.301,120,27,4,52,147,0.409,0.71,43704 ,NYY 
Jordan Walker ,484,64,19,66,10,0.266,0.328,129,25,2,44,122,0.441,0.769,43830 ,STL 
Jarren Duran ,484,71,13,56,26,0.258,0.314,125,31,5,39,136,0.426,0.741,10054 ,BOS 
Zack Gelof ,537,73,19,64,21,0.24,0.309,129,29,2,54,173,0.406,0.715,44896 ,OAK 
Isaac Paredes ,479,68,25,79,1,0.242,0.326,116,24,1,60,96,0.454,0.781,10050 ,TB 
Lourdes Gurriel Jr. ,496,63,16,70,4,0.278,0.323,138,30,2,33,93,0.446,0.769,6931 d,ARI 
Christian Encarnacion-Strand ,414,59,23,71,3,0.265,0.316,110,21,1,31,123,0.488,0.804,45073 ,CIN 
Josh Bell ,526,70,21,74,0,0.256,0.339,135,26,1,66,118,0.431,0.77,4664 d,MIA 
Ryan McMahon ,521,72,22,72,6,0.244,0.324,127,26,2,62,170,0.429,0.753,5009 d,COL 
Tommy Edman ,479,70,12,53,26,0.261,0.311,125,26,3,35,85,0.404,0.715,7752 d,STL 
Brandon Drury ,501,66,23,76,2,0.248,0.293,124,27,2,32,135,0.447,0.74,5607 d,LAA 
Kerry Carpenter ,481,64,21,71,5,0.256,0.31,123,23,3,38,129,0.445,0.755,45596 ,DET 
Jose Abreu ,525,68,18,77,1,0.257,0.317,135,27,1,46,123,0.417,0.734,4594 d,HOU 
Jung Hoo Lee ,525,69,10,62,7,0.284,0.344,149,34,4,48,55,0.421,0.765,48275 ,SF 
Jackson Chourio ,476,61,15,62,22,0.256,0.301,122,23,2,31,114,0.412,0.713,44592 ,MIL 
Starling Marte ,461,64,12,52,28,0.262,0.306,121,20,3,29,102,0.392,0.698,4377 d,NYM 
J.D. Martinez ,449,62,22,74,1,0.253,0.315,114,26,1,40,140,0.464,0.779,4339 d,"LF,DH) FA "
Bryan De La Cruz ,522,63,18,69,4,0.265,0.315,138,28,1,38,128,0.427,0.742,44192 ,MIA 
Kris Bryant ,461,68,18,62,3,0.268,0.337,124,27,1,48,109,0.45,0.787,4934 d,COL 
Austin Hays ,516,69,18,68,5,0.256,0.306,132,29,2,36,125,0.424,0.729,7238 d,BAL 
Jorge Polanco ,492,68,21,70,6,0.244,0.321,120,24,1,55,129,0.427,0.748,5354 d,SEA 
Matt Chapman ,504,72,23,71,4,0.235,0.321,119,27,2,64,164,0.435,0.756,6315 d,SF 
Lars Nootbaar ,449,72,18,61,9,0.252,0.352,113,23,2,70,106,0.433,0.785,44339 ,STL 
Zach Neto ,485,69,18,66,9,0.249,0.305,121,26,1,39,126,0.419,0.724,46294 ,LAA 
Esteury Ruiz ,438,59,8,41,52,0.247,0.295,108,23,2,30,101,0.364,0.659,10086 ,OAK 
Yainer Diaz ,421,56,21,68,1,0.271,0.304,114,22,1,20,86,0.475,0.779,45200 ,HOU 
Brendan Rodgers ,495,64,15,66,0,0.277,0.327,137,28,2,37,106,0.437,0.764,5966 d,COL 
Vaughn Grissom ,468,64,10,57,11,0.282,0.339,132,28,3,40,86,0.42,0.759,44905 ,BOS 
Max Kepler ,465,68,21,67,4,0.246,0.324,114,24,2,53,106,0.442,0.766,5357 d,MIN 
Cal Raleigh ,472,64,27,75,1,0.228,0.298,108,25,1,47,142,0.457,0.754,8457 d,SEA 
Noelvi Marte ,439,61,14,58,15,0.267,0.327,117,24,2,40,103,0.423,0.75,8284 d,CIN 
MJ Melendez ,496,71,21,67,5,0.241,0.326,119,27,4,63,146,0.438,0.764,10031 ,KC 
James Outman ,456,71,20,65,11,0.232,0.316,106,20,3,56,166,0.42,0.736,44201 ,LAD 
Ty France ,540,70,15,67,1,0.263,0.313,142,29,1,40,102,0.403,0.716,8163 d,SEA 
Jonathan India ,439,68,16,59,11,0.255,0.33,112,24,1,49,108,0.424,0.754,6895 d,CIN 
Eugenio Suarez ,523,68,23,78,1,0.232,0.314,121,24,1,63,178,0.411,0.724,5332 d,ARI 
Jeff McNeil ,530,68,9,59,6,0.28,0.328,148,30,2,38,64,0.397,0.726,8027 d,NYM 
Willson Contreras ,420,63,20,64,5,0.253,0.329,106,22,1,48,111,0.453,0.782,5919 d,STL 
Joey Meneses ,535,61,17,71,1,0.262,0.308,140,28,1,36,123,0.413,0.721,43684 ,WSH 
Luis Rengifo ,484,64,17,61,9,0.256,0.311,124,21,4,38,96,0.42,0.73,8153 d,LAA 
