VBR,Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost,Yahoo,ESPN,PlayerId,Team
2,Spencer Strider ,177.4,251,15,0,3.25,1.11,64,132,57,21,30,30,7,0,1.0,1.0,1.0,44282 ,ATL 
3,Kevin Gausman ,183.1,209,12,0,3.52,1.17,72,162,48,23,31,31,9,0,0.99,0.99,0.99,4671 d,TOR 
4,Zack Wheeler ,188.9,192,13,0,3.55,1.19,74,169,48,21,31,31,9,0,0.99,0.99,1.0,4603 d,PHI 
5,George Kirby ,183.8,172,12,0,3.62,1.15,74,174,31,23,31,31,9,0,0.99,0.99,1.0,20405 ,SEA 
6,Luis Castillo ,188.6,199,13,0,3.58,1.21,75,164,58,22,31,31,9,0,0.99,0.99,1.0,3679 d,SEA 
7,Logan Webb ,192.8,170,13,0,3.46,1.23,74,187,42,16,31,31,9,0,0.99,0.99,1.0,8146 d,SF 
8,Pablo Lopez ,183.5,202,12,0,3.58,1.20,73,161,50,21,31,31,9,0,0.99,0.99,1.0,7289 d,MIN 
9,Corbin Burnes ,187.4,198,12,0,3.63,1.22,76,162,58,21,31,31,9,0,0.99,0.99,1.0,7251 d,BAL 
10,Framber Valdez ,189.2,185,14,0,3.42,1.28,72,170,63,16,30,30,8,0,0.99,0.99,1.0,7627 d,HOU 
11,Aaron Nola ,188.9,196,13,0,3.83,1.17,80,173,41,25,31,31,9,0,0.99,0.99,1.0,5682 d,PHI 
12,Yoshinobu Yamamoto ,171.6,178,13,0,3.78,1.15,72,148,43,23,28,28,8,0,0.99,0.99,1.0,48250 ,LAD 
13,Max Fried ,169.5,160,13,0,3.44,1.23,65,160,43,17,29,29,7,0,0.99,0.99,0.99,4729 d,ATL 
14,Zac Gallen ,188.4,189,13,0,3.74,1.23,78,172,53,23,31,31,9,0,0.99,0.99,1.0,7245 d,ARI 
15,Zach Eflin ,169.0,163,12,0,3.59,1.16,67,158,31,21,30,30,9,0,0.97,0.98,0.96,6146 d,TB 
16,Tarik Skubal ,153.0,172,10,0,3.45,1.16,59,131,41,17,28,28,8,0,0.99,0.99,0.98,43633 ,DET 
17,Tyler Glasnow ,140.0,175,11,0,3.54,1.15,55,115,44,19,25,25,6,0,0.99,0.99,1.0,4587 d,LAD 
18,Logan Gilbert ,184.6,179,12,0,3.85,1.20,79,171,45,25,31,31,9,0,0.98,0.98,0.99,7453 d,SEA 
19,Freddy Peralta ,161.9,191,11,0,3.71,1.21,67,131,57,22,29,29,9,0,0.99,0.99,0.99,7274 d,MIL 
20,Joe Ryan ,168.5,184,11,0,4.02,1.19,75,148,45,25,30,30,10,0,0.97,0.97,0.97,43688 ,MIN 
21,Joe Musgrove ,161.6,158,10,0,3.69,1.24,66,148,41,20,28,28,8,0,0.95,0.96,0.93,5883 d,SD 
22,Blake Snell ,156.5,198,11,0,3.61,1.30,63,125,74,18,28,28,8,0,0.98,0.97,0.99,5835 d,SF 
23,Jesus Luzardo ,168.4,191,10,0,3.84,1.27,72,149,58,22,30,30,10,0,0.98,0.98,0.98,6889 d,MIA 
24,Grayson Rodriguez ,161.7,174,10,0,3.79,1.25,68,142,54,20,30,30,8,0,0.97,0.98,0.96,7924 d,BAL 
25,Shane Bieber ,175.2,168,10,0,3.80,1.24,74,167,45,22,29,29,9,0,0.91,0.94,0.87,7178 d,CLE 
26,Justin Steele ,172.0,163,11,0,3.73,1.30,71,163,52,19,30,30,9,0,0.97,0.97,0.96,8158 d,CHC 
27,Chris Sale ,137.2,162,10,0,3.81,1.24,58,120,41,19,26,26,6,0,0.93,0.95,0.91,3207 d,ATL 
28,Chris Bassitt ,187.2,165,12,0,4.09,1.30,85,177,55,25,31,31,10,0,0.94,0.95,0.94,5554 d,TOR 
29,Sonny Gray ,164.0,153,10,0,3.74,1.30,68,151,54,18,29,29,8,0,0.92,0.94,0.9,4755 d,STL 
30,Bobby Miller ,146.9,143,11,0,3.92,1.25,64,134,43,18,26,26,7,0,0.94,0.98,0.9,43804 ,LAD 
31,Carlos Rodon ,149.0,174,11,0,3.90,1.21,65,125,48,21,27,27,8,0,0.81,0.9,0.71,5674 d,NYY 
32,Gerrit Cole ,123.4,137,8,0,3.69,1.17,51,107,33,18,20,20,6,0,0.98,0.96,0.99,4656 d,NYY 
33,Edwin Diaz ,61.9,95,4,34,2.81,1.09,19,42,21,6,62,0,2,0,0.98,0.99,0.96,5996 d,NYM 
34,Michael King ,147.3,166,9,0,3.74,1.29,61,128,54,19,35,24,8,0,0.86,0.95,0.77,8489 d,SD 
35,Tanner Bibee ,160.1,156,9,0,3.98,1.27,71,147,50,22,28,28,9,0,0.91,0.96,0.87,45056 ,CLE 
36,Dylan Cease ,173.1,199,10,0,4.02,1.34,77,150,74,22,31,31,10,0,0.96,0.97,0.95,6848 d,SD 
37,Yu Darvish ,159.0,158,10,0,4.14,1.24,73,145,43,23,27,27,9,0,0.85,0.92,0.79,3965 d,SD 
38,Jordan Montgomery ,164.6,150,10,0,3.95,1.29,72,161,46,21,28,28,9,0,0.89,0.86,0.91,7062 d,SP) FA 
39,Shota Imanaga ,152.3,156,9,0,3.88,1.26,66,143,44,21,27,27,8,0,0.68,0.88,0.48,6979 d,CHC 
40,Jose Berrios ,174.8,164,11,0,4.17,1.30,81,169,49,25,30,30,10,0,0.88,0.89,0.88,5722 d,TOR 
41,Bailey Ober ,148.8,145,9,0,4.14,1.23,68,141,36,23,27,27,8,0,0.88,0.91,0.86,44064 ,MIN 
42,Merrill Kelly ,179.3,166,11,0,4.14,1.33,82,172,62,23,31,31,10,0,0.93,0.92,0.93,8374 d,ARI 
43,Emmanuel Clase ,65.8,66,4,34,3.01,1.15,22,57,16,5,66,0,3,0,0.98,0.99,0.97,27356 ,CLE 
44,Eduardo Rodriguez ,166.8,159,12,0,3.94,1.33,73,162,55,20,29,29,9,0,0.8,0.82,0.78,3963 d,ARI 
45,Hunter Brown ,144.4,152,11,0,3.94,1.32,63,131,54,17,31,26,8,0,0.87,0.87,0.86,44176 ,HOU 
46,Cole Ragans ,160.9,167,10,0,3.96,1.34,71,145,66,19,28,28,10,0,0.93,0.96,0.9,6834 d,KC 
47,Hunter Greene ,148.8,184,9,0,4.27,1.29,71,126,57,25,28,28,9,0,0.91,0.93,0.89,6871 d,CIN 
48,Justin Verlander ,144.7,132,10,0,4.05,1.25,65,135,41,21,25,25,7,0,0.84,0.91,0.76,3623 d,HOU 
49,Nestor Cortes Jr. ,137.9,139,9,0,4.07,1.22,62,124,41,22,29,24,7,0,0.49,0.7,0.28,7375 d,NYY 
50,Andres Munoz ,60.9,83,4,26,2.95,1.17,20,45,22,5,61,0,3,0,0.91,0.95,0.86,24281 ,SEA 
51,Josh Hader ,60.9,87,4,32,3.23,1.18,22,43,26,8,62,0,2,0,0.98,0.99,0.97,5047 d,HOU 
52,Pete Fairbanks ,58.4,81,4,29,3.02,1.16,20,43,23,5,60,0,2,0,0.88,0.93,0.83,19909 ,TB 
53,Mitch Keller ,182.4,172,11,0,4.22,1.37,85,178,62,21,31,31,11,0,0.9,0.88,0.91,6477 d,PIT 
54,Raisel Iglesias ,64.0,76,4,31,3.45,1.16,25,55,17,8,64,0,3,0,0.95,0.99,0.91,5589 d,ATL 
55,Triston McKenzie ,146.7,146,8,0,4.11,1.25,67,131,47,23,26,26,9,0,0.55,0.8,0.3,39295 ,CLE 
56,Eury Perez ,112.0,125,6,0,3.95,1.24,49,97,38,16,22,22,7,0,0.9,0.95,0.85,44610 ,MIA 
57,Nathan Eovaldi ,158.1,144,10,0,4.17,1.31,73,154,46,23,27,27,8,0,0.8,0.87,0.72,4423 d,TEX 
