Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
Juan Soto ,522,115,35,107,12,0.31,0.453,162,29,3,137,102,0.578,1.031,0.99,0.99,1.0,6906,WSH 
Trea Turner ,605,107,27,90,30,0.304,0.356,184,35,4,48,114,0.509,0.864,0.99,0.99,1.0,5828,LAD 
Vladimir Guerrero Jr. ,572,109,41,113,3,0.303,0.385,173,31,2,77,106,0.584,0.97,0.99,0.99,1.0,6050,TOR 
Jose Ramirez ,561,102,35,105,24,0.271,0.356,152,36,4,75,94,0.54,0.897,0.99,0.99,1.0,5288,CLE 
Bryce Harper ,535,105,37,102,14,0.281,0.403,150,35,2,109,149,0.562,0.964,0.99,0.99,1.0,4293,PHI 
Bo Bichette ,605,105,28,94,20,0.29,0.337,176,34,2,43,130,0.496,0.834,0.99,0.99,1.0,6808,TOR 
Ronald Acuna Jr. ,481,105,35,83,23,0.28,0.375,135,26,2,73,139,0.568,0.943,0.99,0.99,1.0,6966,ATL 
Freddie Freeman ,574,108,31,98,6,0.296,0.386,170,33,2,84,109,0.526,0.913,0.99,0.99,1.0,3365,LAD 
Matt Olson ,559,99,42,115,3,0.266,0.36,149,29,1,82,135,0.546,0.906,0.99,0.98,1.0,5718,ATL 
Rafael Devers ,593,101,36,107,5,0.279,0.343,166,38,2,57,137,0.536,0.879,0.99,0.99,1.0,5175,BOS 
Mookie Betts ,574,115,29,84,16,0.278,0.366,159,35,3,80,104,0.507,0.873,0.99,0.99,1.0,4921,LAD 
Mike Trout ,497,100,36,95,8,0.283,0.403,141,27,3,100,146,0.57,0.973,0.99,0.99,1.0,3785,LAA 
Kyle Tucker ,553,89,31,97,17,0.28,0.347,155,35,4,56,111,0.531,0.878,0.99,0.99,1.0,6006,HOU 
Aaron Judge ,550,98,38,99,5,0.276,0.366,152,25,1,78,166,0.536,0.902,0.99,0.99,1.0,4955,NYY 
Manny Machado ,583,92,32,104,11,0.277,0.349,161,30,2,64,109,0.504,0.853,0.99,0.99,1.0,3778,SD 
Yordan Alvarez ,544,91,36,109,2,0.279,0.352,152,32,2,61,146,0.548,0.9,0.99,0.99,1.0,6461,HOU 
