VBR,Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
1,Shohei Ohtani ,165,33,12,32,8,0.285,0.391,47,9,2,25,44,0.585,0.976,1.0,0.0,1.0,7354 d,LAD 
2,Bobby Witt Jr. ,173,30,8,27,11,0.297,0.349,52,10,2,12,32,0.532,0.881,0.99,0.99,1.0,6810 d,KC 
3,Aaron Judge ,155,32,14,35,2,0.283,0.415,44,7,0,30,48,0.608,1.022,0.99,0.99,1.0,4955 d,NYY 
4,Yordan Alvarez ,155,29,11,32,1,0.302,0.404,47,10,1,22,31,0.587,0.991,0.99,0.99,1.0,6461 d,HOU 
5,Jose Ramirez ,174,29,9,31,8,0.278,0.358,48,11,1,18,23,0.513,0.872,0.99,0.99,1.0,5288 d,CLE 
6,Juan Soto ,152,32,10,29,3,0.285,0.425,43,8,1,35,30,0.553,0.977,0.99,0.99,1.0,6906 d,NYY 
7,Elly De La Cruz ,168,28,7,23,16,0.251,0.323,42,9,2,17,58,0.456,0.778,0.99,0.99,0.99,44884 ,CIN 
8,Trea Turner ,175,28,7,24,8,0.284,0.334,50,10,1,12,37,0.465,0.799,0.99,0.99,0.99,5828 d,PHI 
9,Freddie Freeman ,164,28,7,27,3,0.3,0.396,49,11,1,21,29,0.508,0.904,0.99,0.99,1.0,3365 d,LAD 
10,Rafael Devers ,173,28,10,32,1,0.279,0.367,48,11,1,19,40,0.53,0.897,0.99,0.99,0.99,5175 d,BOS 
11,Vladimir Guerrero Jr. ,166,26,9,29,1,0.294,0.374,49,10,0,19,28,0.522,0.896,0.99,0.99,1.0,6050 d,TOR 
12,Gunnar Henderson ,167,29,9,27,4,0.27,0.353,45,9,2,20,45,0.505,0.858,0.99,0.99,1.0,23372 ,BAL 
13,Bryce Harper ,156,27,9,28,3,0.279,0.392,43,10,0,25,39,0.519,0.911,0.99,0.99,1.0,4293 d,PHI 
14,Corey Seager ,155,26,9,27,1,0.288,0.376,45,9,0,18,29,0.531,0.906,0.99,0.99,0.99,4805 d,TEX 
15,Austin Riley ,174,28,10,29,0,0.276,0.348,48,10,1,16,46,0.512,0.86,0.96,0.98,0.94,6022 d,ATL 
16,Marcell Ozuna ,170,27,11,30,0,0.267,0.34,45,8,0,18,44,0.514,0.854,0.98,0.98,0.98,4726 d,ATL 
17,Jarren Duran ,175,27,5,21,10,0.268,0.328,47,11,3,14,45,0.45,0.778,0.96,0.96,0.97,10054 ,BOS 
18,Jose Altuve ,174,28,7,22,5,0.276,0.343,48,9,0,16,32,0.448,0.791,0.99,0.99,1.0,4334 d,HOU 
19,Francisco Lindor ,172,27,8,24,7,0.253,0.328,44,9,1,17,36,0.45,0.779,0.99,0.99,0.99,4569 d,NYM 
20,Ketel Marte ,162,27,7,25,2,0.282,0.361,46,10,1,18,32,0.496,0.857,0.99,0.98,1.0,5179 d,ARI 
21,Mookie Betts ,141,27,7,22,4,0.284,0.379,40,8,1,20,23,0.506,0.886,0.99,0.99,1.0,4921 d,LAD 
22,Teoscar Hernandez ,167,25,9,28,2,0.264,0.319,44,9,0,12,50,0.481,0.801,0.96,0.97,0.94,4846 d,LAD 
23,Corbin Carroll ,152,26,5,19,11,0.259,0.341,39,7,3,17,34,0.443,0.784,0.97,0.97,0.96,23993 ,ARI 
24,Pete Alonso ,167,26,11,30,1,0.245,0.338,41,8,0,18,41,0.496,0.834,0.99,0.99,0.98,6960 d,NYM 
25,Luis Robert Jr. ,159,23,8,24,7,0.249,0.308,40,9,0,11,49,0.462,0.77,0.83,0.92,0.73,6935 d,CWS 
26,Jazz Chisholm Jr. ,157,24,8,22,9,0.244,0.315,38,6,1,15,46,0.453,0.768,0.93,0.98,0.89,8449 d,NYY 
27,Matt Olson ,168,27,10,30,0,0.253,0.352,42,9,0,23,46,0.49,0.841,0.97,0.98,0.95,5718 d,ATL 
28,Oneil Cruz ,164,24,8,25,6,0.251,0.319,41,8,1,15,54,0.462,0.781,0.72,0.94,0.5,39199 ,PIT 
29,Bryan Reynolds ,172,25,7,25,3,0.27,0.349,46,9,1,18,41,0.46,0.809,0.97,0.97,0.97,6818 d,PIT 
30,Royce Lewis ,153,24,9,26,3,0.255,0.324,39,8,0,14,39,0.484,0.807,0.9,0.94,0.86,6967 d,MIN 
31,Josh Naylor ,156,22,8,27,2,0.269,0.342,42,9,0,14,27,0.482,0.824,0.95,0.95,0.95,6054 d,CLE 
32,Anthony Santander ,167,25,10,28,1,0.251,0.317,42,9,0,14,37,0.49,0.807,0.97,0.96,0.97,4903 d,BAL 
33,Manny Machado ,162,23,8,27,2,0.268,0.336,43,8,0,15,34,0.47,0.806,0.97,0.98,0.95,3778 d,SD 
34,CJ Abrams ,163,24,5,19,10,0.255,0.315,42,9,2,11,34,0.423,0.738,0.95,0.98,0.93,19879 ,WSH 
35,Kyle Schwarber ,156,29,11,27,1,0.229,0.359,36,6,0,29,53,0.487,0.846,0.98,0.98,0.99,5686 d,PHI 
36,Marcus Semien ,174,27,7,24,3,0.258,0.329,45,9,1,18,29,0.446,0.775,0.99,0.99,1.0,4544 d,TEX 
37,Steven Kwan ,175,26,3,18,5,0.287,0.352,50,9,2,17,19,0.406,0.758,0.96,0.93,0.98,44349 ,CLE 
38,Julio Rodriguez ,132,20,6,19,7,0.271,0.333,36,6,0,10,35,0.458,0.791,0.95,0.98,0.92,43685 ,SEA 
39,Zach Neto ,162,23,7,22,6,0.253,0.322,41,9,0,12,40,0.437,0.759,0.42,0.65,0.2,46294 ,LAA 
40,Alex Bregman ,173,27,7,25,1,0.262,0.348,45,9,1,21,25,0.447,0.795,0.94,0.95,0.93,5973 d,HOU 
41,Alec Bohm ,168,22,5,24,2,0.279,0.335,47,10,0,13,29,0.435,0.769,0.97,0.96,0.97,7921 d,PHI 
42,Seiya Suzuki ,146,22,7,22,3,0.267,0.348,39,8,1,16,39,0.471,0.819,0.85,0.92,0.78,6973 d,CHC 
43,Adolis Garcia ,167,24,9,26,4,0.233,0.299,39,8,0,14,50,0.443,0.742,0.89,0.94,0.85,6901 d,TEX 
44,Lane Thomas ,165,24,5,21,8,0.247,0.313,41,9,1,14,44,0.41,0.723,0.73,0.88,0.59,8293 d,CLE 
45,Randy Arozarena ,154,24,6,21,7,0.245,0.337,38,8,1,18,43,0.425,0.762,0.89,0.97,0.81,6962 d,SEA 
46,Ezequiel Tovar ,176,23,6,22,3,0.265,0.298,47,10,1,8,48,0.441,0.739,0.59,0.86,0.33,45000 ,COL 
47,Jackson Chourio ,157,21,5,20,7,0.258,0.305,41,7,1,10,37,0.414,0.719,0.63,0.86,0.4,44592 ,MIL 
48,Willy Adames ,170,24,8,26,3,0.243,0.325,41,9,0,19,48,0.443,0.768,0.89,0.91,0.87,5988 d,MIL 
49,Brenton Doyle ,161,22,6,21,7,0.248,0.297,40,7,1,11,52,0.426,0.723,0.69,0.85,0.54,45599 ,COL 
50,Cody Bellinger ,153,22,6,22,4,0.264,0.328,40,8,1,13,31,0.448,0.776,0.94,0.95,0.92,6045 d,CHC 
51,Andres Gimenez ,164,21,4,19,8,0.263,0.321,43,8,1,9,31,0.399,0.72,0.69,0.75,0.62,7049 d,CLE 
52,Vinnie Pasquantino ,153,21,6,25,0,0.272,0.347,42,10,1,16,23,0.472,0.819,0.88,0.89,0.87,44894 ,KC 
53,Nico Hoerner ,160,22,2,16,8,0.274,0.336,44,8,1,12,20,0.38,0.716,0.88,0.9,0.86,7934 d,CHC 
54,Brent Rooker ,137,20,9,23,2,0.245,0.332,34,7,0,15,49,0.487,0.818,0.9,0.92,0.87,7318 d,OAK 
55,Paul Goldschmidt ,161,23,7,23,2,0.255,0.336,41,8,0,18,45,0.438,0.775,0.84,0.92,0.75,4403 d,STL 
56,Michael Harris II ,134,20,5,17,5,0.276,0.323,37,8,1,8,29,0.451,0.774,0.8,0.87,0.73,43924 ,ATL 
57,Ceddanne Rafaela ,159,21,5,20,7,0.252,0.288,40,8,2,7,41,0.409,0.698,0.48,0.72,0.24,45510 ,BOS 
58,Taylor Ward ,164,23,7,24,2,0.251,0.332,41,9,0,19,43,0.435,0.767,0.49,0.57,0.42,6071 d,LAA 
59,Nick Castellanos ,165,21,7,24,2,0.256,0.309,42,9,1,11,42,0.44,0.749,0.8,0.9,0.7,4631 d,PHI 
60,Yandy Diaz ,163,23,5,20,0,0.281,0.36,46,9,0,19,27,0.43,0.79,0.84,0.87,0.81,6677 d,TB 
61,George Springer ,159,24,6,20,4,0.249,0.325,40,7,1,17,34,0.421,0.746,0.79,0.82,0.77,4614 d,TOR 
62,William Contreras ,153,22,6,22,1,0.269,0.344,41,9,0,16,36,0.44,0.784,0.99,0.98,0.99,7659 d,MIL 
63,Jeremy Pena ,175,23,4,21,4,0.263,0.313,46,8,1,10,36,0.398,0.71,0.63,0.76,0.5,43642 ,HOU 
64,Xander Bogaerts ,157,22,4,20,3,0.273,0.337,43,8,0,14,31,0.418,0.755,0.85,0.91,0.79,4347 d,SD 
65,Spencer Steer ,149,21,6,22,4,0.255,0.337,38,9,1,16,35,0.45,0.787,0.95,0.96,0.95,44364 ,CIN 
66,Wyatt Langford ,158,22,5,21,5,0.254,0.328,40,9,2,15,36,0.424,0.752,0.58,0.75,0.41,47238 ,TEX 
67,Jackson Merrill ,154,20,5,20,4,0.27,0.309,41,8,1,8,30,0.432,0.741,0.77,0.85,0.69,44756 ,SD 
68,Byron Buxton ,135,21,8,21,3,0.244,0.313,33,8,1,11,43,0.489,0.802,0.5,0.73,0.28,4672 d,MIN 
69,Luis Arraez ,159,21,2,16,1,0.309,0.358,49,9,1,11,10,0.407,0.765,0.93,0.9,0.97,8162 d,SD 
70,Ian Happ ,157,24,6,22,3,0.245,0.344,39,9,1,22,44,0.435,0.779,0.78,0.81,0.76,6008 d,CHC 
71,Lourdes Gurriel Jr. ,148,19,5,21,2,0.275,0.317,41,8,1,9,29,0.441,0.758,0.77,0.75,0.79,6931 d,ARI 
72,Willson Contreras ,136,21,7,21,2,0.253,0.352,35,7,0,17,38,0.461,0.814,0.79,0.84,0.74,5919 d,STL 
73,Fernando Tatis Jr. ,105,18,6,17,4,0.278,0.349,29,6,0,11,25,0.514,0.863,0.99,0.99,0.98,6853 d,SD 
74,Dansby Swanson ,160,22,6,21,4,0.252,0.32,40,8,1,15,43,0.422,0.742,0.57,0.61,0.52,5965 d,CHC 
75,Jonathan India ,158,24,5,20,4,0.253,0.35,40,9,0,20,38,0.41,0.76,0.52,0.75,0.29,6895 d,CIN 
76,Gleyber Torres ,157,22,6,21,3,0.256,0.325,40,8,0,16,33,0.42,0.745,0.61,0.66,0.56,5133 d,NYY 
77,TJ Friedl ,149,21,5,20,6,0.248,0.326,37,6,1,15,29,0.413,0.739,0.34,0.38,0.31,8358 d,CIN 
78,Nolan Arenado ,164,20,6,24,1,0.259,0.319,43,8,0,13,26,0.425,0.744,0.87,0.91,0.83,4350 d,STL 
79,Nathaniel Lowe ,156,21,5,22,1,0.266,0.351,42,7,1,20,39,0.425,0.777,0.41,0.62,0.2,7914 d,TEX 
80,Jake Burger ,160,21,8,24,0,0.248,0.304,40,8,1,10,46,0.457,0.761,0.48,0.7,0.26,10074 ,MIA 
81,Anthony Volpe ,165,23,5,19,7,0.238,0.3,39,8,2,13,41,0.396,0.696,0.85,0.92,0.79,43704 ,NYY 
82,Brandon Nimmo ,157,25,5,20,2,0.254,0.353,40,8,1,21,40,0.422,0.774,0.89,0.88,0.9,4685 d,NYM 
83,Matt Chapman ,157,23,7,22,2,0.24,0.329,38,9,1,19,46,0.438,0.767,0.73,0.84,0.61,6315 d,SF 
84,Salvador Perez ,146,18,7,24,0,0.262,0.318,38,7,0,8,35,0.458,0.776,0.97,0.97,0.97,4147 d,KC 
85,Jo Adell ,146,20,8,21,5,0.224,0.289,33,6,1,11,49,0.433,0.723,0.07,0.11,0.04,6899 d,LAA 
86,Will Smith ,133,21,6,22,0,0.262,0.353,35,7,1,16,27,0.466,0.819,0.99,0.98,1.0,7671 d,LAD 
87,Bryson Stott ,147,20,3,17,7,0.257,0.322,38,7,1,14,28,0.387,0.709,0.83,0.84,0.81,22308 ,PHI 
88,Isaac Paredes ,148,21,7,24,0,0.247,0.342,37,7,0,18,28,0.45,0.792,0.86,0.86,0.87,10050 ,CHC 
89,Kyle Tucker ,91,16,6,16,4,0.277,0.37,25,5,1,13,16,0.53,0.9,0.97,0.97,0.97,6006 d,HOU 
90,Willi Castro ,153,22,4,16,7,0.251,0.32,38,8,2,12,40,0.395,0.714,0.54,0.72,0.35,5997 d,MIN 
91,Luis Garcia ,140,18,4,18,4,0.275,0.317,38,7,1,8,23,0.428,0.744,0.48,0.66,0.3,7507 d,WSH 
92,Masataka Yoshida ,137,19,4,19,1,0.282,0.351,39,8,0,12,20,0.432,0.782,0.55,0.57,0.53,46547 ,BOS 
93,Ryan Mountcastle ,141,19,6,21,1,0.264,0.318,37,7,0,11,35,0.443,0.762,0.6,0.77,0.44,7239 d,BAL 
94,Rhys Hoskins ,156,22,8,25,1,0.229,0.321,36,8,0,20,46,0.439,0.761,0.47,0.63,0.3,6744 d,MIL 
95,Ha-Seong Kim ,150,21,4,17,8,0.243,0.327,36,7,1,18,31,0.385,0.712,0.89,0.89,0.88,6866 d,SD 
96,Xavier Edwards ,145,19,1,13,7,0.285,0.346,41,7,1,14,22,0.366,0.712,0.62,0.77,0.47,40137 ,MIA 
97,Jeimer Candelario ,148,20,6,22,2,0.247,0.315,37,9,1,13,38,0.442,0.756,0.37,0.54,0.21,5920 d,CIN 
98,Daulton Varsho ,156,22,7,21,5,0.225,0.296,35,7,1,15,43,0.419,0.715,0.38,0.41,0.35,7551 d,TOR 
99,Logan O'Hoppe ,138,19,7,21,1,0.254,0.32,35,6,0,12,36,0.451,0.771,0.65,0.82,0.48,43987 ,LAA 
100,Ryan McMahon ,154,21,6,22,2,0.246,0.332,38,8,0,19,49,0.426,0.758,0.64,0.78,0.51,5009 d,COL 
101,Brice Turang ,151,20,3,15,9,0.247,0.311,37,7,1,14,32,0.355,0.667,0.72,0.77,0.67,6817 d,MIL 
102,Christopher Morel ,146,20,8,22,3,0.223,0.304,33,6,1,15,46,0.434,0.738,0.6,0.73,0.46,44057 ,TB 
103,Alec Burleson ,135,18,5,19,2,0.267,0.31,36,7,0,8,21,0.43,0.74,0.78,0.84,0.71,43889 ,STL 
104,Tyler O'Neill ,123,19,7,20,2,0.249,0.336,30,6,0,14,41,0.473,0.808,0.65,0.82,0.48,5050 d,BOS 
105,Yainer Diaz ,134,17,5,21,0,0.28,0.315,37,7,1,6,24,0.461,0.777,0.92,0.94,0.91,45200 ,HOU 
106,Brandon Lowe ,138,20,7,21,2,0.24,0.327,33,7,1,16,41,0.457,0.784,0.3,0.46,0.14,7236 d,TB 
107,Jurickson Profar ,148,21,5,19,2,0.256,0.346,38,8,0,18,27,0.411,0.757,0.95,0.93,0.97,4581 d,SD 
108,Jorge Soler ,139,22,7,21,0,0.241,0.331,34,7,0,17,40,0.456,0.787,0.6,0.71,0.49,4495 d,ATL 
109,Heliot Ramos ,151,19,6,20,2,0.249,0.31,38,7,1,12,46,0.42,0.73,0.47,0.64,0.3,10033 ,SF 
110,Adley Rutschman ,138,20,5,20,1,0.265,0.355,36,7,0,18,25,0.433,0.789,0.99,0.99,1.0,8022 d,BAL 
111,Mark Vientos ,149,19,8,22,0,0.241,0.302,36,7,0,12,46,0.445,0.747,0.4,0.6,0.21,6940 d,NYM 
112,Giancarlo Stanton ,130,18,9,23,0,0.233,0.307,30,5,0,13,42,0.47,0.777,0.52,0.73,0.3,3783 d,NYY 
113,Brendan Rodgers ,148,19,4,18,0,0.278,0.332,41,9,1,10,32,0.43,0.761,0.06,0.09,0.04,5966 d,COL 
114,J.T. Realmuto ,135,19,5,18,3,0.254,0.32,34,7,1,10,36,0.432,0.752,0.84,0.9,0.78,5371 d,PHI 
115,Bryan De La Cruz ,153,18,6,20,1,0.256,0.306,39,8,0,11,39,0.421,0.727,0.35,0.5,0.2,44192 ,PIT 
116,Masyn Winn ,156,21,3,17,4,0.254,0.308,40,7,1,12,32,0.386,0.694,0.27,0.38,0.17,43906 ,STL 
117,Leody Taveras ,134,18,4,16,5,0.251,0.308,34,7,1,11,31,0.402,0.71,0.04,0.05,0.03,39153 ,TEX 
118,Carlos Correa ,126,19,5,18,0,0.271,0.348,34,7,1,14,28,0.458,0.807,0.74,0.82,0.66,4673 d,MIN 
119,J.D. Martinez ,155,20,7,23,0,0.24,0.311,37,8,0,15,49,0.428,0.739,0.43,0.72,0.14,4339 d,NYM 
120,Whit Merrifield ,129,17,2,14,7,0.261,0.31,34,6,1,9,22,0.379,0.689,0.05,0.08,0.03,6338 d,ATL 
121,Brandon Marsh ,138,19,4,17,5,0.246,0.326,34,7,2,16,49,0.403,0.729,0.14,0.19,0.09,7393 d,PHI 
122,Maikel Garcia ,140,19,2,14,7,0.259,0.311,36,7,1,11,28,0.368,0.679,0.75,0.83,0.68,44626 ,KC 
123,Riley Greene ,125,18,5,16,2,0.268,0.347,33,6,1,14,35,0.449,0.796,0.81,0.9,0.71,19457 ,DET 
124,Bo Bichette ,118,16,4,16,2,0.279,0.323,33,7,0,7,24,0.436,0.759,0.69,0.76,0.62,6808 d,TOR 
125,James Wood ,135,18,5,18,4,0.246,0.322,33,7,1,14,45,0.417,0.739,0.43,0.63,0.23,44720 ,WSH 
126,Tyler Fitzgerald ,142,20,5,18,5,0.235,0.291,33,7,1,10,47,0.413,0.705,0.62,0.8,0.45,45604 ,SF 
127,Cal Raleigh ,139,19,8,23,1,0.223,0.304,31,7,0,15,44,0.449,0.754,0.85,0.9,0.8,8457 d,SEA 
128,Josh Lowe ,132,17,4,17,6,0.245,0.31,32,8,1,11,42,0.417,0.727,0.41,0.55,0.28,10142 ,TB 
129,Wilyer Abreu ,127,19,5,18,3,0.245,0.329,31,7,1,16,39,0.436,0.765,0.29,0.45,0.12,45630 ,BOS 
