VBR,Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost,Yahoo,ESPN,PlayerId,Team
1,Gerrit Cole ,110.8,144,9,0,3.04,1.03,37,84,27,13,18,17,4,0,0.99,0.99,1.0,4656,NYY 
2,Corbin Burnes ,101.4,128,8,0,2.90,1.08,33,77,27,11,17,16,4,0,0.99,0.99,1.0,7251,MIL 
3,Justin Verlander ,101.1,115,8,0,3.10,1.02,35,77,23,16,16,16,4,0,0.99,0.98,0.99,3623,HOU 
4,Sandy Alcantara ,116.8,114,9,0,3.08,1.21,40,97,37,11,19,19,5,0,0.99,0.99,1.0,7109,MIA 
5,Shane Bieber ,108.0,130,9,0,3.39,1.19,41,95,29,12,18,17,4,0,0.99,0.99,1.0,7178,CLE 
6,Jacob deGrom ,70.5,99,5,0,2.54,0.96,20,50,17,7,11,10,3,0,0.96,0.95,0.97,4850,NYM 
7,Joe Musgrove ,99.5,104,8,0,3.14,1.18,35,84,28,11,17,16,4,0,0.99,0.99,1.0,5883,SD 
8,Frankie Montas ,102.5,112,8,0,3.52,1.18,40,88,29,13,18,16,4,0,0.97,0.96,0.98,5619,OAK 
9,Lucas Giolito ,106.6,124,8,0,3.62,1.21,43,92,35,17,18,16,4,0,0.99,0.98,0.99,4723,CWS 
10,Kevin Gausman ,104.5,116,8,0,3.54,1.20,41,100,23,12,18,17,4,0,0.99,0.99,0.99,4671,TOR 
11,Max Fried ,105.0,98,8,0,3.37,1.20,39,95,27,10,18,17,4,0,0.99,0.99,1.0,4729,ATL 
12,Pablo Lopez ,96.8,98,8,0,3.34,1.18,36,83,27,11,18,19,4,0,0.95,0.94,0.97,7289,MIA 
13,Zack Wheeler ,101.8,108,8,0,3.41,1.22,39,92,27,9,17,16,4,0,0.99,0.98,1.0,4603,PHI 
14,Aaron Nola ,103.0,120,8,0,3.86,1.17,44,89,25,15,18,16,4,0,0.99,0.99,1.0,5682,PHI 
15,Shane McClanahan ,91.3,112,7,0,3.31,1.19,34,79,27,12,17,18,4,0,0.98,0.97,0.99,7487,TB 
16,Alek Manoah ,96.0,101,8,0,3.26,1.23,35,81,30,12,17,19,4,0,0.99,0.98,1.0,19812,TOR 
17,Julio Urias ,100.5,96,8,0,3.50,1.20,39,90,27,15,18,16,4,0,0.98,0.98,0.98,4922,LAD 
18,Paul Blackburn ,95.4,53,3,0,3.11,1.01,33,74,20,8,22,12,6,0,0.73,0.73,0.73,6440,OAK 
19,Brandon Woodruff ,95.5,110,8,0,3.75,1.20,40,84,27,12,17,15,4,0,0.98,0.97,0.99,6813,MIL 
20,Nathan Eovaldi ,99.8,102,8,0,3.74,1.20,41,95,22,17,17,16,4,0,0.93,0.9,0.96,4423,BOS 
21,Framber Valdez ,107.0,95,9,0,3.34,1.32,40,93,42,8,18,17,4,0,0.95,0.94,0.96,7627,HOU 
22,Robbie Ray ,107.8,134,9,0,4.20,1.26,50,92,41,19,18,17,4,0,0.97,0.96,0.97,5484,SEA 
23,Sean Manaea ,97.0,99,8,0,3.80,1.20,41,86,27,13,17,16,4,0,0.94,0.92,0.96,4944,SD 
24,Tarik Skubal ,93.0,103,7,0,3.58,1.21,37,83,26,12,17,19,7,0,0.92,0.91,0.94,43633,DET 
25,Liam Hendriks ,43.5,61,3,19,2.81,1.00,14,32,11,5,42,0,2,0,0.99,0.98,0.99,4158,CWS 
26,Logan Webb ,104.3,97,8,0,3.61,1.26,42,97,29,8,18,17,4,0,0.97,0.96,0.99,8146,SF 
