Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,PlayerId,Team
Ronald Acuna Jr. ,584,130,38,102,53,0.316,0.398,184,34,2,80,107,0.582,0.98,6966 d,ATL 
Aaron Judge ,521,105,45,111,7,0.275,0.391,143,23,0,99,170,0.58,0.971,4955 d,NYY 
Shohei Ohtani ,527,102,39,106,20,0.277,0.377,146,28,5,84,151,0.569,0.946,7354 d,LAD 
Fernando Tatis Jr. ,583,104,35,97,29,0.275,0.346,160,34,2,63,146,0.522,0.868,6853 d,SD 
Bobby Witt Jr. ,608,99,29,91,42,0.28,0.325,170,33,7,41,121,0.501,0.826,6810 d,KC 
Julio Rodriguez ,603,101,32,94,33,0.28,0.336,169,33,3,51,156,0.503,0.838,43685 ,SEA 
Yordan Alvarez ,507,98,39,109,1,0.298,0.39,151,31,2,77,117,0.593,0.983,6461 d,HOU 
Kyle Tucker ,572,97,31,105,25,0.282,0.362,161,34,4,71,97,0.519,0.88,6006 d,HOU 
Mookie Betts ,575,114,33,97,13,0.283,0.373,163,37,2,82,107,0.526,0.899,4921 d,LAD 
Freddie Freeman ,589,108,26,96,14,0.305,0.383,179,41,2,75,110,0.515,0.898,3365 d,LAD 
Juan Soto ,530,108,37,102,11,0.279,0.422,148,27,2,130,112,0.543,0.964,6906 d,NYY 
Matt Olson ,567,102,40,113,1,0.266,0.364,151,29,1,88,148,0.534,0.898,5718 d,ATL 
Corbin Carroll ,572,102,23,80,43,0.276,0.347,158,30,9,63,134,0.479,0.826,23993 ,ARI 
Austin Riley ,595,99,37,106,2,0.28,0.343,166,32,2,57,159,0.526,0.869,6022 d,ATL 
Jose Ramirez ,580,93,27,95,25,0.279,0.356,162,37,4,70,77,0.5,0.856,5288 d,CLE 
Rafael Devers ,580,95,35,102,4,0.281,0.349,163,36,1,60,125,0.526,0.875,5175 d,BOS 
Vladimir Guerrero Jr. ,584,93,33,101,6,0.284,0.358,166,32,1,67,99,0.511,0.869,6050 d,TOR 
Trea Turner ,614,97,23,84,28,0.282,0.331,173,35,4,45,133,0.465,0.796,5828 d,PHI 
Bryce Harper ,529,95,29,92,13,0.284,0.387,150,34,2,89,135,0.519,0.906,4293 d,PHI 
Ozzie Albies ,588,94,27,93,14,0.274,0.326,161,34,4,46,109,0.482,0.807,5980 d,ATL 
Pete Alonso ,565,89,40,109,4,0.248,0.326,140,24,1,65,139,0.505,0.831,6960 d,NYM 
Corey Seager ,515,88,30,90,2,0.296,0.365,152,33,1,56,95,0.54,0.905,4805 d,TEX 
Michael Harris II ,562,88,22,81,24,0.286,0.328,161,35,3,35,121,0.477,0.804,43924 ,ATL 
Luis Robert Jr. ,566,86,31,89,19,0.268,0.31,151,33,1,35,159,0.495,0.805,6935 d,CWS 
Marcus Semien ,610,100,27,86,15,0.264,0.331,161,34,3,61,112,0.463,0.794,4544 d,TEX 
Bo Bichette ,599,86,23,86,11,0.291,0.332,175,34,2,36,127,0.47,0.801,6808 d,TOR 
Francisco Lindor ,581,92,27,89,21,0.253,0.325,147,28,2,62,127,0.448,0.773,4569 d,NYM 
Randy Arozarena ,559,89,24,82,26,0.26,0.337,145,29,3,65,156,0.449,0.785,6962 d,TB 
Jose Altuve ,554,98,24,75,14,0.275,0.348,152,31,1,62,101,0.467,0.815,4334 d,HOU 
Mike Trout ,489,87,34,89,3,0.264,0.358,129,25,2,72,160,0.53,0.888,3785 d,LAA 
Kyle Schwarber ,548,98,41,98,4,0.222,0.343,122,21,1,101,194,0.488,0.832,5686 d,PHI 
Manny Machado ,558,83,29,94,7,0.268,0.336,149,27,1,57,116,0.478,0.815,3778 d,SD 
Adolis Garcia ,574,88,32,96,13,0.243,0.304,139,28,2,51,181,0.465,0.769,6901 d,TEX 
Paul Goldschmidt ,570,90,26,87,8,0.268,0.356,152,30,1,78,150,0.46,0.816,4403 d,STL 
Gunnar Henderson ,551,92,26,83,12,0.261,0.339,144,29,6,64,155,0.477,0.816,23372 ,BAL 
Alex Bregman ,564,93,24,88,2,0.265,0.361,150,31,2,84,81,0.453,0.814,5973 d,HOU 
Nolan Jones ,517,82,24,80,16,0.267,0.355,138,29,4,70,171,0.475,0.83,10128 ,COL 
Gleyber Torres ,560,83,24,80,13,0.27,0.338,151,27,1,58,109,0.454,0.793,5133 d,NYY 
Royce Lewis ,509,78,26,83,13,0.268,0.328,136,27,2,46,127,0.478,0.807,6967 d,MIN 
Teoscar Hernandez ,532,76,28,91,8,0.262,0.31,139,27,1,36,169,0.479,0.788,4846 d,LAD 
Christian Yelich ,550,94,19,69,23,0.261,0.358,144,29,2,84,148,0.423,0.781,4596 d,MIL 
Bryan Reynolds ,571,86,23,82,9,0.269,0.339,153,30,4,61,138,0.459,0.798,6818 d,PIT 
Cody Bellinger ,535,81,23,82,17,0.261,0.322,140,28,2,48,117,0.449,0.771,6045 d,CHC 
Christian Walker ,567,82,28,92,6,0.254,0.327,144,30,2,62,129,0.461,0.788,4905 d,ARI 
Ketel Marte ,564,87,21,80,7,0.274,0.348,155,35,5,64,108,0.465,0.813,5179 d,ARI 
Matt McLain ,528,83,23,78,19,0.257,0.331,136,30,4,58,164,0.459,0.79,7953 d,CIN 
Nico Hoerner ,590,84,10,63,32,0.281,0.332,166,28,4,45,79,0.392,0.724,7934 d,CHC 
Jazz Chisholm Jr. ,504,77,25,75,29,0.246,0.307,124,21,4,44,159,0.451,0.758,8449 d,MIA 
Nick Castellanos ,580,76,25,88,7,0.261,0.306,152,33,1,38,159,0.45,0.756,4631 d,PHI 
Marcell Ozuna ,515,76,31,88,1,0.256,0.323,132,24,1,51,133,0.485,0.808,4726 d,ATL 
Nolan Arenado ,571,74,26,92,4,0.261,0.318,149,30,2,48,95,0.454,0.771,4350 d,STL 
Elly De La Cruz ,506,78,20,70,35,0.247,0.309,125,25,6,45,177,0.441,0.75,44884 ,CIN 
Andres Gimenez ,555,78,17,70,28,0.265,0.309,147,29,4,36,118,0.425,0.735,7049 d,CLE 
CJ Abrams ,570,82,16,64,38,0.255,0.294,145,30,4,32,115,0.408,0.701,19879 ,WSH 
Dansby Swanson ,578,84,23,81,12,0.256,0.323,148,29,2,58,158,0.433,0.756,5965 d,CHC 
Xander Bogaerts ,569,82,18,74,11,0.277,0.343,158,31,1,57,114,0.431,0.774,4347 d,SD 
