Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,PlayerId,Team
Austin Cox ,17.6,14,0,0,4.59,1.42,9,18,7,2,17,0,1,0,43939 ,KC 
Tony Santillan ,27.3,28,1,0,4.90,1.53,15,27,15,4,26,0,1,0,8361 d,CIN 
Anthony Veneziano ,30.7,25,1,0,4.88,1.48,17,32,13,4,20,2,2,0,45101 ,KC 
James Naile ,22.9,16,1,0,4.74,1.51,12,26,8,3,22,0,1,0,44975 ,RP) FA 
Geoff Hartlieb ,18.6,16,1,0,4.92,1.53,10,20,9,3,16,0,1,0,8234 d,COL 
Will Klein ,21.7,22,1,0,4.86,1.56,12,21,13,3,22,0,1,0,44629 ,KC 
Blake Walston ,12.1,8,1,0,5.14,1.51,7,13,5,2,2,2,1,0,23976 ,ARI 
Dominic Hamel ,7.0,7,0,0,4.50,1.45,4,7,3,1,5,1,0,0,45291 ,NYM 
Ryan Bergert ,8.8,8,0,0,4.67,1.42,5,9,4,2,2,2,1,0,45388 ,SD 
Bradley Hanner ,10.7,9,1,0,5.18,1.58,6,11,6,2,11,0,1,0,46653 ,CLE 
Corbin Martin ,29.4,27,1,0,4.91,1.51,16,30,14,4,24,1,2,0,7405 d,ARI 
Sean Reynolds ,19.2,18,1,0,4.95,1.55,11,18,12,3,19,0,1,0,46486 ,SD 
Kelvin Caceres ,26.8,29,1,0,4.79,1.58,14,24,19,3,30,0,2,0,46802 ,LAA 
Antonio Senzatela ,14.9,8,1,0,4.97,1.50,8,18,4,2,3,3,1,0,5930 d,COL 
Brad Wieck ,8.0,8,0,0,4.82,1.42,4,7,4,1,8,0,0,0,7094 d,CHC 
Zach McCambley ,8.3,7,0,0,4.58,1.44,4,8,4,1,8,0,1,0,43984 ,MIA 
Patrick Corbin ,160.3,116,8,0,5.19,1.47,92,183,53,28,29,29,13,0,4655 d,WSH 
Levi Stoudt ,18.5,14,1,0,5.12,1.49,11,20,8,3,14,1,1,0,44296 ,SEA 
Jimmy Nelson ,19.8,22,1,0,5.16,1.55,11,18,12,3,19,0,1,0,4598 d,"SP,RP) FA "
Declan Cronin ,24.2,17,1,0,4.83,1.51,13,26,10,3,24,0,1,0,47028 ,MIA 
Kevin Kopps ,10.6,9,0,0,4.46,1.49,5,11,5,1,11,0,0,0,45379 ,SD 
Austin Schulfer ,7.8,7,0,0,4.58,1.47,4,8,3,1,8,0,0,0,44289 ,MIN 
Nick Snyder ,6.0,6,0,0,4.81,1.44,3,6,3,1,6,0,0,0,44835 ,PHI 
Matt Andriese ,6.0,4,0,0,4.69,1.40,3,7,2,1,6,0,0,0,5601 d,MIA 
Jay Groome ,24.2,21,1,0,4.97,1.52,13,24,13,4,9,4,2,0,8253 d,SD 
Stephen Jones ,20.3,17,1,0,5.05,1.53,11,22,9,3,20,0,1,0,45741 ,COL 
Drew Anderson ,6.0,5,0,0,5.06,1.41,3,6,2,1,6,0,0,0,6595 d,DET 
Frank German ,7.4,7,0,0,4.98,1.45,4,7,3,1,7,0,0,0,44144 ,BOS 
Sem Robberse ,9.5,7,0,0,4.88,1.42,5,10,4,1,2,2,1,0,44507 ,STL 
Braydon Fisher ,6.0,6,0,0,4.62,1.55,3,6,4,1,6,0,0,0,47489 ,LAD 
Jose Marte ,16.3,17,1,0,5.10,1.61,9,15,11,2,18,0,1,0,44432 ,LAA 
Sam Coonrod ,31.1,29,1,0,4.98,1.52,17,31,17,4,34,0,1,0,6197 d,RP) FA 
Chase Anderson ,23.2,18,1,0,5.18,1.48,13,25,9,4,14,1,2,0,5310 d,PIT 
Davis Martin ,8.6,7,0,0,5.17,1.39,5,9,3,1,6,1,1,0,46142 ,CWS 
Josh James ,8.0,7,0,0,4.84,1.48,4,8,4,1,8,0,0,0,8075 d,STL 
Stephen Nogosek ,18.4,17,0,0,4.88,1.46,10,18,9,3,10,0,1,0,21179 ,WSH 
Zach Logue ,14.2,11,1,0,5.59,1.50,9,16,5,3,10,1,1,0,45009 ,ATL 
Justin Garza ,16.3,14,1,0,5.26,1.56,10,17,9,3,13,0,1,0,44496 ,RP) FA 
Dugan Darnell ,10.2,9,0,0,4.97,1.48,6,11,4,2,11,0,1,0,47341 ,COL 
Anthony Molina ,34.1,22,1,0,4.94,1.47,19,41,10,5,30,1,2,0,46960 ,COL 
Jack Leiter ,17.2,17,1,0,5.34,1.57,10,17,10,3,4,4,1,0,43712 ,TEX 
Rob Zastryzny ,10.6,10,0,0,4.92,1.51,6,11,5,2,11,0,0,0,5041 d,MIL 
Drew Hutchison ,13.2,9,1,0,5.34,1.57,8,14,6,2,4,2,1,0,4507 d,"SP,RP) FA "
Adrian Sampson ,6.7,5,0,0,4.90,1.52,4,8,3,1,2,1,0,0,6127 d,TEX 
Jesse Scholtens ,34.8,28,1,0,5.22,1.45,20,38,13,6,16,4,3,0,10244 ,CWS 
Eli Villalobos ,9.3,8,0,0,4.82,1.54,5,10,5,1,11,0,0,0,46499 ,MIA 
Ryan Rolison ,18.4,14,1,0,5.28,1.53,11,21,7,3,8,3,1,0,7482 d,COL 
Burch Smith ,10.0,8,0,0,4.94,1.50,5,11,4,2,10,0,1,0,5440 d,TB 
Tyler Beede ,17.7,15,1,0,5.23,1.57,10,18,10,2,17,0,1,0,5977 d,CLE 
Griff McGarry ,10.5,11,0,0,4.91,1.56,6,10,7,1,7,1,0,0,44910 ,PHI 
Dallas Keuchel ,36.1,25,2,0,4.96,1.56,20,41,15,5,7,7,2,0,4660 d,SP) FA 
Randy Labaut ,7.8,6,0,0,4.77,1.57,4,8,4,1,8,0,0,0,45687 ,CLE 
