VBR,Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost,Yahoo,ESPN,PlayerId,Team
1,Gerrit Cole ,115.5,138,9,0,3.16,1.14,41,95,33,14,19,18,5,0,0.99,0.99,1.0,4656,NYY 
2,Shane McClanahan ,107.4,120,8,0,2.79,1.12,33,85,33,10,18,17,4,0,0.99,0.99,1.0,7487,TB 
3,Luis Castillo ,117.0,122,9,0,3.17,1.15,41,96,35,11,19,18,5,0,0.99,0.99,0.99,3679,SEA 
4,Aaron Nola ,123.5,123,10,0,3.72,1.09,51,105,25,16,19,19,5,0,0.98,0.98,0.98,5682,PHI 
5,Shohei Ohtani ,102.2,129,8,0,3.11,1.10,35,71,35,11,18,20,4,0,0.5,0.0,1.0,7354,LAA 
6,Justin Verlander ,104.0,113,8,0,3.25,1.05,38,82,23,13,17,17,4,0,0.99,0.98,0.99,3623,NYM 
7,Zac Gallen ,114.4,119,9,0,3.31,1.14,42,94,31,9,19,18,4,0,0.99,0.99,1.0,7245,ARI 
8,Spencer Strider ,99.5,148,8,0,3.17,1.17,35,75,36,10,18,20,4,0,0.99,0.99,1.0,44282,ATL 
9,Jacob deGrom ,81.0,110,6,0,2.78,0.92,25,56,17,7,14,15,3,0,0.99,0.99,0.99,4850,TEX 
10,Kevin Gausman ,110.5,130,9,0,3.41,1.15,42,100,25,12,19,18,4,0,0.99,0.99,1.0,4671,TOR 
11,Shane Bieber ,123.0,110,10,0,3.36,1.20,46,113,31,13,19,20,5,0,0.99,0.98,1.0,7178,CLE 
12,Carlos Rodon ,99.3,127,8,0,3.23,1.12,36,77,30,10,18,18,4,0,0.91,0.92,0.9,5674,NYY 
13,Framber Valdez ,116.0,116,9,0,3.08,1.24,40,103,36,9,18,19,5,0,0.99,0.99,0.99,7627,HOU 
14,Corbin Burnes ,111.0,125,9,0,3.46,1.18,43,92,34,13,19,18,4,0,0.99,0.99,1.0,7251,MIL 
15,Joe Ryan ,105.0,108,8,0,3.35,1.11,39,86,26,12,18,20,4,0,0.97,0.96,0.98,43688,MIN 
16,Cristian Javier ,104.5,123,8,0,3.49,1.13,41,78,36,14,18,20,4,0,0.99,0.99,0.99,10002,HOU 
17,Max Scherzer ,95.4,109,7,0,3.26,1.08,35,76,23,12,16,15,4,0,0.99,0.99,1.0,3744,NYM 
18,Clayton Kershaw ,90.2,98,7,0,3.14,1.09,31,76,20,10,15,14,3,0,0.98,0.98,0.98,3215,LAD 
19,Sandy Alcantara ,118.8,109,10,0,3.81,1.20,50,106,32,11,18,19,5,0,0.98,0.98,0.98,7109,MIA 
20,Max Fried ,105.3,97,8,0,3.21,1.19,38,97,25,9,18,17,4,0,0.96,0.96,0.95,4729,ATL 
21,Logan Gilbert ,109.0,112,9,0,3.89,1.15,47,97,26,13,19,17,4,0,0.94,0.94,0.95,7453,SEA 
22,Logan Webb ,118.3,105,9,0,3.53,1.25,46,114,29,10,19,19,5,0,0.97,0.97,0.98,8146,SF 
23,George Kirby ,103.8,94,8,0,3.51,1.17,40,100,18,11,18,21,4,0,0.93,0.94,0.92,20405,SEA 
24,Tyler Glasnow ,85.5,111,7,0,3.34,1.15,32,66,29,9,15,15,3,0,0.91,0.93,0.88,4587,TB 
25,Brandon Woodruff ,85.5,96,7,0,3.24,1.13,31,70,24,10,14,14,3,0,0.93,0.95,0.91,6813,MIL 
26,Zack Wheeler ,106.6,112,9,0,3.66,1.25,43,101,27,10,18,18,4,0,0.98,0.98,0.98,4603,PHI 
27,Julio Urias ,105.3,102,8,0,3.78,1.17,44,95,24,16,19,17,4,0,0.97,0.98,0.96,4922,LAD 
28,Chris Bassitt ,107.0,91,9,0,3.66,1.22,43,90,33,14,18,17,4,0,0.89,0.88,0.89,5554,TOR 
29,Yu Darvish ,105.3,109,8,0,3.85,1.20,45,91,29,14,17,17,4,0,0.97,0.97,0.96,3965,SD 
30,Pablo Lopez ,104.5,110,8,0,3.84,1.23,45,93,29,12,18,17,4,0,0.91,0.89,0.94,7289,MIN 
31,Nathan Eovaldi ,103.5,98,4,0,3.52,1.16,40,96,21,11,17,17,4,0,0.94,0.93,0.95,4423,TEX 
32,Dylan Cease ,108.0,123,9,0,3.91,1.31,47,91,44,13,19,17,4,0,0.95,0.96,0.94,6848,CWS 
33,Alex Cobb ,99.3,92,8,0,3.22,1.31,36,98,29,8,17,20,4,0,0.7,0.77,0.63,3034,SF 
34,Emmanuel Clase ,44.2,43,2,24,2.48,1.06,12,36,9,2,44,0,2,0,0.98,0.99,0.96,27356,CLE 
35,Bryce Elder ,103.5,91,8,0,3.32,1.32,38,94,36,9,36,12,4,0,0.83,0.85,0.81,44280,ATL 
36,Andrew Heaney ,89.4,102,7,0,3.80,1.18,38,73,27,13,16,17,7,0,0.55,0.68,0.42,4678,TEX 
37,Sonny Gray ,90.8,94,7,0,3.33,1.27,34,79,32,7,17,18,4,0,0.93,0.93,0.94,4755,MIN 
38,Jon Gray ,102.0,96,8,0,3.70,1.27,42,90,34,14,19,16,4,0,0.8,0.83,0.78,4933,TEX 
39,Lucas Giolito ,107.8,109,9,0,4.05,1.28,49,99,35,15,19,17,9,0,0.87,0.88,0.87,4723,CWS 
40,Drew Rasmussen ,91.0,84,7,0,3.48,1.21,35,82,25,9,17,18,4,0,0.63,0.65,0.61,43665,TB 
41,Felix Bautista ,44.6,60,2,20,2.71,1.15,13,31,19,4,43,0,2,0,0.97,0.98,0.96,45019,BAL 
42,Eduardo Rodriguez ,102.5,94,4,0,3.52,1.22,40,93,30,11,18,21,8,0,0.8,0.79,0.82,3963,DET 
43,Zach Eflin ,88.3,77,7,0,3.73,1.18,37,84,17,11,16,14,4,0,0.78,0.86,0.7,6146,TB 
44,Luis Severino ,82.4,85,6,0,3.57,1.18,33,70,24,9,15,15,3,0,0.83,0.91,0.75,5244,NYY 
45,Nestor Cortes Jr. ,95.0,96,8,0,4.14,1.22,44,85,26,15,17,15,4,0,0.88,0.9,0.85,7375,NYY 
46,Marcus Stroman ,108.5,89,4,0,3.61,1.24,43,99,32,11,19,17,9,0,0.91,0.91,0.9,4796,CHC 
47,Patrick Sandoval ,95.0,86,8,0,3.69,1.31,39,84,36,9,17,15,4,0,0.51,0.62,0.4,8031,LAA 
48,Josh Hader ,37.0,53,1,21,2.83,1.06,12,24,14,4,37,0,1,0,0.98,0.99,0.98,5047,SD 
49,Jose Berrios ,105.0,93,8,0,4.15,1.26,48,101,26,14,18,17,4,0,0.75,0.74,0.75,5722,TOR 
50,Chris Sale ,89.8,100,7,0,4.00,1.25,40,81,25,11,17,18,7,0,0.81,0.83,0.8,3207,BOS 
51,Joe Musgrove ,91.5,89,7,0,3.91,1.25,40,84,25,11,16,15,4,0,0.86,0.91,0.81,5883,SD 
52,Dustin May ,79.0,75,6,0,3.52,1.21,31,65,26,7,18,16,3,0,0.69,0.79,0.59,7413,LAD 
53,Charlie Morton ,98.9,111,8,0,3.93,1.38,43,93,36,12,18,16,4,0,0.9,0.91,0.89,3181,ATL 
54,Freddy Peralta ,90.5,98,7,0,4.01,1.28,40,78,35,12,17,18,4,0,0.82,0.88,0.75,7274,MIL 
55,Blake Snell ,91.3,109,7,0,4.04,1.33,41,77,43,12,17,18,4,0,0.76,0.79,0.72,5835,SD 
56,Ryan Helsley ,40.5,51,2,17,2.96,1.14,13,29,16,4,38,0,2,0,0.76,0.89,0.64,7481,STL 
