VBR,Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
1,Ronald Acuna Jr. ,528,116,32,88,47,0.306,0.401,162,31,2,74,101,0.552,0.952,0.99,0.99,1.0,6966 d,ATL 
2,Shohei Ohtani ,498,97,35,98,18,0.28,0.39,139,28,5,77,137,0.565,0.955,1.0,0.0,1.0,7354 d,LAD 
3,Bobby Witt Jr. ,551,93,27,84,37,0.283,0.333,156,31,7,38,110,0.513,0.846,0.99,0.99,1.0,6810 d,KC 
4,Fernando Tatis Jr. ,527,94,32,90,24,0.277,0.352,146,30,2,57,127,0.526,0.878,0.99,0.99,1.0,6853 d,SD 
5,Aaron Judge ,485,94,40,102,6,0.27,0.398,131,22,0,93,153,0.566,0.964,0.99,0.99,1.0,4955 d,NYY 
6,Mookie Betts ,517,103,30,88,12,0.283,0.383,147,32,2,78,94,0.527,0.909,0.99,0.99,1.0,4921 d,LAD 
7,Yordan Alvarez ,466,90,34,97,1,0.298,0.404,139,28,2,71,103,0.585,0.989,0.99,0.99,1.0,6461 d,HOU 
8,Juan Soto ,483,99,32,91,10,0.281,0.428,136,25,1,117,98,0.537,0.965,0.99,0.99,1.0,6906 d,NYY 
9,Kyle Tucker ,526,88,28,93,21,0.279,0.365,147,31,3,67,90,0.51,0.876,0.99,0.99,1.0,6006 d,HOU 
10,Julio Rodriguez ,545,88,26,81,28,0.274,0.341,149,29,2,45,143,0.482,0.823,0.98,0.99,0.98,43685 ,SEA 
11,Corbin Carroll ,528,92,20,73,39,0.273,0.354,144,28,7,59,119,0.464,0.819,0.99,0.99,1.0,23993 ,ARI 
12,Freddie Freeman ,521,92,22,84,12,0.3,0.394,156,34,2,67,98,0.498,0.891,0.99,0.99,1.0,3365 d,LAD 
13,Matt Olson ,520,91,35,102,1,0.264,0.369,137,27,2,79,137,0.527,0.896,0.99,0.99,1.0,5718 d,ATL 
14,Austin Riley ,546,89,32,96,2,0.276,0.35,150,29,2,52,147,0.512,0.862,0.99,0.99,0.99,6022 d,ATL 
15,Rafael Devers ,531,86,31,93,4,0.278,0.361,148,32,1,57,111,0.516,0.877,0.99,0.99,1.0,5175 d,BOS 
16,Jose Ramirez ,524,82,24,85,21,0.274,0.363,144,33,4,60,70,0.486,0.849,0.99,0.99,1.0,5288 d,CLE 
17,Vladimir Guerrero Jr. ,522,85,29,87,5,0.281,0.366,146,28,1,62,89,0.502,0.868,0.99,0.99,0.99,6050 d,TOR 
18,Mike Trout ,484,85,34,90,4,0.262,0.368,127,24,3,70,153,0.534,0.902,0.99,0.99,0.99,3785 d,LAA 
19,Trea Turner ,552,84,19,73,25,0.279,0.334,154,30,3,42,122,0.452,0.785,0.99,0.99,0.98,5828 d,PHI 
20,Pete Alonso ,521,82,37,99,3,0.249,0.346,129,22,1,60,128,0.507,0.853,0.99,0.99,0.98,6960 d,NYM 
21,Ozzie Albies ,540,86,24,83,12,0.273,0.33,148,31,3,42,97,0.476,0.806,0.99,0.99,1.0,5980 d,ATL 
22,Michael Harris II ,519,79,20,74,20,0.283,0.331,147,32,3,32,113,0.469,0.8,0.98,0.99,0.98,43924 ,ATL 
23,Bryce Harper ,474,82,25,81,11,0.277,0.392,131,29,1,79,122,0.507,0.899,0.99,0.99,1.0,4293 d,PHI 
