Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,PlayerId,Team
Luis Arraez ,567,77,8,63,4,0.317,0.368,180,30,4,46,41,0.425,0.793,8162 d,MIA 
Ian Happ ,558,81,21,79,11,0.251,0.343,140,31,3,78,151,0.427,0.77,6008 d,CHC 
Josh Jung ,547,75,25,83,3,0.256,0.304,140,28,2,37,167,0.452,0.755,23130 ,TEX 
William Contreras ,521,77,21,75,4,0.27,0.344,141,28,1,58,132,0.451,0.795,7659 d,MIL 
Lane Thomas ,564,80,22,73,15,0.25,0.305,141,31,3,45,154,0.434,0.739,8293 d,WSH 
Brandon Nimmo ,552,89,19,67,4,0.267,0.353,148,28,5,73,129,0.438,0.791,4685 d,NYM 
Eloy Jimenez ,505,65,25,79,0,0.274,0.328,139,25,0,40,114,0.473,0.8,5141 d,CWS 
Jake Burger ,535,71,29,82,1,0.251,0.301,134,27,2,38,157,0.468,0.768,10074 ,MIA 
Masataka Yoshida ,508,70,16,72,5,0.29,0.35,147,30,2,47,72,0.452,0.803,46547 ,BOS 
Adley Rutschman ,521,82,19,71,3,0.271,0.366,141,31,1,78,95,0.444,0.81,8022 d,BAL 
Josh Lowe ,488,68,18,69,25,0.257,0.317,125,30,3,43,147,0.436,0.753,10142 ,TB 
Jorge Soler ,504,74,30,82,1,0.242,0.328,122,24,0,65,144,0.468,0.796,4495 d,SF 
Vinnie Pasquantino ,500,69,21,75,2,0.276,0.353,138,32,2,59,73,0.474,0.826,44894 ,KC 
Cedric Mullins II ,516,73,18,66,27,0.249,0.311,128,27,3,47,116,0.418,0.73,7400 d,BAL 
Alec Bohm ,551,72,17,77,4,0.274,0.325,151,29,1,42,104,0.421,0.747,7921 d,PHI 
Ezequiel Tovar ,572,75,17,72,13,0.262,0.299,150,33,4,30,148,0.423,0.722,45000 ,COL 
Rhys Hoskins ,506,76,27,81,3,0.239,0.331,121,28,1,69,147,0.463,0.794,6744 d,MIL 
Riley Greene ,536,77,17,65,9,0.271,0.338,145,26,6,54,155,0.435,0.773,19457 ,DET 
Andrew Vaughn ,554,70,23,79,0,0.262,0.313,145,30,1,42,120,0.444,0.758,22216 ,CWS 
Tyler O'Neill ,455,69,22,69,13,0.253,0.324,115,23,1,48,140,0.457,0.781,5050 d,BOS 
Thairo Estrada ,536,72,15,62,22,0.261,0.302,140,25,3,32,115,0.401,0.703,7544 d,SF 
Taylor Ward ,476,74,20,68,6,0.265,0.341,126,26,1,55,114,0.451,0.792,6071 d,LAA 
Daulton Varsho ,506,72,24,72,16,0.236,0.299,119,24,3,46,131,0.436,0.735,7551 d,TOR 
Christopher Morel ,470,70,25,73,11,0.241,0.308,113,22,4,45,159,0.46,0.767,44057 ,CHC 
Ke'Bryan Hayes ,542,71,16,67,15,0.263,0.317,143,30,5,43,119,0.424,0.741,6910 d,PIT 
TJ Friedl ,492,74,16,62,21,0.255,0.323,126,22,6,49,96,0.418,0.741,8358 d,CIN 
Will Smith ,443,71,21,75,2,0.262,0.345,116,23,2,56,88,0.467,0.812,7671 d,LAD 
Spencer Steer ,505,70,20,75,8,0.256,0.328,129,30,2,55,124,0.443,0.771,44364 ,CIN 
Jeremy Pena ,555,76,16,66,14,0.259,0.306,144,27,2,37,129,0.403,0.709,43642 ,HOU 
Evan Carter ,487,74,16,66,18,0.256,0.346,124,24,4,67,142,0.423,0.768,43894 ,TEX 
Ryan Mountcastle ,483,66,22,74,4,0.263,0.32,127,23,1,41,127,0.452,0.772,7239 d,BAL 
Bryson Stott ,537,71,13,63,21,0.265,0.321,142,29,3,44,103,0.401,0.722,22308 ,PHI 
Nolan Gorman ,465,68,27,76,6,0.24,0.314,111,20,1,51,159,0.46,0.774,7471 d,STL 
Max Muncy ,451,77,28,80,2,0.223,0.339,101,19,1,79,138,0.458,0.797,5207 d,LAD 
Salvador Perez ,505,61,25,81,0,0.257,0.288,130,22,1,22,129,0.453,0.741,4147 d,KC 
Byron Buxton ,430,70,27,68,11,0.234,0.302,101,24,2,42,143,0.486,0.789,4672 d,MIN 
Ha-Seong Kim ,537,75,15,62,26,0.246,0.325,132,26,2,62,118,0.387,0.712,6866 d,SD 
Trevor Story ,503,70,20,70,21,0.237,0.3,119,28,2,45,161,0.421,0.72,4747 d,BOS 
Steven Kwan ,565,82,6,55,18,0.278,0.349,157,30,6,62,65,0.382,0.731,44349 ,CLE 
J.T. Realmuto ,462,66,19,67,15,0.256,0.312,118,24,3,38,125,0.446,0.757,5371 d,PHI 
Carlos Correa ,516,72,21,72,0,0.261,0.339,135,28,1,60,122,0.44,0.779,4673 d,MIN 
Chas McCormick ,455,67,20,67,15,0.25,0.322,114,18,2,48,135,0.431,0.753,10177 ,HOU 
Anthony Volpe ,522,73,20,67,24,0.23,0.301,120,27,4,52,147,0.409,0.709,43704 ,NYY 
Jeimer Candelario ,495,70,21,75,4,0.253,0.321,125,30,2,50,130,0.452,0.773,5920 d,CIN 
Jarren Duran ,484,71,13,56,26,0.258,0.314,125,31,5,39,136,0.426,0.74,10054 ,BOS 
Isaac Paredes ,479,69,25,79,1,0.243,0.327,116,24,1,60,96,0.455,0.781,10050 ,TB 
Jordan Walker ,485,64,19,66,10,0.266,0.328,129,25,2,44,122,0.441,0.769,43830 ,STL 
Christian Encarnacion-Strand ,417,59,23,72,3,0.265,0.317,111,21,1,31,124,0.488,0.805,45073 ,CIN 
Tommy Edman ,485,71,12,54,26,0.261,0.311,127,26,3,35,86,0.403,0.714,7752 d,STL 
Zack Gelof ,534,73,19,63,21,0.24,0.309,128,29,2,54,172,0.406,0.715,44896 ,OAK 
Lourdes Gurriel Jr. ,496,63,16,70,4,0.278,0.323,138,30,2,33,93,0.446,0.769,6931 d,ARI 
Josh Bell ,525,69,21,74,0,0.256,0.339,135,26,1,66,117,0.431,0.771,4664 d,MIA 
Ryan McMahon ,521,72,22,72,6,0.244,0.324,127,26,2,62,171,0.429,0.754,5009 d,COL 
Brandon Drury ,501,66,23,76,2,0.248,0.293,124,27,2,32,135,0.447,0.74,5607 d,LAA 
Kerry Carpenter ,481,64,21,71,5,0.256,0.31,123,23,3,38,129,0.445,0.755,45596 ,DET 
Jose Abreu ,526,68,18,77,1,0.257,0.317,135,27,1,46,123,0.417,0.733,4594 d,HOU 
Jackson Chourio ,476,61,15,62,22,0.256,0.301,122,23,2,31,114,0.412,0.713,44592 ,MIL 
Jung Hoo Lee ,525,69,10,61,7,0.284,0.344,149,34,4,48,55,0.421,0.765,48275 ,SF 
Starling Marte ,461,64,12,52,28,0.262,0.306,121,20,3,29,101,0.391,0.697,4377 d,NYM 
J.D. Martinez ,449,62,22,75,1,0.253,0.315,114,26,1,40,140,0.465,0.78,4339 d,"LF,DH) FA "
Bryan De La Cruz ,521,63,18,69,4,0.265,0.315,138,28,1,38,128,0.427,0.741,44192 ,MIA 
Kris Bryant ,461,68,18,62,3,0.268,0.337,124,27,1,48,109,0.45,0.787,4934 d,COL 
Austin Hays ,517,69,18,68,4,0.256,0.305,133,30,2,37,126,0.424,0.73,7238 d,BAL 
Esteury Ruiz ,437,59,8,41,52,0.247,0.295,108,23,2,30,101,0.364,0.66,10086 ,OAK 
Jorge Polanco ,492,68,21,70,6,0.244,0.321,120,24,1,55,129,0.427,0.748,5354 d,SEA 
Yainer Diaz ,422,57,21,68,1,0.271,0.304,114,22,1,20,87,0.474,0.778,45200 ,HOU 
Lars Nootbaar ,449,72,18,61,9,0.251,0.352,113,23,2,70,106,0.432,0.785,44339 ,STL 
Vaughn Grissom ,475,65,10,58,11,0.282,0.339,134,28,3,41,88,0.42,0.759,44905 ,BOS 
Zach Neto ,484,69,18,66,9,0.249,0.305,120,26,1,39,126,0.419,0.724,46294 ,LAA 
Matt Chapman ,501,71,23,70,4,0.235,0.321,118,27,2,64,163,0.435,0.756,6315 d,SF 
Brendan Rodgers ,494,64,15,65,0,0.277,0.327,137,28,2,37,106,0.437,0.764,5966 d,COL 
Cal Raleigh ,471,64,27,75,1,0.228,0.298,108,25,1,46,142,0.457,0.755,8457 d,SEA 
Max Kepler ,465,68,21,67,4,0.246,0.323,114,24,2,53,106,0.442,0.765,5357 d,MIN 
James Outman ,457,71,20,66,11,0.233,0.316,106,20,3,56,167,0.42,0.736,44201 ,LAD 
Ty France ,539,70,15,67,1,0.263,0.313,142,29,1,40,102,0.403,0.717,8163 d,SEA 
Jonathan India ,440,69,16,59,11,0.255,0.33,112,24,1,49,108,0.424,0.754,6895 d,CIN 
Noelvi Marte ,441,61,14,58,15,0.266,0.327,117,24,2,40,103,0.423,0.75,8284 d,CIN 
MJ Melendez ,496,71,21,66,5,0.241,0.325,119,27,4,62,146,0.438,0.764,10031 ,KC 
Eugenio Suarez ,524,68,23,78,1,0.232,0.314,121,24,1,63,178,0.411,0.724,5332 d,ARI 
Jeff McNeil ,530,68,9,59,6,0.28,0.329,148,30,2,38,64,0.398,0.727,8027 d,NYM 
Willson Contreras ,420,63,20,64,5,0.253,0.329,106,22,1,48,111,0.453,0.782,5919 d,STL 
Luis Rengifo ,484,64,17,61,9,0.256,0.311,124,20,4,38,96,0.42,0.73,8153 d,LAA 
Jarred Kelenic ,448,64,17,63,14,0.243,0.315,109,26,2,47,139,0.421,0.736,6884 d,ATL 
Joey Meneses ,535,60,17,71,1,0.262,0.308,140,28,1,36,123,0.413,0.721,43684 ,WSH 
Brandon Lowe ,420,64,22,66,6,0.237,0.32,100,20,1,51,125,0.453,0.773,7236 d,TB 
Jack Suwinski ,431,64,23,67,9,0.227,0.327,98,20,2,64,155,0.445,0.772,44698 ,PIT 
Anthony Rizzo ,458,66,22,67,4,0.238,0.312,109,20,1,49,109,0.427,0.739,4307 d,NYY 
Sal Frelick ,492,66,9,57,15,0.266,0.333,131,25,4,49,79,0.383,0.716,44675 ,MIL 
J.P. Crawford ,547,80,13,59,3,0.255,0.346,140,31,1,76,109,0.386,0.732,4950 d,SEA 
Logan O'Hoppe ,404,57,23,64,3,0.251,0.322,101,17,1,42,98,0.467,0.789,43987 ,LAA 
Jake Cronenworth ,520,71,15,67,5,0.248,0.318,129,29,5,54,106,0.405,0.723,7868 d,SD 
Justin Turner ,478,64,16,68,3,0.256,0.32,122,26,0,45,98,0.412,0.732,4261 d,TOR 
Andrew Benintendi ,527,70,9,54,11,0.269,0.336,142,29,2,54,92,0.387,0.723,5972 d,CWS 
Brent Rooker ,473,61,26,70,3,0.229,0.304,108,21,1,51,175,0.438,0.742,7318 d,OAK 
Leody Taveras ,456,62,13,56,16,0.256,0.311,117,24,3,36,113,0.406,0.717,39153 ,TEX 
Sean Murphy ,392,60,20,64,0,0.254,0.332,100,23,1,46,102,0.467,0.798,6609 d,ATL 
Maikel Garcia ,480,64,7,49,21,0.266,0.327,128,26,3,43,108,0.373,0.699,44626 ,KC 
Wyatt Langford ,380,56,16,57,11,0.257,0.328,98,21,2,40,95,0.455,0.784,47238 ,TEX 
Tim Anderson ,504,64,7,46,15,0.278,0.312,140,24,2,25,113,0.372,0.684,4956 d,MIA 
Yoan Moncada ,502,64,17,63,3,0.25,0.317,126,27,1,49,156,0.412,0.729,5679 d,CWS 
Jose Siri ,433,61,20,60,17,0.221,0.268,96,19,3,28,160,0.414,0.682,5727 d,TB 
Gabriel Moreno ,440,55,10,58,6,0.281,0.336,124,24,1,36,89,0.412,0.748,44003 ,ARI 
Edouard Julien ,457,71,15,55,8,0.244,0.356,112,23,1,79,163,0.398,0.753,44887 ,MIN 
Alex Verdugo ,466,64,13,56,4,0.265,0.322,124,26,2,39,81,0.414,0.736,5983 d,NYY 
Francisco Alvarez ,418,58,24,67,2,0.229,0.306,96,17,0,47,123,0.438,0.744,43686 ,NYM 
Charlie Blackmon ,450,63,11,55,4,0.272,0.331,123,24,5,39,83,0.422,0.753,4418 d,COL 
Giancarlo Stanton ,390,54,26,68,0,0.229,0.309,89,14,0,45,130,0.466,0.775,3783 d,NYY 
Keibert Ruiz ,459,53,16,60,2,0.266,0.314,122,25,0,32,54,0.424,0.738,6912 d,WSH 
Joc Pederson ,380,58,18,60,1,0.254,0.337,96,17,3,48,96,0.459,0.797,4769 d,ARI 
Orlando Arcia ,465,62,16,62,2,0.25,0.31,116,22,0,40,99,0.402,0.712,4860 d,ATL 
Tommy Pham ,416,59,14,53,14,0.248,0.325,103,21,2,47,112,0.408,0.733,5584 d,"LF,CF,RF,DH) FA "
Javier Baez ,495,60,15,61,11,0.241,0.278,119,22,3,25,132,0.389,0.667,4606 d,DET 
Luis Garcia ,425,54,11,52,7,0.276,0.319,118,25,3,26,68,0.441,0.76,7507 d,WSH 
Alek Thomas ,453,60,11,55,10,0.258,0.307,117,23,5,32,97,0.403,0.711,8265 d,ARI 
Brendan Donovan ,412,62,10,48,6,0.273,0.35,113,20,1,49,73,0.398,0.748,45005 ,STL 
Jake Fraley ,344,50,14,53,15,0.253,0.335,87,17,1,43,86,0.434,0.769,8083 d,CIN 
Mark Canha ,438,61,12,54,7,0.258,0.335,113,23,2,51,88,0.402,0.737,5670 d,DET 
Jonah Heim ,446,56,18,63,2,0.246,0.307,109,24,1,39,95,0.42,0.727,6457 d,TEX 
Brandon Marsh ,437,59,12,55,12,0.249,0.328,109,23,4,51,152,0.402,0.73,7393 d,PHI 
Nolan Schanuel ,426,68,11,49,3,0.262,0.359,112,19,2,64,81,0.398,0.758,47177 ,LAA 
Mitch Haniger ,430,59,20,63,1,0.233,0.296,100,19,1,38,123,0.421,0.716,6481 d,SEA 
Seth Brown ,428,53,20,63,6,0.232,0.296,99,22,2,39,127,0.435,0.731,30700 ,OAK 
Brenton Doyle ,449,57,14,53,19,0.233,0.274,105,19,4,26,161,0.386,0.661,45599 ,COL 
Hunter Renfroe ,416,54,19,60,1,0.246,0.305,102,24,0,35,99,0.441,0.746,4959 d,KC 
Mitch Garver ,395,55,21,60,1,0.235,0.324,93,17,0,52,117,0.438,0.763,6239 d,SEA 
Michael Conforto ,424,58,15,58,3,0.247,0.333,105,20,0,54,108,0.404,0.737,5812 d,SF 
Colt Keith ,438,56,14,58,3,0.253,0.316,111,24,3,40,110,0.42,0.735,43891 ,DET 
Jackson Holliday ,429,61,9,50,10,0.258,0.342,111,22,3,55,108,0.384,0.726,46268 ,BAL 
DJ LeMahieu ,482,65,12,52,3,0.255,0.334,123,20,2,57,102,0.377,0.711,4417 d,NYY 
Anthony Rendon ,401,56,13,56,3,0.256,0.346,103,23,1,55,79,0.414,0.76,4291 d,LAA 
Ramon Laureano ,417,57,15,53,13,0.233,0.296,97,22,2,37,126,0.4,0.696,6740 d,CLE 
Jesus Sanchez ,400,52,17,57,3,0.248,0.315,99,19,3,39,115,0.437,0.752,6890 d,MIA 
Ryan O'Hearn ,367,48,16,56,3,0.257,0.302,94,18,1,24,96,0.442,0.744,6681 d,BAL 
Gavin Lux ,402,59,10,49,8,0.259,0.332,104,20,4,44,93,0.398,0.731,7421 d,LAD 
Mike Yastrzemski ,415,60,17,56,4,0.23,0.316,96,24,2,52,122,0.42,0.736,8467 d,SF 
LaMonte Wade Jr. ,404,59,16,52,3,0.243,0.342,98,17,2,61,92,0.414,0.756,7573 d,SF 
Luis Campusano ,413,51,14,56,1,0.258,0.308,107,19,1,30,80,0.412,0.719,7455 d,SD 
Masyn Winn ,439,59,10,49,13,0.245,0.301,108,19,3,35,94,0.373,0.674,43906 ,STL 
Harrison Bader ,379,51,11,45,20,0.243,0.291,92,17,2,26,81,0.388,0.679,6480 d,NYM 
Willi Castro ,377,53,10,41,21,0.247,0.297,93,18,3,27,99,0.388,0.685,5997 d,MIN 
Henry Davis ,391,52,14,52,9,0.243,0.325,95,19,2,47,106,0.407,0.732,44666 ,PIT 
Matt Wallner ,388,55,17,57,3,0.231,0.317,90,21,2,49,150,0.423,0.74,43696 ,MIN 
Parker Meadows ,461,61,13,50,13,0.229,0.298,106,20,6,45,125,0.38,0.678,7993 d,DET 
Wilmer Flores ,364,49,16,52,0,0.257,0.326,94,18,1,37,61,0.439,0.765,4257 d,SF 
Ryan Noda ,442,63,18,54,6,0.216,0.328,96,21,1,73,173,0.385,0.713,44240 ,OAK 
Wilyer Abreu ,361,53,13,49,9,0.243,0.335,88,19,1,50,108,0.413,0.748,45630 ,BOS 
Nelson Velazquez ,356,48,18,52,7,0.234,0.295,83,17,1,31,118,0.439,0.735,45006 ,KC 
Andrew McCutchen ,400,55,13,50,8,0.241,0.34,96,20,1,60,101,0.392,0.732,3052 d,PIT 
Adam Duvall ,361,47,20,58,3,0.223,0.277,81,18,1,27,123,0.45,0.727,5317 d,"CF,RF) FA "
Alex Kirilloff ,354,47,13,51,2,0.262,0.323,93,18,1,32,92,0.429,0.752,6414 d,MIN 
Luke Raley ,364,51,16,50,9,0.23,0.289,84,16,1,30,127,0.414,0.703,8040 d,SEA 
Michael Massey ,396,48,13,52,6,0.249,0.295,99,22,1,26,93,0.413,0.708,45756 ,KC 
Carlos Santana ,420,55,16,57,3,0.229,0.322,96,20,1,57,86,0.394,0.715,3162 d,MIN 
Will Benson ,348,55,13,45,15,0.225,0.33,78,16,4,54,128,0.408,0.738,6408 d,CIN 
Danny Jansen ,316,46,18,54,1,0.237,0.305,75,16,0,31,74,0.464,0.769,7237 d,TOR 
Whit Merrifield ,370,48,7,42,17,0.258,0.304,96,19,1,24,68,0.375,0.679,6338 d,PHI 
Elehuris Montero ,343,45,16,51,1,0.253,0.303,87,17,1,24,107,0.448,0.75,39212 ,COL 
Chris Taylor ,358,52,13,49,11,0.232,0.311,83,18,2,41,129,0.402,0.713,4888 d,LAD 
Rowdy Tellez ,355,44,17,55,1,0.241,0.316,86,16,1,39,84,0.438,0.754,5030 d,PIT 
Jordan Westburg ,368,50,12,48,6,0.251,0.311,92,20,2,32,99,0.416,0.727,43831 ,BAL 
Mickey Moniak ,387,49,16,50,6,0.235,0.272,91,18,4,20,131,0.423,0.696,8368 d,LAA 
Bo Naylor ,362,50,15,51,7,0.228,0.324,83,18,2,51,104,0.413,0.737,7925 d,CLE 
Brice Turang ,405,51,8,42,19,0.241,0.31,98,17,3,41,93,0.356,0.666,6817 d,MIL 
Brett Baty ,390,51,14,50,3,0.241,0.308,94,17,0,38,117,0.392,0.7,20757 ,NYM 
Eddie Rosario ,364,44,13,51,5,0.247,0.297,90,17,2,26,86,0.412,0.708,4556 d,"LF,RF) FA "
Tyler Stephenson ,367,48,12,49,1,0.256,0.324,94,19,1,37,103,0.408,0.732,6024 d,CIN 
Davis Schneider ,326,48,15,48,5,0.233,0.329,76,18,1,47,105,0.437,0.766,45729 ,TOR 
Elias Diaz ,384,44,13,51,1,0.253,0.304,97,19,1,28,92,0.408,0.712,5591 d,COL 
Edward Olivares ,330,44,10,40,10,0.262,0.31,86,18,2,23,65,0.424,0.734,7536 d,PIT 
Shea Langeliers ,396,47,18,53,3,0.222,0.281,88,18,2,33,123,0.413,0.694,8246 d,OAK 
Jon Berti ,341,46,6,32,20,0.258,0.323,88,15,2,33,77,0.368,0.691,6776 d,MIA 
Sean Bouchard ,299,44,12,42,6,0.254,0.336,76,18,2,37,92,0.455,0.791,45512 ,COL 
Amed Rosario ,345,45,6,39,10,0.27,0.306,93,16,4,18,66,0.391,0.697,5994 d,TB 
Matt Vierling ,376,48,9,39,8,0.257,0.316,97,17,3,33,85,0.389,0.705,10043 ,DET 
Liover Peguero ,380,46,9,42,14,0.242,0.288,92,17,2,25,98,0.372,0.661,43656 ,PIT 
Joey Gallo ,360,52,22,54,3,0.188,0.306,68,12,1,61,163,0.413,0.718,4711 d,WSH 
Kyle Manzardo ,355,46,14,50,1,0.237,0.319,84,22,1,42,85,0.421,0.739,44758 ,CLE 
Kyle Isbel ,348,47,9,40,10,0.246,0.3,86,20,3,27,80,0.394,0.694,8285 d,KC 
Junior Caminero ,285,38,12,42,3,0.266,0.317,76,11,2,21,64,0.439,0.756,45016 ,TB 
Kevin Kiermaier ,364,49,8,40,11,0.244,0.3,89,19,4,29,93,0.38,0.68,5131 d,TOR 
Johan Rojas ,319,42,5,34,20,0.253,0.291,81,15,3,17,75,0.369,0.66,44203 ,PHI 
Jason Heyward ,324,45,12,42,3,0.246,0.313,80,17,1,31,69,0.414,0.727,3459 d,LAD 
Pete Crow-Armstrong ,294,43,8,36,14,0.249,0.303,73,14,3,23,90,0.403,0.707,23369 ,CHC 
