VBR,Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
1,Mookie Betts ,184,38,11,28,4,0.277,0.356,51,11,1,20,32,0.531,0.888,0.99,0.99,1.0,4921,LAD 
2,Aaron Judge ,129,28,13,29,3,0.295,0.394,38,6,0,20,40,0.65,1.044,0.99,0.99,1.0,4955,NYY 
3,Jose Ramirez ,139,22,8,30,5,0.28,0.361,39,11,1,16,22,0.542,0.902,0.99,0.99,1.0,5288,CLE 
4,Trea Turner ,146,23,6,25,6,0.304,0.347,44,9,1,9,27,0.497,0.844,0.99,0.99,1.0,5828,LAD 
5,Paul Goldschmidt ,128,24,8,26,2,0.315,0.401,40,9,0,18,32,0.582,0.983,0.99,0.99,1.0,4403,STL 
6,Freddie Freeman ,139,25,5,23,3,0.316,0.409,44,11,1,18,26,0.518,0.927,0.99,0.99,1.0,3365,LAD 
7,Pete Alonso ,126,20,9,28,1,0.277,0.364,35,6,0,14,32,0.537,0.901,0.99,0.99,1.0,6960,NYM 
8,Ronald Acuna Jr. ,122,22,6,15,8,0.276,0.375,34,6,0,16,35,0.473,0.848,0.99,0.99,1.0,6966,ATL 
9,Vladimir Guerrero Jr. ,142,22,8,24,1,0.288,0.366,41,8,0,15,25,0.517,0.883,0.99,0.99,1.0,6050,TOR 
10,Yordan Alvarez ,108,22,9,23,0,0.292,0.392,32,5,0,17,30,0.601,0.993,0.99,0.99,1.0,6461,HOU 
11,Rafael Devers ,128,21,8,21,1,0.298,0.364,38,10,0,10,29,0.566,0.93,0.99,0.99,1.0,5175,BOS 
12,Manny Machado ,122,22,6,21,2,0.294,0.371,36,8,0,13,22,0.522,0.893,0.99,0.99,1.0,3778,SD 
13,Francisco Lindor ,130,22,6,23,3,0.267,0.349,35,5,1,14,25,0.457,0.806,0.99,0.99,1.0,4569,NYM 
14,Nolan Arenado ,127,18,8,23,1,0.288,0.359,37,8,0,12,21,0.537,0.896,0.99,0.99,1.0,4350,STL 
15,Kyle Tucker ,116,16,7,23,5,0.258,0.344,30,6,0,14,24,0.484,0.829,0.99,0.99,1.0,6006,HOU 
16,Austin Riley ,128,19,8,21,1,0.287,0.355,37,9,1,10,36,0.563,0.918,0.99,0.99,1.0,6022,ATL 
17,Bo Bichette ,150,21,6,21,3,0.265,0.307,40,9,0,9,31,0.443,0.75,0.99,0.99,0.99,6808,TOR 
18,Julio Rodriguez ,121,18,5,18,6,0.272,0.335,33,6,1,10,30,0.467,0.802,0.96,0.95,0.96,43685,SEA 
19,Adolis Garcia ,131,19,6,21,5,0.248,0.297,33,7,1,8,44,0.449,0.746,0.9,0.92,0.87,6901,TEX 
20,Luis Robert ,117,18,5,19,4,0.294,0.338,34,6,0,6,29,0.477,0.815,0.98,0.98,0.98,6935,CWS 
21,Kyle Schwarber ,123,22,10,21,2,0.218,0.324,27,5,0,18,39,0.503,0.827,0.98,0.97,0.99,5686,PHI 
22,Byron Buxton ,112,20,9,18,3,0.242,0.31,27,6,1,9,30,0.539,0.849,0.98,0.97,0.98,4672,MIN 
23,Dansby Swanson ,129,20,5,17,4,0.283,0.342,36,7,0,11,35,0.45,0.792,0.97,0.96,0.97,5965,ATL 
24,George Springer ,120,21,7,18,3,0.255,0.338,31,5,1,14,29,0.479,0.816,0.99,0.98,0.99,4614,TOR 
25,Mike Trout ,102,20,8,19,1,0.27,0.401,28,6,1,18,28,0.584,0.985,0.99,0.99,1.0,3785,LAA 
26,Teoscar Hernandez ,123,18,7,21,2,0.268,0.325,33,8,0,9,36,0.5,0.824,0.96,0.97,0.94,4846,TOR 
27,Cedric Mullins II ,141,19,4,15,7,0.261,0.322,37,8,0,11,29,0.403,0.725,0.99,0.98,0.99,7400,BAL 
28,C.J. Cron ,127,19,7,23,0,0.273,0.335,35,7,1,10,31,0.505,0.84,0.95,0.94,0.96,4688,COL 
