VBR,Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
1,Mookie Betts ,10,2,1,1,0,0.27,0.342,3,1,0,1,2,0.541,0.883,0.99,0.99,1.0,4921,LAD 
2,Kyle Schwarber ,7,1,1,1,0,0.21,0.31,1,0,0,1,2,0.474,0.784,0.98,0.97,0.99,5686,PHI 
3,Pete Alonso ,7,1,0,2,0,0.266,0.351,2,0,0,1,2,0.507,0.858,0.99,0.99,1.0,6960,NYM 
4,Alejandro Kirk ,5,1,0,1,0,0.29,0.374,2,0,0,1,1,0.43,0.804,0.87,0.85,0.9,43675,TOR 
5,Shohei Ohtani ,7,1,0,1,0,0.267,0.353,2,0,0,1,2,0.527,0.88,0.5,0.0,1.0,7354,LAA 
6,Riley Greene ,6,1,0,1,0,0.249,0.316,2,0,0,1,2,0.383,0.699,0.22,0.31,0.14,19457,DET 
7,Elvis Andrus ,6,1,0,1,0,0.254,0.309,2,0,0,0,1,0.399,0.709,0.41,0.5,0.32,3324,CWS 
8,Jose Iglesias ,6,1,0,1,0,0.297,0.333,2,0,0,0,1,0.398,0.732,0.11,0.13,0.09,3581,COL 
9,Jose Altuve ,6,1,0,1,0,0.294,0.384,2,0,0,1,1,0.516,0.9,0.99,0.98,1.0,4334,HOU 
10,Starling Marte ,6,1,0,1,0,0.287,0.345,2,0,0,0,1,0.46,0.805,0.94,0.95,0.93,4377,NYM 
11,Charlie Blackmon ,6,1,0,1,0,0.26,0.312,2,0,0,0,1,0.415,0.727,0.71,0.6,0.81,4418,COL 
12,George Springer ,6,1,0,1,0,0.258,0.338,2,0,0,1,1,0.454,0.792,0.99,0.98,1.0,4614,TOR 
13,Carlos Correa ,6,1,0,1,0,0.286,0.366,2,0,0,1,1,0.465,0.831,0.96,0.95,0.98,4673,MIN 
14,Teoscar Hernandez ,6,1,0,1,0,0.26,0.314,2,0,0,0,2,0.474,0.788,0.95,0.96,0.93,4846,TOR 
15,Ryan McMahon ,6,1,0,1,0,0.246,0.331,2,0,0,1,2,0.414,0.745,0.64,0.66,0.63,5009,COL 
16,J.T. Realmuto ,6,1,0,1,0,0.272,0.344,2,0,0,1,2,0.476,0.82,0.99,0.98,1.0,5371,PHI 
17,Gio Urshela ,6,1,0,1,0,0.272,0.324,2,0,0,1,1,0.421,0.745,0.34,0.4,0.27,5595,MIN 
18,Brandon Drury ,6,1,0,1,0,0.256,0.31,2,0,0,0,2,0.476,0.786,0.92,0.89,0.95,5607,SD 
19,Mark Canha ,6,1,0,1,0,0.261,0.367,2,0,0,1,2,0.406,0.773,0.56,0.44,0.69,5670,NYM 
20,Andrew Vaughn ,6,1,0,1,0,0.276,0.329,2,0,0,0,1,0.444,0.773,0.71,0.68,0.75,22216,CWS 
21,Brendan Rodgers ,6,1,0,1,0,0.262,0.319,2,0,0,1,1,0.402,0.721,0.54,0.49,0.58,5966,COL 
22,Trey Mancini ,6,1,0,1,0,0.246,0.329,2,0,0,1,2,0.404,0.732,0.72,0.66,0.79,5976,HOU 
23,Kyle Tucker ,6,1,0,1,0,0.261,0.338,2,0,0,1,1,0.487,0.825,0.99,0.99,1.0,6006,HOU 
24,Whit Merrifield ,6,1,0,1,0,0.24,0.293,2,0,0,0,1,0.365,0.658,0.81,0.75,0.86,6338,TOR 
25,Yordan Alvarez ,6,1,0,1,0,0.301,0.407,2,0,0,1,2,0.61,1.017,0.99,0.99,1.0,6461,HOU 
26,Sean Murphy ,6,1,0,1,0,0.252,0.332,2,0,0,1,2,0.436,0.768,0.77,0.74,0.8,6609,OAK 
27,Ha-Seong Kim ,6,1,0,1,0,0.247,0.318,2,0,0,1,1,0.38,0.698,0.17,0.2,0.14,6866,SD 
28,Lourdes Gurriel Jr. ,6,1,0,1,0,0.287,0.339,2,0,0,0,1,0.411,0.75,0.71,0.63,0.79,6931,TOR 
29,Luis Robert ,6,1,0,1,0,0.284,0.327,2,0,0,0,1,0.454,0.781,0.8,0.8,0.79,6935,CWS 
30,Austin Hays ,6,1,0,1,0,0.249,0.307,2,0,0,0,1,0.411,0.718,0.63,0.5,0.76,7238,BAL 
31,Ryan Mountcastle ,6,1,0,1,0,0.248,0.303,2,0,0,0,2,0.427,0.73,0.84,0.83,0.85,7239,BAL 
32,Luis Garcia ,6,1,0,1,0,0.268,0.296,2,0,0,0,1,0.412,0.708,0.04,0.05,0.03,7507,WSH 
33,Will Smith ,6,1,0,1,0,0.263,0.357,2,0,0,1,1,0.478,0.835,0.99,0.98,1.0,7671,LAD 
34,Jeff McNeil ,6,1,0,1,0,0.315,0.372,2,0,0,0,1,0.439,0.81,0.89,0.83,0.95,8027,NYM 
35,Luis Arraez ,6,1,0,1,0,0.312,0.372,2,0,0,1,1,0.417,0.789,0.9,0.84,0.96,8162,MIN 
36,Ty France ,6,1,0,1,0,0.272,0.338,2,0,0,0,1,0.442,0.78,0.94,0.91,0.97,8163,SEA 
37,Julio Rodriguez ,6,1,0,1,0,0.279,0.341,2,0,0,1,2,0.495,0.836,0.92,0.91,0.93,43685,SEA 
38,Jose Miranda ,6,1,0,1,0,0.268,0.322,2,0,0,0,1,0.434,0.756,0.42,0.52,0.32,44244,MIN 
39,Bryce Harper ,3,1,0,1,0,0.283,0.393,1,0,0,1,1,0.538,0.93,0.99,0.99,1.0,4293,PHI 
40,Paul Goldschmidt ,3,1,0,1,0,0.32,0.41,1,0,0,0,1,0.59,1.0,0.99,0.99,1.0,4403,STL 
41,Christian Walker ,3,1,0,1,0,0.234,0.327,1,0,0,0,1,0.479,0.806,0.78,0.77,0.8,4905,ARI 
42,Aaron Judge ,3,1,0,1,0,0.315,0.424,1,0,0,1,1,0.705,1.129,0.99,0.99,1.0,4955,NYY 
43,Jose Ramirez ,3,1,0,1,0,0.276,0.359,1,0,0,0,1,0.512,0.872,0.99,0.99,1.0,5288,CLE 
44,Freddie Freeman ,7,1,0,1,0,0.33,0.417,2,1,0,1,1,0.513,0.93,0.99,0.99,1.0,3365,LAD 
45,Manny Machado ,7,1,0,1,0,0.298,0.376,2,0,0,1,1,0.533,0.909,0.99,0.99,1.0,3778,SD 
46,Jean Segura ,7,1,0,1,0,0.28,0.338,2,0,0,1,1,0.41,0.747,0.64,0.51,0.77,4179,PHI 
47,Francisco Lindor ,7,1,0,1,0,0.274,0.35,2,0,0,1,1,0.452,0.802,0.99,0.99,1.0,4569,NYM 
48,Jurickson Profar ,7,1,0,1,0,0.238,0.329,2,0,0,1,1,0.393,0.721,0.74,0.61,0.87,4581,SD 
49,Jose Abreu ,7,1,0,1,0,0.308,0.384,2,0,0,1,2,0.441,0.825,0.98,0.97,0.98,4594,CWS 
50,Javier Baez ,7,1,0,1,0,0.246,0.289,2,0,0,0,2,0.404,0.694,0.77,0.86,0.69,4606,DET 
51,Nick Castellanos ,7,1,0,1,0,0.266,0.313,2,0,0,0,2,0.409,0.722,0.88,0.87,0.89,4631,PHI 
52,Josh Bell ,7,1,0,1,0,0.269,0.366,2,0,0,1,2,0.428,0.794,0.9,0.85,0.95,4664,SD 
53,Brandon Nimmo ,7,1,0,1,0,0.265,0.358,2,0,0,1,2,0.416,0.774,0.76,0.65,0.87,4685,NYM 
54,C.J. Cron ,7,1,0,1,0,0.266,0.328,2,0,0,1,2,0.487,0.815,0.93,0.92,0.95,4688,COL 
55,Anthony Santander ,7,1,0,1,0,0.248,0.326,2,0,0,1,2,0.452,0.778,0.84,0.77,0.91,4903,BAL 
56,Trea Turner ,7,1,0,1,0,0.298,0.344,2,0,0,0,1,0.467,0.811,0.99,0.99,1.0,5828,LAD 
57,Alex Bregman ,7,1,0,1,0,0.261,0.371,2,0,0,1,1,0.457,0.828,0.98,0.97,1.0,5973,HOU 
58,Vladimir Guerrero Jr. ,7,1,0,1,0,0.273,0.341,2,0,0,1,1,0.47,0.811,0.99,0.99,1.0,6050,TOR 
59,Yuli Gurriel ,7,1,0,1,0,0.243,0.291,2,0,0,0,1,0.366,0.657,0.55,0.43,0.67,6438,HOU 
60,Mitch Haniger ,7,1,0,1,0,0.238,0.311,2,0,0,1,2,0.429,0.74,0.7,0.69,0.72,6481,SEA 
61,Rhys Hoskins ,7,1,0,1,0,0.249,0.336,2,0,0,1,2,0.469,0.805,0.92,0.91,0.94,6744,PHI 
62,Bo Bichette ,7,1,0,1,0,0.284,0.328,2,1,0,0,2,0.47,0.797,0.99,0.99,1.0,6808,TOR 
63,Cedric Mullins II ,7,1,0,1,0,0.26,0.321,2,0,0,1,2,0.401,0.722,0.98,0.97,0.99,7400,BAL 
64,Jake Cronenworth ,7,1,0,1,0,0.234,0.335,2,0,0,1,1,0.377,0.712,0.94,0.9,0.98,7868,SD 
65,Alec Bohm ,7,1,0,1,0,0.289,0.324,2,0,0,0,2,0.411,0.735,0.61,0.68,0.54,7921,PHI 
66,Luis Rengifo ,7,1,0,1,0,0.266,0.304,2,0,0,0,1,0.43,0.734,0.42,0.55,0.29,8153,LAA 
67,Jeremy Pena ,7,1,0,1,0,0.242,0.282,2,0,0,0,2,0.402,0.684,0.49,0.53,0.44,43642,HOU 
68,Joey Meneses ,7,1,0,1,0,0.272,0.33,2,0,0,1,0,0.471,0.801,0.59,0.65,0.53,43684,WSH 
69,Darin Ruf ,4,1,0,1,0,0.221,0.346,1,0,0,1,1,0.379,0.725,0.02,0.02,0.02,4616,NYM 
