VBR,Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
1,Ronald Acuna Jr. ,413,81,20,58,34,0.29,0.387,120,26,1,56,116,0.503,0.89,0.99,0.99,1.0,6966,ATL 
2,Aaron Judge ,392,74,29,74,8,0.278,0.389,109,19,1,63,122,0.553,0.942,0.99,0.99,1.0,4955,NYY 
3,Vladimir Guerrero Jr. ,438,73,24,73,6,0.295,0.378,129,24,1,49,77,0.519,0.897,0.99,0.99,1.0,6050,TOR 
4,Bo Bichette ,461,69,19,67,13,0.297,0.342,137,25,1,29,102,0.483,0.824,0.99,0.99,1.0,6808,TOR 
5,Shohei Ohtani ,397,71,25,65,17,0.274,0.367,109,19,4,50,114,0.527,0.894,0.5,0.0,1.0,7354,LAA 
6,Freddie Freeman ,432,75,17,62,9,0.306,0.397,132,27,1,57,73,0.492,0.888,0.99,0.99,1.0,3365,LAD 
7,Jose Ramirez ,428,68,19,71,20,0.274,0.363,117,28,3,52,63,0.488,0.852,0.99,0.99,1.0,5288,CLE 
8,Pete Alonso ,428,68,30,85,2,0.257,0.348,110,17,1,46,97,0.507,0.855,0.99,0.99,1.0,6960,NYM 
9,Mike Trout ,388,72,28,71,2,0.274,0.384,106,23,2,58,125,0.561,0.945,0.99,0.99,1.0,3785,LAA 
10,Yordan Alvarez ,369,65,25,79,0,0.286,0.388,106,22,1,52,90,0.554,0.941,0.99,0.99,1.0,6461,HOU 
11,Kyle Tucker ,419,63,21,69,18,0.272,0.35,114,22,2,48,79,0.484,0.834,0.99,0.99,1.0,6006,HOU 
12,Julio Rodriguez ,430,69,20,59,21,0.27,0.341,116,23,3,37,114,0.48,0.822,0.99,0.99,0.99,43685,SEA 
13,Rafael Devers ,429,67,26,77,3,0.27,0.34,116,25,1,39,90,0.517,0.857,0.99,0.99,1.0,5175,BOS 
14,Trea Turner ,462,71,14,52,23,0.283,0.333,131,23,5,32,88,0.443,0.776,0.99,0.99,1.0,5828,PHI 
15,Randy Arozarena ,405,65,17,63,22,0.272,0.345,110,20,3,36,110,0.46,0.806,0.99,0.99,0.99,6962,TB 
16,Paul Goldschmidt ,419,68,21,66,7,0.281,0.37,118,25,1,56,103,0.493,0.863,0.99,0.99,1.0,4403,STL 
17,Mookie Betts ,415,74,21,62,10,0.268,0.356,111,27,2,52,80,0.494,0.85,0.99,0.99,1.0,4921,LAD 
