VBR,Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
1,Ronald Acuna Jr. ,525,115,31,87,47,0.307,0.401,161,30,2,73,100,0.552,0.952,0.99,0.99,1.0,6966 d,ATL 
2,Shohei Ohtani ,495,97,35,97,18,0.28,0.39,139,28,5,77,136,0.565,0.956,1.0,0.0,1.0,7354 d,LAD 
3,Bobby Witt Jr. ,548,92,27,84,37,0.282,0.333,155,31,7,37,110,0.511,0.844,0.99,0.99,1.0,6810 d,KC 
4,Fernando Tatis Jr. ,522,93,32,89,24,0.277,0.352,145,29,2,57,126,0.525,0.877,0.99,0.99,1.0,6853 d,SD 
5,Aaron Judge ,482,94,40,102,6,0.27,0.398,130,22,0,92,153,0.565,0.963,0.99,0.99,1.0,4955 d,NYY 
6,Mookie Betts ,514,101,30,87,12,0.284,0.383,146,32,2,77,94,0.527,0.91,0.99,0.99,1.0,4921 d,LAD 
7,Kyle Tucker ,522,88,28,93,22,0.278,0.365,145,30,3,66,89,0.509,0.875,0.99,0.99,1.0,6006 d,HOU 
8,Yordan Alvarez ,462,90,34,95,1,0.299,0.404,138,27,2,71,102,0.585,0.989,0.99,0.99,1.0,6461 d,HOU 
9,Juan Soto ,480,98,32,90,10,0.28,0.428,135,24,1,116,97,0.535,0.964,0.99,0.99,1.0,6906 d,NYY 
10,Julio Rodriguez ,540,87,26,80,28,0.274,0.342,148,29,2,45,142,0.483,0.825,0.98,0.99,0.97,43685 ,SEA 
11,Corbin Carroll ,523,91,19,72,39,0.272,0.354,142,27,7,58,117,0.462,0.816,0.99,0.99,1.0,23993 ,ARI 
12,Freddie Freeman ,518,91,21,83,12,0.299,0.393,155,34,2,67,97,0.495,0.888,0.99,0.99,1.0,3365 d,LAD 
13,Austin Riley ,543,89,32,96,2,0.277,0.35,150,29,2,52,146,0.514,0.864,0.99,0.99,0.99,6022 d,ATL 
14,Matt Olson ,517,91,35,101,1,0.264,0.37,136,27,1,78,136,0.527,0.896,0.99,0.99,1.0,5718 d,ATL 
15,Rafael Devers ,526,86,31,91,4,0.279,0.361,147,32,1,56,110,0.518,0.878,0.99,0.99,1.0,5175 d,BOS 
16,Jose Ramirez ,520,82,24,85,20,0.275,0.363,143,32,4,59,69,0.49,0.853,0.99,0.99,1.0,5288 d,CLE 
17,Vladimir Guerrero Jr. ,518,84,28,86,5,0.28,0.366,145,28,1,62,88,0.501,0.867,0.99,0.99,0.99,6050 d,TOR 
18,Mike Trout ,480,86,34,88,4,0.262,0.368,126,23,3,69,151,0.534,0.902,0.99,0.99,0.99,3785 d,LAA 
19,Trea Turner ,549,84,19,73,25,0.279,0.333,153,30,3,42,121,0.453,0.786,0.99,0.99,0.98,5828 d,PHI 
20,Pete Alonso ,514,81,36,98,3,0.247,0.345,127,21,1,60,127,0.504,0.849,0.99,0.99,0.98,6960 d,NYM 
21,Ozzie Albies ,526,84,24,81,12,0.274,0.33,144,30,3,41,95,0.477,0.807,0.99,0.99,1.0,5980 d,ATL 
22,Bryce Harper ,471,81,25,81,11,0.278,0.393,131,29,1,78,120,0.508,0.901,0.99,0.99,0.99,4293 d,PHI 
23,Michael Harris II ,517,79,20,74,20,0.283,0.331,146,31,3,32,113,0.471,0.802,0.98,0.99,0.97,43924 ,ATL 
24,Gunnar Henderson ,528,89,25,79,13,0.259,0.339,137,26,6,60,147,0.475,0.814,0.99,0.99,0.99,23372 ,BAL 
25,Jose Altuve ,502,88,22,70,12,0.278,0.357,140,28,1,57,89,0.473,0.829,0.99,0.99,0.99,4334 d,HOU 
26,Corey Seager ,466,78,25,79,2,0.291,0.374,136,29,1,53,84,0.52,0.894,0.99,0.99,0.99,4805 d,TEX 
27,Marcus Semien ,542,88,23,76,13,0.263,0.333,142,30,3,56,95,0.454,0.787,0.99,0.99,1.0,4544 d,TEX 
28,Bo Bichette ,532,75,19,76,11,0.287,0.331,153,31,2,33,109,0.461,0.792,0.95,0.98,0.93,6808 d,TOR 
29,Manny Machado ,515,76,27,86,5,0.265,0.34,137,25,1,54,109,0.472,0.812,0.99,0.99,0.99,3778 d,SD 
30,Elly De La Cruz ,491,75,20,69,34,0.248,0.312,122,24,5,43,168,0.444,0.757,0.98,0.99,0.97,44884 ,CIN 
31,Adolis Garcia ,500,76,28,84,13,0.245,0.313,122,24,2,44,155,0.466,0.779,0.97,0.99,0.96,6901 d,TEX 
32,Randy Arozarena ,506,79,21,70,23,0.254,0.344,129,26,2,58,140,0.436,0.779,0.95,0.98,0.91,6962 d,TB 
33,Francisco Lindor ,524,79,23,76,18,0.249,0.33,131,25,2,56,109,0.435,0.765,0.97,0.99,0.95,4569 d,NYM 
34,Kyle Schwarber ,494,88,35,86,4,0.223,0.349,110,18,1,90,171,0.479,0.828,0.97,0.98,0.96,5686 d,PHI 
35,Cody Bellinger ,516,76,22,77,15,0.258,0.331,133,25,2,50,111,0.442,0.773,0.96,0.98,0.94,6045 d,CHC 
36,Teoscar Hernandez ,484,70,26,82,7,0.262,0.317,127,24,1,34,152,0.477,0.794,0.91,0.96,0.86,4846 d,LAD 
37,Jazz Chisholm Jr. ,481,73,23,69,28,0.243,0.314,117,20,3,46,150,0.442,0.756,0.81,0.97,0.65,8449 d,MIA 
38,Marcell Ozuna ,480,71,29,85,1,0.258,0.328,124,22,1,47,121,0.49,0.818,0.93,0.95,0.92,4726 d,ATL 
39,Josh Naylor ,478,65,21,80,7,0.279,0.35,134,29,0,43,75,0.474,0.824,0.88,0.92,0.83,6054 d,CLE 
40,Ketel Marte ,515,81,19,71,7,0.273,0.353,141,31,4,59,99,0.46,0.813,0.97,0.96,0.99,5179 d,ARI 
41,Andres Gimenez ,522,74,15,65,25,0.266,0.331,139,28,4,33,107,0.418,0.748,0.85,0.91,0.78,7049 d,CLE 
42,Paul Goldschmidt ,518,80,22,76,7,0.26,0.354,135,26,1,71,137,0.441,0.795,0.95,0.97,0.94,4403 d,STL 
43,Tyler O'Neill ,452,72,25,73,12,0.255,0.34,116,21,1,52,136,0.473,0.813,0.81,0.88,0.73,5050 d,BOS 
44,Christian Walker ,513,74,25,84,5,0.253,0.337,130,26,2,59,123,0.455,0.792,0.95,0.97,0.94,4905 d,ARI 
45,Gleyber Torres ,508,74,20,70,13,0.265,0.337,135,24,1,54,100,0.437,0.774,0.86,0.92,0.8,5133 d,NYY 
46,CJ Abrams ,507,73,16,58,33,0.255,0.307,129,26,5,29,102,0.417,0.725,0.89,0.97,0.81,19879 ,WSH 
47,Nolan Jones ,476,73,20,70,15,0.261,0.354,124,26,3,63,161,0.455,0.809,0.8,0.94,0.66,10128 ,COL 
48,Dansby Swanson ,527,76,21,73,11,0.255,0.326,134,25,2,53,143,0.43,0.756,0.88,0.94,0.83,5965 d,CHC 
49,Nolan Arenado ,534,67,22,84,4,0.26,0.322,139,29,1,43,87,0.445,0.766,0.94,0.96,0.93,4350 d,STL 
50,Christian Yelich ,461,75,17,63,18,0.262,0.368,121,23,2,71,122,0.431,0.799,0.96,0.98,0.94,4596 d,MIL 
51,Willy Adames ,512,73,25,80,6,0.246,0.327,126,27,1,58,146,0.448,0.775,0.69,0.81,0.57,5988 d,MIL 
52,Nico Hoerner ,518,72,8,56,26,0.278,0.343,144,24,3,43,71,0.385,0.728,0.87,0.91,0.83,7934 d,CHC 
53,Taylor Ward ,454,70,21,70,6,0.268,0.346,122,24,1,50,108,0.463,0.809,0.63,0.79,0.47,6071 d,LAA 
54,Alex Bregman ,503,78,19,76,2,0.263,0.364,132,28,2,74,73,0.441,0.805,0.95,0.96,0.94,5973 d,HOU 
55,Triston Casas ,471,73,25,78,1,0.253,0.361,119,23,2,75,131,0.469,0.83,0.85,0.94,0.75,6997 d,BOS 
56,Anthony Santander ,517,71,26,82,3,0.245,0.312,127,27,1,44,124,0.453,0.765,0.88,0.89,0.86,4903 d,BAL 
57,George Springer ,494,76,20,65,13,0.254,0.331,126,23,2,53,102,0.43,0.761,0.92,0.93,0.92,4614 d,TOR 
58,William Contreras ,461,70,20,68,4,0.274,0.353,126,25,1,53,116,0.461,0.814,0.98,0.98,0.99,7659 d,MIL 
59,Christian Encarnacion-Strand ,461,63,24,78,3,0.26,0.316,120,24,2,32,135,0.473,0.789,0.52,0.83,0.22,45073 ,CIN 
60,Oneil Cruz ,476,72,21,66,18,0.244,0.316,116,21,3,47,152,0.438,0.754,0.82,0.97,0.67,39199 ,PIT 
61,Xander Bogaerts ,499,73,15,62,10,0.272,0.344,136,27,1,51,97,0.421,0.765,0.94,0.96,0.93,4347 d,SD 
62,Lane Thomas ,514,71,20,67,16,0.247,0.308,127,27,3,42,137,0.423,0.731,0.74,0.92,0.56,8293 d,WSH 
63,Anthony Volpe ,502,74,18,64,24,0.236,0.313,119,27,3,51,135,0.411,0.724,0.89,0.95,0.83,43704 ,NYY 
64,Ezequiel Tovar ,523,70,16,66,12,0.264,0.306,138,29,3,28,136,0.425,0.731,0.51,0.81,0.22,45000 ,COL 
65,Spencer Steer ,474,68,19,72,9,0.257,0.341,122,28,2,53,112,0.445,0.786,0.97,0.98,0.95,44364 ,CIN 
66,Yandy Diaz ,484,75,15,62,2,0.282,0.371,136,26,1,66,83,0.434,0.805,0.93,0.93,0.93,6677 d,TB 
67,Vinnie Pasquantino ,456,66,19,70,1,0.275,0.359,125,29,2,55,66,0.473,0.832,0.66,0.74,0.58,44894 ,KC 
68,Ryan Mountcastle ,464,64,21,71,3,0.265,0.327,123,22,1,41,119,0.451,0.779,0.5,0.73,0.28,7239 d,BAL 
69,Bryan Reynolds ,459,68,18,65,7,0.266,0.349,122,24,3,51,110,0.448,0.797,0.96,0.96,0.96,6818 d,PIT 
70,Ian Happ ,512,76,18,67,10,0.249,0.346,127,27,3,72,138,0.416,0.763,0.84,0.84,0.83,6008 d,CHC 
71,Jorge Soler ,473,69,27,76,1,0.239,0.334,113,22,0,62,134,0.456,0.791,0.77,0.84,0.7,4495 d,SF 
72,Rhys Hoskins ,483,71,25,76,3,0.238,0.336,115,26,1,67,137,0.455,0.79,0.58,0.78,0.38,6744 d,MIL 
73,Masataka Yoshida ,458,63,14,65,4,0.286,0.356,131,26,2,43,65,0.441,0.797,0.74,0.77,0.72,46547 ,BOS 
74,Spencer Torkelson ,513,73,24,76,2,0.24,0.326,123,28,1,60,135,0.442,0.768,0.72,0.85,0.6,43877 ,DET 
75,Cedric Mullins II ,457,65,17,59,23,0.247,0.314,113,22,3,41,104,0.418,0.732,0.8,0.89,0.72,7400 d,BAL 
76,Lourdes Gurriel Jr. ,459,60,16,67,5,0.279,0.329,128,27,2,31,86,0.45,0.779,0.92,0.9,0.93,6931 d,ARI 
77,Jeremy Pena ,508,68,14,62,13,0.264,0.315,134,24,2,33,112,0.405,0.72,0.57,0.74,0.41,43642 ,HOU 
78,Starling Marte ,468,66,11,51,27,0.261,0.319,122,20,2,31,103,0.387,0.706,0.4,0.64,0.17,4377 d,NYM 
79,Seiya Suzuki ,413,64,18,61,7,0.27,0.354,112,22,2,50,108,0.466,0.82,0.89,0.93,0.86,6973 d,CHC 
80,Brandon Nimmo ,489,78,16,60,4,0.265,0.361,129,25,4,67,113,0.434,0.795,0.79,0.78,0.8,4685 d,NYM 
81,Christopher Morel ,433,64,23,69,9,0.243,0.309,105,19,3,40,139,0.46,0.769,0.75,0.9,0.6,44057 ,CHC 
82,Nick Castellanos ,511,64,19,73,6,0.255,0.305,130,28,1,35,139,0.428,0.734,0.79,0.9,0.68,4631 d,PHI 
83,Luis Arraez ,490,67,6,51,3,0.312,0.372,153,25,4,42,37,0.413,0.786,0.92,0.91,0.93,8162 d,MIA 
84,Wyatt Langford ,464,65,16,66,11,0.259,0.336,120,26,4,48,108,0.435,0.77,0.76,0.9,0.61,47238 ,TEX 
85,Jarren Duran ,443,66,12,51,25,0.26,0.322,115,26,4,36,122,0.417,0.739,0.63,0.85,0.41,10054 ,BOS 
86,Nathaniel Lowe ,461,66,17,65,2,0.27,0.357,125,23,2,58,118,0.438,0.794,0.43,0.66,0.19,7914 d,TEX 
87,Salvador Perez ,454,56,23,75,0,0.259,0.306,118,20,1,20,112,0.457,0.763,0.91,0.95,0.86,4147 d,KC 
88,Jackson Chourio ,478,62,15,59,22,0.252,0.298,120,22,2,30,117,0.403,0.701,0.65,0.89,0.4,44592 ,MIL 
89,Riley Greene ,481,70,16,58,7,0.266,0.342,128,23,4,52,137,0.43,0.771,0.56,0.84,0.29,19457 ,DET 
90,Steven Kwan ,524,75,6,51,15,0.277,0.348,145,26,5,54,62,0.379,0.727,0.89,0.82,0.96,44349 ,CLE 
91,Adley Rutschman ,456,71,16,61,2,0.269,0.368,123,27,1,66,83,0.436,0.804,0.99,0.99,1.0,8022 d,BAL 
92,Royce Lewis ,379,57,19,60,10,0.266,0.331,101,20,1,34,95,0.475,0.806,0.87,0.94,0.8,6967 d,MIN 
93,Alec Bohm ,495,63,14,68,4,0.27,0.329,134,25,2,40,94,0.413,0.741,0.79,0.87,0.71,7921 d,PHI 
