VBR,Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
1,Ronald Acuna Jr. ,448,87,22,64,34,0.286,0.382,128,26,1,59,125,0.494,0.876,0.99,0.99,1.0,6966,ATL 
2,Aaron Judge ,439,85,34,83,9,0.282,0.395,124,20,1,73,137,0.565,0.961,0.99,0.99,1.0,4955,NYY 
3,Vladimir Guerrero Jr. ,477,80,26,81,6,0.302,0.384,144,25,1,55,84,0.52,0.905,0.99,0.99,1.0,6050,TOR 
4,Trea Turner ,494,81,15,60,27,0.296,0.349,146,26,5,37,95,0.46,0.809,0.99,0.99,1.0,5828,PHI 
5,Freddie Freeman ,471,83,19,70,8,0.309,0.401,145,30,1,63,80,0.502,0.903,0.99,0.99,1.0,3365,LAD 
6,Jose Ramirez ,467,75,21,77,23,0.275,0.366,128,30,4,58,68,0.493,0.859,0.99,0.99,1.0,5288,CLE 
7,Shohei Ohtani ,429,78,26,71,17,0.274,0.372,117,21,4,57,124,0.522,0.893,0.5,0.0,1.0,7354,LAA 
8,Bo Bichette ,503,75,20,70,14,0.296,0.34,149,29,1,31,111,0.479,0.819,0.99,0.99,0.99,6808,TOR 
9,Pete Alonso ,466,75,32,89,3,0.264,0.358,123,19,1,54,107,0.516,0.874,0.99,0.99,1.0,6960,NYM 
10,Kyle Tucker ,458,70,24,76,20,0.274,0.354,126,26,2,53,86,0.499,0.853,0.99,0.99,1.0,6006,HOU 
11,Yordan Alvarez ,412,73,28,87,0,0.288,0.387,119,25,1,57,100,0.557,0.943,0.99,0.99,1.0,6461,HOU 
12,Julio Rodriguez ,474,78,22,67,23,0.273,0.344,129,26,4,41,126,0.485,0.829,0.99,0.99,1.0,43685,SEA 
13,Fernando Tatis Jr. ,368,71,26,68,20,0.278,0.361,102,20,2,43,109,0.552,0.913,0.99,0.99,0.99,6853,SD 
