VBR,Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
1,Ronald Acuna Jr. ,102,22,6,16,9,0.311,0.403,32,6,0,14,20,0.549,0.952,0.99,0.99,1.0,6966,ATL 
2,Freddie Freeman ,105,20,5,18,2,0.317,0.404,33,7,0,13,18,0.536,0.94,0.99,0.99,1.0,3365,LAD 
3,Shohei Ohtani ,96,19,7,18,4,0.287,0.394,27,5,1,14,28,0.594,0.988,0.5,0.0,1.0,7354,LAA 
4,Aaron Judge ,90,18,8,19,2,0.285,0.406,26,4,0,17,29,0.6,1.006,0.99,0.99,1.0,4955,NYY 
5,Mookie Betts ,105,21,6,18,2,0.292,0.375,31,7,1,14,19,0.553,0.928,0.99,0.99,1.0,4921,LAD 
6,Fernando Tatis Jr. ,98,18,6,16,5,0.283,0.355,28,6,0,10,25,0.53,0.885,0.99,0.99,1.0,6853,SD 
7,Julio Rodriguez ,106,18,5,16,6,0.281,0.349,30,6,1,9,29,0.496,0.845,0.99,0.99,0.99,43685,SEA 
8,Kyle Tucker ,95,16,5,18,4,0.285,0.368,27,6,0,12,16,0.511,0.879,0.99,0.99,1.0,6006,HOU 
9,Jose Ramirez ,100,17,5,17,4,0.282,0.374,28,6,1,12,13,0.518,0.892,0.99,0.99,1.0,5288,CLE 
10,Bobby Witt Jr. ,98,15,5,15,6,0.276,0.32,27,5,1,6,21,0.49,0.81,0.99,0.99,0.99,6810,KC 
11,Trea Turner ,108,17,4,14,5,0.284,0.337,31,6,1,8,24,0.47,0.807,0.98,0.99,0.98,5828,PHI 
12,Luis Robert Jr. ,99,16,6,16,3,0.282,0.339,28,6,0,6,27,0.524,0.864,0.98,0.99,0.96,6935,CWS 
13,Corey Seager ,96,17,6,17,0,0.299,0.376,29,6,0,11,18,0.549,0.925,0.99,0.99,0.99,4805,TEX 
14,Yordan Alvarez ,85,16,6,19,0,0.298,0.399,25,5,0,13,20,0.579,0.978,0.99,0.99,1.0,6461,HOU 
15,Rafael Devers ,100,16,6,18,1,0.282,0.352,28,6,0,9,21,0.525,0.877,0.99,0.99,1.0,5175,BOS 
16,Bryce Harper ,94,16,5,16,2,0.288,0.393,27,6,0,14,24,0.511,0.904,0.95,0.96,0.95,4293,PHI 
17,Corbin Carroll ,94,16,4,14,6,0.267,0.346,25,5,1,10,24,0.479,0.824,0.99,0.99,0.99,23993,ARI 
18,Matt Olson ,100,18,7,20,0,0.261,0.367,26,5,0,15,27,0.538,0.905,0.99,0.99,1.0,5718,ATL 
19,Austin Riley ,105,17,6,19,0,0.278,0.347,29,6,0,9,27,0.514,0.861,0.99,0.99,0.98,6022,ATL 
20,Vladimir Guerrero Jr. ,97,15,5,17,1,0.285,0.364,28,5,0,11,16,0.504,0.868,0.99,0.99,1.0,6050,TOR 
21,Michael Harris II ,98,15,3,13,5,0.283,0.328,28,6,1,6,22,0.467,0.796,0.91,0.95,0.87,43924,ATL 
22,Ozzie Albies ,101,16,5,16,2,0.275,0.327,28,6,1,7,19,0.499,0.826,0.99,0.99,0.99,5980,ATL 
23,Paul Goldschmidt ,98,16,5,16,2,0.276,0.366,27,5,0,13,25,0.477,0.843,0.99,0.99,1.0,4403,STL 
24,Randy Arozarena ,96,15,4,15,5,0.263,0.347,25,5,0,11,27,0.448,0.795,0.98,0.98,0.98,6962,TB 
25,Juan Soto ,87,17,5,16,1,0.273,0.427,24,4,0,22,18,0.503,0.93,0.99,0.99,1.0,6906,SD 
26,Pete Alonso ,97,16,7,19,1,0.248,0.342,24,4,0,11,24,0.51,0.853,0.99,0.99,0.99,6960,NYM 
27,Jose Altuve ,93,17,4,12,3,0.279,0.356,26,5,0,11,17,0.462,0.819,0.96,0.95,0.96,4334,HOU 
28,Francisco Lindor ,99,16,5,15,4,0.254,0.33,25,5,0,10,22,0.455,0.785,0.99,0.99,0.99,4569,NYM 
29,Marcus Semien ,104,17,4,14,3,0.266,0.337,28,6,1,11,19,0.463,0.8,0.99,0.99,1.0,4544,TEX 
30,Cody Bellinger ,95,15,4,15,4,0.265,0.333,25,5,1,9,21,0.465,0.798,0.96,0.95,0.96,6045,CHC 
