Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
Robinson Chirinos ,198,24,8,25,1,0.214,0.288,42,9,1,21,68,0.387,0.675,0.0,0.0,0.0,3866,BAL 
Nolan Gorman ,162,20,6,21,1,0.249,0.293,40,8,0,10,41,0.423,0.717,0.47,0.64,0.31,7471,STL 
Jose Trevino ,200,22,5,24,1,0.241,0.278,48,10,0,10,42,0.366,0.645,0.01,0.01,0.01,7023,NYY 
Colton Welker ,152,20,5,20,1,0.258,0.314,39,8,1,12,37,0.425,0.738,0.0,0.0,0.0,7250,COL 
Mickey Moniak ,178,22,6,23,2,0.223,0.276,40,8,2,13,54,0.398,0.674,0.01,0.02,0.01,8368,PHI 
Stephen Vogt ,247,26,8,29,0,0.207,0.28,51,12,1,25,67,0.355,0.636,0.0,0.0,0.0,4087,OAK 
Sergio Alcantara ,202,25,4,19,3,0.233,0.315,47,8,2,24,57,0.35,0.665,0.0,0.0,0.0,5710,SD 
Jon Berti ,142,21,3,14,6,0.242,0.322,34,6,1,17,37,0.354,0.676,0.01,0.02,0.0,6776,MIA 
Lewin Diaz ,144,18,7,21,0,0.238,0.285,34,7,0,9,35,0.445,0.73,0.0,0.0,0.0,26308,MIA 
Brian Goodwin ,160,21,5,20,2,0.229,0.305,37,8,1,17,49,0.394,0.699,0.0,0.0,0.0,4686,"CF,RF) FA "
Greg Allen ,140,19,3,13,7,0.244,0.299,34,7,1,11,35,0.368,0.667,0.0,0.0,0.0,6777,PIT 
Starlin Castro ,150,17,4,19,0,0.271,0.316,41,8,1,10,29,0.407,0.723,0.0,0.0,0.0,3939,3B) FA 
Jose Rojas ,137,19,6,18,2,0.236,0.301,32,8,0,13,37,0.422,0.723,0.0,0.0,0.0,8617,LAA 
Leody Taveras ,148,19,4,16,6,0.226,0.292,34,7,1,14,44,0.376,0.668,0.0,0.0,0.0,39153,TEX 
Ben Rortvedt ,181,22,7,22,0,0.219,0.281,40,7,0,16,54,0.37,0.651,0.0,0.0,0.0,8534,NYY 
Andrew Knizner ,173,21,5,19,1,0.236,0.299,41,8,0,16,39,0.361,0.66,0.01,0.01,0.01,7107,STL 
Dee Strange-Gordon ,157,18,3,15,4,0.255,0.295,40,7,1,9,27,0.363,0.659,0.0,0.0,0.0,3287,WSH 
Edward Olivares ,125,16,4,16,3,0.257,0.305,32,6,1,9,27,0.421,0.726,0.02,0.03,0.01,7536,KC 
Yonathan Daza ,148,17,2,15,2,0.277,0.319,41,8,1,9,28,0.383,0.702,0.02,0.03,0.01,7667,COL 
Orlando Arcia ,136,17,4,17,2,0.251,0.306,34,6,0,11,27,0.391,0.697,0.0,0.0,0.0,4860,ATL 
Cooper Hummel ,134,19,5,17,1,0.239,0.331,32,6,1,18,38,0.41,0.742,0.0,0.0,0.0,44594,ARI 
Eric Thames ,154,19,7,19,1,0.213,0.291,33,7,0,17,54,0.39,0.681,0.0,0.0,0.0,3334,"1B,RF) FA "
Jack Mayfield ,128,16,5,18,2,0.236,0.287,30,7,0,9,31,0.412,0.699,0.0,0.0,0.0,7625,LAA 
Tomas Nido ,196,20,5,22,1,0.225,0.261,44,9,1,10,54,0.357,0.618,0.0,0.0,0.0,6539,NYM 
Kurt Suzuki ,170,19,5,20,0,0.237,0.286,40,8,0,12,35,0.378,0.664,0.0,0.0,0.0,3650,LAA 
Aramis Garcia ,152,18,6,19,1,0.221,0.27,34,7,0,10,50,0.386,0.656,0.0,0.0,0.0,6199,CIN 
Owen Miller ,157,18,4,17,1,0.247,0.295,39,8,1,11,40,0.381,0.676,0.62,0.57,0.67,10063,CLE 
Geraldo Perdomo ,158,20,3,15,3,0.239,0.313,38,7,1,17,39,0.358,0.671,0.01,0.01,0.0,43732,ARI 
Jason Castro ,143,20,6,19,0,0.216,0.313,31,6,0,20,52,0.393,0.706,0.0,0.0,0.0,3454,HOU 
David Bote ,124,16,5,17,1,0.233,0.306,29,5,1,13,33,0.403,0.709,0.0,0.0,0.0,7663,CHC 
Juan Yepez ,100,14,5,15,1,0.247,0.311,25,5,0,9,24,0.449,0.759,0.38,0.51,0.25,44924,STL 
Harold Castro ,155,16,2,16,1,0.265,0.299,41,7,1,7,35,0.364,0.663,0.01,0.01,0.0,5033,DET 
Khris Davis ,109,15,6,17,0,0.228,0.293,25,5,0,10,33,0.432,0.724,0.0,0.0,0.0,4800,DH) FA 
Charlie Culberson ,131,15,4,15,3,0.24,0.29,31,6,1,9,35,0.386,0.676,0.0,0.0,0.0,4462,TEX 
Travis Swaggerty ,121,15,4,13,3,0.242,0.31,29,5,1,12,33,0.387,0.697,0.0,0.0,0.0,7500,PIT 
Eli White ,151,19,4,15,3,0.217,0.28,33,6,1,13,49,0.347,0.627,0.02,0.03,0.01,8216,TEX 
Adam Eaton ,122,17,3,13,2,0.246,0.315,30,6,1,12,29,0.378,0.693,0.0,0.0,0.0,4635,RF) FA 
Gosuke Katoh ,116,16,3,13,2,0.249,0.317,29,6,0,11,29,0.394,0.71,0.0,0.0,0.0,9966,NYM 
Luis Guillorme ,127,16,3,13,1,0.261,0.349,33,6,0,17,26,0.368,0.718,0.01,0.02,0.01,6758,NYM 
Josh VanMeter ,124,16,4,15,2,0.229,0.311,28,7,1,15,35,0.395,0.705,0.0,0.0,0.0,6641,PIT 
Tim Locastro ,103,15,2,10,5,0.238,0.287,25,5,1,7,23,0.357,0.644,0.0,0.0,0.0,7329,NYY 
Reese McGuire ,134,16,4,14,1,0.239,0.297,32,7,0,11,32,0.372,0.669,0.0,0.0,0.0,4941,CWS 
Gabriel Arias ,111,14,3,13,1,0.258,0.302,29,6,1,7,29,0.405,0.707,0.0,0.0,0.0,10084,CLE 
Mason Martin ,106,14,5,16,1,0.218,0.278,23,5,0,9,40,0.427,0.704,0.0,0.0,0.0,7910,PIT 
Austin Allen ,121,14,5,16,0,0.236,0.28,28,6,0,8,33,0.41,0.69,0.0,0.0,0.0,7385,OAK 
Nomar Mazara ,109,14,4,14,1,0.242,0.3,26,5,0,9,29,0.402,0.702,0.0,0.0,0.0,5913,SD 
Shed Long Jr. ,103,13,4,12,2,0.234,0.298,24,5,1,9,30,0.407,0.705,0.0,0.0,0.0,8080,BAL 
Billy McKinney ,124,15,5,15,1,0.208,0.285,26,6,1,14,35,0.387,0.673,0.0,0.0,0.0,4965,OAK 
