Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
Scott Kingery ,40,5,1,5,1,0.217,0.272,9,2,0,3,14,0.347,0.619,0.0,0.0,0.0,6742,PHI 
Brandon Drury ,42,5,1,6,0,0.233,0.284,10,2,0,3,11,0.376,0.661,0.52,0.53,0.51,5607,CIN 
Greg Bird ,37,5,2,5,0,0.216,0.301,8,2,0,5,12,0.432,0.734,0.0,0.0,0.0,5721,NYY 
Jake Bauers ,29,4,1,4,1,0.241,0.313,7,1,0,3,8,0.379,0.692,0.0,0.0,0.0,5090,CIN 
Oswaldo Cabrera ,33,4,1,4,1,0.243,0.291,8,2,0,2,9,0.414,0.706,0.0,0.0,0.0,8549,NYY 
Cody Thomas ,42,5,2,5,0,0.215,0.275,9,2,0,3,15,0.42,0.695,0.0,0.0,0.0,43944,OAK 
Roman Quinn ,40,5,1,4,2,0.21,0.274,8,1,0,4,13,0.33,0.603,0.0,0.0,0.0,4823,PHI 
Taylor Trammell ,38,5,1,5,1,0.201,0.281,8,2,0,4,13,0.339,0.62,0.0,0.0,0.0,6417,SEA 
Elehuris Montero ,29,4,1,4,0,0.265,0.323,8,1,0,2,7,0.458,0.781,0.0,0.0,0.0,39212,COL 
Ian Desmond ,34,4,1,4,1,0.236,0.296,8,1,0,3,9,0.389,0.685,0.0,0.0,0.0,3408,"LF,CF) RET "
Rob Refsnyder ,36,5,1,4,0,0.245,0.314,9,2,0,4,10,0.394,0.707,0.0,0.0,0.0,5673,BOS 
Gilberto Celestino ,36,5,1,4,0,0.235,0.296,9,2,0,3,9,0.391,0.686,0.0,0.0,0.0,10042,MIN 
Khalil Lee ,33,5,1,4,1,0.214,0.31,7,2,0,5,14,0.357,0.667,0.0,0.0,0.0,6915,NYM 
Royce Lewis ,25,4,1,3,1,0.255,0.306,6,1,0,2,6,0.405,0.711,0.1,0.16,0.04,6967,MIN 
Josh Palacios ,35,4,1,4,1,0.231,0.294,8,1,0,3,11,0.351,0.645,0.0,0.0,0.0,43676,WSH 
David Dahl ,27,4,1,4,0,0.249,0.301,7,2,0,2,7,0.39,0.691,0.0,0.0,0.0,4698,MIL 
Yairo Munoz ,27,3,1,3,1,0.259,0.286,7,1,0,1,6,0.407,0.693,0.0,0.0,0.0,5999,PHI 
Donovan Casey ,32,4,1,4,1,0.224,0.27,7,1,0,2,12,0.36,0.631,0.0,0.0,0.0,10152,WSH 
Isan Diaz ,43,6,1,5,0,0.211,0.298,9,2,0,5,14,0.344,0.642,0.0,0.0,0.0,5995,SF 
Chance Sisco ,47,6,1,5,0,0.209,0.29,10,2,0,5,16,0.338,0.628,0.0,0.0,0.0,5039,MIN 
Daniel Robertson ,51,6,1,5,0,0.219,0.304,11,2,0,6,15,0.327,0.632,0.0,0.0,0.0,5475,"CF,LF,RF) FA "
Patrick Mazeika ,29,4,1,4,0,0.229,0.291,7,1,0,3,7,0.39,0.681,0.0,0.0,0.0,7601,NYM 
Brendon Davis ,29,4,1,4,0,0.234,0.295,7,2,0,3,8,0.431,0.726,0.0,0.0,0.0,44502,DET 
Vimael Machin ,43,5,1,4,0,0.233,0.309,10,2,0,5,10,0.35,0.659,0.0,0.0,0.0,40894,OAK 
Blake Rutherford ,33,4,1,4,0,0.237,0.28,8,2,0,2,9,0.357,0.637,0.0,0.0,0.0,6476,CWS 
Kody Clemens ,33,4,1,4,0,0.235,0.294,8,1,0,3,9,0.394,0.689,0.0,0.0,0.0,10049,DET 
John Nogowski ,33,4,1,4,0,0.252,0.323,8,1,0,4,7,0.381,0.704,0.0,0.0,0.0,43660,ATL 
Magneuris Sierra ,45,5,0,3,2,0.222,0.271,10,2,0,3,11,0.267,0.538,0.0,0.0,0.0,6048,LAA 
Yermin Mercedes ,30,4,1,4,0,0.249,0.304,7,1,0,2,6,0.425,0.729,0.0,0.0,0.0,7089,CWS 
Drew Waters ,26,3,1,3,1,0.237,0.293,6,2,0,2,9,0.36,0.653,0.01,0.01,0.0,7224,ATL 
Connor Wong ,26,3,1,3,1,0.241,0.278,6,1,0,1,9,0.412,0.69,0.0,0.0,0.0,8335,BOS 
Zach Reks ,34,4,1,4,0,0.225,0.297,8,2,0,3,12,0.367,0.664,0.0,0.0,0.0,43943,TEX 
Rio Ruiz ,28,4,1,3,0,0.25,0.3,7,1,0,2,7,0.393,0.693,0.0,0.0,0.0,6158,"1B,2B,3B) FA "
Austin Dean ,28,4,1,3,0,0.234,0.293,7,1,0,2,8,0.357,0.65,0.0,0.0,0.0,7571,SF 
Ildemaro Vargas ,36,4,1,3,0,0.25,0.289,9,2,0,2,6,0.347,0.637,0.0,0.0,0.0,6583,"2B,3B,SS) FA "
Jake Burger ,27,4,1,4,0,0.237,0.293,6,1,0,2,8,0.45,0.742,0.0,0.0,0.0,10074,CWS 
Nelson Velazquez ,26,3,1,3,0,0.25,0.3,7,1,0,2,8,0.421,0.721,0.0,0.0,0.0,45006,CHC 
Trent Giambrone ,33,4,1,3,1,0.202,0.258,7,1,0,2,11,0.338,0.596,0.0,0.0,0.0,8506,CHC 
Ronald Guzman ,31,4,1,4,0,0.228,0.297,7,1,0,3,10,0.378,0.675,0.0,0.0,0.0,5680,NYY 
Curtis Terry ,31,4,1,4,0,0.226,0.273,7,2,0,2,9,0.387,0.66,0.0,0.0,0.0,44348,MIN 
Franchy Cordero ,25,4,1,3,0,0.245,0.306,6,2,0,2,9,0.406,0.713,0.01,0.01,0.01,6552,BOS 
Tucupita Marcano ,33,4,0,3,1,0.249,0.318,8,2,0,3,5,0.326,0.644,0.0,0.0,0.0,43731,PIT 
Rene Pinto ,32,4,1,4,0,0.228,0.271,7,2,0,2,10,0.369,0.639,0.0,0.0,0.0,43755,TB 
Pedro Leon ,22,3,1,2,1,0.231,0.299,5,1,0,2,8,0.403,0.702,0.0,0.0,0.0,44326,HOU 
Jedd Gyorko ,20,3,1,3,0,0.241,0.312,5,1,0,2,5,0.433,0.745,0.0,0.0,0.0,4630,"1B,3B) FA "
Travis Demeritte ,20,3,1,3,0,0.229,0.293,5,1,0,2,7,0.487,0.78,0.02,0.02,0.01,4981,ATL 
Billy Hamilton ,38,4,0,3,2,0.201,0.256,8,2,0,3,12,0.257,0.513,0.0,0.0,0.0,4636,SEA 
Steven Souza Jr. ,29,4,1,4,0,0.197,0.284,6,1,0,4,11,0.336,0.62,0.0,0.0,0.0,5441,RF) FA 
Zack Short ,29,4,1,4,0,0.209,0.301,6,1,0,4,10,0.364,0.665,0.0,0.0,0.0,8500,DET 
Monte Harrison ,25,3,1,3,1,0.208,0.264,5,1,0,2,11,0.348,0.612,0.0,0.0,0.0,7240,LAA 
Jake Rogers ,33,4,1,4,0,0.209,0.281,7,1,0,3,12,0.353,0.633,0.0,0.0,0.0,7321,DET 
Wyatt Mathisen ,33,4,1,4,0,0.216,0.288,7,1,0,3,11,0.383,0.671,0.0,0.0,0.0,8124,SF 
Jonathan Aranda ,25,3,1,3,0,0.255,0.312,6,1,0,2,6,0.407,0.719,0.0,0.0,0.0,45018,TB 
Oswald Peraza ,21,3,0,3,1,0.255,0.301,5,1,0,1,5,0.375,0.677,0.01,0.01,0.0,43749,NYY 
Jose Godoy ,29,3,1,3,0,0.24,0.288,7,1,0,2,7,0.34,0.628,0.0,0.0,0.0,8521,MIN 
Alex Blandino ,44,5,1,4,0,0.211,0.299,9,2,0,5,15,0.327,0.626,0.0,0.0,0.0,7885,SEA 
Jonah Bride ,28,4,1,3,0,0.231,0.302,6,1,0,3,7,0.368,0.67,0.0,0.0,0.0,44998,OAK 
Otto Lopez ,31,4,0,3,0,0.257,0.306,8,2,0,2,6,0.358,0.664,0.0,0.0,0.0,10618,TOR 
Tim Beckham ,22,3,1,3,0,0.236,0.292,5,1,0,2,6,0.393,0.685,0.0,0.0,0.0,4503,MIN 
Micker Adolfo ,22,3,1,3,0,0.226,0.284,5,1,0,2,8,0.442,0.726,0.0,0.0,0.0,6949,CWS 
Dalton Kelly ,18,2,1,2,1,0.229,0.308,4,1,0,2,6,0.457,0.765,0.0,0.0,0.0,6573,OAK 
Ryan McBroom ,26,3,1,3,0,0.231,0.286,6,1,0,2,9,0.385,0.67,0.0,0.0,0.0,9980,"1B,DH,RF) FA "
Alejo Lopez ,19,3,0,2,0,0.286,0.343,6,1,0,2,3,0.352,0.694,0.0,0.0,0.0,8683,CIN 
Donovan Walton ,20,3,1,2,0,0.24,0.309,5,1,0,2,4,0.368,0.677,0.0,0.0,0.0,10091,SF 
Sam Huff ,20,2,1,3,0,0.233,0.286,5,0,0,1,7,0.389,0.675,0.01,0.01,0.0,43641,TEX 
Korey Lee ,23,3,1,3,0,0.236,0.296,5,1,0,2,5,0.407,0.703,0.0,0.0,0.0,20414,HOU 
Jordan Groshans ,23,3,1,3,0,0.232,0.296,5,1,0,2,6,0.403,0.698,0.01,0.01,0.0,7927,TOR 
Joe McCarthy ,18,3,1,2,0,0.229,0.308,4,1,0,2,5,0.457,0.765,0.0,0.0,0.0,7378,"LF,RF) FA "
Mark Vientos ,12,2,1,2,0,0.208,0.25,3,1,0,1,4,0.386,0.635,0.0,0.0,0.0,6940,NYM 
Eguy Rosario ,22,3,0,2,1,0.235,0.296,5,1,0,2,6,0.321,0.617,0.0,0.0,0.0,10119,SD 
Brendan Donovan ,24,3,0,3,0,0.259,0.325,6,1,0,2,5,0.356,0.681,0.14,0.22,0.05,45005,STL 
Alex Jackson ,25,3,1,3,0,0.194,0.259,5,1,0,2,11,0.392,0.651,0.0,0.0,0.0,5687,MIL 
Jaylin Davis ,19,3,1,2,0,0.239,0.299,4,1,0,2,6,0.442,0.741,0.0,0.0,0.0,26894,BOS 
Tyler Freeman ,22,3,0,2,0,0.271,0.304,6,2,0,1,3,0.368,0.672,0.0,0.0,0.0,10024,CLE 
Ali Sanchez ,32,3,0,3,0,0.241,0.289,8,1,0,2,7,0.308,0.596,0.0,0.0,0.0,8389,STL 
Chad Wallach ,32,3,1,4,0,0.193,0.267,6,1,0,3,12,0.306,0.574,0.0,0.0,0.0,6639,LAA 
Max Moroff ,26,3,1,3,0,0.192,0.276,5,1,0,3,10,0.346,0.622,0.0,0.0,0.0,5918,2B) FA 
Hunter Owen ,26,3,1,3,0,0.196,0.255,5,1,0,2,11,0.353,0.607,0.0,0.0,0.0,44235,PIT 
Delino DeShields ,24,3,0,2,1,0.208,0.296,5,1,0,3,7,0.25,0.546,0.0,0.0,0.0,4518,ATL 
Shea Langeliers ,12,1,1,2,0,0.261,0.32,3,0,0,1,3,0.522,0.842,0.01,0.01,0.0,8246,OAK 
Jose Lobaton ,31,3,1,3,0,0.193,0.264,6,1,0,3,11,0.351,0.615,0.0,0.0,0.0,4086,C) FA 
Albert Almora Jr. ,14,2,0,2,0,0.276,0.31,4,1,0,1,3,0.372,0.683,0.0,0.0,0.0,4668,CIN 
Ryan Kreidler ,15,2,1,2,0,0.221,0.283,3,1,0,1,4,0.388,0.67,0.0,0.0,0.0,44371,DET 
Grayson Greiner ,23,2,1,2,0,0.211,0.274,5,1,0,2,9,0.386,0.66,0.0,0.0,0.0,6697,ARI 
Webster Rivas ,23,2,1,2,0,0.217,0.28,5,1,0,2,6,0.326,0.606,0.0,0.0,0.0,7852,SD 
Brett Cumberland ,28,3,1,3,0,0.192,0.273,5,1,0,3,11,0.345,0.618,0.0,0.0,0.0,7896,BAL 
Kevin Padlo ,12,2,1,2,0,0.192,0.283,2,1,0,2,4,0.361,0.644,0.0,0.0,0.0,5987,SF 
Donny Sands ,15,2,0,2,0,0.247,0.31,4,1,0,1,3,0.373,0.683,0.0,0.0,0.0,44944,PHI 
Jeter Downs ,20,2,1,2,0,0.223,0.273,4,1,0,1,6,0.418,0.691,0.01,0.01,0.0,7262,BOS 
Mark Kolozsvary ,29,3,1,3,0,0.19,0.257,5,1,0,3,11,0.34,0.597,0.0,0.0,0.0,43988,CIN 
Andrew Young ,12,1,1,1,0,0.226,0.27,3,1,0,1,5,0.452,0.723,0.0,0.0,0.0,8184,WSH 
Gerardo Parra ,16,2,0,2,0,0.224,0.269,4,1,0,1,4,0.286,0.555,0.0,0.0,0.0,3378,LF) RET 
Trayce Thompson ,17,2,1,2,0,0.194,0.263,3,0,0,2,6,0.336,0.6,0.0,0.0,0.0,4777,DET 
Tony Wolters ,29,3,0,3,0,0.209,0.282,6,1,0,3,8,0.288,0.57,0.0,0.0,0.0,5596,LAD 
Greg Deichmann ,17,2,0,2,0,0.23,0.304,4,1,0,2,6,0.358,0.662,0.0,0.0,0.0,10040,CHC 
Ender Inciarte ,21,2,0,2,0,0.234,0.295,5,1,0,2,5,0.284,0.58,0.0,0.0,0.0,5309,NYY 
Kyle Stowers ,10,1,1,1,0,0.23,0.292,2,1,0,1,4,0.463,0.754,0.0,0.0,0.0,22314,BAL 
Corey Ray ,20,2,0,3,0,0.21,0.265,4,1,0,2,7,0.338,0.603,0.0,0.0,0.0,6473,MIL 
Nick Martini ,18,2,0,2,0,0.247,0.333,4,1,0,2,5,0.347,0.68,0.0,0.0,0.0,7342,"LF,RF) FA "
Jack Lopez ,18,2,0,2,0,0.229,0.274,4,1,0,1,5,0.32,0.594,0.0,0.0,0.0,7534,DET 
Simon Muzziotti ,18,2,0,2,0,0.236,0.291,4,1,0,1,4,0.342,0.633,0.0,0.0,0.0,44070,PHI 
Peyton Burdick ,12,2,0,1,0,0.226,0.313,3,0,0,1,4,0.357,0.669,0.0,0.0,0.0,43754,MIA 
Travis Blankenhorn ,11,2,0,2,0,0.207,0.253,2,0,0,1,4,0.304,0.558,0.0,0.0,0.0,39166,NYM 
Drew Butera ,31,3,0,3,0,0.183,0.241,6,1,0,2,11,0.273,0.514,0.0,0.0,0.0,3306,C) FA 
Nick Plummer ,15,2,0,2,0,0.228,0.315,3,0,0,2,5,0.345,0.66,0.0,0.0,0.0,6043,NYM 
Esteban Quiroz ,15,2,0,2,0,0.231,0.314,3,1,0,2,4,0.345,0.659,0.0,0.0,0.0,7339,CHC 
JJ Bleday ,15,2,0,2,0,0.23,0.31,3,1,0,2,4,0.327,0.637,0.01,0.01,0.0,24863,MIA 
Stuart Fairchild ,19,2,0,2,0,0.239,0.299,4,1,0,2,5,0.355,0.654,0.0,0.0,0.0,43929,SF 
Adrian Sanchez ,7,1,0,1,0,0.262,0.278,2,0,0,0,1,0.308,0.586,0.0,0.0,0.0,7233,WSH 
Ivan Castillo ,7,1,0,1,0,0.308,0.308,2,0,0,0,1,0.308,0.615,0.0,0.0,0.0,43630,KC 
Rob Brantly ,11,1,0,1,0,0.248,0.304,3,0,0,1,2,0.305,0.609,0.0,0.0,0.0,4588,NYY 
Jhonny Pereda ,11,1,0,1,0,0.273,0.333,3,1,0,1,2,0.318,0.652,0.0,0.0,0.0,43764,SF 
P.J. Higgins ,16,2,0,2,0,0.205,0.279,3,1,0,2,4,0.289,0.568,0.0,0.0,0.0,8502,CHC 
Taylor Davis ,24,2,0,2,0,0.208,0.269,5,1,0,2,4,0.25,0.519,0.0,0.0,0.0,6249,PIT 
Sebastian Rivero ,24,2,0,2,0,0.221,0.266,5,1,0,1,7,0.306,0.572,0.0,0.0,0.0,10030,KC 
Tyler White ,8,1,0,1,0,0.209,0.318,2,0,0,1,2,0.3,0.618,0.0,0.0,0.0,6232,MIL 
Clay Dungan ,8,1,0,1,0,0.284,0.302,2,0,0,0,2,0.325,0.627,0.0,0.0,0.0,44161,KC 
Jake Noll ,12,1,0,1,0,0.229,0.269,3,1,0,1,3,0.304,0.573,0.0,0.0,0.0,8520,WSH 
Chadwick Tromp ,17,2,0,2,0,0.211,0.251,3,1,0,1,4,0.321,0.573,0.0,0.0,0.0,43989,ATL 
Anderson Tejeda ,9,1,0,1,0,0.182,0.245,2,0,0,1,4,0.229,0.474,0.0,0.0,0.0,39262,3B) FA 
Yolbert Sanchez ,9,1,0,1,0,0.276,0.307,2,0,0,0,1,0.338,0.645,0.0,0.0,0.0,8508,"2B,SS) MiLB "
Jonathan Davis ,12,2,0,1,0,0.188,0.25,2,0,0,1,4,0.241,0.491,0.0,0.0,0.0,7638,MIL 
Jamie Ritchie ,16,2,0,1,0,0.223,0.311,3,1,0,2,3,0.319,0.631,0.0,0.0,0.0,7632,PIT 
Tim Lopes ,6,1,0,1,0,0.259,0.276,1,0,0,0,1,0.288,0.564,0.0,0.0,0.0,6511,COL 
Logan Warmoth ,10,1,0,1,0,0.189,0.28,2,0,0,1,4,0.279,0.559,0.0,0.0,0.0,7173,TOR 
Buddy Reed ,10,1,0,1,0,0.183,0.238,2,0,0,1,4,0.24,0.478,0.0,0.0,0.0,8458,"LF,CF) FA "
Pete Kozma ,30,2,0,2,0,0.203,0.254,6,1,0,2,8,0.237,0.491,0.0,0.0,0.0,4389,SS) FA 
Meibrys Viloria ,11,1,0,1,0,0.219,0.286,2,0,0,1,4,0.219,0.504,0.0,0.0,0.0,6945,TEX 
Nick Ciuffo ,12,1,0,1,0,0.189,0.25,2,0,0,1,4,0.216,0.466,0.0,0.0,0.0,4954,CWS 
Alex De Goti ,12,1,0,1,0,0.198,0.267,2,1,0,1,3,0.281,0.547,0.0,0.0,0.0,8433,HOU 
Shohei Ohtani ,522,100,39,95,22,0.261,0.362,136,26,5,83,174,0.551,0.913,0.0,0.0,0.0,7812,LAA 
