VBR,Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost,Yahoo,ESPN,PlayerId,Team
1,Shohei Ohtani ,38.2,43,3,0,3.57,1.21,15,31,13,5,7,7,2,0,1.0,0.0,1.0,7354 d,LAD 
2,Tarik Skubal ,86.3,104,7,0,2.69,1.02,26,68,17,8,14,14,3,0,0.99,0.99,1.0,43633 ,DET 
3,Zack Wheeler ,89.8,102,7,0,3.14,1.11,31,73,23,10,15,15,4,0,0.99,0.99,1.0,4603 d,PHI 
4,Paul Skenes ,78.8,91,5,0,2.98,1.13,26,64,23,7,14,14,3,0,0.99,0.99,1.0,47239 ,PIT 
5,Garrett Crochet ,73.9,94,6,0,3.06,1.14,25,60,22,7,14,14,3,0,0.99,0.99,1.0,43886 ,BOS 
6,Logan Gilbert ,81.7,90,5,0,3.36,1.09,30,68,19,10,14,14,4,0,0.97,0.98,0.96,7453 d,SEA 
7,Logan Webb ,89.1,83,6,0,3.20,1.19,32,84,20,6,14,14,4,0,0.99,0.99,0.99,8146 d,SF 
8,Spencer Strider ,75.6,97,6,0,3.44,1.17,29,60,25,9,13,13,4,0,0.93,0.96,0.89,44282 ,ATL 
9,Max Fried ,82.8,79,6,0,3.28,1.20,30,74,23,8,14,14,4,0,0.99,0.98,1.0,4729 d,NYY 
10,Yoshinobu Yamamoto ,74.8,80,6,0,3.41,1.16,28,63,21,8,13,13,3,0,0.99,0.99,1.0,48250 ,LAD 
11,Hunter Brown ,79.6,90,6,0,3.46,1.24,31,68,27,8,14,14,4,0,0.98,0.98,0.99,44176 ,HOU 
12,Jacob deGrom ,64.9,75,4,0,3.26,1.06,24,53,14,8,12,12,3,0,0.98,0.99,0.98,4850 d,TEX 
13,Joe Ryan ,79.1,87,5,0,3.70,1.14,33,68,18,11,14,14,4,0,0.97,0.97,0.98,43688 ,MIN 
14,George Kirby ,80.2,75,5,0,3.56,1.14,32,75,13,10,14,14,4,0,0.87,0.93,0.81,20405 ,SEA 
15,Framber Valdez ,85.7,84,6,0,3.38,1.27,32,76,29,7,14,14,4,0,0.99,0.99,0.99,7627 d,HOU 
16,Sonny Gray ,77.9,81,5,0,3.52,1.19,30,70,20,9,14,14,4,0,0.96,0.96,0.96,4755 d,STL 
17,Dylan Cease ,80.0,94,5,0,3.58,1.23,32,66,30,9,14,14,4,0,0.95,0.97,0.94,6848 d,SD 
18,Bryan Woo ,72.5,70,5,0,3.61,1.13,29,64,15,9,13,13,4,0,0.94,0.95,0.93,47011 ,SEA 
19,Cristopher Sanchez ,82.7,78,5,0,3.41,1.24,31,77,23,8,17,14,4,0,0.92,0.92,0.92,39312 ,PHI 
20,Nick Pivetta ,74.2,83,5,0,3.86,1.19,32,63,23,11,13,13,4,0,0.93,0.94,0.92,6590 d,SD 
21,Nathan Eovaldi ,76.7,75,5,0,3.70,1.21,32,70,20,9,13,13,4,0,0.93,0.94,0.93,4423 d,TEX 
22,Tyler Glasnow ,60.4,72,5,0,3.57,1.16,24,49,19,8,11,11,3,0,0.85,0.93,0.78,4587 d,LAD 
23,Freddy Peralta ,78.0,86,5,0,3.80,1.24,33,64,28,11,14,14,4,0,0.97,0.98,0.95,7274 d,MIL 
24,Shota Imanaga ,78.8,75,5,0,3.96,1.20,35,74,19,12,14,14,4,0,0.95,0.97,0.94,6979 d,CHC 
25,Carlos Rodon ,78.3,89,5,0,3.96,1.24,34,67,27,12,14,14,5,0,0.97,0.96,0.97,5674 d,NYY 
26,Ranger Suarez ,78.7,72,5,0,3.59,1.27,31,74,24,8,18,13,4,0,0.88,0.89,0.86,7247 d,PHI 
27,Luis Castillo ,81.7,78,5,0,3.84,1.25,35,74,24,11,14,14,4,0,0.95,0.96,0.94,3679 d,SEA 
28,Jesus Luzardo ,78.1,84,5,0,3.85,1.26,33,70,26,10,17,13,4,0,0.78,0.85,0.71,6889 d,PHI 
29,Tanner Bibee ,82.8,80,5,0,3.89,1.26,36,76,24,11,14,14,5,0,0.84,0.92,0.75,45056 ,CLE 
30,MacKenzie Gore ,76.6,86,5,0,3.77,1.29,32,68,28,9,14,14,5,0,0.91,0.92,0.91,7146 d,WSH 
31,Robbie Ray ,75.0,83,5,0,3.87,1.26,32,65,27,10,14,14,4,0,0.94,0.95,0.92,5484 d,SF 
32,Josh Hader ,28.5,41,2,15,3.04,1.09,10,20,11,4,30,0,1,0,0.99,0.99,0.98,5047 d,HOU 
33,Hunter Greene ,65.6,78,4,0,3.85,1.21,28,53,22,9,12,12,4,0,0.95,0.96,0.94,6871 d,CIN 
34,Kevin Gausman ,84.0,83,5,0,4.05,1.28,38,80,25,12,15,15,5,0,0.88,0.89,0.87,4671 d,TOR 
35,Edwin Diaz ,26.7,38,2,15,2.84,1.12,8,18,10,2,28,0,1,0,0.97,0.98,0.95,5996 d,NYM 
36,Brandon Woodruff ,72.2,71,4,0,3.88,1.22,31,65,21,10,12,12,4,0,0.5,0.62,0.38,6813 d,MIL 
37,Mason Miller ,27.0,40,2,13,2.73,1.09,8,18,11,3,29,0,1,0,0.93,0.96,0.9,45221 ,ATH 
38,Drew Rasmussen ,62.3,58,4,0,3.60,1.21,25,57,16,7,17,11,3,0,0.79,0.86,0.72,43665 ,TB 
39,Merrill Kelly ,79.1,74,5,0,3.97,1.29,35,75,25,10,14,14,4,0,0.82,0.86,0.78,8374 d,ARI 
40,Emmanuel Clase ,29.1,28,2,14,2.83,1.12,9,25,7,2,31,0,1,0,0.99,0.98,0.99,27356 ,CLE 
41,Zac Gallen ,83.4,80,6,0,4.13,1.33,38,80,28,11,15,15,5,0,0.77,0.84,0.7,7245 d,ARI 
42,Andres Munoz ,27.5,36,2,13,2.66,1.16,8,20,11,2,29,0,1,0,0.96,0.97,0.96,24281 ,SEA 
43,Max Scherzer ,62.3,65,4,0,4.00,1.20,28,55,17,10,12,12,3,0,0.39,0.57,0.21,3744 d,TOR 
44,Kris Bubic ,70.5,71,4,0,3.76,1.30,29,66,23,7,21,12,4,0,0.93,0.91,0.94,7933 d,KC 
45,Jack Flaherty ,71.6,79,4,0,3.96,1.29,31,64,25,9,13,13,5,0,0.82,0.88,0.76,6021 d,DET 
46,Matthew Boyd ,69.2,66,4,0,3.89,1.26,30,64,20,9,13,13,4,0,0.8,0.85,0.75,5003 d,CHC 
47,Ryan Helsley ,27.7,33,2,14,3.15,1.19,10,22,10,3,29,0,1,0,0.89,0.94,0.83,7481 d,STL 
48,Felix Bautista ,26.3,37,2,12,2.99,1.16,9,18,12,3,28,0,1,0,0.86,0.93,0.8,45019 ,BAL 
49,Yusei Kikuchi ,78.1,83,4,0,4.03,1.32,35,73,27,11,14,14,5,0,0.79,0.83,0.74,7015 d,LAA 
50,Seth Lugo ,82.6,72,5,0,4.11,1.32,38,82,24,11,14,14,5,0,0.85,0.89,0.8,5890 d,KC 
51,Tanner Scott ,27.9,33,2,14,3.18,1.24,10,22,11,3,29,0,1,0,0.87,0.92,0.82,7328 d,LAD 
52,Jeff Hoffman ,27.3,34,2,12,3.27,1.15,10,21,9,3,29,0,1,0,0.85,0.92,0.79,6014 d,TOR 
53,Cole Ragans ,49.5,59,3,0,3.42,1.23,19,41,18,5,9,9,2,0,0.89,0.93,0.85,6834 d,KC 
54,Jhoan Duran ,27.6,33,2,11,2.77,1.22,8,22,10,2,29,0,1,0,0.87,0.93,0.8,8034 d,MIN 
55,Grant Holmes ,79.7,84,5,0,4.16,1.36,37,74,31,10,14,14,4,0,0.61,0.72,0.5,6011 d,ATL 
56,Aroldis Chapman ,26.4,39,2,12,3.00,1.26,9,19,14,2,28,0,1,0,0.76,0.84,0.69,3068 d,BOS 
57,Ryan Pepiot ,72.0,74,4,0,4.12,1.29,33,64,26,11,13,13,4,0,0.73,0.87,0.6,38313 ,TB 
58,Reese Olson ,64.3,61,4,0,3.79,1.30,27,59,22,7,12,12,4,0,0.48,0.64,0.31,44805 ,DET 
59,Kodai Senga ,60.7,63,4,0,3.71,1.32,25,51,26,7,11,11,3,0,0.91,0.93,0.89,6917 d,NYM 
60,Brandon Pfaadt ,74.0,68,5,0,4.28,1.30,35,75,18,11,13,13,4,0,0.61,0.63,0.59,44436 ,ARI 
61,Devin Williams ,27.3,35,2,11,3.12,1.23,9,20,12,2,29,0,1,0,0.83,0.91,0.75,27766 ,NYY 
62,Sandy Alcantara ,80.3,66,4,0,4.05,1.31,36,78,24,9,14,14,5,0,0.52,0.62,0.41,7109 d,MIA 
63,Chris Bassitt ,80.0,74,5,0,4.13,1.36,37,77,26,10,14,14,5,0,0.69,0.74,0.64,5554 d,TOR 
64,Robert Suarez ,27.8,28,2,13,3.58,1.24,11,24,10,3,29,0,1,0,0.91,0.93,0.89,45030 ,SD 
65,Sean Manaea ,68.3,67,4,0,4.14,1.31,31,62,24,10,12,12,3,0,0.34,0.4,0.28,4944 d,NYM 
66,Eduardo Rodriguez ,68.9,66,4,0,4.08,1.32,31,67,22,9,15,12,4,0,0.2,0.31,0.1,3963 d,ARI 
67,Taj Bradley ,72.9,71,4,0,4.23,1.32,34,68,26,11,13,13,4,0,0.46,0.5,0.42,44442 ,TB 
68,Clarke Schmidt ,56.6,55,4,0,4.05,1.28,25,51,19,8,13,10,3,0,0.44,0.57,0.3,7264 d,NYY 
69,Mitch Keller ,79.3,68,5,0,4.24,1.36,37,80,23,9,14,14,5,0,0.45,0.4,0.5,6477 d,PIT 
70,Will Vest ,27.1,28,2,10,3.24,1.24,10,24,9,2,28,0,1,0,0.48,0.63,0.32,44080 ,DET 
71,Jose Berrios ,85.0,73,5,0,4.38,1.35,41,84,26,13,15,15,5,0,0.73,0.78,0.69,5722 d,TOR 
72,Shane McClanahan ,38.8,41,3,0,3.48,1.19,15,34,11,5,9,7,2,0,0.47,0.66,0.27,7487 d,TB 
73,Yu Darvish ,56.4,53,4,0,4.19,1.26,26,52,16,8,10,10,3,0,0.24,0.36,0.13,3965 d,SD 
74,Cade Smith ,29.4,39,2,2,2.88,1.15,9,22,10,2,31,0,1,0,0.24,0.29,0.19,45654 ,CLE 
75,Michael King ,45.4,49,3,0,3.59,1.26,18,39,16,5,8,8,2,0,0.94,0.96,0.93,8489 d,SD 
76,David Bednar ,26.2,30,2,11,3.56,1.25,10,22,9,3,28,0,1,0,0.49,0.63,0.35,8451 d,PIT 
77,Pete Fairbanks ,26.2,27,2,12,3.52,1.28,10,22,10,3,28,0,1,0,0.59,0.83,0.36,19909 ,TB 
