VBR,Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost,Yahoo,ESPN,PlayerId,Team
1,Shohei Ohtani ,91.1,105,7,0,3.53,1.21,36,73,32,11,16,16,4,0,1.0,0.0,1.0,7354 d,LAD 
2,Tarik Skubal ,172.5,198,13,0,2.91,1.06,56,139,38,16,29,29,8,0,0.99,0.99,1.0,43633 ,DET 
3,Paul Skenes ,156.8,191,11,0,2.85,1.11,50,124,44,13,28,28,7,0,0.99,0.99,1.0,47239 ,PIT 
4,Zack Wheeler ,179.1,192,12,0,3.33,1.14,66,150,47,20,29,29,8,0,0.99,0.99,1.0,4603 d,PHI 
5,Logan Gilbert ,174.0,185,11,0,3.40,1.10,66,148,38,22,29,29,8,0,0.99,0.99,1.0,7453 d,SEA 
6,Chris Sale ,159.9,192,12,0,3.27,1.16,58,135,42,17,28,28,7,0,0.98,0.99,0.97,3207 d,ATL 
7,Spencer Strider ,143.4,194,11,0,3.23,1.13,51,110,47,16,25,25,6,0,0.92,0.96,0.87,44282 ,ATL 
8,Garrett Crochet ,141.0,178,11,0,3.15,1.16,49,114,44,14,27,27,7,0,0.99,0.99,1.0,43886 ,BOS 
9,Logan Webb ,178.6,157,12,0,3.35,1.21,67,171,40,13,29,29,9,0,0.98,0.99,0.97,8146 d,SF 
10,Yoshinobu Yamamoto ,143.0,154,11,0,3.39,1.14,54,121,38,15,25,25,6,0,0.99,0.99,1.0,48250 ,LAD 
11,Dylan Cease ,166.4,195,11,0,3.56,1.23,66,136,63,19,29,29,8,0,0.98,0.99,0.98,6848 d,SD 
12,Cole Ragans ,162.1,188,11,0,3.45,1.24,62,136,60,17,28,28,8,0,0.99,0.99,0.99,6834 d,KC 
13,Framber Valdez ,163.6,160,12,0,3.39,1.27,62,145,54,14,26,26,8,0,0.99,0.99,0.98,7627 d,HOU 
14,Max Fried ,157.2,149,11,0,3.38,1.23,59,141,46,15,26,26,7,0,0.98,0.98,0.99,4729 d,NYY 
15,George Kirby ,141.7,133,10,0,3.53,1.12,56,132,22,17,25,25,8,0,0.89,0.94,0.83,20405 ,SEA 
16,Sonny Gray ,158.6,168,11,0,3.64,1.21,64,141,44,18,28,28,9,0,0.95,0.95,0.95,4755 d,STL 
17,Jacob deGrom ,118.3,146,8,0,3.34,1.07,44,94,28,16,22,22,6,0,0.94,0.98,0.9,4850 d,TEX 
18,Spencer Schwellenbach ,157.7,155,11,0,3.64,1.20,64,145,37,18,28,28,7,0,0.96,0.98,0.94,44729 ,ATL 
19,Tyler Glasnow ,123.1,151,9,0,3.40,1.13,47,98,39,15,22,22,5,0,0.96,0.98,0.95,4587 d,LAD 
20,Corbin Burnes ,166.7,164,11,0,3.64,1.24,67,150,50,17,28,28,8,0,0.98,0.98,0.97,7251 d,ARI 
21,Luis Castillo ,164.2,164,11,0,3.73,1.22,68,146,49,21,28,28,9,0,0.97,0.97,0.98,3679 d,SEA 
22,Freddy Peralta ,156.7,182,10,0,3.72,1.22,65,127,57,21,28,28,8,0,0.96,0.98,0.94,7274 d,MIL 
23,Joe Ryan ,142.4,155,9,0,3.78,1.14,60,124,32,21,25,25,8,0,0.94,0.95,0.93,43688 ,MIN 
24,Michael King ,158.1,170,11,0,3.61,1.27,63,137,57,18,28,28,8,0,0.98,0.99,0.97,8489 d,SD 
25,Aaron Nola ,168.5,166,11,0,3.95,1.22,74,158,41,24,28,28,9,0,0.97,0.98,0.95,5682 d,PHI 
26,Hunter Greene ,154.7,184,9,0,3.83,1.22,66,124,55,22,26,26,8,0,0.97,0.97,0.96,6871 d,CIN 
27,Pablo Lopez ,151.5,158,10,0,3.76,1.22,63,141,38,19,26,26,8,0,0.96,0.97,0.94,7289 d,MIN 
28,Shota Imanaga ,150.7,146,10,0,3.82,1.19,64,139,35,23,26,26,8,0,0.99,0.99,0.98,6979 d,CHC 
29,Kevin Gausman ,169.0,167,11,0,3.98,1.26,75,160,49,23,29,29,9,0,0.9,0.91,0.89,4671 d,TOR 
30,Hunter Brown ,151.0,159,10,0,3.66,1.28,61,135,52,16,26,26,8,0,0.93,0.96,0.9,44176 ,HOU 
31,Shane McClanahan ,120.8,130,8,0,3.43,1.18,46,104,35,14,27,21,6,0,0.67,0.88,0.47,7487 d,TB 
