VBR,Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost,Yahoo,ESPN,PlayerId,Team
2,Tarik Skubal ,113.7,134,8,0,3.13,1.10,40,94,28,11,21,21,6,0,0.99,0.99,1.0,43633 ,DET 
3,Zack Wheeler ,137.1,142,9,0,3.44,1.18,52,121,35,14,23,23,6,0,0.99,0.99,1.0,4603 d,PHI 
4,Luis Castillo ,137.5,146,9,0,3.48,1.19,53,119,40,16,23,23,7,0,0.99,0.99,0.99,3679 d,SEA 
5,Tyler Glasnow ,107.2,137,9,0,3.32,1.11,40,86,32,13,19,19,4,0,0.99,0.99,1.0,4587 d,LAD 
6,Corbin Burnes ,139.1,148,9,0,3.51,1.20,54,119,42,15,23,23,6,0,0.99,0.99,1.0,7251 d,BAL 
7,Pablo Lopez ,133.6,148,8,0,3.50,1.17,52,117,34,15,23,23,7,0,0.98,0.98,0.98,7289 d,MIN 
8,George Kirby ,132.6,124,9,0,3.56,1.14,52,126,20,16,23,23,7,0,0.98,0.98,0.98,20405 ,SEA 
9,Kevin Gausman ,135.0,147,9,0,3.59,1.20,54,124,35,16,23,23,7,0,0.95,0.97,0.94,4671 d,TOR 
10,Yoshinobu Yamamoto ,122.2,129,9,0,3.62,1.14,49,105,30,15,20,20,5,0,0.99,0.99,0.99,48250 ,LAD 
11,Chris Sale ,110.9,136,9,0,3.43,1.18,42,94,30,13,20,20,5,0,0.97,0.97,0.96,3207 d,ATL 
12,Max Fried ,131.6,121,10,0,3.42,1.25,50,125,36,12,23,23,5,0,0.97,0.98,0.96,4729 d,ATL 
13,Logan Webb ,139.1,119,9,0,3.44,1.24,53,136,31,11,23,23,7,0,0.97,0.98,0.97,8146 d,SF 
14,Joe Ryan ,124.7,139,8,0,3.79,1.15,53,108,30,18,22,22,7,0,0.96,0.97,0.96,43688 ,MIN 
15,Logan Gilbert ,134.6,135,8,0,3.71,1.19,55,122,34,18,23,23,7,0,0.99,0.98,0.99,7453 d,SEA 
16,Framber Valdez ,129.5,124,10,0,3.37,1.28,49,117,42,11,21,21,6,0,0.96,0.97,0.95,7627 d,HOU 
17,Aaron Nola ,136.9,138,9,0,3.88,1.19,59,128,31,18,23,23,7,0,0.99,0.99,0.99,5682 d,PHI 
18,Zac Gallen ,131.5,133,9,0,3.66,1.22,53,120,36,15,22,22,7,0,0.99,0.99,0.99,7245 d,ARI 
19,Dylan Cease ,124.0,151,8,0,3.52,1.25,49,99,50,14,22,22,6,0,0.98,0.98,0.99,6848 d,SD 
20,Freddy Peralta ,117.3,140,8,0,3.60,1.20,47,94,41,15,21,21,6,0,0.98,0.98,0.97,7274 d,MIL 
21,Sonny Gray ,124.1,123,8,0,3.52,1.24,49,111,38,13,22,22,6,0,0.95,0.96,0.93,4755 d,STL 
22,Zach Eflin ,112.4,102,8,0,3.65,1.16,46,108,18,14,20,20,6,0,0.9,0.95,0.85,6146 d,TB 
23,Shota Imanaga ,116.4,122,7,0,3.68,1.21,48,106,31,15,21,21,6,0,0.96,0.96,0.96,6979 d,CHC 
24,Blake Snell ,114.4,142,8,0,3.59,1.30,46,93,53,12,21,21,6,0,0.84,0.94,0.75,5835 d,SF 
25,Carlos Rodon ,111.1,126,8,0,3.95,1.22,49,94,35,16,20,20,6,0,0.83,0.9,0.76,5674 d,NYY 
26,Yu Darvish ,118.6,119,8,0,3.97,1.22,52,106,33,16,21,21,6,0,0.88,0.92,0.83,3965 d,SD 
27,Justin Steele ,116.8,111,8,0,3.75,1.29,49,112,34,13,21,21,6,0,0.88,0.91,0.85,8158 d,CHC 
28,Grayson Rodriguez ,109.9,117,7,0,3.78,1.26,46,97,37,13,20,20,6,0,0.94,0.97,0.91,7924 d,BAL 
29,Chris Bassitt ,139.4,126,9,0,4.03,1.31,62,131,43,18,23,23,8,0,0.74,0.82,0.66,5554 d,TOR 
30,Cole Ragans ,116.6,124,7,0,3.75,1.31,49,104,45,13,21,21,6,0,0.94,0.96,0.92,6834 d,KC 
31,Mason Miller ,45.3,66,2,19,2.69,1.07,14,30,17,4,48,0,2,0,0.82,0.9,0.75,45221 ,OAK 
