VBR,Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost,Yahoo,ESPN,PlayerId,Team
1,Shohei Ohtani ,53.7,62,4,0,3.29,1.18,20,42,18,6,10,10,2,0,1.0,0.0,1.0,7354 d,LAD 
2,Tarik Skubal ,70.3,84,5,0,2.87,1.03,22,56,14,7,12,12,3,0,0.99,0.99,0.99,43633 ,DET 
3,Paul Skenes ,76.5,90,6,0,3.06,1.11,26,62,20,8,13,13,4,0,0.99,0.99,1.0,47239 ,PIT 
4,Cristopher Sanchez ,77.2,79,6,0,3.11,1.17,27,69,18,7,13,13,3,0,0.99,0.99,1.0,39312 ,PHI 
5,Zack Wheeler ,72.3,81,5,0,3.40,1.15,27,60,20,9,12,12,3,0,0.98,0.97,0.99,4603 d,PHI 
6,Jacob Misiorowski ,65.4,90,5,0,3.18,1.19,23,48,26,7,13,12,3,0,0.99,0.98,1.0,46366 ,MIL 
7,Chris Sale ,69.5,83,5,0,3.31,1.18,26,59,19,7,12,12,3,0,0.99,0.99,1.0,3207 d,ATL 
8,Logan Gilbert ,70.4,78,5,0,3.60,1.13,28,60,17,10,12,12,3,0,0.99,0.99,0.99,7453 d,SEA 
9,Jacob deGrom ,66.1,77,4,0,3.47,1.08,26,54,16,9,12,12,3,0,0.99,0.99,0.98,4850 d,TEX 
10,Dylan Cease ,71.3,92,5,0,3.42,1.22,27,56,29,8,12,12,3,0,0.99,0.99,0.99,6848 d,TOR 
11,Jesus Luzardo ,74.2,84,5,0,3.52,1.22,29,64,24,8,13,13,4,0,0.97,0.98,0.97,6889 d,PHI 
12,Yoshinobu Yamamoto ,63.2,67,5,0,3.45,1.16,24,53,18,7,11,11,3,0,0.99,0.99,1.0,48250 ,LAD 
13,Bryan Woo ,64.3,65,5,0,3.63,1.13,26,56,14,9,11,11,3,0,0.98,0.98,0.97,47011 ,SEA 
14,Joe Ryan ,66.6,75,4,0,3.74,1.15,28,57,16,10,12,12,3,0,0.99,0.99,0.98,43688 ,MIN 
15,Mason Miller ,25.0,41,2,13,2.19,0.99,6,14,10,2,27,0,1,0,0.99,0.99,1.0,45221 ,SD 
16,Logan Webb ,76.8,68,5,0,3.58,1.26,31,75,20,7,12,12,4,0,0.96,0.97,0.95,8146 d,SF 
17,Hunter Greene ,67.9,81,4,0,3.82,1.20,29,55,23,10,12,12,4,0,0.76,0.81,0.72,6871 d,CIN 
18,Nathan Eovaldi ,68.9,68,4,0,3.69,1.19,28,62,17,9,12,12,4,0,0.92,0.94,0.89,4423 d,TEX 
19,George Kirby ,67.1,64,5,0,3.79,1.21,28,64,14,9,12,12,4,0,0.95,0.97,0.92,20405 ,SEA 
20,Cam Schlittler ,64.6,70,5,0,3.73,1.24,27,56,22,8,12,12,3,0,0.99,0.98,0.99,7355019,NYY 
21,Drew Rasmussen ,66.8,64,4,0,3.72,1.19,28,60,17,8,13,13,4,0,0.93,0.94,0.92,43665 ,TB 
22,Hunter Brown ,69.4,75,4,0,3.66,1.27,28,60,25,8,12,12,3,0,0.95,0.96,0.93,44176 ,HOU 
23,Chase Burns ,63.1,73,4,0,3.82,1.22,27,54,22,9,14,11,4,0,0.98,0.98,0.98,44722 ,CIN 
24,Kevin Gausman ,76.0,76,5,0,4.11,1.26,35,71,23,11,13,13,4,0,0.92,0.95,0.88,4671 d,TOR 
25,Ranger Suarez ,66.7,62,5,0,3.68,1.28,27,64,19,7,12,12,4,0,0.81,0.87,0.75,7247 d,BOS 
26,Cade Smith ,25.7,34,2,13,2.90,1.10,8,20,8,2,28,0,1,0,0.98,0.99,0.98,45654 ,CLE 
27,Jhoan Duran ,25.0,31,2,13,2.67,1.11,7,19,7,2,27,0,1,0,0.97,0.98,0.95,8034 d,PHI 
28,Braxton Ashcraft ,66.9,68,4,0,3.67,1.26,27,62,20,8,15,12,3,0,0.91,0.9,0.93,47807 ,PIT 
29,Gavin Williams ,70.8,78,4,0,3.83,1.29,30,61,28,9,12,12,4,0,0.96,0.95,0.96,44694 ,CLE 
30,Gerrit Cole ,70.4,68,5,0,4.17,1.24,33,65,20,11,12,12,4,0,0.87,0.88,0.87,4656 d,NYY 
31,Max Fried ,60.2,55,4,0,3.47,1.25,23,54,19,6,10,10,3,0,0.98,0.98,0.98,4729 d,NYY 
32,Framber Valdez ,75.0,65,5,0,3.79,1.33,32,71,25,7,12,12,4,0,0.81,0.89,0.74,7627 d,DET 
33,Shota Imanaga ,67.5,63,4,0,4.16,1.19,31,62,16,12,12,12,4,0,0.85,0.89,0.81,6979 d,CHC 
34,Nolan McLean ,66.1,70,5,0,3.73,1.34,27,58,25,7,12,12,3,0,0.95,0.97,0.93,47159 ,NYM 
35,Sonny Gray ,67.2,67,4,0,3.94,1.26,29,64,18,9,12,12,4,0,0.96,0.97,0.94,4755 d,BOS 
36,Shane McClanahan ,59.3,59,4,0,3.79,1.25,25,53,19,7,11,11,4,0,0.74,0.87,0.6,7487 d,TB 
37,Bryce Miller ,58.1,58,4,0,3.98,1.21,26,52,17,9,16,10,3,0,0.8,0.82,0.79,45184 ,SEA 
38,Josh Hader ,22.4,31,2,12,3.23,1.13,8,15,9,3,25,0,1,0,0.88,0.92,0.84,5047 d,HOU 
39,Aroldis Chapman ,23.7,32,2,12,3.11,1.23,8,17,11,2,26,0,1,0,0.93,0.96,0.9,3068 d,BOS 
40,David Bednar ,24.1,28,2,13,3.41,1.20,9,20,8,3,26,0,1,0,0.89,0.95,0.84,8451 d,NYY 
41,Freddy Peralta ,69.0,71,5,0,4.18,1.32,32,61,27,10,12,12,4,0,0.83,0.88,0.78,7274 d,NYM 
42,Reid Detmers ,64.4,71,4,0,4.12,1.28,29,57,22,9,12,12,4,0,0.54,0.59,0.49,43840 ,LAA 
43,MacKenzie Gore ,69.1,76,4,0,4.05,1.32,31,62,26,9,12,12,4,0,0.7,0.8,0.59,7146 d,TEX 
44,Matthew Boyd ,63.3,59,4,0,3.99,1.27,28,58,19,9,11,11,4,0,0.61,0.7,0.52,5003 d,CHC 
45,Andres Munoz ,23.1,30,2,11,3.08,1.22,8,17,10,2,25,0,1,0,0.87,0.94,0.8,24281 ,SEA 
46,Louis Varland ,24.3,27,2,11,3.27,1.19,9,21,7,3,27,0,1,0,0.84,0.84,0.84,44936 ,TOR 
47,Casey Mize ,61.3,56,4,0,4.03,1.27,27,59,17,8,11,11,4,0,0.59,0.69,0.5,7399 d,DET 
48,Raisel Iglesias ,25.5,27,2,11,3.61,1.17,10,22,7,3,27,0,1,0,0.88,0.92,0.84,5589 d,ATL 
49,Kyle Bradish ,64.1,65,4,0,3.96,1.33,28,58,25,8,12,12,3,0,0.84,0.93,0.74,39964 ,BAL 
50,Parker Messick ,63.9,61,4,0,3.96,1.32,28,60,21,8,12,12,4,0,0.92,0.91,0.94,46317 ,CLE 
51,Max Meyer ,62.1,63,4,0,4.03,1.31,28,57,21,8,12,12,4,0,0.89,0.88,0.9,43836 ,MIA 
