VBR,Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost,Yahoo,ESPN,PlayerId,Team
1,Shohei Ohtani ,62.5,71,5,0,3.55,1.21,25,51,22,8,11,11,3,0,1.0,0.0,1.0,7354 d,LAD 
2,Tarik Skubal ,152.6,177,12,0,2.86,1.05,49,123,33,14,26,26,7,0,0.99,0.99,1.0,43633 ,DET 
3,Zack Wheeler ,160.3,174,11,0,3.32,1.14,59,134,41,18,26,26,7,0,0.99,0.99,1.0,4603 d,PHI 
4,Paul Skenes ,140.7,165,10,0,3.01,1.12,47,114,39,13,25,25,6,0,0.99,0.99,1.0,47239 ,PIT 
5,Chris Sale ,143.0,172,11,0,3.27,1.16,52,121,38,15,25,25,6,0,0.97,0.98,0.95,3207 d,ATL 
6,Logan Webb ,158.1,142,11,0,3.28,1.21,58,151,36,11,26,26,7,0,0.99,0.99,0.98,8146 d,SF 
7,Garrett Crochet ,128.6,161,10,0,3.18,1.17,45,104,42,12,24,24,6,0,0.99,0.99,1.0,43886 ,BOS 
8,Yoshinobu Yamamoto ,128.7,139,10,0,3.32,1.14,48,108,35,13,22,22,5,0,0.99,0.99,1.0,48250 ,LAD 
9,George Kirby ,136.5,127,9,0,3.53,1.12,54,127,21,17,24,24,7,0,0.88,0.93,0.83,20405 ,SEA 
10,Spencer Strider ,113.2,151,9,0,3.28,1.14,41,88,36,13,20,20,5,0,0.91,0.95,0.87,44282 ,ATL 
11,Dylan Cease ,149.6,174,10,0,3.60,1.24,60,123,57,17,26,26,7,0,0.97,0.98,0.95,6848 d,SD 
12,Jacob deGrom ,106.2,130,7,0,3.25,1.05,38,84,24,14,20,20,5,0,0.95,0.98,0.92,4850 d,TEX 
13,Cole Ragans ,143.3,167,9,0,3.50,1.24,56,120,53,15,25,25,7,0,0.97,0.98,0.96,6834 d,KC 
14,Max Fried ,141.0,131,10,0,3.42,1.23,54,127,41,14,23,23,7,0,0.99,0.98,0.99,4729 d,NYY 
15,Michael King ,142.2,155,10,0,3.53,1.25,56,122,50,16,25,25,7,0,0.99,0.99,0.98,8489 d,SD 
16,Spencer Schwellenbach ,141.4,136,10,0,3.67,1.20,58,132,33,16,25,25,7,0,0.95,0.97,0.92,44729 ,ATL 
17,Logan Gilbert ,111.3,119,7,0,3.35,1.09,41,94,25,14,18,18,5,0,0.98,0.98,0.98,7453 d,SEA 
18,Pablo Lopez ,144.5,149,10,0,3.76,1.22,60,135,36,18,25,25,8,0,0.95,0.97,0.94,7289 d,MIN 
19,Framber Valdez ,147.3,141,10,0,3.47,1.28,57,132,49,13,24,24,7,0,0.97,0.98,0.95,7627 d,HOU 
20,Hunter Greene ,143.5,170,9,0,3.86,1.22,62,115,50,20,25,25,8,0,0.97,0.97,0.98,6871 d,CIN 
21,Corbin Burnes ,148.5,144,10,0,3.68,1.25,61,134,46,16,25,25,7,0,0.97,0.98,0.96,7251 d,ARI 
22,Hunter Brown ,136.9,146,10,0,3.56,1.26,54,121,47,15,24,24,7,0,0.96,0.97,0.95,44176 ,HOU 
23,Joe Ryan ,126.8,139,8,0,3.76,1.14,53,110,28,19,22,22,7,0,0.94,0.95,0.94,43688 ,MIN 
24,Freddy Peralta ,138.8,157,9,0,3.77,1.23,58,114,51,19,25,25,7,0,0.96,0.98,0.95,7274 d,MIL 
25,Sonny Gray ,140.4,144,9,0,3.69,1.23,58,127,40,16,25,25,8,0,0.95,0.95,0.95,4755 d,STL 
26,Luis Castillo ,147.3,145,9,0,3.76,1.23,62,132,45,19,25,25,8,0,0.95,0.96,0.94,3679 d,SEA 
27,Aaron Nola ,150.5,147,10,0,3.97,1.22,66,142,38,21,25,25,8,0,0.93,0.96,0.9,5682 d,PHI 
28,Nick Pivetta ,131.0,149,9,0,3.89,1.19,57,111,41,20,24,24,7,0,0.91,0.93,0.89,6590 d,SD 
29,Shota Imanaga ,135.1,131,9,0,3.88,1.19,58,125,32,21,23,23,7,0,0.98,0.98,0.97,6979 d,CHC 
30,Bryan Woo ,118.6,114,8,0,3.67,1.15,48,105,27,15,22,22,6,0,0.88,0.93,0.83,47011 ,SEA 
31,Nathan Eovaldi ,135.7,132,9,0,3.84,1.22,58,125,35,17,23,23,7,0,0.92,0.93,0.91,4423 d,TEX 
32,Bryce Miller ,141.4,134,9,0,3.90,1.22,61,126,42,19,25,25,8,0,0.86,0.91,0.81,45184 ,SEA 
33,Tyler Glasnow ,100.0,122,7,0,3.48,1.14,39,80,32,12,18,18,5,0,0.92,0.96,0.88,4587 d,LAD 
34,Mason Miller ,49.5,74,3,24,2.54,1.03,14,32,17,5,52,0,2,0,0.98,0.99,0.97,45221 ,ATH 
35,Drew Rasmussen ,111.4,109,7,0,3.45,1.19,43,100,28,11,38,18,5,0,0.59,0.75,0.43,43665 ,TB 
36,Carlos Rodon ,139.3,158,9,0,4.09,1.25,63,120,49,21,25,25,8,0,0.9,0.93,0.88,5674 d,NYY 
37,Kevin Gausman ,150.6,148,10,0,4.04,1.28,68,144,46,20,26,26,9,0,0.87,0.89,0.85,4671 d,TOR 
38,Brandon Woodruff ,119.8,126,7,0,3.78,1.20,50,105,35,17,21,21,6,0,0.49,0.63,0.36,6813 d,MIL 
39,Cristopher Sanchez ,123.8,113,8,0,3.57,1.27,49,117,35,12,26,21,6,0,0.83,0.87,0.79,39312 ,PHI 
40,Josh Hader ,51.5,72,4,26,3.18,1.14,18,36,21,6,55,0,3,0,0.98,0.99,0.98,5047 d,HOU 
41,MacKenzie Gore ,135.1,151,8,0,3.83,1.30,57,120,49,17,25,25,8,0,0.88,0.9,0.86,7146 d,WSH 
42,Zac Gallen ,135.5,135,9,0,3.88,1.29,58,125,44,16,23,23,7,0,0.88,0.93,0.83,7245 d,ARI 
43,Edwin Diaz ,49.0,70,3,28,2.97,1.14,16,34,19,5,52,0,2,0,0.96,0.98,0.94,5996 d,NYM 
44,Kodai Senga ,127.0,135,9,0,3.76,1.31,53,107,54,15,22,22,6,0,0.9,0.93,0.88,6917 d,NYM 
45,Jack Flaherty ,129.9,139,8,0,3.87,1.28,56,117,43,16,23,23,7,0,0.91,0.93,0.88,6021 d,DET 
46,Jesus Luzardo ,128.0,135,8,0,3.93,1.26,56,114,42,17,29,22,7,0,0.91,0.91,0.9,6889 d,PHI 
47,Bailey Ober ,132.5,130,8,0,4.12,1.22,61,123,33,21,23,23,8,0,0.87,0.94,0.81,44064 ,MIN 
48,Sandy Alcantara ,144.0,123,8,0,3.87,1.28,62,138,41,15,24,24,8,0,0.65,0.75,0.56,7109 d,MIA 
49,Andres Munoz ,49.0,64,3,24,2.69,1.16,15,35,19,3,52,0,2,0,0.96,0.98,0.93,24281 ,SEA 
50,Tanner Bibee ,135.1,133,7,0,3.93,1.26,59,124,41,19,23,23,6,0,0.84,0.93,0.75,45056 ,CLE 
51,Emmanuel Clase ,50.1,49,3,24,2.81,1.11,16,43,11,3,53,0,2,0,0.98,0.97,0.99,27356 ,CLE 
52,Zach Eflin ,127.4,103,8,0,3.97,1.23,56,130,23,18,22,22,7,0,0.62,0.79,0.45,6146 d,BAL 
53,Brandon Pfaadt ,129.7,124,8,0,4.06,1.25,59,127,30,18,28,22,7,0,0.85,0.87,0.83,44436 ,ARI 
54,Shane McClanahan ,91.1,98,6,0,3.49,1.19,35,80,27,11,21,16,5,0,0.62,0.83,0.41,7487 d,TB 
55,Ryan Helsley ,49.4,59,3,27,3.13,1.19,17,38,20,4,52,0,2,0,0.9,0.95,0.85,7481 d,STL 
56,Felix Bautista ,46.1,64,3,21,2.78,1.13,14,31,19,4,49,0,2,0,0.85,0.92,0.78,45019 ,BAL 
57,Ryan Walker ,50.8,59,4,22,3.09,1.19,17,41,16,4,54,0,2,0,0.83,0.9,0.76,45949 ,SF 
58,Jhoan Duran ,48.5,59,4,19,2.71,1.19,15,39,17,3,52,0,2,0,0.8,0.89,0.71,8034 d,MIN 
59,Ranger Suarez ,125.8,112,8,0,3.75,1.31,52,120,41,13,31,21,6,0,0.34,0.4,0.28,7247 d,PHI 
60,Jeff Hoffman ,48.6,61,3,21,3.03,1.14,16,37,17,5,52,0,2,0,0.91,0.95,0.88,6014 d,TOR 
61,Roki Sasaki ,112.0,121,8,0,3.93,1.29,49,97,41,14,21,21,6,0,0.85,0.92,0.78,7354019,LAD 
62,Tanner Scott ,50.3,60,4,24,3.17,1.26,18,40,22,4,53,0,2,0,0.91,0.95,0.87,7328 d,LAD 
63,Yusei Kikuchi ,137.1,146,8,0,4.14,1.31,63,129,46,21,25,25,8,0,0.61,0.64,0.57,7015 d,LAA 
64,Clay Holmes ,116.6,111,8,0,3.54,1.36,46,109,44,8,26,19,6,0,0.74,0.86,0.63,6584 d,NYM 
65,Raisel Iglesias ,51.7,56,3,26,3.51,1.17,20,45,13,6,55,0,2,0,0.86,0.94,0.79,5589 d,ATL 
66,Seth Lugo ,149.4,128,9,0,4.16,1.32,69,150,42,19,25,25,9,0,0.8,0.87,0.72,5890 d,KC 
67,Robbie Ray ,122.8,133,7,0,4.07,1.30,55,108,46,18,22,22,7,0,0.7,0.89,0.52,5484 d,SF 
68,Chris Bassitt ,142.7,132,9,0,4.10,1.35,65,136,48,18,25,25,8,0,0.78,0.82,0.75,5554 d,TOR 
