VBR,Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost,Yahoo,ESPN,PlayerId,Team
2,Tarik Skubal ,59.9,70,4,0,3.07,1.09,20,49,14,6,11,11,3,0,0.99,0.99,1.0,43633 ,DET 
3,Chris Sale ,59.7,75,5,0,3.28,1.16,22,50,16,7,11,11,3,0,0.98,0.98,0.99,3207 d,ATL 
4,Zack Wheeler ,68.5,71,5,0,3.42,1.18,26,60,18,7,11,11,3,0,0.99,0.99,1.0,4603 d,PHI 
5,Tyler Glasnow ,55.5,71,5,0,3.33,1.12,21,44,17,7,10,10,2,0,0.99,0.99,0.99,4587 d,LAD 
6,George Kirby ,63.7,61,4,0,3.41,1.11,24,59,9,7,11,11,3,0,0.98,0.98,0.99,20405 ,SEA 
7,Joe Ryan ,65.3,72,4,0,3.77,1.14,27,57,15,9,12,12,4,0,0.97,0.97,0.97,43688 ,MIN 
8,Dylan Cease ,61.8,77,4,0,3.46,1.21,24,49,23,7,11,11,3,0,0.98,0.98,0.99,6848 d,SD 
9,Pablo Lopez ,66.5,73,4,0,3.62,1.19,27,59,17,8,12,12,3,0,0.95,0.96,0.95,7289 d,MIN 
10,Corbin Burnes ,67.7,69,4,0,3.60,1.19,27,59,19,7,11,11,3,0,0.99,0.99,1.0,7251 d,BAL 
11,Logan Gilbert ,64.7,64,4,0,3.61,1.16,26,59,15,8,11,11,3,0,0.99,0.98,0.99,7453 d,SEA 
12,Paul Skenes ,55.5,64,3,0,3.31,1.14,20,45,16,5,10,10,3,0,0.97,0.95,0.98,47239 ,PIT 
13,Garrett Crochet ,50.6,65,3,0,3.09,1.15,17,39,17,5,12,9,3,0,0.93,0.93,0.94,43886 ,CWS 
14,Logan Webb ,65.8,57,4,0,3.38,1.22,25,64,14,5,11,11,3,0,0.96,0.97,0.96,8146 d,SF 
15,Sonny Gray ,63.9,66,4,0,3.49,1.22,25,56,19,7,11,11,3,0,0.95,0.96,0.95,4755 d,STL 
16,Luis Castillo ,65.0,67,4,0,3.61,1.21,26,57,19,8,11,11,3,0,0.98,0.98,0.98,3679 d,SEA 
17,Framber Valdez ,70.1,65,5,0,3.47,1.30,27,64,23,6,11,11,3,0,0.94,0.96,0.93,7627 d,HOU 
18,Freddy Peralta ,60.4,72,4,0,3.66,1.20,25,48,21,8,11,11,3,0,0.97,0.97,0.97,7274 d,MIL 
19,Aaron Nola ,68.1,69,4,0,3.87,1.19,29,63,15,9,11,11,4,0,0.99,0.99,0.99,5682 d,PHI 
20,Gerrit Cole ,58.4,64,4,0,3.71,1.17,24,51,15,9,10,10,3,0,0.95,0.95,0.96,4656 d,NYY 
21,Kevin Gausman ,64.7,70,4,0,3.74,1.22,27,60,17,9,11,11,3,0,0.93,0.95,0.91,4671 d,TOR 
22,Blake Snell ,58.9,74,4,0,3.51,1.27,23,47,26,6,11,11,3,0,0.85,0.92,0.78,5835 d,SF 
23,Cole Ragans ,62.9,69,4,0,3.58,1.27,25,54,23,7,11,11,3,0,0.97,0.97,0.97,6834 d,KC 
24,Michael King ,60.0,68,4,0,3.58,1.26,24,52,21,7,13,10,3,0,0.9,0.94,0.85,8489 d,SD 
25,Tanner Bibee ,60.8,63,4,0,3.75,1.22,25,54,18,8,11,11,3,0,0.9,0.94,0.87,45056 ,CLE 
26,Zach Eflin ,60.5,53,4,0,3.79,1.19,25,60,10,8,11,11,3,0,0.8,0.89,0.71,6146 d,BAL 
27,Zac Gallen ,65.3,64,4,0,3.79,1.26,27,61,19,7,11,11,3,0,0.97,0.98,0.96,7245 d,ARI 
28,Grayson Rodriguez ,59.5,63,4,0,3.82,1.24,25,53,19,7,11,11,3,0,0.96,0.98,0.95,7924 d,BAL 
29,Justin Steele ,61.5,58,4,0,3.67,1.27,25,59,17,7,11,11,3,0,0.92,0.93,0.9,8158 d,CHC 
30,Shota Imanaga ,58.8,60,3,0,3.81,1.20,25,55,14,8,10,10,3,0,0.96,0.96,0.96,6979 d,CHC 
31,Carlos Rodon ,56.4,64,4,0,4.03,1.22,25,48,18,9,10,10,3,0,0.79,0.86,0.72,5674 d,NYY 
32,Taj Bradley ,55.4,60,4,0,3.88,1.24,24,48,18,8,11,11,3,0,0.73,0.82,0.64,44442 ,TB 
33,Nathan Eovaldi ,60.2,59,4,0,3.91,1.27,26,57,17,8,11,11,3,0,0.87,0.9,0.84,4423 d,TEX 
34,Bailey Ober ,56.3,57,3,0,3.96,1.20,25,52,13,9,10,10,3,0,0.86,0.9,0.82,44064 ,MIN 
35,Max Scherzer ,53.9,59,3,0,3.96,1.20,24,48,14,9,10,10,3,0,0.71,0.83,0.59,3744 d,TEX 
36,Jeffrey Springs ,50.8,53,2,0,3.62,1.19,20,45,14,7,12,9,2,0,0.26,0.43,0.1,8051 d,TB 
37,Nestor Cortes Jr. ,55.1,54,3,0,3.98,1.20,24,50,14,9,12,9,3,0,0.6,0.73,0.46,7375 d,NYY 
38,Chris Bassitt ,66.2,60,4,0,3.99,1.31,29,62,21,8,11,11,4,0,0.76,0.84,0.68,5554 d,TOR 
39,Cristopher Sanchez ,58.4,50,4,0,3.80,1.30,25,56,17,6,11,11,3,0,0.64,0.81,0.47,39312 ,PHI 
40,Jack Flaherty ,59.1,65,3,0,3.91,1.28,26,53,20,7,11,11,4,0,0.86,0.88,0.83,6021 d,DET 
41,Emmanuel Clase ,22.6,22,1,12,2.94,1.12,7,20,5,2,24,0,1,0,0.99,0.99,0.98,27356 ,CLE 
42,Clayton Kershaw ,45.4,45,3,0,3.66,1.22,18,42,12,6,8,8,2,0,0.59,0.75,0.42,3215 d,LAD 
43,Ryan Helsley ,21.3,26,2,11,3.19,1.20,8,16,9,2,23,0,1,0,0.95,0.97,0.93,7481 d,STL 
44,Josh Hader ,21.1,31,1,11,3.11,1.12,7,14,8,2,23,0,1,0,0.93,0.97,0.89,5047 d,HOU 
45,Nick Pivetta ,61.9,68,4,0,4.31,1.29,30,56,22,10,11,11,4,0,0.71,0.75,0.66,6590 d,BOS 
46,Raisel Iglesias ,22.5,25,2,11,3.43,1.17,9,20,6,3,24,0,1,0,0.93,0.97,0.88,5589 d,ATL 
47,Hunter Brown ,54.7,57,4,0,3.94,1.32,24,50,20,6,10,10,3,0,0.79,0.85,0.74,44176 ,HOU 
48,Edwin Diaz ,21.0,30,1,11,3.09,1.13,7,15,7,2,22,0,1,0,0.85,0.93,0.78,5996 d,NYM 
49,Yusei Kikuchi ,56.2,61,3,0,3.94,1.29,25,52,18,8,11,11,3,0,0.38,0.43,0.34,7015 d,HOU 
50,Bryce Miller ,54.1,49,3,0,4.02,1.23,24,51,14,8,10,10,3,0,0.87,0.89,0.84,45184 ,SEA 
51,Max Fried ,44.2,41,3,0,3.47,1.27,17,42,12,4,8,8,2,0,0.96,0.97,0.96,4729 d,ATL 
52,Jhoan Duran ,21.7,27,2,9,3.03,1.22,7,18,8,2,23,0,1,0,0.84,0.92,0.77,8034 d,MIN 
53,Justin Verlander ,54.7,49,4,0,4.18,1.26,25,51,16,8,9,9,3,0,0.74,0.84,0.63,3623 d,HOU 
54,Robbie Ray ,50.3,56,3,0,3.95,1.28,22,45,17,7,11,9,3,0,0.46,0.64,0.29,5484 d,SF 
55,Hunter Greene ,58.9,70,3,0,4.16,1.31,27,50,23,9,11,11,4,0,0.93,0.93,0.93,6871 d,CIN 
56,Clay Holmes ,21.2,22,2,11,3.22,1.26,8,18,7,2,23,0,1,0,0.87,0.92,0.83,6584 d,NYY 
57,Seth Lugo ,62.2,54,4,0,4.14,1.32,29,63,17,8,11,11,4,0,0.94,0.93,0.96,5890 d,KC 
58,Brandon Pfaadt ,55.3,52,3,0,4.13,1.25,25,54,13,8,10,10,3,0,0.58,0.75,0.4,44436 ,ARI 
59,Tanner Houck ,58.0,54,4,0,3.98,1.35,26,56,19,6,11,11,3,0,0.91,0.91,0.92,6987 d,BOS 
60,Andres Munoz ,20.2,27,1,9,2.86,1.20,6,15,8,2,22,0,1,0,0.88,0.94,0.81,24281 ,SEA 
61,Tanner Scott ,21.9,28,2,9,3.24,1.31,8,17,11,2,23,0,1,0,0.77,0.86,0.68,7328 d,MIA 
62,Ryan Pepiot ,43.0,45,3,0,3.90,1.27,19,37,15,6,10,8,3,0,0.54,0.69,0.38,38313 ,TB 
63,David Bednar ,21.3,24,1,11,3.55,1.19,8,18,6,2,23,0,1,0,0.76,0.87,0.65,8451 d,PIT 
64,Luis Gil ,45.2,53,3,0,3.88,1.33,19,37,22,6,12,8,2,0,0.87,0.89,0.84,39290 ,NYY 
