VBR,Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
1,Aaron Judge ,234,50,22,54,4,0.298,0.434,70,12,1,48,73,0.637,1.07,0.99,0.99,1.0,4955 d,NYY 
2,Shohei Ohtani ,237,52,19,48,12,0.286,0.391,68,12,3,35,64,0.598,0.989,1.0,0.0,1.0,7354 d,LAD 
3,Ronald Acuna Jr. ,243,50,14,39,15,0.293,0.394,71,13,1,37,56,0.52,0.914,0.99,0.99,0.99,6966 d,ATL 
4,Bobby Witt Jr. ,258,43,12,40,16,0.292,0.353,75,16,3,21,49,0.515,0.868,0.99,0.99,1.0,6810 d,KC 
5,Jose Ramirez ,258,41,13,42,15,0.28,0.361,72,16,1,27,33,0.499,0.859,0.99,0.99,1.0,5288 d,CLE 
6,Elly De La Cruz ,248,42,12,38,19,0.262,0.338,65,13,2,26,77,0.473,0.811,0.99,0.99,1.0,44884 ,CIN 
7,Kyle Tucker ,246,43,13,41,11,0.279,0.38,68,13,2,37,42,0.507,0.888,0.99,0.99,1.0,6006 d,CHC 
8,Fernando Tatis Jr. ,251,43,14,39,10,0.274,0.355,69,13,1,28,56,0.502,0.857,0.99,0.99,1.0,6853 d,SD 
9,Juan Soto ,229,46,15,42,4,0.274,0.42,63,11,1,54,48,0.523,0.942,0.99,0.99,1.0,6906 d,NYM 
10,Vladimir Guerrero Jr. ,249,41,13,43,2,0.295,0.387,73,15,0,32,39,0.509,0.896,0.99,0.99,1.0,6050 d,TOR 
11,Corbin Carroll ,238,45,11,35,14,0.259,0.345,62,11,5,27,58,0.489,0.834,0.99,0.99,1.0,23993 ,ARI 
12,Trea Turner ,259,40,9,33,12,0.283,0.333,73,13,1,18,50,0.448,0.781,0.98,0.99,0.98,5828 d,PHI 
13,Julio Rodriguez ,261,39,11,37,11,0.27,0.332,71,12,1,20,65,0.455,0.787,0.97,0.99,0.96,43685 ,SEA 
14,Gunnar Henderson ,254,43,12,39,7,0.268,0.35,68,13,2,30,66,0.485,0.835,0.97,0.99,0.96,23372 ,BAL 
15,Pete Crow-Armstrong ,245,38,11,36,16,0.253,0.301,62,11,3,15,65,0.453,0.754,0.98,0.97,0.99,23369 ,CHC 
16,Bryce Harper ,235,39,12,40,5,0.277,0.382,65,15,0,36,57,0.496,0.878,0.99,0.99,1.0,4293 d,PHI 
17,Mookie Betts ,243,42,11,38,5,0.275,0.361,67,14,1,31,34,0.474,0.834,0.99,0.99,1.0,4921 d,LAD 
18,Jackson Chourio ,263,37,10,37,12,0.265,0.312,70,14,2,17,58,0.45,0.762,0.98,0.99,0.98,44592 ,MIL 
19,Francisco Lindor ,254,41,12,37,10,0.258,0.334,65,13,1,25,53,0.456,0.79,0.99,0.99,1.0,4569 d,NYM 
20,James Wood ,234,38,12,36,8,0.267,0.363,63,13,1,33,73,0.48,0.844,0.98,0.99,0.97,44720 ,WSH 
21,Ketel Marte ,230,40,12,38,3,0.28,0.37,64,13,1,30,45,0.507,0.877,0.99,0.99,1.0,5179 d,ARI 
22,Austin Riley ,262,39,13,43,1,0.27,0.337,71,14,1,23,73,0.481,0.818,0.96,0.99,0.92,6022 d,ATL 
23,Kyle Schwarber ,236,43,18,44,3,0.235,0.362,55,9,0,43,78,0.5,0.862,0.98,0.99,0.98,5686 d,PHI 
24,Freddie Freeman ,242,39,9,38,3,0.288,0.379,70,15,1,30,49,0.476,0.856,0.99,0.99,1.0,3365 d,LAD 
25,Jazz Chisholm Jr. ,226,35,13,36,13,0.248,0.323,56,9,1,23,65,0.464,0.787,0.96,0.98,0.93,8449 d,NYY 
26,Manny Machado ,252,36,12,41,4,0.272,0.336,68,13,0,23,51,0.473,0.809,0.99,0.99,1.0,3778 d,SD 
27,Teoscar Hernandez ,239,36,12,41,4,0.266,0.322,64,12,0,17,69,0.478,0.799,0.93,0.96,0.9,4846 d,LAD 
28,Brent Rooker ,228,35,14,39,3,0.266,0.345,61,12,1,25,67,0.51,0.856,0.93,0.98,0.89,7318 d,ATH 
29,Matt Olson ,253,41,15,44,0,0.254,0.354,64,13,0,36,68,0.48,0.835,0.98,0.99,0.97,5718 d,ATL 
30,Zach Neto ,246,38,11,33,12,0.254,0.319,62,13,1,17,65,0.449,0.767,0.54,0.79,0.29,46294 ,LAA 
31,Pete Alonso ,246,38,15,45,1,0.25,0.346,61,12,1,29,64,0.49,0.837,0.99,0.99,1.0,6960 d,NYM 
32,Junior Caminero ,240,33,13,40,3,0.265,0.315,64,11,1,16,52,0.481,0.796,0.93,0.95,0.9,45016 ,TB 
33,Jose Altuve ,247,36,9,33,7,0.269,0.336,67,12,0,23,46,0.437,0.774,0.98,0.98,0.97,4334 d,HOU 
34,Bo Bichette ,250,34,8,34,4,0.285,0.331,71,14,1,16,47,0.444,0.775,0.82,0.93,0.71,6808 d,TOR 
35,CJ Abrams ,240,36,8,28,14,0.26,0.324,62,13,2,17,49,0.431,0.755,0.92,0.97,0.86,19879 ,WSH 
36,Oneil Cruz ,223,34,11,33,13,0.243,0.329,54,11,1,26,75,0.449,0.777,0.89,0.98,0.8,39199 ,PIT 
37,Byron Buxton ,206,35,13,33,7,0.254,0.325,52,11,2,18,62,0.507,0.832,0.84,0.9,0.77,4672 d,MIN 
38,Riley Greene ,238,35,11,37,2,0.268,0.344,64,12,1,25,73,0.472,0.815,0.92,0.96,0.88,19457 ,DET 
39,Christian Yelich ,226,34,9,32,10,0.262,0.355,59,10,1,30,61,0.433,0.788,0.9,0.94,0.86,4596 d,MIL 
40,Cal Raleigh ,223,35,16,42,3,0.235,0.333,52,10,0,29,67,0.501,0.834,0.99,0.99,1.0,8457 d,SEA 
41,Jackson Merrill ,252,34,9,35,5,0.27,0.319,68,13,2,17,50,0.443,0.761,0.92,0.95,0.89,44756 ,SD 
42,Corey Seager ,208,33,12,35,1,0.274,0.365,57,11,0,26,42,0.501,0.866,0.92,0.96,0.88,4805 d,TEX 
43,Josh Naylor ,229,31,9,37,5,0.272,0.344,62,13,0,22,37,0.449,0.793,0.97,0.98,0.96,6054 d,ARI 
44,Rafael Devers ,241,37,12,38,1,0.258,0.362,62,13,1,33,63,0.472,0.835,0.99,0.99,0.99,5175 d,SF 
45,Yandy Diaz ,241,35,8,33,1,0.286,0.358,69,12,0,25,39,0.443,0.802,0.85,0.89,0.81,6677 d,TB 
46,Andy Pages ,236,35,11,37,3,0.258,0.32,61,13,1,18,58,0.457,0.777,0.76,0.83,0.69,43671 ,LAD 
47,Cody Bellinger ,227,33,10,34,6,0.261,0.326,59,11,1,20,41,0.446,0.772,0.96,0.97,0.95,6045 d,NYY 
48,Jacob Wilson ,239,32,5,27,3,0.304,0.348,73,14,1,14,23,0.43,0.777,0.79,0.77,0.82,47235 ,ATH 
49,Michael Harris II ,234,32,8,31,9,0.266,0.309,62,12,2,13,49,0.429,0.737,0.64,0.72,0.56,43924 ,ATL 
50,Mike Trout ,205,34,14,36,2,0.251,0.362,51,8,1,31,64,0.501,0.864,0.91,0.95,0.86,3785 d,LAA 
51,Luis Robert Jr. ,234,31,10,31,14,0.238,0.303,56,12,0,19,74,0.42,0.724,0.39,0.62,0.17,6935 d,CWS 
52,Steven Kwan ,258,37,4,25,8,0.284,0.354,73,13,2,27,27,0.393,0.747,0.93,0.9,0.96,44349 ,CLE 
53,Luis Arraez ,255,33,3,27,3,0.305,0.348,78,13,2,15,13,0.401,0.75,0.9,0.83,0.96,8162 d,SD 
54,George Springer ,233,35,10,33,6,0.253,0.335,59,11,1,27,50,0.436,0.771,0.84,0.86,0.82,4614 d,TOR 
55,Nick Castellanos ,255,33,9,37,3,0.263,0.312,67,14,1,16,61,0.436,0.747,0.75,0.85,0.66,4631 d,PHI 
56,Wyatt Langford ,219,33,10,31,8,0.253,0.333,55,11,1,24,55,0.445,0.778,0.84,0.92,0.76,47238 ,TEX 
57,Nico Hoerner ,243,32,3,25,12,0.28,0.335,68,12,1,17,26,0.379,0.714,0.9,0.87,0.92,7934 d,CHC 
58,Vinnie Pasquantino ,241,32,10,37,1,0.266,0.337,64,13,1,23,39,0.456,0.793,0.79,0.87,0.72,44894 ,KC 
59,Taylor Ward ,246,35,12,37,2,0.247,0.327,61,12,1,27,67,0.446,0.773,0.75,0.84,0.66,6071 d,LAA 
60,Lawrence Butler ,233,34,10,30,8,0.249,0.311,58,13,1,21,65,0.436,0.748,0.82,0.94,0.69,45753 ,ATH 
61,Jeremy Pena ,218,31,7,26,7,0.277,0.327,61,11,1,13,42,0.427,0.753,0.85,0.91,0.78,43642 ,HOU 
62,Matt Chapman ,240,36,11,35,5,0.243,0.337,58,13,1,31,68,0.445,0.782,0.82,0.91,0.74,6315 d,SF 
63,Seiya Suzuki ,200,30,10,33,4,0.264,0.342,53,10,1,22,57,0.483,0.825,0.96,0.97,0.95,6973 d,CHC 
64,Alec Bohm ,249,32,7,34,2,0.277,0.328,69,13,1,18,42,0.422,0.75,0.77,0.82,0.72,7921 d,PHI 
65,Marcell Ozuna ,223,33,12,37,0,0.255,0.345,57,10,0,30,60,0.458,0.803,0.81,0.9,0.71,4726 d,ATL 
66,Randy Arozarena ,238,35,9,32,10,0.24,0.338,57,12,1,29,71,0.417,0.755,0.81,0.92,0.71,6962 d,SEA 
67,Maikel Garcia ,229,31,4,25,13,0.271,0.327,62,13,2,20,41,0.394,0.721,0.91,0.9,0.91,44626 ,KC 
68,Alex Bregman ,226,33,10,34,1,0.266,0.35,60,13,1,26,36,0.459,0.808,0.97,0.97,0.97,5973 d,BOS 
69,Jarren Duran ,221,34,6,27,10,0.262,0.324,58,14,3,18,56,0.441,0.764,0.96,0.98,0.93,10054 ,BOS 
70,Eugenio Suarez ,235,33,13,40,1,0.24,0.318,56,11,0,23,74,0.453,0.771,0.92,0.95,0.88,5332 d,ARI 
71,Cedric Mullins II ,219,32,9,29,12,0.236,0.308,52,10,1,22,52,0.413,0.721,0.46,0.53,0.39,7400 d,BAL 
72,Dansby Swanson ,255,34,9,34,6,0.247,0.312,63,11,1,23,70,0.41,0.722,0.68,0.85,0.52,5965 d,CHC 
73,Jo Adell ,214,30,12,35,5,0.237,0.306,51,10,1,17,64,0.463,0.769,0.42,0.58,0.26,6899 d,LAA 
74,Bryan Reynolds ,243,32,9,33,3,0.259,0.333,63,12,2,24,63,0.428,0.761,0.66,0.77,0.54,6818 d,PIT 
75,Anthony Volpe ,251,35,8,31,11,0.236,0.304,59,13,2,23,64,0.395,0.699,0.56,0.73,0.38,43704 ,NYY 
76,Willy Adames ,244,34,10,34,5,0.24,0.323,59,13,1,28,67,0.424,0.746,0.68,0.82,0.54,5988 d,SF 
77,William Contreras ,229,33,8,32,3,0.263,0.355,60,12,0,31,53,0.427,0.782,0.97,0.97,0.97,7659 d,MIL 
78,Willson Contreras ,229,33,10,34,3,0.249,0.345,57,12,0,26,63,0.433,0.779,0.91,0.95,0.87,5919 d,STL 
79,Adolis Garcia ,233,31,11,35,6,0.235,0.297,55,11,0,18,68,0.427,0.723,0.52,0.6,0.43,6901 d,TEX 
80,Ryan O'Hearn ,212,30,9,31,2,0.269,0.342,57,10,1,21,42,0.446,0.789,0.27,0.29,0.24,6681 d,BAL 
81,Ezequiel Tovar ,236,30,8,30,4,0.266,0.302,63,13,2,11,62,0.443,0.745,0.3,0.46,0.14,45000 ,COL 
82,Tyler Freeman ,197,29,4,22,10,0.285,0.36,56,11,1,17,27,0.41,0.77,0.12,0.18,0.05,10024 ,COL 
83,Tommy Edman ,231,33,7,30,8,0.251,0.307,58,12,1,17,43,0.407,0.714,0.72,0.68,0.76,7752 d,LAD 
84,Masyn Winn ,252,35,7,28,6,0.256,0.311,65,13,2,20,49,0.397,0.709,0.43,0.49,0.36,43906 ,STL 
85,Brandon Nimmo ,225,34,9,30,4,0.254,0.341,57,11,1,26,53,0.433,0.774,0.82,0.87,0.78,4685 d,NYM 
86,Ozzie Albies ,247,33,8,33,5,0.253,0.313,62,13,1,20,42,0.411,0.724,0.84,0.86,0.81,5980 d,ATL 
87,Brenton Doyle ,232,31,8,28,10,0.246,0.298,57,10,2,17,68,0.415,0.713,0.36,0.52,0.21,45599 ,COL 
88,Xander Bogaerts ,229,30,6,28,7,0.267,0.336,61,12,0,22,44,0.398,0.734,0.73,0.78,0.68,4347 d,SD 
89,Ian Happ ,237,36,9,32,4,0.244,0.341,58,13,1,33,64,0.421,0.762,0.85,0.88,0.82,6008 d,CHC 
90,Michael Busch ,214,32,10,33,2,0.251,0.339,54,11,1,25,62,0.449,0.788,0.65,0.79,0.52,23859 ,CHC 
91,Christian Walker ,241,33,12,38,1,0.236,0.315,57,11,1,24,65,0.437,0.752,0.6,0.73,0.48,4905 d,HOU 
92,Luis Garcia ,218,27,7,28,6,0.273,0.316,59,12,1,13,35,0.425,0.742,0.5,0.59,0.41,7507 d,WSH 
93,Isaac Paredes ,225,34,11,34,1,0.247,0.347,55,10,1,30,43,0.444,0.792,0.89,0.9,0.89,10050 ,HOU 
94,Jordan Westburg ,208,31,9,30,3,0.26,0.319,54,11,1,16,53,0.457,0.776,0.64,0.79,0.49,43831 ,BAL 
95,Brice Turang ,233,30,4,23,15,0.254,0.321,59,10,1,23,50,0.358,0.679,0.79,0.9,0.69,6817 d,MIL 
96,Heliot Ramos ,227,32,9,30,3,0.257,0.323,58,11,1,19,62,0.433,0.756,0.64,0.84,0.44,10033 ,SF 
97,Colton Cowser ,211,31,10,31,4,0.245,0.331,52,10,1,24,71,0.439,0.77,0.29,0.47,0.1,44669 ,BAL 
98,Gleyber Torres ,235,33,7,29,3,0.264,0.346,62,12,0,29,44,0.408,0.754,0.83,0.81,0.86,5133 d,DET 
99,Lourdes Gurriel Jr. ,215,27,7,30,3,0.273,0.319,59,12,1,13,38,0.435,0.754,0.54,0.5,0.58,6931 d,ARI 
100,Brandon Lowe ,198,30,11,32,2,0.248,0.323,49,9,0,20,55,0.466,0.789,0.67,0.83,0.52,7236 d,TB 
101,Marcus Semien ,243,34,9,32,4,0.245,0.318,59,11,1,25,45,0.407,0.724,0.84,0.89,0.79,4544 d,TEX 
102,Ceddanne Rafaela ,206,28,7,27,8,0.257,0.294,53,11,2,9,50,0.425,0.719,0.51,0.73,0.29,45510 ,BOS 
103,Will Smith ,185,30,9,30,1,0.266,0.362,49,10,1,24,38,0.467,0.829,0.98,0.97,0.99,7671 d,LAD 
104,Carlos Correa ,224,31,8,31,0,0.269,0.342,60,12,1,23,48,0.438,0.78,0.31,0.26,0.37,4673 d,MIN 
105,Jurickson Profar ,241,35,7,31,3,0.256,0.344,61,12,0,29,45,0.401,0.745,0.43,0.52,0.35,4581 d,ATL 
