VBR,Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
45,Paul Goldschmidt ,391,57,16,57,6,0.256,0.344,100,20,1,49,108,0.434,0.778,0.87,0.95,0.79,4403 d,STL 
46,Randy Arozarena ,369,55,15,50,17,0.244,0.335,90,18,2,42,106,0.423,0.758,0.86,0.95,0.78,6962 d,TB 
47,William Contreras ,353,54,14,52,3,0.279,0.356,98,20,1,40,86,0.465,0.821,0.99,0.99,1.0,7659 d,MIL 
48,Nico Hoerner ,381,53,6,40,20,0.279,0.343,106,19,3,31,49,0.389,0.732,0.9,0.94,0.87,7934 d,CHC 
49,Tyler O'Neill ,350,54,19,54,8,0.246,0.333,86,17,1,40,113,0.459,0.793,0.66,0.79,0.52,5050 d,BOS 
50,Willy Adames ,391,55,18,60,7,0.244,0.323,95,22,1,43,108,0.446,0.769,0.84,0.88,0.79,5988 d,MIL 
51,Seiya Suzuki ,352,53,15,50,6,0.267,0.348,94,19,2,40,89,0.457,0.805,0.81,0.88,0.75,6973 d,CHC 
52,Oneil Cruz ,357,52,16,51,13,0.247,0.317,88,18,2,34,116,0.444,0.76,0.73,0.94,0.52,39199 ,PIT 
53,Ezequiel Tovar ,411,54,12,50,10,0.261,0.299,107,23,3,21,112,0.42,0.719,0.52,0.81,0.23,45000 ,COL 
54,Luis Arraez ,378,51,4,39,4,0.312,0.366,118,21,2,29,27,0.41,0.776,0.95,0.94,0.96,8162 d,SD 
55,Gleyber Torres ,370,51,14,49,9,0.259,0.329,96,17,1,38,78,0.424,0.753,0.73,0.82,0.64,5133 d,NYY 
56,Jeremy Pena ,393,52,10,47,11,0.267,0.316,105,19,2,24,83,0.406,0.721,0.81,0.88,0.74,43642 ,HOU 
57,Christopher Morel ,346,51,18,55,8,0.24,0.314,83,15,3,35,107,0.457,0.771,0.77,0.88,0.67,44057 ,CHC 
58,Alec Bohm ,372,48,10,54,3,0.278,0.333,104,22,1,28,67,0.426,0.759,0.95,0.95,0.96,7921 d,PHI 
59,Adley Rutschman ,357,54,13,49,2,0.271,0.358,97,21,1,45,66,0.446,0.805,0.99,0.99,1.0,8022 d,BAL 
60,Anthony Santander ,382,52,19,59,2,0.243,0.312,93,21,1,33,89,0.454,0.767,0.84,0.85,0.83,4903 d,BAL 
61,Nolan Arenado ,401,50,15,59,2,0.258,0.318,103,22,1,32,66,0.43,0.748,0.91,0.94,0.89,4350 d,STL 
62,Anthony Volpe ,382,56,13,46,18,0.236,0.31,90,19,3,37,101,0.403,0.713,0.9,0.95,0.85,43704 ,NYY 
63,Alex Bregman ,383,56,14,56,2,0.253,0.348,97,21,1,53,56,0.422,0.77,0.9,0.93,0.87,5973 d,HOU 
64,Jarren Duran ,347,51,8,39,19,0.258,0.32,90,21,6,28,93,0.422,0.742,0.81,0.89,0.74,10054 ,BOS 
65,Yandy Diaz ,356,53,11,45,1,0.28,0.366,100,20,1,45,58,0.427,0.793,0.88,0.91,0.84,6677 d,TB 
66,Spencer Steer ,349,49,13,52,9,0.252,0.337,88,21,2,40,79,0.436,0.772,0.96,0.97,0.95,44364 ,CIN 
67,Lane Thomas ,381,52,13,47,14,0.243,0.305,93,20,2,31,100,0.412,0.718,0.61,0.81,0.41,8293 d,WSH 
68,George Springer ,363,52,14,46,11,0.248,0.322,90,17,1,37,75,0.412,0.734,0.73,0.74,0.71,4614 d,TOR 
69,Luis Rengifo ,359,49,12,44,11,0.26,0.318,93,16,3,28,68,0.417,0.734,0.7,0.78,0.63,8153 d,LAA 
70,Ryan McMahon ,357,50,16,51,4,0.252,0.335,90,18,1,43,112,0.439,0.774,0.75,0.87,0.63,5009 d,COL 
71,Ryan Mountcastle ,346,46,15,51,3,0.263,0.32,91,17,1,27,89,0.448,0.768,0.55,0.75,0.35,7239 d,BAL 
72,Vinnie Pasquantino ,347,48,13,53,1,0.268,0.351,93,23,2,40,52,0.459,0.81,0.75,0.78,0.73,44894 ,KC 
73,Cedric Mullins II ,341,48,12,42,20,0.239,0.303,82,16,2,29,79,0.405,0.708,0.65,0.68,0.61,7400 d,BAL 
74,Starling Marte ,347,47,9,38,19,0.258,0.314,90,15,2,22,78,0.387,0.701,0.47,0.69,0.25,4377 d,NYM 
75,Salvador Perez ,329,41,16,55,0,0.268,0.32,88,16,1,17,77,0.466,0.786,0.97,0.97,0.96,4147 d,KC 
76,Brandon Nimmo ,366,56,12,47,4,0.259,0.36,95,19,3,51,88,0.429,0.788,0.83,0.81,0.85,4685 d,NYM 
77,Maikel Garcia ,363,50,6,38,17,0.268,0.323,97,20,3,30,77,0.387,0.71,0.78,0.89,0.67,44626 ,KC 
78,Nick Castellanos ,376,48,14,53,5,0.253,0.304,95,20,1,25,99,0.428,0.731,0.74,0.87,0.62,4631 d,PHI 
79,Thairo Estrada ,368,48,11,43,13,0.256,0.305,94,17,2,20,76,0.4,0.705,0.6,0.78,0.42,7544 d,SF 
80,Trea Turner ,272,42,9,35,14,0.283,0.336,77,16,2,20,58,0.454,0.79,0.99,0.99,0.99,5828 d,PHI 
81,J.T. Realmuto ,324,47,13,45,9,0.257,0.321,83,16,2,25,86,0.44,0.761,0.95,0.98,0.92,5371 d,PHI 
82,Daulton Varsho ,348,50,16,49,12,0.229,0.301,80,17,2,34,92,0.429,0.73,0.59,0.68,0.5,7551 d,TOR 
83,Bryson Stott ,337,46,8,41,16,0.262,0.328,88,17,2,31,62,0.398,0.726,0.91,0.93,0.89,22308 ,PHI 
84,Dansby Swanson ,363,51,13,48,8,0.249,0.318,90,17,2,35,99,0.418,0.736,0.73,0.83,0.63,5965 d,CHC 
85,Riley Greene ,356,52,12,44,5,0.262,0.341,93,17,3,40,104,0.432,0.773,0.73,0.87,0.58,19457 ,DET 
86,Ceddanne Rafaela ,352,47,10,44,15,0.249,0.286,88,19,3,16,89,0.403,0.69,0.17,0.28,0.07,45510 ,BOS 
87,Brenton Doyle ,366,49,11,42,18,0.24,0.289,88,16,3,24,126,0.393,0.683,0.44,0.68,0.21,45599 ,COL 
88,Nathaniel Lowe ,363,49,12,49,2,0.265,0.351,96,18,1,46,92,0.423,0.774,0.46,0.69,0.23,7914 d,TEX 
89,Spencer Torkelson ,376,51,17,54,2,0.238,0.32,90,21,1,41,98,0.437,0.757,0.56,0.66,0.46,43877 ,DET 
90,Will Smith ,297,46,13,49,1,0.266,0.359,79,17,1,36,57,0.465,0.824,0.99,0.99,1.0,7671 d,LAD 
91,Steven Kwan ,347,51,4,34,11,0.282,0.352,98,18,4,36,37,0.391,0.743,0.9,0.86,0.95,44349 ,CLE 
92,Zach Neto ,350,48,13,45,10,0.245,0.315,86,19,1,27,93,0.412,0.727,0.12,0.19,0.05,46294 ,LAA 
93,Lourdes Gurriel Jr. ,345,43,11,47,4,0.27,0.318,93,20,1,22,66,0.43,0.747,0.75,0.7,0.81,6931 d,ARI 
94,Mike Trout ,238,42,17,41,4,0.261,0.364,62,11,2,34,73,0.538,0.902,0.95,0.96,0.94,3785 d,LAA 
95,Ian Happ ,370,52,12,49,7,0.244,0.341,90,20,2,51,103,0.41,0.75,0.62,0.6,0.63,6008 d,CHC 
96,Jo Adell ,330,46,17,48,10,0.228,0.291,75,15,2,25,114,0.439,0.73,0.36,0.56,0.17,6899 d,LAA 
97,Isaac Paredes ,327,45,16,52,1,0.248,0.341,81,16,1,40,63,0.451,0.792,0.91,0.92,0.89,10050 ,TB 
98,Jake Burger ,361,45,17,53,1,0.243,0.301,88,18,1,25,102,0.443,0.744,0.36,0.54,0.18,10074 ,MIA 
99,Carlos Correa ,351,49,13,48,0,0.259,0.34,91,19,1,41,83,0.436,0.776,0.55,0.63,0.47,4673 d,MIN 
100,Matt Chapman ,360,50,16,50,4,0.236,0.323,85,19,2,42,108,0.431,0.754,0.63,0.8,0.46,6315 d,SF 
101,Byron Buxton ,317,47,17,47,7,0.23,0.3,73,18,2,26,106,0.457,0.757,0.26,0.38,0.14,4672 d,MIN 
102,Ha-Seong Kim ,333,47,10,39,17,0.241,0.328,80,15,2,41,72,0.384,0.712,0.93,0.94,0.91,6866 d,SD 
103,Kerry Carpenter ,312,41,14,48,3,0.256,0.321,80,15,3,24,82,0.454,0.775,0.44,0.7,0.18,45596 ,DET 
104,Jorge Soler ,337,47,18,51,1,0.235,0.325,79,16,0,41,93,0.442,0.767,0.52,0.57,0.48,4495 d,SF 
105,Lars Nootbaar ,317,49,12,43,6,0.249,0.351,79,16,2,48,74,0.427,0.778,0.27,0.36,0.18,44339 ,STL 
106,Tommy Pham ,333,46,11,39,11,0.249,0.325,83,17,1,35,84,0.404,0.729,0.16,0.22,0.11,5584 d,CWS 
107,Brendan Rodgers ,359,44,9,44,1,0.273,0.325,98,20,2,25,77,0.413,0.738,0.03,0.04,0.02,5966 d,COL 
108,Luis Garcia ,332,40,8,42,7,0.271,0.314,90,18,2,20,56,0.413,0.727,0.19,0.27,0.11,7507 d,WSH 
109,Brent Rooker ,318,43,18,49,3,0.234,0.322,74,15,1,34,117,0.455,0.776,0.72,0.87,0.58,7318 d,OAK 
110,Max Kepler ,328,46,13,47,3,0.246,0.327,81,19,1,36,71,0.433,0.761,0.35,0.45,0.26,5357 d,MIN 
111,Jeimer Candelario ,334,45,13,49,3,0.247,0.322,82,20,2,33,87,0.436,0.758,0.26,0.39,0.13,5920 d,CIN 
112,Adam Duvall ,336,45,18,52,3,0.224,0.287,75,15,2,26,109,0.441,0.728,0.06,0.1,0.02,5317 d,ATL 
113,Brice Turang ,325,43,6,33,20,0.25,0.317,81,16,2,32,69,0.368,0.685,0.78,0.86,0.69,6817 d,MIL 
114,Brandon Marsh ,316,43,9,40,10,0.252,0.331,80,16,3,36,106,0.408,0.739,0.24,0.35,0.13,7393 d,PHI 
115,Jake Cronenworth ,349,47,10,47,4,0.25,0.329,87,20,3,35,69,0.414,0.744,0.86,0.85,0.87,7868 d,SD 
116,Jackson Chourio ,311,39,10,38,14,0.247,0.292,77,14,1,19,79,0.395,0.688,0.44,0.66,0.23,44592 ,MIL 
117,Chas McCormick ,304,42,11,41,10,0.243,0.321,74,12,1,31,89,0.399,0.72,0.21,0.33,0.08,10177 ,HOU 
118,Josh Bell ,363,45,13,49,0,0.249,0.335,90,17,1,43,81,0.41,0.745,0.28,0.26,0.3,4664 d,MIA 
119,Nolan Gorman ,293,42,16,46,4,0.232,0.314,68,13,0,33,103,0.443,0.757,0.35,0.58,0.13,7471 d,STL 
120,Jake Fraley ,268,38,9,37,14,0.251,0.336,67,13,1,31,65,0.409,0.745,0.09,0.16,0.03,8083 d,CIN 
121,Orlando Arcia ,379,47,12,47,1,0.248,0.302,94,19,1,28,78,0.395,0.696,0.16,0.17,0.15,4860 d,ATL 
122,Jeff McNeil ,367,44,6,39,4,0.273,0.336,100,21,1,28,45,0.387,0.723,0.38,0.19,0.57,8027 d,NYM 
123,Wilyer Abreu ,304,45,11,40,8,0.244,0.333,74,17,2,39,91,0.414,0.747,0.31,0.47,0.15,45630 ,BOS 
124,Cal Raleigh ,322,43,18,52,1,0.223,0.297,72,16,1,32,103,0.449,0.746,0.78,0.86,0.71,8457 d,SEA 
