VBR,Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
1,Ronald Acuna Jr. ,438,93,25,69,40,0.299,0.393,131,25,2,60,88,0.53,0.923,0.99,0.99,1.0,6966 d,ATL 
2,Shohei Ohtani ,405,80,29,80,16,0.286,0.393,116,23,4,62,108,0.572,0.966,1.0,0.0,1.0,7354 d,LAD 
3,Bobby Witt Jr. ,444,75,20,65,33,0.281,0.334,125,25,6,32,86,0.495,0.829,0.99,0.99,1.0,6810 d,KC 
4,Kyle Tucker ,435,76,25,76,19,0.278,0.368,121,25,3,58,76,0.517,0.885,0.99,0.99,1.0,6006 d,HOU 
5,Aaron Judge ,395,76,32,82,5,0.269,0.394,106,18,0,73,125,0.561,0.955,0.99,0.99,1.0,4955 d,NYY 
6,Fernando Tatis Jr. ,427,75,25,70,20,0.271,0.347,116,23,2,47,106,0.509,0.856,0.99,0.99,1.0,6853 d,SD 
7,Juan Soto ,397,80,26,73,9,0.281,0.421,111,20,1,90,77,0.531,0.952,0.99,0.99,1.0,6906 d,NYY 
8,Mookie Betts ,421,82,22,69,11,0.286,0.382,121,26,2,61,71,0.517,0.9,0.99,0.99,1.0,4921 d,LAD 
9,Yordan Alvarez ,387,70,27,78,1,0.291,0.392,112,22,1,55,86,0.562,0.954,0.99,0.99,1.0,6461 d,HOU 
10,Julio Rodriguez ,444,70,20,63,25,0.273,0.338,121,24,2,36,117,0.469,0.807,0.98,0.99,0.97,43685 ,SEA 
11,Freddie Freeman ,421,73,17,67,9,0.299,0.396,126,28,2,56,79,0.495,0.89,0.99,0.99,1.0,3365 d,LAD 
12,Jose Ramirez ,425,67,20,70,18,0.274,0.361,116,26,3,48,55,0.489,0.85,0.99,0.99,1.0,5288 d,CLE 
13,Matt Olson ,429,73,28,81,1,0.259,0.366,111,22,1,65,113,0.508,0.874,0.99,0.99,1.0,5718 d,ATL 
14,Austin Riley ,444,71,24,75,2,0.273,0.347,122,24,2,42,117,0.5,0.846,0.98,0.99,0.97,6022 d,ATL 
15,Rafael Devers ,426,67,24,74,3,0.279,0.363,119,26,1,46,94,0.514,0.877,0.98,0.99,0.98,5175 d,BOS 
16,Vladimir Guerrero Jr. ,431,67,22,71,4,0.28,0.366,121,23,1,51,76,0.49,0.855,0.98,0.99,0.98,6050 d,TOR 
17,Corbin Carroll ,422,71,14,55,31,0.264,0.345,111,21,5,46,96,0.442,0.787,0.98,0.99,0.97,23993 ,ARI 
18,Bryce Harper ,384,67,21,67,9,0.279,0.396,107,23,1,66,98,0.508,0.904,0.99,0.99,1.0,4293 d,PHI 
19,Elly De La Cruz ,414,67,18,57,35,0.248,0.318,102,20,4,39,142,0.444,0.762,0.99,0.99,0.99,44884 ,CIN 
20,Gunnar Henderson ,439,74,22,66,11,0.258,0.338,113,21,5,49,124,0.48,0.818,0.99,0.99,1.0,23372 ,BAL 
21,Michael Harris II ,432,64,15,59,18,0.28,0.328,121,26,3,26,93,0.458,0.786,0.95,0.97,0.93,43924 ,ATL 
22,Pete Alonso ,427,66,29,78,3,0.245,0.341,105,19,1,48,102,0.494,0.835,0.99,0.99,0.98,6960 d,NYM 
23,Ozzie Albies ,442,69,18,66,10,0.271,0.329,120,25,2,34,79,0.465,0.794,0.99,0.99,0.99,5980 d,ATL 
24,Jose Altuve ,421,71,17,55,12,0.273,0.349,115,23,1,45,77,0.455,0.804,0.99,0.99,1.0,4334 d,HOU 
25,Bo Bichette ,439,60,15,61,10,0.284,0.329,125,25,2,28,89,0.451,0.78,0.9,0.96,0.85,6808 d,TOR 
26,Marcus Semien ,442,70,18,61,10,0.262,0.328,116,24,2,43,78,0.452,0.78,0.99,0.99,1.0,4544 d,TEX 
27,Francisco Lindor ,435,66,19,63,17,0.248,0.326,108,21,2,45,90,0.437,0.763,0.98,0.99,0.96,4569 d,NYM 
28,Corey Seager ,378,61,20,62,1,0.284,0.365,107,23,1,42,70,0.505,0.87,0.98,0.98,0.98,4805 d,TEX 
29,Marcell Ozuna ,403,60,24,71,1,0.259,0.332,104,18,0,42,102,0.488,0.819,0.97,0.97,0.97,4726 d,ATL 
30,Manny Machado ,420,60,20,69,5,0.261,0.332,110,20,1,41,90,0.458,0.79,0.97,0.98,0.96,3778 d,SD 
31,Josh Naylor ,387,53,18,66,7,0.278,0.349,107,23,0,35,61,0.48,0.83,0.94,0.95,0.93,6054 d,CLE 
32,Ketel Marte ,427,66,16,61,5,0.274,0.35,117,26,3,46,85,0.466,0.816,0.98,0.97,0.99,5179 d,ARI 
33,Cody Bellinger ,400,59,17,61,12,0.262,0.332,105,20,2,38,84,0.452,0.784,0.97,0.98,0.95,6045 d,CHC 
34,Teoscar Hernandez ,395,57,21,67,6,0.259,0.313,102,19,1,28,123,0.472,0.785,0.93,0.97,0.89,4846 d,LAD 
