VBR,Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
1,Shohei Ohtani ,375,82,30,76,22,0.289,0.393,108,20,4,56,99,0.598,0.991,1.0,0.0,1.0,7354 d,LAD 
2,Aaron Judge ,368,79,34,86,6,0.298,0.431,110,19,1,75,110,0.63,1.061,0.99,0.99,1.0,4955 d,NYY 
3,Ronald Acuna Jr. ,353,72,19,56,28,0.295,0.39,104,19,1,49,75,0.521,0.911,0.99,0.99,0.99,6966 d,ATL 
4,Bobby Witt Jr. ,400,69,18,62,26,0.292,0.355,117,25,5,33,73,0.513,0.867,0.99,0.99,1.0,6810 d,KC 
5,Fernando Tatis Jr. ,399,69,24,64,15,0.277,0.349,111,21,1,40,93,0.517,0.866,0.99,0.99,1.0,6853 d,SD 
6,Kyle Tucker ,380,67,21,64,17,0.278,0.378,106,20,3,57,63,0.508,0.886,0.99,0.99,1.0,6006 d,CHC 
7,Jose Ramirez ,393,63,19,64,22,0.278,0.357,109,24,2,41,51,0.496,0.853,0.99,0.99,1.0,5288 d,CLE 
8,Corbin Carroll ,388,72,18,57,24,0.261,0.344,101,18,7,44,91,0.484,0.829,0.99,0.99,1.0,23993 ,ARI 
9,Vladimir Guerrero Jr. ,393,65,20,66,3,0.293,0.382,115,22,0,50,64,0.508,0.891,0.99,0.99,1.0,6050 d,TOR 
10,Julio Rodriguez ,408,63,19,62,18,0.275,0.34,112,19,2,34,100,0.474,0.814,0.98,0.99,0.97,43685 ,SEA 
11,Elly De La Cruz ,383,62,17,56,33,0.255,0.33,98,20,4,40,126,0.459,0.789,0.99,0.99,1.0,44884 ,CIN 
12,Juan Soto ,357,70,22,63,7,0.271,0.415,97,18,1,84,73,0.508,0.923,0.99,0.99,1.0,6906 d,NYM 
13,Mookie Betts ,384,69,18,61,9,0.278,0.368,107,21,2,52,55,0.484,0.853,0.99,0.99,1.0,4921 d,LAD 
14,Bryce Harper ,380,63,19,64,8,0.28,0.385,106,24,1,58,91,0.498,0.883,0.99,0.99,1.0,4293 d,PHI 
15,Gunnar Henderson ,379,65,20,60,11,0.268,0.35,101,20,3,45,101,0.494,0.844,0.99,0.99,1.0,23372 ,BAL 
16,Freddie Freeman ,371,62,16,61,6,0.295,0.389,110,23,2,48,70,0.495,0.884,0.99,0.99,1.0,3365 d,LAD 
17,Trea Turner ,407,62,14,52,18,0.281,0.333,114,21,2,29,83,0.444,0.778,0.98,0.99,0.96,5828 d,PHI 
18,Francisco Lindor ,397,64,19,57,16,0.26,0.338,103,20,1,40,82,0.457,0.795,0.99,0.99,1.0,4569 d,NYM 
