VBR,Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
403,Brewer Hicklen ,7,1,0,1,0,0.181,0.277,1,0,0,1,2,0.244,0.521,0.0,0.0,0.0,8322 d,ATL 
404,Ali Sanchez ,7,1,0,1,0,0.181,0.227,1,0,0,0,2,0.218,0.444,0.0,0.0,0.0,8389 d,NYY 
405,Ronny Mauricio ,7,1,0,1,0,0.192,0.217,1,0,0,0,2,0.296,0.513,0.0,0.0,0.0,9998 d,NYM 
406,Jhonny Pereda ,7,1,0,1,0,0.221,0.311,1,0,0,1,1,0.275,0.587,0.0,0.0,0.0,43764 ,SEA 
407,Hunter Feduccia ,7,1,0,1,0,0.194,0.291,1,0,0,1,2,0.238,0.528,0.0,0.0,0.0,44211 ,LAD 
408,Marcelo Mayer ,7,1,0,1,0,0.176,0.203,1,0,0,0,2,0.225,0.428,0.02,0.03,0.02,44663 ,SF 
409,Kyle Manzardo ,7,1,0,1,0,0.2,0.302,1,0,0,1,2,0.294,0.596,0.04,0.05,0.02,44758 ,CLE 
410,Nate Eaton ,7,1,0,1,0,0.165,0.202,1,0,0,0,2,0.208,0.41,0.0,0.0,0.0,45484 ,BOS 
411,David Fry ,7,1,0,1,0,0.176,0.277,1,0,0,1,2,0.24,0.517,0.0,0.0,0.0,45488 ,CLE 
412,Bryce Teodosio ,7,1,0,1,0,0.166,0.191,1,0,0,0,2,0.205,0.396,0.0,0.0,0.0,45582 ,LAA 
413,Ben Malgeri ,7,1,0,1,0,0.198,0.285,1,0,0,1,2,0.261,0.546,0.0,0.0,0.0,47389 ,DET 
414,Rece Hinds ,7,1,0,1,0,0.171,0.209,1,0,0,0,2,0.228,0.436,0.0,0.0,0.0,20650 ,BAL 
415,Jose Fernandez ,5,1,0,0,0,0.249,0.276,1,0,0,0,1,0.306,0.582,0.01,0.01,0.01,8488 d,ARI 
416,Jorge Barrosa ,5,1,0,0,0,0.202,0.246,1,0,0,0,1,0.245,0.491,0.0,0.0,0.0,45561 ,HOU 
417,Kyle Farmer ,3,0,0,0,0,0.181,0.267,1,0,0,0,1,0.233,0.501,0.0,0.0,0.0,5706 d,ATL 
418,Luke Maile ,3,0,0,0,0,0.159,0.25,1,0,0,0,1,0.2,0.45,0.0,0.0,0.0,5834 d,KC 
419,BJ Murray ,3,0,0,0,0,0.226,0.303,1,0,0,0,1,0.361,0.665,0.0,0.0,0.0,47331 ,CHC 
420,Tyler Heineman ,12,1,0,1,0,0.19,0.252,2,0,0,1,2,0.221,0.473,0.0,0.0,0.0,5148 d,LAA 
