VBR,Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
1,Shohei Ohtani ,146,32,12,30,7,0.288,0.395,42,7,2,22,41,0.609,1.003,1.0,0.0,1.0,7354 d,LAD 
2,Bobby Witt Jr. ,157,27,7,24,9,0.293,0.356,46,10,2,13,30,0.52,0.876,0.99,0.99,1.0,6810 d,KC 
3,Aaron Judge ,124,27,12,29,2,0.291,0.427,36,6,0,25,39,0.62,1.047,0.99,0.99,1.0,4955 d,NYY 
4,Jose Ramirez ,157,25,8,25,10,0.282,0.366,44,10,1,17,20,0.508,0.874,0.99,0.99,1.0,5288 d,CLE 
5,Kyle Tucker ,153,27,8,25,7,0.274,0.38,42,8,1,24,26,0.489,0.869,0.99,0.99,1.0,6006 d,CHC 
6,Juan Soto ,142,29,9,26,4,0.272,0.416,39,7,0,33,31,0.523,0.939,0.99,0.99,1.0,6906 d,NYM 
7,Ronald Acuna Jr. ,126,25,7,21,7,0.292,0.395,37,7,1,19,30,0.527,0.922,0.99,0.99,0.99,6966 d,ATL 
8,Fernando Tatis Jr. ,150,27,8,23,6,0.275,0.361,41,8,0,18,34,0.499,0.86,0.99,0.99,1.0,6853 d,SD 
9,Elly De La Cruz ,149,25,6,22,12,0.262,0.339,39,8,1,16,46,0.463,0.802,0.99,0.99,1.0,44884 ,CIN 
10,Vladimir Guerrero Jr. ,149,25,8,26,1,0.298,0.391,44,9,0,20,24,0.519,0.91,0.99,0.99,1.0,6050 d,TOR 
11,Julio Rodriguez ,155,24,7,23,7,0.274,0.333,43,7,1,11,39,0.473,0.806,0.98,0.99,0.98,43685 ,SEA 
12,Bryce Harper ,151,25,8,26,3,0.277,0.38,42,10,0,22,37,0.503,0.884,0.99,0.99,1.0,4293 d,PHI 
13,Ketel Marte ,144,25,8,24,2,0.283,0.376,41,8,1,19,28,0.515,0.89,0.99,0.99,1.0,5179 d,ARI 
14,Corbin Carroll ,148,27,7,22,8,0.257,0.34,38,7,3,16,36,0.491,0.831,0.99,0.99,1.0,23993 ,ARI 
15,Manny Machado ,156,23,8,26,3,0.275,0.34,43,8,0,14,31,0.479,0.82,0.99,0.99,1.0,3778 d,SD 
16,Pete Crow-Armstrong ,160,24,7,23,10,0.252,0.298,40,8,2,9,43,0.454,0.752,0.98,0.97,0.98,23369 ,CHC 
17,Gunnar Henderson ,152,25,7,24,5,0.271,0.354,41,8,1,18,38,0.49,0.843,0.98,0.99,0.97,23372 ,BAL 
18,Kyle Schwarber ,148,27,11,29,2,0.236,0.361,35,6,0,26,49,0.51,0.871,0.99,0.99,0.98,5686 d,PHI 
19,Trea Turner ,162,25,5,20,7,0.28,0.332,45,8,1,12,32,0.443,0.774,0.98,0.99,0.98,5828 d,PHI 
20,Pete Alonso ,154,24,10,29,1,0.25,0.343,39,7,0,17,40,0.496,0.839,0.99,0.99,1.0,6960 d,NYM 
21,Francisco Lindor ,160,26,7,23,6,0.255,0.331,41,8,1,15,34,0.446,0.777,0.99,0.99,1.0,4569 d,NYM 
22,Freddie Freeman ,151,24,6,24,2,0.288,0.377,43,9,0,18,31,0.479,0.855,0.99,0.99,1.0,3365 d,LAD 
23,Teoscar Hernandez ,149,22,8,26,2,0.267,0.322,40,8,0,11,43,0.479,0.801,0.91,0.95,0.86,4846 d,LAD 
24,Brent Rooker ,142,22,9,24,2,0.269,0.349,38,7,1,15,41,0.515,0.864,0.96,0.99,0.93,7318 d,ATH 
25,Junior Caminero ,150,21,9,26,1,0.267,0.317,40,7,0,10,33,0.494,0.811,0.94,0.96,0.93,45016 ,TB 
26,Mookie Betts ,149,25,6,22,3,0.271,0.355,40,8,1,18,21,0.463,0.818,0.99,0.99,1.0,4921 d,LAD 
27,James Wood ,143,23,7,21,5,0.261,0.356,37,8,1,19,47,0.468,0.823,0.97,0.98,0.96,44720 ,WSH 
28,Seiya Suzuki ,150,23,7,24,3,0.261,0.342,39,8,1,17,42,0.473,0.815,0.95,0.96,0.94,6973 d,CHC 
29,Jose Altuve ,151,23,6,20,4,0.271,0.339,41,7,0,14,28,0.436,0.776,0.99,0.99,0.98,4334 d,HOU 
30,Jazz Chisholm Jr. ,135,21,7,21,8,0.245,0.322,33,5,1,14,39,0.457,0.779,0.95,0.98,0.93,8449 d,NYY 
31,Byron Buxton ,130,22,8,21,4,0.254,0.324,33,7,1,11,39,0.506,0.83,0.85,0.91,0.79,4672 d,MIN 
32,Zach Neto ,148,23,6,20,7,0.252,0.32,37,8,0,11,39,0.44,0.76,0.58,0.83,0.34,46294 ,LAA 
33,Bo Bichette ,154,21,5,21,2,0.285,0.33,44,9,0,10,28,0.444,0.775,0.9,0.96,0.85,6808 d,TOR 
34,CJ Abrams ,150,22,5,18,9,0.254,0.316,38,8,1,10,30,0.422,0.738,0.92,0.97,0.86,19879 ,WSH 
35,Jackson Merrill ,152,21,6,22,3,0.268,0.318,41,8,1,11,31,0.443,0.761,0.91,0.95,0.86,44756 ,SD 
36,Luis Robert Jr. ,143,20,6,20,9,0.245,0.312,35,7,0,12,44,0.427,0.739,0.54,0.8,0.28,6935 d,CWS 
37,Michael Harris II ,146,20,5,20,5,0.273,0.312,40,7,1,7,30,0.445,0.757,0.78,0.88,0.67,43924 ,ATL 
38,Rafael Devers ,149,23,8,24,1,0.258,0.363,38,8,0,21,40,0.474,0.837,0.99,0.99,0.99,5175 d,SF 
39,Jeremy Pena ,149,21,5,18,5,0.277,0.326,41,7,1,9,29,0.432,0.758,0.82,0.89,0.75,43642 ,HOU 
40,Mike Trout ,131,22,9,23,1,0.252,0.371,33,6,1,21,43,0.504,0.875,0.9,0.95,0.85,3785 d,LAA 
41,Matt Olson ,152,24,8,26,0,0.252,0.353,38,8,0,22,41,0.47,0.822,0.98,0.99,0.96,5718 d,ATL 
42,Nico Hoerner ,156,21,2,16,8,0.281,0.337,44,8,1,11,17,0.379,0.716,0.9,0.87,0.92,7934 d,CHC 
43,Ezequiel Tovar ,161,21,6,21,3,0.266,0.302,43,9,1,8,43,0.445,0.747,0.33,0.49,0.16,45000 ,COL 
