VBR,Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost,Yahoo,ESPN,PlayerId,Team
2,Tarik Skubal ,69.6,82,5,0,3.07,1.09,24,57,16,7,12,12,4,0,0.99,0.99,1.0,43633 ,DET 
3,Chris Sale ,68.3,86,5,0,3.26,1.16,25,57,18,8,12,12,3,0,0.98,0.98,0.99,3207 d,ATL 
4,George Kirby ,74.4,71,5,0,3.43,1.12,28,69,11,9,13,13,4,0,0.98,0.98,0.99,20405 ,SEA 
5,Zack Wheeler ,78.9,82,5,0,3.44,1.18,30,69,21,8,13,13,4,0,0.99,0.99,1.0,4603 d,PHI 
6,Tyler Glasnow ,57.7,74,5,0,3.24,1.10,21,46,17,7,10,10,2,0,0.99,0.99,1.0,4587 d,LAD 
7,Corbin Burnes ,77.8,80,5,0,3.58,1.19,31,68,22,9,13,13,4,0,0.99,0.99,1.0,7251 d,BAL 
8,Joe Ryan ,74.1,82,5,0,3.77,1.14,31,64,17,11,13,13,4,0,0.97,0.97,0.98,43688 ,MIN 
9,Logan Webb ,79.4,69,5,0,3.36,1.22,30,77,17,6,13,13,4,0,0.98,0.98,0.98,8146 d,SF 
10,Logan Gilbert ,75.7,75,5,0,3.64,1.17,31,69,17,10,13,13,4,0,0.99,0.98,0.99,7453 d,SEA 
11,Dylan Cease ,71.1,88,5,0,3.52,1.22,28,57,27,8,13,13,3,0,0.97,0.97,0.98,6848 d,SD 
12,Pablo Lopez ,75.0,82,5,0,3.66,1.19,30,67,19,9,13,13,4,0,0.95,0.96,0.93,7289 d,MIN 
13,Garrett Crochet ,58.2,75,4,0,3.09,1.15,20,45,20,6,14,10,3,0,0.93,0.93,0.94,43886 ,CWS 
14,Max Fried ,76.8,71,6,0,3.44,1.26,29,73,21,7,13,13,3,0,0.98,0.98,0.98,4729 d,ATL 
15,Luis Castillo ,76.2,78,5,0,3.59,1.21,30,67,22,9,13,13,4,0,0.98,0.98,0.98,3679 d,SEA 
16,Zach Eflin ,73.2,65,5,0,3.64,1.15,30,71,11,9,13,13,4,0,0.81,0.89,0.72,6146 d,TB 
17,Paul Skenes ,63.0,74,4,0,3.29,1.15,23,51,19,6,11,11,3,0,0.96,0.95,0.98,47239 ,PIT 
18,Aaron Nola ,78.6,80,5,0,3.85,1.18,34,73,18,10,13,13,4,0,0.99,0.99,1.0,5682 d,PHI 
19,Sonny Gray ,73.4,75,5,0,3.47,1.23,28,65,22,7,13,13,4,0,0.96,0.96,0.96,4755 d,STL 
20,Kevin Gausman ,75.5,82,5,0,3.72,1.21,31,70,19,10,13,13,4,0,0.93,0.95,0.91,4671 d,TOR 
21,Gerrit Cole ,66.9,73,5,0,3.66,1.16,27,58,17,9,12,12,3,0,0.96,0.96,0.96,4656 d,NYY 
22,Framber Valdez ,80.6,74,6,0,3.50,1.30,31,74,26,7,13,13,4,0,0.94,0.96,0.92,7627 d,HOU 
23,Freddy Peralta ,68.4,83,4,0,3.61,1.19,27,55,23,9,12,12,4,0,0.97,0.97,0.97,7274 d,MIL 
24,Cole Ragans ,72.3,79,5,0,3.61,1.27,29,63,27,8,12,12,4,0,0.97,0.97,0.97,6834 d,KC 
25,Zac Gallen ,75.1,74,5,0,3.74,1.24,31,70,21,9,13,13,4,0,0.97,0.98,0.96,7245 d,ARI 
26,Blake Snell ,69.6,86,5,0,3.60,1.29,28,57,31,7,13,13,4,0,0.79,0.89,0.69,5835 d,SF 
27,Tanner Bibee ,71.3,74,4,0,3.76,1.22,30,64,21,9,13,13,4,0,0.91,0.94,0.87,45056 ,CLE 
28,Max Scherzer ,69.7,75,4,0,3.93,1.19,30,62,18,12,12,12,4,0,0.78,0.86,0.71,3744 d,TEX 
29,Shota Imanaga ,68.1,69,4,0,3.80,1.21,29,64,17,10,12,12,4,0,0.96,0.96,0.95,6979 d,CHC 
30,Michael King ,66.8,75,4,0,3.65,1.26,27,58,24,8,16,11,4,0,0.87,0.92,0.81,8489 d,SD 
31,Justin Steele ,68.5,65,4,0,3.64,1.26,28,65,18,7,12,12,3,0,0.93,0.94,0.92,8158 d,CHC 
32,Carlos Rodon ,65.1,73,5,0,4.05,1.23,29,56,20,10,12,12,4,0,0.76,0.83,0.7,5674 d,NYY 
33,Nestor Cortes Jr. ,62.9,63,4,0,3.90,1.18,27,57,16,10,14,11,3,0,0.71,0.84,0.57,7375 d,NYY 
34,Grayson Rodriguez ,67.9,72,4,0,3.83,1.25,29,61,22,9,12,12,4,0,0.97,0.98,0.95,7924 d,BAL 
35,Ranger Suarez ,70.7,63,5,0,3.72,1.31,29,68,22,7,13,13,3,0,0.95,0.94,0.96,7247 d,PHI 
36,Emmanuel Clase ,26.3,26,2,15,2.87,1.13,8,23,6,2,28,0,1,0,0.99,0.99,0.98,27356 ,CLE 
37,Bailey Ober ,62.7,63,4,0,4.00,1.20,28,59,15,10,12,12,3,0,0.84,0.89,0.79,44064 ,MIN 
38,Nathan Eovaldi ,70.5,68,4,0,3.87,1.27,30,66,21,9,12,12,4,0,0.87,0.9,0.85,4423 d,TEX 
39,Taj Bradley ,66.4,71,4,0,3.96,1.25,29,59,22,10,16,12,4,0,0.61,0.73,0.48,44442 ,TB 
40,Chris Bassitt ,77.6,70,5,0,3.98,1.32,34,73,25,9,13,13,4,0,0.8,0.88,0.71,5554 d,TOR 
41,Jack Flaherty ,67.2,73,4,0,3.88,1.29,29,61,22,8,12,12,4,0,0.83,0.86,0.8,6021 d,DET 
42,Josh Hader ,24.2,36,2,13,3.07,1.12,8,16,10,3,26,0,1,0,0.92,0.97,0.87,5047 d,HOU 
43,Ryan Pepiot ,65.1,69,4,0,3.93,1.27,28,56,23,9,15,12,4,0,0.58,0.73,0.43,38313 ,TB 
44,Bryce Miller ,63.4,58,4,0,4.03,1.23,28,59,17,9,12,12,4,0,0.83,0.87,0.78,45184 ,SEA 
45,Mason Miller ,24.8,37,1,10,2.69,1.06,7,16,9,2,26,0,1,0,0.82,0.9,0.74,45221 ,OAK 
46,Yusei Kikuchi ,64.8,69,4,0,3.95,1.29,28,60,21,9,12,12,4,0,0.45,0.51,0.39,7015 d,TOR 
47,Cristopher Sanchez ,64.1,57,4,0,3.73,1.30,27,61,19,6,12,12,3,0,0.68,0.83,0.53,39312 ,PHI 
48,Nick Pivetta ,71.5,79,5,0,4.34,1.30,35,65,25,11,13,13,5,0,0.72,0.76,0.68,6590 d,BOS 
49,Hunter Greene ,66.9,80,4,0,4.16,1.30,31,57,26,10,12,12,4,0,0.92,0.92,0.92,6871 d,CIN 
50,Ryan Helsley ,24.8,30,2,13,3.12,1.20,9,19,10,2,26,0,1,0,0.95,0.97,0.93,7481 d,STL 
51,Raisel Iglesias ,25.5,29,2,13,3.37,1.18,10,23,6,3,27,0,1,0,0.93,0.97,0.89,5589 d,ATL 
52,Edwin Diaz ,23.9,35,1,13,3.12,1.14,8,18,8,3,25,0,1,0,0.84,0.92,0.76,5996 d,NYM 
53,Kodai Senga ,58.4,66,3,0,3.72,1.30,24,49,25,7,10,10,2,0,0.67,0.72,0.62,6917 d,NYM 
54,Hunter Brown ,62.6,66,4,0,3.92,1.32,27,57,23,7,13,12,4,0,0.77,0.83,0.71,44176 ,HOU 
55,Brandon Pfaadt ,63.8,60,4,0,4.13,1.26,29,62,15,9,12,12,4,0,0.44,0.66,0.22,44436 ,ARI 
56,MacKenzie Gore ,62.2,69,4,0,3.96,1.33,27,56,24,8,12,12,4,0,0.38,0.55,0.22,7146 d,WSH 
57,Jhoan Duran ,24.6,30,2,11,3.03,1.22,8,20,8,2,26,0,1,0,0.85,0.92,0.78,8034 d,MIN 
58,Evan Phillips ,24.8,28,2,13,3.41,1.20,9,21,8,3,26,0,1,0,0.84,0.94,0.73,7989 d,LAD 
59,Andres Munoz ,23.6,31,2,10,2.93,1.20,8,18,9,2,25,0,1,0,0.87,0.93,0.81,24281 ,SEA 
60,Reynaldo Lopez ,60.8,64,4,0,3.99,1.32,27,56,23,7,17,11,3,0,0.88,0.89,0.87,6012 d,ATL 
61,Tanner Houck ,66.5,63,4,0,3.93,1.34,29,64,21,7,12,12,4,0,0.93,0.92,0.93,6987 d,BOS 
62,Justin Verlander ,63.3,56,4,0,4.19,1.26,29,59,18,10,11,11,3,0,0.74,0.83,0.65,3623 d,HOU 
63,Camilo Doval ,24.5,30,2,14,3.40,1.31,9,20,11,2,26,0,1,0,0.88,0.94,0.82,43997 ,SF 
64,Clay Holmes ,24.3,26,2,13,3.25,1.28,9,21,8,2,26,0,1,0,0.89,0.93,0.85,6584 d,NYY 
65,Seth Lugo ,71.6,63,4,0,4.15,1.33,33,72,20,9,12,12,4,0,0.94,0.92,0.95,5890 d,KC 
66,Pete Fairbanks ,23.3,28,2,11,3.33,1.24,9,19,9,2,25,0,1,0,0.7,0.84,0.57,19909 ,TB 
67,Sean Manaea ,67.9,69,4,0,4.22,1.33,32,64,24,9,12,12,4,0,0.45,0.54,0.37,4944 d,NYM 
68,Yoshinobu Yamamoto ,32.2,34,3,0,3.47,1.12,12,27,8,4,5,5,1,0,0.97,0.97,0.97,48250 ,LAD 
69,Kutter Crawford ,67.7,66,4,0,4.34,1.30,33,65,20,10,13,13,4,0,0.82,0.85,0.78,9957 d,BOS 
70,Tanner Scott ,25.8,33,2,11,3.35,1.33,10,20,13,2,27,0,2,0,0.71,0.82,0.6,7328 d,MIA 
71,Craig Kimbrel ,24.8,32,2,12,3.76,1.28,10,19,11,3,26,0,2,0,0.9,0.94,0.86,3238 d,BAL 
72,Mitch Keller ,76.4,70,4,0,4.19,1.36,36,75,24,9,13,13,5,0,0.9,0.89,0.91,6477 d,PIT 
73,David Bednar ,24.4,28,1,13,3.55,1.21,10,21,7,3,26,0,1,0,0.76,0.87,0.65,8451 d,PIT 
74,Robert Suarez ,25.3,27,2,12,3.80,1.24,11,21,9,3,27,0,1,0,0.88,0.92,0.85,45030 ,SD 
75,Jeff Hoffman ,24.8,30,2,9,3.50,1.23,10,20,10,3,27,0,1,0,0.41,0.61,0.21,6014 d,PHI 
76,Luis Gil ,52.1,61,3,0,3.89,1.33,22,42,25,7,13,9,2,0,0.85,0.88,0.82,39290 ,NYY 
77,Bryan Woo ,48.6,47,3,0,3.96,1.25,21,44,14,6,12,9,3,0,0.57,0.76,0.38,47011 ,SEA 
78,Charlie Morton ,70.0,74,5,0,4.23,1.42,33,65,29,9,12,12,4,0,0.69,0.72,0.66,3181 d,ATL 
79,Reese Olson ,61.1,57,3,0,4.01,1.32,27,58,21,7,11,11,4,0,0.37,0.5,0.24,44805 ,DET 
80,Aaron Civale ,63.7,61,4,0,4.37,1.31,31,62,18,10,12,12,4,0,0.24,0.35,0.13,21649 ,MIL 
81,Kenley Jansen ,23.9,28,2,12,3.87,1.29,10,20,10,3,26,0,1,0,0.81,0.9,0.73,3630 d,BOS 
82,Jon Gray ,60.7,56,4,0,4.25,1.32,29,59,19,8,11,11,3,0,0.26,0.28,0.24,4933 d,TEX 
83,Zack Littell ,60.2,50,3,0,4.16,1.27,28,60,14,9,11,11,3,0,0.16,0.21,0.11,6563 d,TB 
84,Shane Baz ,52.7,53,3,0,4.08,1.29,24,48,18,7,15,10,3,0,0.37,0.56,0.17,7158 d,TB 
85,Jose Berrios ,74.1,65,4,0,4.36,1.34,36,74,21,11,13,13,5,0,0.87,0.88,0.86,5722 d,TOR 
86,Matt Strahm ,25.8,31,2,1,3.20,1.10,9,21,7,3,27,0,1,0,0.2,0.3,0.09,5901 d,PHI 
87,Michael Wacha ,64.9,56,4,0,4.29,1.33,31,65,19,9,12,12,4,0,0.31,0.47,0.14,4584 d,KC 
88,Jeffrey Springs ,36.1,38,2,0,3.61,1.18,14,32,10,5,11,6,2,0,0.21,0.33,0.08,8051 d,TB 
89,Nick Lodolo ,56.3,63,3,0,4.06,1.35,25,51,19,8,11,11,3,0,0.7,0.82,0.58,6953 d,CIN 
90,Gavin Williams ,58.7,57,3,0,4.09,1.33,27,53,22,8,11,11,3,0,0.38,0.59,0.17,44694 ,CLE 
91,Yimi Garcia ,24.3,28,1,9,3.49,1.20,9,21,7,3,26,0,1,0,0.21,0.34,0.08,5193 d,TOR 
92,Lance Lynn ,71.4,66,4,0,4.41,1.35,35,70,24,11,13,13,5,0,0.28,0.23,0.34,3661 d,STL 
93,Jameson Taillon ,65.1,54,4,0,4.51,1.30,33,67,16,10,12,12,4,0,0.44,0.57,0.3,4657 d,CHC 
94,Kirby Yates ,24.6,30,2,9,3.73,1.34,10,19,12,3,26,0,1,0,0.59,0.81,0.38,5217 d,TEX 
95,Brayan Bello ,68.4,61,5,0,4.28,1.42,33,71,23,8,13,13,4,0,0.37,0.5,0.24,44932 ,BOS 
96,Paul Sewald ,23.8,27,1,11,3.85,1.24,10,21,8,3,26,0,1,0,0.72,0.86,0.57,6147 d,ARI 
97,Alexis Diaz ,25.3,29,2,12,4.10,1.40,12,21,13,3,27,0,2,0,0.82,0.92,0.72,45001 ,CIN 
98,Brady Singer ,67.7,60,4,0,4.30,1.38,32,69,20,8,12,12,4,0,0.73,0.78,0.69,6811 d,KC 
99,Chris Paddack ,60.0,53,3,0,4.38,1.29,29,62,14,9,12,12,4,0,0.09,0.13,0.04,6426 d,MIN 
100,Walker Buehler ,50.0,45,3,0,4.18,1.29,23,49,14,7,9,9,2,0,0.54,0.63,0.45,7002 d,LAD 
101,Devin Williams ,19.5,26,1,7,2.96,1.23,6,14,9,2,21,0,1,0,0.54,0.68,0.39,27766 ,MIL 
102,Jordan Montgomery ,54.8,44,4,0,4.16,1.36,25,57,16,6,10,10,3,0,0.47,0.48,0.46,7062 d,ARI 
103,Miles Mikolas ,72.4,50,4,0,4.47,1.32,36,78,15,11,13,13,5,0,0.2,0.27,0.13,5408 d,STL 
104,Bobby Miller ,47.8,44,3,0,4.13,1.30,22,45,16,6,9,9,2,0,0.53,0.58,0.48,43804 ,LAD 
105,David Robertson ,24.6,31,2,2,3.35,1.22,9,20,9,3,26,0,1,0,0.2,0.28,0.13,3283 d,TEX 
