VBR,Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost,Yahoo,ESPN,PlayerId,Team
1,Shohei Ohtani ,99.0,118,8,0,3.25,1.16,36,77,33,11,19,19,4,0,1.0,0.0,1.0,7354 d,LAD 
2,Paul Skenes ,142.1,166,10,0,2.90,1.10,46,114,37,13,25,25,6,0,0.99,0.99,1.0,47239 ,PIT 
3,Cristopher Sanchez ,149.1,150,10,0,3.13,1.19,52,133,38,13,25,25,6,0,0.99,0.99,0.99,39312 ,PHI 
4,Jacob deGrom ,126.2,144,8,0,3.42,1.09,48,103,31,17,22,22,6,0,0.99,0.99,0.98,4850 d,TEX 
5,Garrett Crochet ,117.2,141,9,0,3.12,1.14,41,97,32,12,20,20,5,0,0.99,0.99,0.99,43886 ,BOS 
6,Bryan Woo ,139.5,137,9,0,3.61,1.13,56,122,30,19,23,23,7,0,0.98,0.98,0.97,47011 ,SEA 
7,Zack Wheeler ,129.9,143,9,0,3.38,1.16,49,109,37,15,22,22,6,0,0.95,0.95,0.95,4603 d,PHI 
8,Chris Sale ,123.3,149,9,0,3.28,1.17,45,103,35,13,21,21,5,0,0.99,0.99,1.0,3207 d,ATL 
9,Logan Webb ,152.9,141,10,0,3.38,1.24,57,147,38,12,25,25,8,0,0.94,0.96,0.92,8146 d,SF 
10,Jesus Luzardo ,141.7,160,10,0,3.57,1.21,56,122,45,17,25,25,7,0,0.95,0.97,0.92,6889 d,PHI 
11,Tarik Skubal ,93.1,111,7,0,2.76,1.03,29,73,19,9,16,16,3,0,0.99,0.99,0.99,43633 ,DET 
12,Max Fried ,141.2,131,10,0,3.38,1.24,53,126,44,13,23,23,6,0,0.99,0.99,1.0,4729 d,NYY 
13,Dylan Cease ,133.2,162,9,0,3.48,1.24,51,108,53,15,24,24,6,0,0.99,0.99,0.98,6848 d,TOR 
14,Logan Gilbert ,124.2,135,8,0,3.57,1.14,49,107,30,17,22,22,6,0,0.97,0.98,0.95,7453 d,SEA 
15,Yoshinobu Yamamoto ,119.7,127,9,0,3.42,1.17,45,101,36,13,20,20,5,0,0.99,0.99,1.0,48250 ,LAD 
16,George Kirby ,134.3,127,9,0,3.67,1.19,55,126,28,16,23,23,7,0,0.99,0.99,0.98,20405 ,SEA 
17,Mason Miller ,49.4,80,3,25,2.16,0.98,12,28,19,4,52,0,2,0,0.99,0.99,0.99,45221 ,SD 
18,Joe Ryan ,119.3,129,8,0,3.79,1.17,50,104,30,17,21,21,7,0,0.96,0.97,0.95,43688 ,MIN 
19,Shota Imanaga ,129.2,123,8,0,3.98,1.17,57,118,30,21,22,22,7,0,0.93,0.94,0.92,6979 d,CHC 
20,Nathan Eovaldi ,129.3,124,8,0,3.80,1.22,55,118,33,16,22,22,7,0,0.86,0.92,0.81,4423 d,TEX 
21,Drew Rasmussen ,121.4,113,7,0,3.65,1.20,49,110,32,14,24,24,7,0,0.87,0.91,0.83,43665 ,TB 
22,Shane McClanahan ,114.4,120,7,0,3.55,1.22,45,99,37,13,21,21,6,0,0.65,0.84,0.45,7487 d,TB 
23,Freddy Peralta ,131.9,142,9,0,3.88,1.28,57,111,52,17,24,24,7,0,0.97,0.98,0.96,7274 d,NYM 
24,Framber Valdez ,144.1,129,9,0,3.66,1.32,59,134,50,12,23,23,8,0,0.89,0.93,0.86,7627 d,DET 
25,Kevin Gausman ,137.6,134,9,0,3.98,1.26,61,129,41,18,24,24,8,0,0.98,0.98,0.97,4671 d,TOR 
26,Cole Ragans ,115.4,141,7,0,3.67,1.25,47,94,46,14,21,21,6,0,0.88,0.94,0.82,6834 d,KC 
27,Blake Snell ,109.9,135,8,0,3.55,1.28,43,88,50,12,20,20,5,0,0.91,0.93,0.89,5835 d,LAD 
28,Nolan McLean ,126.9,132,9,0,3.61,1.32,51,111,49,13,22,22,6,0,0.96,0.98,0.94,47159 ,NYM 
29,Cade Smith ,50.3,64,4,23,2.86,1.12,16,38,15,4,52,0,2,0,0.96,0.98,0.95,45654 ,CLE 
30,Tyler Glasnow ,96.1,116,7,0,3.61,1.20,39,77,36,12,17,17,4,0,0.96,0.97,0.94,4587 d,LAD 
31,Jacob Misiorowski ,117.7,146,8,0,3.69,1.32,48,92,56,14,27,21,6,0,0.97,0.97,0.96,46366 ,MIL 
32,Hunter Brown ,96.7,107,7,0,3.40,1.23,36,81,34,10,17,17,5,0,0.96,0.97,0.94,44176 ,HOU 
33,Jhoan Duran ,49.0,58,4,23,2.77,1.17,15,39,16,3,52,0,2,0,0.94,0.96,0.91,8034 d,PHI 
34,Ranger Suarez ,128.8,114,9,0,3.73,1.31,53,126,38,13,22,22,7,0,0.79,0.85,0.72,7247 d,BOS 
35,Chase Burns ,101.2,118,6,0,3.61,1.21,41,87,33,13,24,18,5,0,0.95,0.97,0.93,44722 ,CIN 
36,Griffin Jax ,89.6,106,6,1,3.42,1.21,34,75,30,9,33,14,5,0,0.28,0.25,0.31,43669 ,TB 
37,MacKenzie Gore ,129.7,146,8,0,3.93,1.32,57,113,52,16,24,24,8,0,0.74,0.82,0.66,7146 d,TEX 
38,Sonny Gray ,124.3,122,8,0,3.92,1.28,54,120,34,15,22,22,7,0,0.82,0.89,0.76,4755 d,BOS 
39,Spencer Strider ,119.4,140,8,0,4.00,1.29,53,103,45,16,21,21,7,0,0.86,0.89,0.82,44282 ,ATL 
40,Aaron Nola ,134.6,132,8,0,4.16,1.27,62,128,38,20,23,23,8,0,0.6,0.69,0.51,5682 d,PHI 
41,Michael King ,125.2,130,8,0,3.85,1.32,54,111,48,16,22,22,7,0,0.91,0.94,0.87,8489 d,SD 
42,Tanner Bibee ,133.7,124,8,0,4.00,1.29,59,125,42,18,23,23,8,0,0.68,0.76,0.59,45056 ,CLE 
43,Carlos Rodon ,126.2,131,9,0,4.10,1.30,57,110,48,18,22,22,7,0,0.75,0.87,0.63,5674 d,NYY 
44,Gavin Williams ,129.7,139,8,0,3.86,1.34,56,112,57,16,23,23,7,0,0.94,0.95,0.93,44694 ,CLE 
