VBR,Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost,Yahoo,ESPN,PlayerId,Team
1,Shohei Ohtani ,14.7,17,1,0,3.42,1.19,6,12,5,2,3,3,1,0,1.0,0.0,1.0,7354 d,LAD 
2,Tarik Skubal ,25.9,31,2,0,2.73,1.02,8,20,5,2,4,4,1,0,0.99,0.99,1.0,43633 ,DET 
3,Paul Skenes ,24.5,29,2,0,2.94,1.11,8,20,6,2,4,4,1,0,0.99,0.99,1.0,47239 ,PIT 
4,Logan Gilbert ,25.9,29,2,0,3.29,1.10,9,21,6,3,4,4,1,0,0.97,0.98,0.96,7453 d,SEA 
5,Garrett Crochet ,23.5,29,2,0,3.11,1.13,8,19,6,2,4,4,1,0,0.99,0.99,1.0,43886 ,BOS 
6,Chris Sale ,24.7,30,2,0,3.18,1.16,9,21,7,2,4,4,1,0,0.96,0.97,0.95,3207 d,ATL 
7,Yoshinobu Yamamoto ,25.3,28,2,0,3.29,1.16,9,21,7,3,4,4,1,0,0.99,0.99,0.99,48250 ,LAD 
8,Jacob deGrom ,20.7,24,2,0,3.26,1.07,8,17,5,3,4,4,1,0,0.99,0.99,0.98,4850 d,TEX 
9,Joe Ryan ,25.4,28,2,0,3.65,1.12,10,22,6,4,4,4,1,0,0.98,0.97,0.98,43688 ,MIN 
10,Logan Webb ,27.5,26,2,0,3.24,1.22,10,26,6,2,4,4,1,0,0.99,0.99,0.99,8146 d,SF 
11,Cristopher Sanchez ,26.9,26,2,0,3.28,1.22,10,25,7,2,5,5,1,0,0.95,0.94,0.97,39312 ,PHI 
12,George Kirby ,25.9,25,2,0,3.54,1.15,10,24,5,3,4,4,1,0,0.9,0.94,0.85,20405 ,SEA 
13,Max Fried ,27.4,26,2,0,3.35,1.22,10,25,8,3,5,5,1,0,0.98,0.98,0.99,4729 d,NYY 
14,Bryan Woo ,23.6,24,2,0,3.61,1.13,9,21,5,3,4,4,1,0,0.96,0.96,0.96,47011 ,SEA 
15,Framber Valdez ,27.5,27,2,0,3.38,1.26,10,24,9,2,4,4,1,0,0.98,0.98,0.97,7627 d,HOU 
16,Hunter Greene ,24.6,29,2,0,3.78,1.18,10,20,8,4,4,4,1,0,0.95,0.96,0.94,6871 d,CIN 
17,Tyler Glasnow ,22.3,27,2,0,3.59,1.17,9,18,8,3,4,4,1,0,0.91,0.96,0.87,4587 d,LAD 
18,Dylan Cease ,24.4,29,2,0,3.59,1.24,10,20,9,3,4,4,1,0,0.91,0.93,0.89,6848 d,SD 
19,Sonny Gray ,24.2,25,2,0,3.60,1.20,10,22,6,3,4,4,1,0,0.94,0.94,0.93,4755 d,STL 
20,Hunter Brown ,25.4,28,2,0,3.59,1.25,10,22,9,3,4,4,1,0,0.99,0.98,0.99,44176 ,HOU 
21,Nick Pivetta ,24.7,28,2,0,3.83,1.20,11,21,7,4,4,4,1,0,0.95,0.95,0.95,6590 d,SD 
22,Blake Snell ,23.9,30,2,0,3.59,1.27,10,19,11,3,4,4,1,0,0.94,0.97,0.9,5835 d,LAD 
23,Freddy Peralta ,24.9,28,2,0,3.77,1.24,10,21,9,3,4,4,1,0,0.98,0.98,0.97,7274 d,MIL 
24,Brandon Woodruff ,23.0,24,2,0,3.75,1.20,10,20,6,3,4,4,1,0,0.79,0.85,0.73,6813 d,MIL 
25,Spencer Strider ,22.3,27,2,0,3.78,1.23,9,19,8,3,4,4,1,0,0.76,0.84,0.67,44282 ,ATL 
26,Edwin Diaz ,8.6,12,1,5,2.87,1.10,3,6,3,1,9,0,0,0,0.97,0.98,0.96,5996 d,NYM 
27,Luis Castillo ,26.0,25,2,0,3.91,1.24,11,24,7,3,4,4,1,0,0.9,0.9,0.9,3679 d,SEA 
28,Shota Imanaga ,25.4,24,2,0,4.00,1.21,11,24,6,4,4,4,1,0,0.96,0.97,0.95,6979 d,CHC 
29,Ranger Suarez ,25.3,23,2,0,3.66,1.27,10,24,7,3,4,4,1,0,0.85,0.87,0.82,7247 d,PHI 
30,Jesus Luzardo ,24.6,27,2,0,3.88,1.26,11,22,8,3,4,4,1,0,0.84,0.88,0.8,6889 d,PHI 
31,Matthew Boyd ,23.7,23,2,0,3.76,1.25,10,22,7,3,4,4,1,0,0.85,0.87,0.82,5003 d,CHC 
32,Tanner Bibee ,27.4,26,2,0,4.00,1.26,12,26,8,4,5,5,2,0,0.73,0.79,0.67,45056 ,CLE 
33,Kevin Gausman ,25.9,26,2,0,3.96,1.26,11,24,7,4,4,4,1,0,0.9,0.91,0.9,4671 d,TOR 
34,Carlos Rodon ,26.2,29,2,0,4.07,1.27,12,23,10,4,5,5,2,0,0.97,0.96,0.97,5674 d,NYY 
