VBR,Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost,Yahoo,ESPN,PlayerId,Team
1,Shohei Ohtani ,5.9,7,0,0,3.31,1.17,2,5,2,1,2,1,0,0,1.0,0.0,1.0,7354 d,LAD 
2,Tarik Skubal ,25.7,31,2,0,2.79,1.02,8,20,5,3,4,4,1,0,0.99,0.99,0.99,43633 ,LAD 
3,Cristopher Sanchez ,24.6,25,2,0,3.04,1.17,8,22,6,2,4,4,1,0,0.99,0.99,1.0,39312 ,PHI 
4,Paul Skenes ,22.0,26,2,0,3.08,1.13,8,18,6,2,4,4,1,0,0.99,0.99,1.0,47239 ,PIT 
5,Chris Sale ,22.2,27,2,0,3.05,1.15,8,19,6,2,4,4,1,0,0.99,0.99,1.0,3207 d,ATL 
6,Jacob Misiorowski ,20.8,29,2,0,3.13,1.16,7,15,8,2,4,4,1,0,0.99,0.98,1.0,46366 ,MIL 
7,Yoshinobu Yamamoto ,23.7,25,2,0,3.30,1.15,9,20,7,3,4,4,1,0,0.99,0.99,1.0,48250 ,LAD 
8,Jacob deGrom ,21.3,24,2,0,3.34,1.09,8,17,5,3,4,4,1,0,0.97,0.98,0.97,4850 d,TEX 
9,Zack Wheeler ,23.0,26,2,0,3.38,1.17,9,19,7,3,4,4,1,0,0.98,0.97,0.98,4603 d,PHI 
10,Dylan Cease ,22.7,29,2,0,3.29,1.21,8,18,9,2,4,4,1,0,0.99,0.99,0.99,6848 d,TOR 
11,Jesus Luzardo ,24.0,28,2,0,3.48,1.20,9,20,8,3,4,4,1,0,0.98,0.98,0.98,6889 d,PHI 
12,Bryan Woo ,22.7,23,2,0,3.59,1.13,9,20,5,3,5,4,1,0,0.95,0.97,0.94,47011 ,SEA 
13,Mason Miller ,8.2,13,1,4,2.11,0.93,2,5,3,1,9,0,0,0,0.99,0.99,1.0,45221 ,SD 
14,Blake Snell ,21.5,27,2,0,3.32,1.23,8,17,9,2,4,4,1,0,0.92,0.94,0.9,5835 d,LAD 
15,Tyler Glasnow ,21.0,25,2,0,3.52,1.17,8,16,8,2,4,4,1,0,0.92,0.95,0.88,4587 d,LAD 
16,Cam Schlittler ,21.8,25,2,0,3.43,1.22,8,18,7,2,4,4,1,0,0.99,0.98,0.99,7355019,NYY 
17,Max Fried ,23.1,21,2,0,3.39,1.23,9,20,7,2,4,4,1,0,0.98,0.98,0.97,4729 d,NYY 
18,Logan Gilbert ,22.4,25,1,0,3.55,1.15,9,19,6,3,4,4,1,0,0.99,0.99,0.98,7453 d,SEA 
19,Gerrit Cole ,23.3,23,2,0,3.88,1.21,10,21,6,3,4,4,1,0,0.92,0.92,0.91,4656 d,NYY 
20,Cade Smith ,8.4,11,1,4,2.81,1.11,3,6,3,1,9,0,0,0,0.98,0.98,0.97,45654 ,CLE 
21,Jhoan Duran ,8.3,10,1,4,2.55,1.14,2,7,2,0,9,0,0,0,0.95,0.97,0.94,8034 d,PHI 
22,Logan Webb ,23.9,21,2,0,3.61,1.27,10,23,6,2,4,4,1,0,0.93,0.95,0.91,8146 d,SF 
23,Drew Rasmussen ,21.2,21,1,0,3.48,1.17,8,19,5,2,4,4,1,0,0.95,0.95,0.95,43665 ,TB 
24,George Kirby ,22.6,21,2,0,3.88,1.23,10,22,5,3,4,4,1,0,0.9,0.93,0.87,20405 ,SEA 
25,Andres Munoz ,7.4,10,1,4,2.95,1.09,2,5,3,1,8,0,0,0,0.87,0.94,0.8,24281 ,SEA 
26,Kevin Gausman ,22.2,22,2,0,3.88,1.24,10,20,7,3,4,4,1,0,0.89,0.94,0.84,4671 d,CHC 
27,Gavin Williams ,21.5,26,1,0,3.56,1.24,9,18,8,3,4,4,1,0,0.96,0.96,0.96,44694 ,CLE 
28,Aroldis Chapman ,7.4,10,1,4,3.03,1.13,2,5,3,1,8,0,0,0,0.95,0.97,0.92,3068 d,BOS 
29,Josh Hader ,7.4,10,1,4,3.24,1.11,3,5,3,1,8,0,0,0,0.89,0.93,0.84,5047 d,HOU 
30,David Bednar ,8.3,9,1,4,3.24,1.14,3,7,3,1,9,0,0,0,0.92,0.96,0.89,8451 d,NYY 
31,Nolan McLean ,21.8,23,2,0,3.63,1.32,9,19,9,2,4,4,1,0,0.96,0.98,0.94,47159 ,NYM 
32,Raisel Iglesias ,8.2,8,1,4,3.45,1.12,3,7,2,1,9,0,0,0,0.87,0.91,0.82,5589 d,ATL 
33,Grant Taylor ,9.6,12,1,3,3.12,1.19,3,8,3,1,10,0,0,0,0.29,0.37,0.22,47161 ,CWS 
34,Tanner Scott ,7.8,10,1,4,3.29,1.20,3,6,3,1,8,0,0,0,0.45,0.54,0.36,7328 d,LAD 
35,Louis Varland ,7.5,9,1,4,3.43,1.17,3,7,2,1,8,0,0,0,0.87,0.87,0.87,44936 ,TOR 
36,Jose Soriano ,22.5,22,2,0,3.64,1.36,9,20,10,2,4,4,1,0,0.83,0.86,0.79,7899 d,TOR 
37,Hunter Brown ,22.3,24,1,0,3.69,1.28,9,19,8,2,4,4,1,0,0.94,0.96,0.91,44176 ,HOU 
38,Logan Henderson ,19.5,22,1,0,3.91,1.20,8,17,6,3,5,3,1,0,0.79,0.84,0.74,45145 ,MIL 
39,Reid Detmers ,21.8,24,1,0,3.89,1.25,9,19,7,3,4,4,1,0,0.73,0.78,0.68,43840 ,LAA 
40,Trevor Megill ,7.6,9,1,3,3.31,1.14,3,6,3,1,8,0,0,0,0.73,0.85,0.62,10118 ,MIL 
41,Griffin Jax ,18.3,20,1,0,3.64,1.23,7,16,6,2,6,4,1,0,0.38,0.4,0.36,43669 ,TB 
42,Payton Tolle ,19.0,21,1,0,3.78,1.23,8,17,6,3,4,4,1,0,0.79,0.85,0.73,7354435,BOS 
43,Chase Burns ,16.2,19,1,0,3.63,1.20,7,13,6,2,3,3,1,0,0.98,0.98,0.98,44722 ,CIN 
44,Carlos Rodon ,21.5,22,2,0,4.10,1.31,10,19,9,3,4,4,1,0,0.71,0.85,0.57,5674 d,NYY 
45,Framber Valdez ,23.6,20,2,0,3.84,1.35,10,22,8,2,4,4,1,0,0.75,0.83,0.68,7627 d,DET 
46,Braxton Ashcraft ,20.7,20,1,0,3.74,1.27,9,20,6,2,4,4,1,0,0.91,0.9,0.92,47807 ,PIT 
47,Shota Imanaga ,21.6,21,1,0,4.16,1.21,10,20,5,4,4,4,1,0,0.87,0.91,0.83,6979 d,CHC 
48,Parker Messick ,20.8,20,1,0,3.67,1.29,8,19,7,2,4,4,1,0,0.94,0.93,0.95,46317 ,CLE 
49,Bryan Baker ,8.5,9,0,4,3.59,1.17,3,7,3,1,9,0,0,0,0.82,0.86,0.79,43674 ,TB 
50,Sonny Gray ,20.6,20,1,0,3.90,1.27,9,20,6,2,4,4,1,0,0.96,0.97,0.95,4755 d,BOS 
51,Ranger Suarez ,21.3,19,1,0,3.74,1.30,9,21,6,2,4,4,1,0,0.77,0.83,0.71,7247 d,BOS 
52,Cade Cavalli ,19.4,20,1,0,3.72,1.30,8,18,6,2,4,4,1,0,0.74,0.81,0.67,43871 ,WSH 
53,Kade Anderson ,16.8,17,1,0,3.84,1.23,7,15,5,2,5,3,1,0,0.33,0.43,0.23,7355455,SEA 
54,MacKenzie Gore ,21.3,23,1,0,3.92,1.32,9,19,8,3,4,4,1,0,0.72,0.82,0.61,7146 d,TEX 
55,Christian Scott ,18.8,20,1,0,3.87,1.29,8,16,7,2,4,4,1,0,0.17,0.25,0.09,45298 ,NYM 
56,Clay Holmes ,20.7,17,2,0,3.87,1.38,9,20,8,2,4,4,1,0,0.52,0.58,0.46,6584 d,CHC 
57,Kenley Jansen ,7.7,8,1,3,4.10,1.23,4,6,3,1,8,0,0,0,0.56,0.72,0.39,3630 d,DET 
58,Ian Seymour ,19.9,21,1,0,4.11,1.28,9,18,6,3,4,4,1,0,0.52,0.65,0.39,44903 ,TB 
59,Eury Perez ,19.2,21,1,0,4.09,1.28,9,16,8,2,4,4,1,0,0.82,0.89,0.76,44610 ,MIA 
60,Bryce Miller ,20.4,19,1,0,4.10,1.27,9,19,6,3,5,3,1,0,0.32,0.33,0.31,45184 ,SEA 
61,Taj Bradley ,22.3,23,1,0,4.04,1.33,10,20,9,3,4,4,1,0,0.72,0.76,0.68,44442 ,MIN 
62,Kyle Harrison ,18.1,20,1,0,4.07,1.29,8,16,6,3,3,3,1,0,0.77,0.86,0.69,43921 ,MIL 
63,Justin Martinez ,7.5,9,1,2,3.17,1.36,3,6,4,1,8,0,0,0,0.04,0.06,0.01,46494 ,ARI 
64,Jared Jones ,18.4,20,1,0,3.94,1.32,8,17,7,2,4,3,1,0,0.24,0.33,0.15,43901 ,PIT 
65,Casey Mize ,20.5,18,1,0,4.12,1.28,9,20,6,3,4,4,1,0,0.37,0.48,0.26,7399 d,SD 
66,Jacob Latz ,7.5,8,0,4,3.63,1.31,3,6,3,1,8,0,0,0,0.67,0.71,0.63,44337 ,TEX 
67,Foster Griffin ,20.4,19,1,0,4.04,1.31,9,20,6,3,4,4,1,0,0.82,0.83,0.81,7531 d,CLE 
68,Trevor Rogers ,20.8,18,1,0,4.06,1.30,9,20,6,3,4,4,1,0,0.63,0.78,0.48,6995 d,BAL 
69,Matthew Boyd ,21.3,19,1,0,4.13,1.30,10,20,6,3,4,4,1,0,0.6,0.69,0.52,5003 d,CHC 
70,Freddy Peralta ,21.9,22,1,0,4.23,1.31,10,19,8,3,4,4,1,0,0.78,0.83,0.73,7274 d,TB 
71,Adrian Morejon ,8.2,9,1,0,2.95,1.15,3,7,3,1,9,0,0,0,0.2,0.23,0.17,25391 ,SD 
72,Michael King ,22.4,21,1,0,4.06,1.34,10,21,8,3,4,4,1,0,0.9,0.93,0.87,8489 d,SD 
73,Joe Ryan ,11.1,12,1,0,3.80,1.18,5,10,3,2,2,2,1,0,0.92,0.95,0.89,43688 ,MIN 
74,Emmet Sheehan ,12.8,15,1,0,3.97,1.23,6,11,4,2,4,2,1,0,0.4,0.42,0.38,45411 ,LAD 
75,Kyle Bradish ,21.0,20,1,0,3.98,1.35,9,19,8,2,4,4,1,0,0.74,0.85,0.63,39964 ,BAL 
76,Dustin May ,20.2,20,1,0,4.09,1.33,9,18,8,3,4,4,1,0,0.21,0.27,0.15,7413 d,MIL 
77,Jeff Hoffman ,7.6,10,1,1,3.45,1.26,3,6,3,1,8,0,0,0,0.44,0.5,0.38,6014 d,MIN 
78,Tanner Bibee ,21.4,19,1,0,4.25,1.30,10,21,6,3,4,4,1,0,0.7,0.78,0.62,45056 ,CLE 
79,Emilio Pagan ,7.7,8,0,4,4.42,1.25,4,7,3,1,8,0,1,0,0.66,0.76,0.56,7143 d,CIN 
80,Aaron Nola ,21.9,22,1,0,4.43,1.30,11,21,7,4,4,4,1,0,0.61,0.71,0.5,5682 d,PHI 
81,Shane Baz ,21.7,20,1,0,4.18,1.33,10,20,8,3,4,4,1,0,0.44,0.55,0.32,7158 d,BAL 
82,Corbin Burnes ,13.8,13,1,0,3.75,1.29,6,13,5,2,4,2,1,0,0.15,0.22,0.08,7251 d,ARI 
83,Connor Prielipp ,18.1,18,1,0,3.91,1.36,8,17,7,2,6,3,1,0,0.03,0.05,0.02,46293 ,MIN 
84,Riley O'Brien ,7.9,8,0,4,3.58,1.46,3,7,4,1,8,0,0,0,0.69,0.77,0.62,8620 d,STL 
85,Garrett Whitlock ,7.7,9,1,0,3.38,1.16,3,7,2,1,8,0,0,0,0.17,0.2,0.14,7916 d,BOS 
86,Joey Cantillo ,19.9,21,1,0,4.03,1.38,9,18,9,2,5,4,1,0,0.34,0.45,0.23,43689 ,CLE 
87,Evan Phillips ,7.3,8,1,0,3.51,1.11,3,6,2,1,8,0,0,0,0.01,0.01,0.0,7989 d,LAD 
88,Sean Burke ,21.7,22,1,0,4.29,1.35,10,20,9,3,4,4,1,0,0.67,0.71,0.62,44752 ,CWS 
89,Sandy Alcantara ,23.3,18,1,0,4.24,1.33,11,23,7,3,4,4,2,0,0.92,0.94,0.9,7109 d,MIA 
90,Tyler Mahle ,20.0,18,1,0,4.21,1.33,9,19,7,3,4,4,1,0,0.41,0.55,0.27,6637 d,ATL 
91,Sean Manaea ,22.0,21,1,0,4.37,1.33,11,21,7,3,4,4,1,0,0.14,0.22,0.06,4944 d,NYM 
92,Ben Joyce ,7.6,9,0,3,3.55,1.37,3,6,4,1,8,0,0,0,0.12,0.18,0.06,46588 ,LAA 
93,Daniel Palencia ,7.5,8,0,2,3.53,1.19,3,6,3,1,8,0,0,0,0.38,0.48,0.28,44792 ,CHC 
94,Troy Melton ,20.5,18,1,0,4.24,1.33,10,20,7,3,4,4,1,0,0.6,0.63,0.56,46923 ,DET 
95,Drew Anderson ,17.6,19,1,0,4.06,1.37,8,16,7,2,4,3,1,0,0.03,0.04,0.01,6595 d,DET 
96,Kodai Senga ,7.8,8,1,2,4.18,1.37,4,7,4,1,8,0,0,0,0.18,0.26,0.1,6917 d,NYM 
97,Yennier Cano ,7.5,7,1,1,3.67,1.28,3,7,3,1,8,0,0,0,0.02,0.03,0.01,45875 ,BAL 
98,Jake Bennett ,18.7,15,1,0,4.17,1.32,9,19,5,2,5,3,1,0,0.43,0.52,0.33,46372 ,BOS 
99,Brent Headrick ,7.8,9,1,0,3.54,1.22,3,7,3,1,8,0,0,0,0.14,0.17,0.1,46412 ,NYY 
100,Michael Wacha ,22.4,18,1,0,4.39,1.32,11,22,6,3,4,4,1,0,0.73,0.75,0.7,4584 d,KC 
101,Yusei Kikuchi ,22.1,22,1,0,4.28,1.38,11,21,8,3,4,4,1,0,0.1,0.11,0.08,7015 d,LAA 
102,Matthew Liberatore ,20.2,18,1,0,4.33,1.34,10,20,7,3,4,4,1,0,0.09,0.13,0.05,7459 d,STL 
103,Mason Montgomery ,8.0,10,0,1,3.22,1.24,3,7,3,1,8,0,0,0,0.25,0.35,0.14,46140 ,PIT 
104,Kyle Leahy ,19.0,16,1,0,4.09,1.37,9,19,6,2,3,3,1,0,0.37,0.4,0.34,47196 ,STL 
105,Clayton Beeter ,7.1,7,0,3,3.95,1.34,3,6,4,1,8,0,0,0,0.08,0.12,0.03,43817 ,WSH 
106,Noah Cameron ,20.9,18,1,0,4.26,1.36,10,21,7,3,4,4,1,0,0.56,0.68,0.44,47086 ,KC 
107,Andrew Kittredge ,7.7,7,0,2,3.74,1.23,3,7,2,1,8,0,0,0,0.08,0.12,0.04,6556 d,BAL 
108,Robert Gasser ,16.3,16,1,0,4.26,1.34,8,15,5,2,5,3,1,0,0.05,0.07,0.03,45374 ,MIL 
109,Garrett Cleavinger ,7.0,8,1,0,3.47,1.25,3,5,3,1,7,0,0,0,0.06,0.09,0.03,39173 ,TB 
110,Luke Weaver ,7.7,8,0,2,3.59,1.30,3,7,3,1,8,0,0,0,0.1,0.14,0.07,6196 d,PIT 
111,Dylan Smith ,7.4,7,0,3,3.99,1.36,3,7,3,1,8,0,0,0,0.01,0.02,0.0,44751 ,SF 
112,Will Warren ,21.3,20,1,0,4.29,1.38,10,21,8,3,5,4,1,0,0.42,0.47,0.38,46420 ,NYY 
113,Erik Miller ,7.9,10,1,0,3.44,1.34,3,6,4,1,8,0,0,0,0.03,0.05,0.02,23362 ,BOS 
114,Nick Martinez ,21.8,15,1,0,4.40,1.32,11,23,5,3,4,4,1,0,0.71,0.72,0.7,4928 d,TB 
115,Cody Bradford ,17.7,13,1,0,4.48,1.28,9,18,4,3,5,3,1,0,0.04,0.06,0.01,45173 ,TEX 
116,Hayden Wesneski ,17.3,15,1,0,4.27,1.34,8,17,6,2,5,3,1,0,0.22,0.32,0.13,44900 ,HOU 
117,Jose Alvarado ,7.5,8,1,0,3.57,1.27,3,6,3,1,8,0,0,0,0.01,0.01,0.01,6550 d,PHI 
118,Bradgley Rodriguez ,7.9,8,1,0,3.48,1.30,3,7,3,1,8,0,0,0,0.03,0.04,0.01,7355030,SD 
