VBR,Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost,Yahoo,ESPN,PlayerId,Team
1,Shohei Ohtani ,43.7,50,3,0,3.57,1.22,17,35,15,5,8,8,2,0,1.0,0.0,1.0,7354 d,LAD 
2,Tarik Skubal ,93.0,110,7,0,2.75,1.03,28,73,19,8,16,16,4,0,0.99,0.99,1.0,43633 ,DET 
3,Zack Wheeler ,96.6,109,7,0,3.20,1.12,34,79,25,11,16,16,4,0,0.99,0.99,1.0,4603 d,PHI 
4,Paul Skenes ,85.3,99,6,0,2.99,1.13,28,69,25,7,15,15,4,0,0.99,0.99,1.0,47239 ,PIT 
5,Logan Gilbert ,89.3,98,6,0,3.35,1.09,33,75,20,11,15,15,4,0,0.97,0.98,0.97,7453 d,SEA 
6,Logan Webb ,97.2,90,7,0,3.23,1.20,35,92,22,7,16,16,4,0,0.99,0.99,0.99,8146 d,SF 
7,Garrett Crochet ,79.6,100,6,0,3.08,1.14,27,64,24,8,15,15,4,0,0.99,0.99,1.0,43886 ,BOS 
8,Spencer Strider ,81.6,108,6,0,3.38,1.16,31,64,27,9,14,14,4,0,0.93,0.96,0.89,44282 ,ATL 
9,Max Fried ,90.6,86,7,0,3.24,1.20,33,80,25,8,15,15,4,0,0.99,0.98,1.0,4729 d,NYY 
10,George Kirby ,87.6,82,6,0,3.59,1.14,35,82,14,11,15,15,5,0,0.84,0.92,0.76,20405 ,SEA 
11,Jacob deGrom ,69.9,81,5,0,3.25,1.07,25,57,16,8,13,13,3,0,0.98,0.99,0.97,4850 d,TEX 
12,Yoshinobu Yamamoto ,81.1,87,6,0,3.42,1.16,31,68,23,9,14,14,4,0,0.99,0.99,0.99,48250 ,LAD 
13,Dylan Cease ,90.2,107,6,0,3.52,1.23,35,74,34,10,16,16,5,0,0.96,0.97,0.95,6848 d,SD 
14,Joe Ryan ,84.6,94,6,0,3.71,1.14,35,73,20,12,15,15,5,0,0.97,0.97,0.97,43688 ,MIN 
15,Framber Valdez ,92.6,90,7,0,3.40,1.28,35,83,31,8,15,15,4,0,0.99,0.99,0.99,7627 d,HOU 
16,Spencer Schwellenbach ,87.9,86,6,0,3.57,1.18,35,81,19,10,15,15,4,0,0.96,0.98,0.95,44729 ,ATL 
17,Sonny Gray ,84.3,88,6,0,3.59,1.20,34,76,22,10,15,15,4,0,0.96,0.96,0.96,4755 d,STL 
18,Hunter Brown ,86.0,96,6,0,3.48,1.24,33,74,29,9,15,15,4,0,0.98,0.98,0.99,44176 ,HOU 
19,Cristopher Sanchez ,84.7,80,6,0,3.47,1.25,33,79,24,8,17,14,4,0,0.91,0.92,0.9,39312 ,PHI 
20,Bryan Woo ,78.8,75,5,0,3.63,1.13,32,69,16,10,14,14,4,0,0.93,0.95,0.92,47011 ,SEA 
21,Nathan Eovaldi ,82.1,80,5,0,3.74,1.21,34,75,21,10,14,14,4,0,0.92,0.93,0.92,4423 d,TEX 
