Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,PlayerId,Team
James McArthur ,65.1,62,3,13,4.14,1.31,30,62,23,7,64,0,3,0,44384 ,KC 
Tim Mayza ,57.2,55,3,0,3.45,1.24,22,53,18,6,62,0,3,0,6321 d,TOR 
Joel Payamps ,64.8,64,3,2,3.87,1.24,28,60,20,9,61,0,4,0,8174 d,MIL 
Drew Rasmussen ,47.4,48,3,0,3.45,1.15,18,41,13,5,26,5,2,0,43665 ,TB 
Wade Miley ,132.4,93,8,0,4.36,1.38,64,136,46,18,25,25,8,0,4000 d,MIL 
Pierce Johnson ,58.9,78,3,1,3.79,1.28,25,51,25,8,62,0,3,0,4212 d,ATL 
Lucas Giolito ,104.2,109,6,0,4.58,1.33,53,100,39,17,17,18,6,0,4723 d,BOS 
Anthony DeSclafani ,118.6,95,6,0,4.54,1.31,60,124,32,18,34,19,8,0,5487 d,MIN 
Jeffrey Springs ,45.6,51,3,0,3.57,1.15,18,39,13,6,16,7,2,0,8051 d,TB 
Jeff Hoffman ,64.5,76,3,3,4.07,1.27,29,54,28,9,62,0,3,0,6014 d,PHI 
Ian Hamilton ,62.5,72,3,1,3.73,1.30,26,53,29,7,60,0,3,0,8066 d,NYY 
Alex Wood ,126.5,105,6,0,4.45,1.35,63,127,44,16,27,23,9,0,4574 d,OAK 
Ryan Walker ,59.3,68,3,0,3.73,1.27,25,53,22,7,58,1,3,0,45949 ,SF 
Gabe Speier ,57.5,61,2,1,3.75,1.20,24,52,17,7,62,0,3,0,31848 ,SEA 
Will Vest ,61.3,64,3,1,3.77,1.27,26,56,21,6,60,0,3,0,44080 ,DET 
Gregory Soto ,65.0,75,3,3,3.93,1.31,28,55,30,7,67,0,4,0,7427 d,PHI 
Jason Foley ,62.3,50,3,8,3.85,1.31,27,63,18,5,63,0,3,0,44012 ,DET 
Brock Burke ,62.4,61,3,0,3.92,1.23,27,58,19,9,59,0,3,0,8166 d,TEX 
Robert Gasser ,104.3,100,5,0,4.41,1.34,51,100,39,15,28,18,6,0,45374 ,MIL 
Will Smith ,61.1,60,3,13,4.35,1.31,30,57,23,8,63,0,4,0,4536 d,KC 
John Brebbia ,52.5,55,3,12,4.32,1.28,25,49,18,8,53,1,4,0,7187 d,CWS 
Bryce Elder ,119.4,93,8,0,4.47,1.39,59,122,44,15,21,21,6,0,44280 ,ATL 
Andrew Kittredge ,54.2,44,4,2,3.93,1.24,24,54,13,7,55,0,3,0,6556 d,STL 
Jonathan Loaisiga ,53.7,45,3,3,3.81,1.23,23,51,15,6,52,0,3,0,7982 d,NYY 
Michael Soroka ,108.2,92,6,0,4.57,1.33,55,108,36,17,27,19,7,0,6950 d,CWS 
Mark Leiter Jr. ,61.8,68,3,1,4.07,1.26,28,55,23,8,62,0,3,0,7140 d,CHC 
Phil Maton ,62.4,68,3,1,4.03,1.27,28,55,24,8,63,0,3,0,7090 d,TB 
Randy Vasquez ,103.5,89,6,0,4.37,1.37,50,100,43,14,26,18,7,0,44895 ,SD 
Sam Hentges ,60.2,64,3,1,3.71,1.32,25,55,24,6,57,0,3,0,8159 d,CLE 
Seranthony Dominguez ,62.3,66,4,3,4.06,1.33,28,55,27,8,64,0,4,0,7177 d,PHI 
Cole Irvin ,86.6,65,5,0,4.41,1.28,42,91,20,13,42,9,5,0,7588 d,BAL 
David Peterson ,74.1,80,4,0,4.02,1.36,33,69,32,8,29,11,4,0,7275 d,NYM 
Ryan Brasier ,59.7,59,3,1,4.08,1.23,27,55,18,8,60,0,2,0,5367 d,LAD 
Brock Stewart ,56.1,70,2,1,3.81,1.27,24,48,24,7,56,0,2,0,6424 d,MIN 
Lance McCullers Jr. ,60.9,62,4,0,3.89,1.32,26,54,26,7,21,9,3,0,4831 d,HOU 
Enyel De Los Santos ,63.7,65,3,1,4.05,1.27,29,56,25,8,64,0,3,0,7504 d,SD 
Eli Morgan ,60.9,63,3,0,4.14,1.23,28,57,18,9,58,0,3,0,43930 ,CLE 
Jacob deGrom ,26.4,36,2,0,3.01,0.95,9,20,6,3,5,5,1,0,4850 d,TEX 
Hoby Milner ,60.3,57,2,0,3.83,1.23,26,58,16,8,63,0,2,0,6628 d,MIL 
Danny Coulombe ,57.2,61,3,1,3.91,1.28,25,53,20,8,59,0,3,0,5586 d,BAL 
John Schreiber ,61.1,62,3,1,3.89,1.30,26,56,24,7,59,0,3,0,10132 ,KC 
Kevin Kelly ,50.9,45,3,1,3.81,1.22,22,48,15,5,49,0,2,0,45797 ,TB 
Drew Thorpe ,53.8,51,4,0,3.97,1.26,24,50,18,7,11,10,3,0,47300 ,SD 
Tyler Anderson ,155.4,126,8,0,4.77,1.37,82,159,54,25,28,28,9,0,5636 d,LAA 
Trevor Stephan ,57.1,62,3,1,3.99,1.28,25,51,22,7,52,0,3,0,8533 d,CLE 
Fernando Cruz ,56.9,73,3,1,4.09,1.30,26,49,25,8,57,0,3,0,45440 ,CIN 
Michael Lorenzen ,119.2,94,7,0,4.64,1.36,61,119,43,17,24,20,8,1,4976 d,"RP,SP) FA "
James Karinchak ,53.0,71,3,0,3.92,1.31,23,40,30,7,55,0,3,0,9938 d,CLE 
Dauri Moreta ,45.7,52,3,0,3.89,1.21,20,38,17,6,43,0,2,0,44325 ,PIT 
Nick Martinez ,111.2,105,5,1,4.42,1.39,55,111,43,16,48,14,6,0,4928 d,CIN 
Andrew Chafin ,56.5,61,3,2,3.92,1.31,25,50,24,6,60,0,3,0,4797 d,DET 
J.P. France ,113.3,100,7,0,4.53,1.40,57,112,46,17,43,14,6,0,45204 ,HOU 
Nick Sandlin ,59.7,64,3,1,4.04,1.29,27,50,27,8,60,0,4,0,43932 ,CLE 
Adam Ottavino ,61.1,63,3,3,4.07,1.31,28,54,27,7,64,0,3,0,3022 d,NYM 
Abner Uribe ,58.6,75,2,1,3.63,1.37,24,44,36,5,60,0,2,0,45146 ,MIL 
Tyler Rogers ,67.9,51,3,2,3.99,1.29,30,69,19,7,66,0,4,0,30850 ,SF 
Mason Black ,76.5,74,4,0,4.25,1.33,36,73,29,10,35,11,4,0,46147 ,SF 
Garrett Cleavinger ,46.3,61,2,0,3.63,1.26,19,35,23,5,48,0,2,0,39173 ,TB 
Daniel Hudson ,41.0,49,3,1,3.89,1.21,18,35,14,6,42,0,2,0,3254 d,LAD 
Joe Ross ,89.0,79,5,0,4.50,1.33,45,89,30,13,32,13,6,0,4710 d,MIL 
Keynan Middleton ,53.3,58,3,0,3.96,1.28,23,47,22,7,55,0,2,0,5074 d,STL 
Graham Ashcraft ,149.9,119,8,0,4.68,1.40,78,158,52,20,27,27,9,0,44328 ,CIN 
Wandy Peralta ,56.1,53,3,1,3.80,1.32,24,49,25,6,58,0,3,0,6501 d,SD 
Lucas Erceg ,65.9,75,3,5,4.00,1.42,29,56,38,6,64,0,4,0,6932 d,OAK 
Drew Smyly ,74.5,73,4,1,4.43,1.32,37,73,25,12,51,5,5,0,4482 d,CHC 
Emilio Pagan ,65.1,69,3,2,4.46,1.27,32,59,23,12,65,0,4,0,7143 d,CIN 
Brooks Raley ,58.7,64,2,2,3.99,1.30,26,53,24,7,63,0,3,0,5362 d,NYM 
Casey Mize ,104.0,78,5,0,4.58,1.32,53,106,31,15,20,20,7,1,7399 d,DET 
Scott McGough ,58.3,64,3,2,4.13,1.32,27,54,24,8,57,0,3,0,5826 d,ARI 
Tommy Kahnle ,49.9,57,2,1,3.91,1.26,22,42,21,7,50,0,2,0,5382 d,NYY 
Josh Winckowski ,80.8,72,4,1,4.22,1.37,38,82,28,9,65,3,4,0,44147 ,BOS 
Steven Okert ,53.5,65,2,0,4.10,1.25,24,45,22,8,54,0,3,0,5927 d,MIN 
Trevor Richards ,55.2,69,2,0,4.12,1.27,25,46,24,8,51,0,3,0,7242 d,TOR 
Matt Manning ,111.7,83,6,0,4.63,1.35,58,113,37,16,25,21,8,0,6421 d,DET 
Adrian Houser ,125.0,92,7,0,4.49,1.41,62,129,47,15,27,22,8,0,5857 d,NYM 
Bailey Falter ,94.3,72,5,0,4.58,1.32,48,100,25,15,40,13,6,0,44073 ,PIT 
Luke Jackson ,57.1,61,3,1,4.01,1.34,25,53,24,7,57,0,3,0,5646 d,SF 
Jay Jackson ,46.3,49,3,0,4.08,1.24,21,42,15,7,46,0,2,0,5852 d,MIN 
Robbie Ray ,51.6,57,3,0,4.17,1.27,24,47,18,8,12,9,3,0,5484 d,SF 
Paul Blackburn ,135.0,109,6,0,4.55,1.40,68,142,47,17,26,25,9,0,6440 d,OAK 
Jose Soriano ,62.4,73,3,0,4.00,1.38,28,53,33,7,58,1,3,0,7899 d,LAA 
Josiah Gray ,166.2,155,8,0,4.86,1.41,90,159,75,29,30,30,12,0,8218 d,WSH 
Roansy Contreras ,90.4,81,4,0,4.50,1.34,45,87,34,13,44,11,5,0,44067 ,PIT 
Ryan Borucki ,55.2,50,3,0,4.08,1.28,25,51,20,7,56,0,3,0,6591 d,PIT 
Kirby Yates ,61.0,73,3,2,4.32,1.35,29,51,31,9,61,0,4,0,5217 d,TEX 
Joe Mantiply ,54.4,46,3,0,3.97,1.29,24,56,15,6,54,0,3,0,6502 d,ARI 
Sawyer Gipson-Long ,59.2,56,3,0,4.29,1.27,28,58,17,8,27,7,4,0,45077 ,DET 
Kody Funderburk ,42.7,46,3,0,3.67,1.32,17,38,18,4,40,0,2,0,45523 ,MIN 
Ryan Yarbrough ,63.3,51,4,0,4.50,1.26,32,66,14,10,35,4,3,0,6719 d,LAD 
Blake Treinen ,45.9,46,3,0,3.98,1.27,20,42,16,6,46,0,2,0,5473 d,LAD 
Tyler Mahle ,47.1,48,3,0,4.14,1.25,22,43,16,7,17,7,3,0,6637 d,TEX 
Cody Bradford ,69.0,60,4,0,4.57,1.28,35,70,18,12,39,8,4,0,45173 ,TEX 
Justin Lawrence ,65.4,67,3,16,4.51,1.47,33,63,33,7,66,0,4,0,8169 d,COL 
Chris Devenski ,56.5,55,3,0,4.40,1.25,28,54,17,9,53,1,3,0,6318 d,TB 
Anthony Bender ,49.7,51,2,2,4.02,1.28,22,45,19,6,50,0,3,0,44091 ,MIA 
Javier Assad ,96.9,80,5,0,4.43,1.39,48,97,37,13,41,12,5,0,45824 ,CHC 
Rafael Montero ,60.6,65,3,0,4.23,1.33,29,57,24,8,60,0,3,0,4763 d,HOU 
Drew Smith ,58.2,61,3,1,4.32,1.31,28,52,24,9,58,0,4,0,7141 d,NYM 
Miguel Castro ,59.5,59,3,2,4.19,1.35,28,54,27,7,62,0,3,0,5695 d,ARI 
Max Meyer ,79.4,72,4,0,4.36,1.37,39,78,31,10,16,16,5,0,43836 ,MIA 
Matt Moore ,58.1,62,3,2,4.25,1.35,27,53,25,8,53,0,3,0,3735 d,LAA 
Luis Garcia ,60.3,57,3,0,4.09,1.34,27,59,22,7,61,0,3,0,5146 d,LAA 
Ryne Stanek ,53.9,59,3,0,4.15,1.33,25,46,26,7,55,0,2,0,4943 d,RP) FA 
Justin Topa ,57.8,50,3,1,4.08,1.33,26,58,18,6,59,0,3,0,44009 ,MIN 
Steven Wilson ,54.3,59,2,1,4.22,1.28,25,45,25,8,54,0,3,0,44195 ,SD 
Trevor Gott ,58.9,57,2,3,4.21,1.31,28,56,21,7,60,0,4,0,5089 d,OAK 
Trevor Bauer ,44.1,47,2,0,4.12,1.21,20,38,15,7,8,8,3,0,4394 d,SP) FA 
Scott Alexander ,49.8,36,3,0,3.85,1.30,21,50,15,4,53,1,3,0,5838 d,OAK 
Andrew Saalfrank ,56.1,58,3,0,3.85,1.40,24,51,28,5,59,0,3,0,47257 ,ARI 
Victor Gonzalez ,51.0,49,3,0,3.99,1.33,23,47,21,5,52,0,3,0,36677 ,NYY 
Tom Cosgrove ,55.1,55,2,0,4.03,1.30,25,49,23,7,55,0,3,0,45722 ,SD 
Ryan Thompson ,56.3,48,3,0,4.06,1.32,25,56,18,6,55,0,3,0,8201 d,ARI 
Nate Pearson ,43.7,48,3,0,4.11,1.29,20,37,20,6,42,0,2,0,7261 d,TOR 
Dany Jimenez ,56.4,63,2,5,4.21,1.37,26,47,30,8,57,0,4,0,40917 ,OAK 
Bennett Sousa ,51.4,53,3,0,4.15,1.32,24,47,21,7,51,0,2,0,43928 ,HOU 
Tayler Saucedo ,55.8,53,3,0,4.03,1.35,25,52,24,6,59,0,3,0,44658 ,SEA 
Colin Holderman ,60.6,58,2,1,4.04,1.34,27,56,25,6,60,0,3,0,45621 ,PIT 
Kyle Nelson ,47.6,50,3,0,4.10,1.32,22,44,19,6,51,0,3,0,43931 ,ARI 
Dylan Lee ,36.5,38,2,0,3.83,1.21,16,34,10,5,38,0,1,0,8426 d,ATL 
Nick Robertson ,42.8,44,2,0,3.87,1.27,18,39,15,5,42,0,2,0,44205 ,STL 
