VBR,Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
1,Aaron Judge ,248,53,23,57,4,0.297,0.435,74,12,1,51,77,0.634,1.069,0.99,0.99,1.0,4955 d,NYY 
2,Shohei Ohtani ,252,56,20,51,13,0.286,0.391,72,13,3,38,69,0.599,0.991,1.0,0.0,1.0,7354 d,LAD 
3,Ronald Acuna Jr. ,259,53,14,41,16,0.294,0.395,76,14,1,39,60,0.519,0.914,0.99,0.99,1.0,6966 d,ATL 
4,Bobby Witt Jr. ,276,46,12,42,17,0.292,0.354,81,17,3,22,51,0.513,0.867,0.99,0.99,1.0,6810 d,KC 
5,Elly De La Cruz ,269,45,13,41,21,0.263,0.339,71,14,3,28,85,0.479,0.818,0.99,0.99,1.0,44884 ,CIN 
6,Jose Ramirez ,276,43,13,44,15,0.28,0.359,77,17,1,28,36,0.495,0.855,0.99,0.99,1.0,5288 d,CLE 
7,Kyle Tucker ,261,46,14,44,12,0.278,0.379,72,14,2,39,45,0.505,0.884,0.99,0.99,1.0,6006 d,CHC 
8,Fernando Tatis Jr. ,272,47,15,43,11,0.274,0.352,74,14,1,30,60,0.502,0.854,0.99,0.99,1.0,6853 d,SD 
9,Juan Soto ,242,48,16,44,5,0.275,0.421,67,12,1,57,50,0.527,0.948,0.99,0.99,1.0,6906 d,NYM 
10,Vladimir Guerrero ,266,44,14,45,2,0.295,0.386,78,16,0,34,42,0.511,0.897,0.99,0.99,1.0,6050 d,TOR 
11,Trea Turner ,277,43,10,36,13,0.283,0.335,78,14,1,19,54,0.45,0.786,0.98,0.99,0.98,5828 d,PHI 
12,Gunnar Henderson ,270,45,13,42,8,0.269,0.352,73,14,3,32,71,0.489,0.84,0.98,0.99,0.96,23372 ,BAL 
13,Julio Rodriguez ,277,41,12,39,12,0.272,0.333,75,13,1,21,68,0.458,0.791,0.98,0.99,0.97,43685 ,SEA 
14,Bryce Harper ,251,42,13,43,5,0.277,0.383,70,16,0,38,60,0.494,0.877,0.99,0.99,1.0,4293 d,PHI 
15,Ketel Marte ,250,43,14,42,3,0.281,0.371,70,14,1,32,49,0.51,0.882,0.99,0.99,1.0,5179 d,ARI 
16,Corbin Carroll ,246,46,12,36,14,0.258,0.345,63,11,5,28,59,0.486,0.831,0.99,0.99,1.0,23993 ,ARI 
17,Mookie Betts ,258,45,12,40,6,0.274,0.362,71,14,1,33,37,0.472,0.834,0.99,0.99,1.0,4921 d,LAD 
18,Pete Crow-Armstrong ,260,40,11,38,17,0.255,0.303,66,12,3,16,69,0.453,0.756,0.98,0.97,0.99,23369 ,CHC 
19,Jackson Chourio ,282,39,11,40,13,0.263,0.311,74,15,2,18,63,0.447,0.758,0.98,0.99,0.98,44592 ,MIL 
20,Freddie Freeman ,257,42,10,41,4,0.289,0.38,74,16,1,32,51,0.478,0.858,0.99,0.99,1.0,3365 d,LAD 
21,Francisco Lindor ,268,43,13,39,10,0.259,0.335,69,13,1,26,56,0.457,0.792,0.99,0.99,1.0,4569 d,NYM 
22,Manny Machado ,273,39,13,44,5,0.271,0.336,74,14,0,25,54,0.469,0.806,0.99,0.99,1.0,3778 d,SD 
23,Kyle Schwarber ,252,46,19,47,3,0.235,0.363,59,9,1,46,83,0.499,0.862,0.98,0.99,0.98,5686 d,PHI 
24,Austin Riley ,278,42,14,45,1,0.268,0.335,75,14,1,24,78,0.477,0.811,0.96,0.99,0.93,6022 d,ATL 
25,James Wood ,250,40,12,38,9,0.267,0.363,67,14,1,35,77,0.477,0.84,0.98,0.99,0.97,44720 ,WSH 
26,Teoscar Hernandez ,258,38,14,44,4,0.266,0.322,69,13,0,19,75,0.478,0.8,0.96,0.98,0.94,4846 d,LAD 
27,Jazz Chisholm Jr. ,241,38,13,38,14,0.247,0.322,60,10,1,25,70,0.46,0.783,0.96,0.98,0.93,8449 d,NYY 
28,Matt Olson ,270,44,15,48,0,0.254,0.356,69,14,0,39,72,0.481,0.837,0.98,0.99,0.97,5718 d,ATL 
29,Pete Alonso ,259,40,16,47,2,0.25,0.346,65,12,1,30,68,0.487,0.833,0.99,0.99,1.0,6960 d,NYM 
30,Zach Neto ,265,40,12,35,13,0.253,0.318,67,14,1,18,70,0.45,0.768,0.54,0.79,0.29,46294 ,LAA 
31,Junior Caminero ,258,36,14,43,3,0.266,0.316,69,12,1,17,55,0.481,0.798,0.93,0.95,0.91,45016 ,TB 
32,Brent Rooker ,241,37,15,41,3,0.267,0.347,64,12,1,26,71,0.513,0.859,0.93,0.98,0.88,7318 d,ATH 
33,Jackson Merrill ,273,38,10,38,5,0.273,0.322,75,15,2,19,54,0.447,0.769,0.94,0.96,0.92,44756 ,SD 
34,CJ Abrams ,256,39,9,30,15,0.259,0.323,66,13,2,18,52,0.432,0.755,0.92,0.97,0.86,19879 ,WSH 
35,Bo Bichette ,268,36,9,36,4,0.283,0.328,76,15,1,16,50,0.444,0.772,0.82,0.93,0.7,6808 d,TOR 
36,Jose Altuve ,265,38,10,35,7,0.268,0.336,71,13,0,25,50,0.431,0.767,0.97,0.98,0.96,4334 d,HOU 
37,Cal Raleigh ,237,37,17,44,3,0.237,0.334,56,11,0,31,71,0.501,0.835,0.99,0.99,1.0,8457 d,SEA 
