VBR,Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost,Yahoo,ESPN,PlayerId,Team
1,Shohei Ohtani ,24.8,29,2,0,3.43,1.17,9,20,8,3,5,5,1,0,1.0,0.0,1.0,7354 d,LAD 
2,Tarik Skubal ,46.4,56,3,0,2.72,1.02,14,36,9,4,8,8,2,0,0.99,0.99,1.0,43633 ,DET 
3,Zack Wheeler ,49.7,58,4,0,3.16,1.10,17,40,13,6,8,8,2,0,0.99,0.99,1.0,4603 d,PHI 
4,Paul Skenes ,43.1,51,3,0,2.95,1.13,14,35,12,4,8,8,2,0,0.99,0.99,1.0,47239 ,PIT 
5,Logan Gilbert ,44.3,50,3,0,3.32,1.10,16,37,10,5,8,8,2,0,0.97,0.98,0.97,7453 d,SEA 
6,Garrett Crochet ,41.4,52,3,0,3.07,1.13,14,34,12,4,8,8,2,0,0.99,0.99,1.0,43886 ,BOS 
7,Yoshinobu Yamamoto ,44.1,48,4,0,3.38,1.17,17,37,13,5,8,8,2,0,0.99,0.99,0.99,48250 ,LAD 
8,Max Fried ,48.0,45,4,0,3.34,1.22,18,43,13,5,8,8,2,0,0.98,0.98,0.99,4729 d,NYY 
9,Logan Webb ,49.8,47,3,0,3.28,1.20,18,47,11,4,8,8,2,0,0.99,0.99,0.99,8146 d,SF 
10,Framber Valdez ,49.8,49,4,0,3.35,1.26,19,44,17,4,8,8,2,0,0.99,0.99,0.99,7627 d,HOU 
11,Jacob deGrom ,37.1,43,3,0,3.35,1.07,14,30,9,5,7,7,2,0,0.99,0.99,0.98,4850 d,TEX 
12,Joe Ryan ,44.3,49,3,0,3.67,1.13,18,38,10,6,8,8,2,0,0.98,0.97,0.98,43688 ,MIN 
13,Dylan Cease ,45.6,56,3,0,3.54,1.22,18,37,17,5,8,8,2,0,0.95,0.97,0.93,6848 d,SD 
14,George Kirby ,44.0,42,3,0,3.55,1.15,17,41,8,5,8,8,2,0,0.91,0.95,0.86,20405 ,SEA 
15,Sonny Gray ,44.3,47,3,0,3.55,1.18,17,40,11,5,8,8,2,0,0.95,0.95,0.94,4755 d,STL 
16,Spencer Strider ,43.6,55,3,0,3.65,1.20,18,36,15,5,8,8,2,0,0.86,0.92,0.81,44282 ,ATL 
17,Cristopher Sanchez ,46.8,45,3,0,3.38,1.23,18,43,12,5,8,8,2,0,0.95,0.94,0.96,39312 ,PHI 
18,Bryan Woo ,41.6,41,3,0,3.60,1.13,17,36,9,6,8,8,2,0,0.96,0.96,0.95,47011 ,SEA 
19,Hunter Brown ,46.0,51,3,0,3.50,1.25,18,40,16,5,8,8,2,0,0.99,0.98,0.99,44176 ,HOU 
20,Tyler Glasnow ,39.4,47,3,0,3.56,1.17,16,32,13,5,7,7,2,0,0.92,0.97,0.88,4587 d,LAD 
21,Nick Pivetta ,44.7,50,3,0,3.85,1.18,19,38,13,7,8,8,2,0,0.94,0.94,0.94,6590 d,SD 
22,Hunter Greene ,43.1,51,3,0,3.79,1.20,18,34,14,6,8,8,2,0,0.94,0.95,0.93,6871 d,CIN 
23,Brandon Woodruff ,42.8,45,3,0,3.81,1.19,18,37,12,6,8,8,2,0,0.85,0.88,0.81,6813 d,MIL 
24,Nathan Eovaldi ,43.5,42,3,0,3.66,1.21,18,40,11,5,8,8,2,0,0.95,0.95,0.96,4423 d,TEX 
25,Blake Snell ,42.1,52,3,0,3.63,1.27,17,33,19,5,8,8,2,0,0.92,0.96,0.88,5835 d,LAD 
26,Shota Imanaga ,47.5,45,3,0,4.03,1.19,21,45,10,8,8,8,3,0,0.96,0.98,0.95,6979 d,CHC 
27,Freddy Peralta ,44.6,49,3,0,3.78,1.24,19,37,16,6,8,8,2,0,0.97,0.98,0.96,7274 d,MIL 
28,Matthew Boyd ,44.4,42,3,0,3.74,1.23,18,41,12,5,8,8,2,0,0.89,0.9,0.88,5003 d,CHC 
29,Luis Castillo ,44.8,42,3,0,3.78,1.24,19,41,13,6,8,8,2,0,0.96,0.96,0.96,3679 d,SEA 
30,Carlos Rodon ,45.6,51,3,0,4.02,1.25,20,39,16,7,8,8,3,0,0.96,0.96,0.96,5674 d,NYY 
31,Kevin Gausman ,45.8,45,3,0,3.98,1.26,20,43,13,6,8,8,3,0,0.9,0.91,0.9,4671 d,TOR 
32,Ranger Suarez ,43.6,39,3,0,3.69,1.28,18,41,13,4,9,7,2,0,0.8,0.83,0.76,7247 d,PHI 
33,Edwin Diaz ,15.4,22,1,8,2.88,1.14,5,11,6,1,16,0,1,0,0.97,0.98,0.96,5996 d,NYM 
34,Merrill Kelly ,45.2,43,3,0,3.94,1.26,20,41,14,6,8,8,2,0,0.82,0.85,0.79,8374 d,TEX 
35,Tanner Bibee ,45.6,44,3,0,3.96,1.26,20,42,13,6,8,8,3,0,0.81,0.89,0.73,45056 ,CLE 
36,Drew Rasmussen ,38.0,36,2,0,3.51,1.19,15,35,9,4,10,7,2,0,0.74,0.85,0.63,43665 ,TB 
37,Jesus Luzardo ,41.4,44,3,0,3.95,1.26,18,37,14,5,7,7,2,0,0.82,0.87,0.77,6889 d,PHI 
38,Aaron Nola ,42.2,41,3,0,4.01,1.24,19,40,11,6,7,7,2,0,0.79,0.87,0.71,5682 d,PHI 
39,Robbie Ray ,43.6,47,3,0,4.06,1.29,20,39,16,6,8,8,3,0,0.93,0.94,0.91,5484 d,SF 
40,Cade Smith ,16.4,21,1,7,2.94,1.18,5,13,6,1,17,0,1,0,0.42,0.57,0.27,45654 ,CLE 
41,Jhoan Duran ,15.8,18,1,7,2.74,1.18,5,13,5,1,17,0,1,0,0.91,0.95,0.87,8034 d,PHI 
42,Andres Munoz ,15.1,19,1,7,2.77,1.19,5,11,6,1,16,0,1,0,0.97,0.98,0.96,24281 ,SEA 
43,Chris Sale ,26.2,32,2,0,3.13,1.16,9,22,7,3,5,5,1,0,0.93,0.95,0.92,3207 d,ATL 
44,Aroldis Chapman ,14.8,21,1,7,2.87,1.22,5,10,7,1,16,0,1,0,0.83,0.88,0.79,3068 d,BOS 
45,Max Scherzer ,35.9,37,2,0,3.99,1.20,16,32,9,6,7,7,2,0,0.45,0.63,0.26,3744 d,TOR 
46,Jeff Hoffman ,15.0,19,1,7,3.29,1.16,5,12,5,2,16,0,1,0,0.88,0.94,0.81,6014 d,TOR 
47,Jack Flaherty ,40.7,45,2,0,3.95,1.28,18,36,14,5,7,7,3,0,0.79,0.85,0.74,6021 d,DET 
48,Quinn Priester ,45.5,37,3,0,3.94,1.31,20,43,15,5,10,8,3,0,0.61,0.73,0.48,23367 ,MIL 
49,Ryan Pepiot ,42.4,43,3,0,4.18,1.30,20,38,15,7,8,8,3,0,0.67,0.83,0.52,38313 ,TB 
50,Kodai Senga ,41.1,42,3,0,3.90,1.35,18,35,19,5,7,7,2,0,0.87,0.91,0.84,6917 d,NYM 
51,Yu Darvish ,40.2,38,3,0,4.19,1.26,19,37,12,6,7,7,3,0,0.28,0.41,0.15,3965 d,SD 
52,Zebby Matthews ,34.6,35,2,0,3.84,1.22,15,33,8,5,10,6,2,0,0.13,0.2,0.05,48349 ,MIN 
53,MacKenzie Gore ,42.7,47,2,0,3.93,1.32,19,39,16,5,8,8,3,0,0.78,0.81,0.74,7146 d,WSH 
54,Trevor Megill ,15.8,19,1,6,3.32,1.21,6,13,6,2,17,0,1,0,0.8,0.91,0.68,10118 ,MIL 
55,Zac Gallen ,45.1,43,3,0,4.21,1.35,21,44,15,6,8,8,3,0,0.77,0.84,0.7,7245 d,ARI 
56,Mason Miller ,15.0,23,1,2,2.64,1.07,4,9,6,2,16,0,1,0,0.94,0.96,0.92,45221 ,SD 
57,Shane Bieber ,30.1,29,2,0,3.73,1.23,12,29,8,4,6,6,1,0,0.39,0.53,0.25,7178 d,TOR 
58,David Bednar ,14.8,18,1,4,3.16,1.16,5,12,5,2,16,0,1,0,0.59,0.73,0.45,8451 d,NYY 
59,Chris Bassitt ,43.3,40,3,0,4.11,1.36,20,42,14,6,8,8,3,0,0.72,0.77,0.67,5554 d,TOR 
60,Raisel Iglesias ,15.5,17,1,6,3.45,1.19,6,14,4,2,16,0,1,0,0.78,0.89,0.68,5589 d,ATL 
61,Luis Gil ,38.8,42,3,0,4.13,1.36,18,32,19,6,9,7,2,0,0.43,0.51,0.34,39290 ,NYY 
62,Brandon Pfaadt ,42.3,38,3,0,4.33,1.30,20,43,10,6,8,8,3,0,0.65,0.67,0.62,44436 ,ARI 
63,David Peterson ,43.7,39,3,0,3.89,1.40,19,42,17,4,8,8,2,0,0.64,0.72,0.56,7275 d,NYM 
64,Yusei Kikuchi ,43.2,46,2,0,4.09,1.32,20,41,15,6,8,8,2,0,0.75,0.79,0.72,7015 d,LAA 
65,Robert Suarez ,15.2,16,1,6,3.46,1.23,6,13,5,2,16,0,1,0,0.94,0.95,0.93,45030 ,SD 
66,Pete Fairbanks ,14.1,15,1,7,3.51,1.29,6,12,5,2,15,0,1,0,0.59,0.83,0.36,19909 ,TB 
67,Eury Perez ,33.1,35,2,0,4.02,1.25,15,29,11,5,7,7,2,0,0.54,0.68,0.4,44610 ,MIA 
68,Randy Rodriguez ,15.1,17,1,6,3.35,1.26,6,12,6,2,16,0,1,0,0.32,0.47,0.17,45022 ,SF 
69,Michael Wacha ,43.8,36,3,0,4.28,1.32,21,43,13,6,8,8,3,0,0.42,0.54,0.3,4584 d,KC 
70,Sean Manaea ,41.1,41,2,0,4.15,1.29,19,37,14,6,7,7,2,0,0.44,0.51,0.37,4944 d,NYM 
71,Michael King ,26.0,28,2,0,3.68,1.27,11,23,9,3,5,5,1,0,0.9,0.93,0.88,8489 d,SD 
72,Nestor Cortes Jr. ,38.0,37,2,0,4.16,1.25,18,35,11,6,10,6,2,0,0.18,0.21,0.15,7375 d,SD 
73,Bryan Abreu ,16.0,21,1,4,3.19,1.20,6,12,7,2,17,0,1,0,0.37,0.47,0.27,8384 d,HOU 
74,Kenley Jansen ,14.6,16,1,7,4.05,1.23,7,12,5,2,15,0,1,0,0.58,0.82,0.33,3630 d,LAA 
75,Daniel Palencia ,15.2,17,1,7,3.75,1.34,6,13,7,2,16,0,1,0,0.43,0.6,0.26,44792 ,CHC 
76,Seth Lugo ,46.2,40,3,0,4.34,1.35,22,46,14,6,8,8,3,0,0.78,0.83,0.73,5890 d,KC 
77,Bailey Ober ,39.7,36,2,0,4.37,1.25,19,38,10,7,7,7,2,0,0.63,0.71,0.56,44064 ,MIN 
78,Emilio Pagan ,15.3,17,1,6,4.05,1.24,7,13,5,3,16,0,1,0,0.64,0.78,0.51,7143 d,CIN 
