VBR,Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
1,Shohei Ohtani ,140,29,10,27,5,0.283,0.399,39,7,1,23,39,0.572,0.972,1.0,0.0,1.0,7354 d,LAD 
2,Bobby Witt Jr. ,148,25,7,22,9,0.288,0.355,43,9,2,14,28,0.5,0.855,0.99,0.99,1.0,6810 d,KC 
3,Elly De La Cruz ,153,26,7,22,10,0.263,0.342,40,8,2,17,46,0.473,0.815,0.99,0.99,0.98,44884 ,CIN 
4,Yordan Alvarez ,126,24,9,25,1,0.301,0.421,38,7,0,21,26,0.58,1.002,0.99,0.99,1.0,6461 d,HOU 
5,Fernando Tatis Jr. ,147,25,6,21,8,0.277,0.363,41,8,1,18,32,0.471,0.835,0.99,0.99,1.0,6853 d,SD 
6,Junior Caminero ,153,24,10,29,1,0.27,0.344,41,7,0,15,32,0.521,0.866,0.99,0.99,1.0,45016 ,TB 
7,Ronald Acuna Jr. ,135,25,7,20,7,0.273,0.383,37,6,1,22,34,0.484,0.867,0.99,0.99,0.98,6966 d,ATL 
8,Pete Crow-Armstrong ,148,24,7,22,9,0.256,0.328,38,7,2,13,42,0.47,0.798,0.99,0.99,1.0,23369 ,CHC 
9,Julio Rodriguez ,150,23,7,23,6,0.271,0.338,41,7,1,13,35,0.468,0.806,0.98,0.99,0.97,43685 ,SEA 
10,Jose Ramirez ,140,22,6,21,9,0.269,0.362,38,8,1,17,19,0.464,0.826,0.99,0.99,1.0,5288 d,CLE 
11,Vladimir Guerrero Jr. ,141,22,6,22,2,0.288,0.379,41,8,0,18,22,0.473,0.851,0.96,0.97,0.95,6050 d,TOR 
12,Corbin Carroll ,138,25,6,20,7,0.255,0.348,35,7,3,17,34,0.481,0.829,0.99,0.99,1.0,23993 ,ARI 
13,Gunnar Henderson ,151,24,7,21,5,0.259,0.343,39,8,1,17,37,0.46,0.803,0.95,0.98,0.93,23372 ,BAL 
14,Pete Alonso ,149,23,9,26,1,0.257,0.347,38,7,0,17,39,0.493,0.84,0.97,0.99,0.96,6960 d,BAL 
15,Jackson Chourio ,147,22,6,22,5,0.268,0.327,39,8,1,12,35,0.463,0.79,0.97,0.99,0.96,44592 ,MIL 
16,Kyle Schwarber ,140,25,11,26,1,0.229,0.357,32,5,0,26,51,0.495,0.852,0.99,0.99,1.0,5686 d,PHI 
17,Freddie Freeman ,145,22,6,22,2,0.284,0.373,41,9,0,18,29,0.466,0.838,0.98,0.99,0.97,3365 d,LAD 
18,CJ Abrams ,144,22,6,20,7,0.256,0.326,37,7,1,12,33,0.444,0.77,0.98,0.98,0.98,19879 ,WSH 
19,Bryce Harper ,134,22,7,23,2,0.267,0.375,36,8,0,21,33,0.485,0.859,0.99,0.99,0.99,4293 d,PHI 
20,Francisco Lindor ,145,23,7,20,5,0.256,0.338,37,7,1,16,30,0.448,0.787,0.92,0.97,0.88,4569 d,NYM 
21,Michael Harris II ,146,20,6,21,4,0.275,0.311,40,7,1,7,30,0.459,0.771,0.93,0.96,0.91,43924 ,ATL 
22,Sal Stewart ,145,21,7,23,3,0.259,0.334,38,8,0,15,34,0.46,0.795,0.95,0.95,0.95,46342 ,CIN 
23,Trea Turner ,148,22,5,18,6,0.271,0.322,40,7,1,11,31,0.425,0.747,0.92,0.98,0.87,5828 d,PHI 
24,Matt Olson ,148,23,9,25,0,0.251,0.344,37,8,0,20,41,0.48,0.825,0.99,0.99,0.99,5718 d,ATL 
25,Ben Rice ,137,23,9,23,1,0.248,0.344,34,6,1,18,36,0.493,0.837,0.99,0.99,1.0,47445 ,NYY 
26,Ketel Marte ,141,22,7,22,1,0.271,0.355,38,8,1,16,25,0.481,0.836,0.99,0.98,1.0,5179 d,ARI 
27,Kyle Tucker ,136,23,6,21,4,0.257,0.363,35,7,1,21,26,0.454,0.817,0.97,0.98,0.96,6006 d,LAD 
28,Wyatt Langford ,138,22,6,20,5,0.255,0.343,35,7,1,17,36,0.462,0.806,0.79,0.91,0.67,47238 ,TEX 
29,Jeremy Pena ,145,21,5,18,4,0.272,0.328,40,7,1,10,30,0.434,0.763,0.79,0.9,0.67,43642 ,HOU 
30,Byron Buxton ,121,20,8,20,3,0.255,0.325,31,6,1,10,35,0.514,0.839,0.93,0.96,0.91,4672 d,MIN 
