VBR,Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost,Yahoo,ESPN,PlayerId,Team
1,Shohei Ohtani ,15.0,18,1,0,3.18,1.18,5,12,5,2,3,3,1,0,1.0,0.0,1.0,7354 d,LAD 
2,Tarik Skubal ,47.1,57,4,0,2.86,1.03,15,37,9,5,8,8,2,0,0.99,0.99,0.99,43633 ,LAD 
3,Paul Skenes ,49.2,58,4,0,2.99,1.11,16,39,13,5,8,8,2,0,0.99,0.99,1.0,47239 ,PIT 
4,Cristopher Sanchez ,52.4,54,4,0,3.06,1.17,18,46,13,5,9,9,2,0,0.99,0.99,1.0,39312 ,PHI 
5,Zack Wheeler ,48.6,55,4,0,3.36,1.14,18,40,14,6,8,8,2,0,0.98,0.97,0.99,4603 d,PHI 
6,Chris Sale ,46.2,56,4,0,3.20,1.16,16,38,12,5,8,8,2,0,0.99,0.99,1.0,3207 d,ATL 
7,Jacob Misiorowski ,46.1,64,3,0,3.08,1.16,16,33,18,5,8,8,2,0,0.99,0.99,0.99,46366 ,MIL 
8,Dylan Cease ,49.6,64,4,0,3.33,1.20,18,38,20,5,9,9,2,0,0.99,0.99,0.99,6848 d,TOR 
9,Jacob deGrom ,44.5,51,3,0,3.43,1.09,17,36,11,6,8,8,2,0,0.98,0.98,0.97,4850 d,TEX 
10,Yoshinobu Yamamoto ,45.8,47,4,0,3.44,1.15,18,39,13,5,7,7,2,0,0.99,0.99,1.0,48250 ,LAD 
11,Logan Gilbert ,47.8,52,3,0,3.58,1.14,19,41,12,7,8,8,2,0,0.99,0.99,0.98,7453 d,SEA 
12,Jesus Luzardo ,50.4,57,3,0,3.44,1.21,19,43,16,6,9,9,2,0,0.98,0.98,0.98,6889 d,PHI 
13,Bryan Woo ,45.8,46,3,0,3.60,1.13,18,40,10,6,8,8,2,0,0.96,0.97,0.94,47011 ,SEA 
14,Max Fried ,46.6,44,4,0,3.41,1.24,18,41,14,4,8,8,2,0,0.98,0.98,0.98,4729 d,NYY 
15,Drew Rasmussen ,46.0,45,3,0,3.53,1.17,18,41,11,5,9,9,2,0,0.94,0.95,0.94,43665 ,TB 
16,Mason Miller ,16.5,27,1,9,2.17,0.99,4,9,6,1,18,0,1,0,0.99,0.99,1.0,45221 ,SD 
17,Cam Schlittler ,43.6,49,3,0,3.54,1.21,17,37,14,5,8,8,2,0,0.99,0.98,0.99,7355019,NYY 
18,Gavin Williams ,47.5,55,3,0,3.65,1.25,19,40,18,6,8,8,2,0,0.96,0.96,0.96,44694 ,CLE 
19,Logan Webb ,53.7,47,3,0,3.57,1.27,21,52,14,5,9,9,3,0,0.96,0.97,0.95,8146 d,SF 
20,Hunter Brown ,48.6,53,3,0,3.63,1.27,20,42,18,6,8,8,2,0,0.94,0.96,0.92,44176 ,HOU 
21,Shota Imanaga ,47.9,45,3,0,4.09,1.17,22,44,11,8,8,8,3,0,0.88,0.92,0.84,6979 d,CHC 
22,Chase Burns ,42.5,49,3,0,3.78,1.22,18,36,15,6,8,8,2,0,0.98,0.98,0.98,44722 ,CIN 
23,Ranger Suarez ,48.3,45,3,0,3.60,1.27,19,46,14,5,9,9,3,0,0.8,0.86,0.74,7247 d,BOS 
24,George Kirby ,47.8,45,3,0,3.90,1.22,21,46,10,6,8,8,3,0,0.95,0.97,0.92,20405 ,SEA 
25,Kevin Gausman ,48.8,48,3,0,3.94,1.23,21,45,15,6,8,8,2,0,0.91,0.95,0.87,4671 d,CHC 
26,Nathan Eovaldi ,43.2,42,3,0,3.78,1.21,18,39,11,6,7,7,2,0,0.9,0.93,0.86,4423 d,TEX 
27,Gerrit Cole ,48.4,49,3,0,4.03,1.22,22,44,13,7,8,8,3,0,0.9,0.91,0.9,4656 d,NYY 
28,Blake Snell ,36.9,46,3,0,3.47,1.25,14,29,16,4,7,7,2,0,0.79,0.86,0.72,5835 d,LAD 
29,Sonny Gray ,47.7,47,3,0,3.88,1.26,21,45,13,6,9,9,3,0,0.95,0.97,0.94,4755 d,BOS 
30,Cade Smith ,17.3,22,1,9,2.90,1.12,6,13,5,2,19,0,1,0,0.98,0.98,0.97,45654 ,CLE 
31,Nolan McLean ,44.3,48,3,0,3.67,1.31,18,38,17,5,8,8,2,0,0.95,0.98,0.93,47159 ,NYM 
32,Braxton Ashcraft ,42.9,43,3,0,3.74,1.27,18,40,13,5,8,8,2,0,0.84,0.85,0.83,47807 ,PIT 
33,Jhoan Duran ,16.8,21,1,8,2.65,1.13,5,13,5,1,18,0,1,0,0.95,0.97,0.94,8034 d,PHI 
34,Reid Detmers ,46.4,52,3,0,4.06,1.27,21,41,16,7,8,8,3,0,0.59,0.65,0.54,43840 ,LAA 
35,Bryce Miller ,44.9,43,3,0,4.08,1.24,20,41,13,7,10,8,3,0,0.58,0.63,0.54,45184 ,SEA 
36,Josh Hader ,15.5,22,1,9,3.25,1.14,6,11,6,2,17,0,1,0,0.87,0.92,0.82,5047 d,HOU 
37,MacKenzie Gore ,47.3,51,3,0,4.02,1.30,21,42,18,6,8,8,3,0,0.68,0.78,0.58,7146 d,TEX 
38,Casey Mize ,44.7,41,3,0,4.00,1.26,20,42,13,6,8,8,3,0,0.48,0.6,0.35,7399 d,SD 
39,Payton Tolle ,38.6,42,2,0,3.82,1.21,16,34,12,5,7,7,2,0,0.69,0.77,0.61,7354435,BOS 
40,Aroldis Chapman ,15.9,22,1,9,3.12,1.22,6,12,7,2,17,0,1,0,0.95,0.97,0.92,3068 d,BOS 
41,Framber Valdez ,50.9,44,3,0,3.82,1.33,22,48,17,5,8,8,3,0,0.79,0.87,0.7,7627 d,DET 
42,Parker Messick ,42.5,41,3,0,3.82,1.30,18,40,13,5,8,8,2,0,0.93,0.92,0.94,46317 ,CLE 
43,David Bednar ,16.7,19,1,9,3.32,1.19,6,13,6,2,18,0,1,0,0.91,0.96,0.86,8451 d,NYY 
44,Matthew Boyd ,43.9,40,3,0,3.98,1.28,19,41,13,6,8,8,2,0,0.72,0.8,0.63,5003 d,CHC 
45,Christian Scott ,37.7,40,3,0,3.97,1.26,17,33,13,5,8,8,2,0,0.22,0.32,0.11,45298 ,NYM 
46,Andres Munoz ,15.3,20,1,8,2.97,1.21,5,11,6,1,16,0,1,0,0.88,0.95,0.81,24281 ,SEA 
47,Jose Soriano ,44.6,44,3,0,3.75,1.36,19,39,20,4,8,8,2,0,0.84,0.87,0.82,7899 d,TOR 
48,Bryan Baker ,17.1,20,1,9,3.63,1.23,7,14,6,2,18,0,1,0,0.8,0.83,0.77,43674 ,TB 
49,Logan Henderson ,35.2,39,2,0,4.02,1.19,16,30,11,6,9,7,2,0,0.67,0.75,0.58,45145 ,MIL 
50,Eury Perez ,40.5,45,2,0,4.01,1.25,18,33,15,6,8,8,3,0,0.83,0.91,0.76,44610 ,MIA 
51,Kyle Bradish ,46.5,46,3,0,3.97,1.34,21,43,18,5,8,8,3,0,0.8,0.91,0.69,39964 ,BAL 
52,Louis Varland ,16.7,18,1,8,3.30,1.21,6,15,5,2,18,0,1,0,0.84,0.85,0.83,44936 ,TOR 
53,Freddy Peralta ,48.2,49,3,0,4.25,1.31,23,43,19,7,9,9,3,0,0.76,0.8,0.71,7274 d,TB 
54,Taj Bradley ,46.8,49,3,0,4.20,1.32,22,43,18,7,8,8,3,0,0.74,0.79,0.69,44442 ,MIN 
55,Grant Taylor ,20.0,25,1,5,3.17,1.21,7,16,7,2,21,0,1,0,0.21,0.28,0.14,47161 ,CWS 
56,Dustin May ,44.0,43,3,0,4.05,1.32,20,39,16,6,8,8,2,0,0.25,0.33,0.16,7413 d,MIL 
57,Kyle Harrison ,38.9,44,2,0,3.93,1.27,17,34,13,6,7,7,2,0,0.81,0.87,0.75,43921 ,MIL 
58,Devin Williams ,14.9,19,1,8,3.27,1.25,5,11,7,1,16,0,1,0,0.77,0.86,0.67,27766 ,NYM 
59,Raisel Iglesias ,16.9,18,1,8,3.64,1.21,7,15,5,2,18,0,1,0,0.87,0.92,0.82,5589 d,ATL 
60,Troy Melton ,44.0,39,3,0,4.19,1.31,20,42,14,6,10,7,2,0,0.74,0.76,0.71,46923 ,DET 
61,Edwin Diaz ,15.7,21,1,6,3.39,1.19,6,12,6,2,17,0,1,0,0.73,0.83,0.64,5996 d,LAD 
62,Tanner Bibee ,45.1,40,3,0,4.24,1.31,21,44,13,7,8,8,3,0,0.72,0.81,0.63,45056 ,CLE 
63,Aaron Nola ,46.3,45,3,0,4.43,1.30,23,45,14,8,8,8,3,0,0.41,0.46,0.36,5682 d,PHI 
64,Sandy Alcantara ,50.9,41,3,0,4.28,1.32,24,50,15,6,8,8,3,0,0.92,0.94,0.9,7109 d,MIA 
65,Michael Soroka ,39.8,38,3,0,4.13,1.32,18,37,13,5,9,7,2,0,0.59,0.67,0.52,6950 d,ARI 
66,Michael King ,46.7,45,3,0,4.13,1.36,21,43,18,6,8,8,3,0,0.88,0.92,0.84,8489 d,SD 
67,Jared Jones ,37.2,39,2,0,3.94,1.29,16,34,13,5,9,7,2,0,0.37,0.49,0.24,43901 ,PIT 
68,Foster Griffin ,43.6,41,2,0,4.11,1.29,20,42,12,6,8,8,3,0,0.78,0.79,0.77,7531 d,CLE 
69,Tyler Glasnow ,25.3,30,2,0,3.71,1.20,10,20,9,3,4,4,1,0,0.83,0.9,0.77,4587 d,LAD 
70,Ryan Weathers ,34.1,35,2,0,3.87,1.27,15,31,11,5,13,5,2,0,0.45,0.55,0.35,7484 d,NYY 
71,Landen Roupp ,42.1,40,3,0,3.95,1.38,18,39,18,4,8,8,3,0,0.31,0.38,0.25,47041 ,SF 
72,Trevor Megill ,16.0,20,1,5,3.34,1.20,6,13,6,2,17,0,1,0,0.69,0.82,0.56,10118 ,MIL 
73,Joe Ryan ,23.8,26,2,0,3.79,1.16,10,21,6,3,4,4,1,0,0.93,0.95,0.92,43688 ,MIN 
74,Clay Holmes ,38.3,32,3,0,3.80,1.37,16,36,14,4,7,7,2,0,0.33,0.41,0.24,6584 d,CHC 
75,Trevor Rogers ,43.1,36,3,0,4.23,1.32,20,42,14,6,8,8,3,0,0.66,0.79,0.53,6995 d,BAL 
76,Shane McClanahan ,32.6,32,2,0,3.83,1.27,14,29,11,4,6,6,2,0,0.64,0.84,0.45,7487 d,TB 
77,Sean Manaea ,46.4,45,3,0,4.41,1.33,23,43,15,7,8,8,2,0,0.18,0.27,0.09,4944 d,NYM 
78,Emilio Pagan ,16.9,18,1,8,4.18,1.26,8,15,6,3,18,0,1,0,0.63,0.73,0.53,7143 d,CIN 
79,Will Warren ,44.3,43,3,0,4.27,1.35,21,42,16,6,11,8,2,0,0.45,0.51,0.4,46420 ,NYY 
80,Cade Cavalli ,40.4,40,2,0,3.93,1.34,18,38,13,4,8,8,2,0,0.51,0.65,0.38,43871 ,WSH 
81,Jacob Latz ,16.4,17,1,7,3.75,1.30,7,14,7,2,18,0,1,0,0.62,0.67,0.58,44337 ,TEX 
82,Pete Fairbanks ,14.7,17,1,7,3.76,1.28,6,12,6,2,16,0,1,0,0.55,0.69,0.42,19909 ,MIA 
83,Shane Baz ,47.7,44,3,0,4.33,1.36,23,45,17,6,8,8,3,0,0.43,0.55,0.31,7158 d,BAL 
84,Ian Seymour ,38.2,39,2,0,4.20,1.29,18,34,12,6,9,6,2,0,0.47,0.57,0.38,44903 ,TB 
85,Tanner Scott ,15.8,20,1,4,3.23,1.23,6,13,6,2,17,0,1,0,0.36,0.43,0.3,7328 d,LAD 
86,Noah Cameron ,43.8,38,3,0,4.29,1.35,21,43,14,6,8,8,3,0,0.35,0.45,0.25,47086 ,KC 
87,Michael Wacha ,48.8,39,3,0,4.42,1.34,24,49,15,7,8,8,3,0,0.6,0.62,0.57,4584 d,KC 
88,Sean Burke ,47.0,48,2,0,4.34,1.34,23,43,18,7,9,9,3,0,0.79,0.83,0.74,44752 ,CWS 
89,Emerson Hancock ,43.5,38,3,0,4.43,1.34,21,43,13,7,10,8,2,0,0.75,0.79,0.71,43825 ,SEA 
90,Daniel Palencia ,14.3,16,1,6,3.67,1.29,6,12,6,2,14,0,1,0,0.45,0.59,0.31,44792 ,CHC 
91,Joey Cantillo ,41.1,43,2,0,4.08,1.37,19,37,18,5,10,7,2,0,0.38,0.5,0.26,43689 ,CLE 
92,Riley O'Brien ,16.8,17,1,7,3.67,1.41,7,15,7,1,18,0,1,0,0.7,0.77,0.63,8620 d,STL 
93,Kenley Jansen ,15.3,16,1,7,4.18,1.30,7,13,6,2,16,0,1,0,0.54,0.7,0.38,3630 d,DET 
