VBR,Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
1,Shohei Ohtani ,262,58,21,53,14,0.286,0.39,75,13,3,39,71,0.6,0.99,1.0,0.0,1.0,7354 d,LAD 
2,Aaron Judge ,256,54,24,59,4,0.297,0.434,76,13,1,53,79,0.634,1.068,0.99,0.99,1.0,4955 d,NYY 
3,Ronald Acuna Jr. ,266,55,15,43,17,0.294,0.395,78,14,1,40,61,0.52,0.915,0.99,0.99,1.0,6966 d,ATL 
4,Bobby Witt Jr. ,282,48,13,43,17,0.292,0.354,83,18,3,23,53,0.513,0.867,0.99,0.99,1.0,6810 d,KC 
5,Kyle Tucker ,268,48,15,45,12,0.28,0.381,75,14,2,41,46,0.51,0.891,0.99,0.99,1.0,6006 d,CHC 
6,Jose Ramirez ,282,44,14,45,15,0.278,0.357,79,17,1,29,37,0.492,0.849,0.99,0.99,1.0,5288 d,CLE 
7,Elly De La Cruz ,275,47,13,42,22,0.262,0.339,72,14,3,29,86,0.478,0.817,0.99,0.99,1.0,44884 ,CIN 
8,Fernando Tatis Jr. ,278,48,16,44,12,0.275,0.352,76,15,1,30,61,0.504,0.856,0.99,0.99,1.0,6853 d,SD 
9,Juan Soto ,249,50,16,46,5,0.274,0.421,68,12,1,59,52,0.525,0.945,0.99,0.99,1.0,6906 d,NYM 
10,Vladimir Guerrero Jr. ,273,45,14,47,2,0.295,0.386,80,16,0,35,43,0.511,0.896,0.99,0.99,1.0,6050 d,TOR 
11,Trea Turner ,285,44,10,37,13,0.283,0.335,81,15,1,20,56,0.45,0.785,0.98,0.99,0.98,5828 d,PHI 
12,Julio Rodriguez ,285,43,12,41,12,0.272,0.333,78,13,1,22,70,0.456,0.789,0.98,0.99,0.97,43685 ,SEA 
13,Gunnar Henderson ,274,46,14,43,8,0.27,0.353,74,14,3,32,72,0.491,0.844,0.98,0.99,0.96,23372 ,BAL 
14,Bryce Harper ,258,43,13,44,6,0.279,0.384,72,16,0,39,62,0.496,0.88,0.99,0.99,1.0,4293 d,PHI 
