VBR,Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
1,Shohei Ohtani ,360,70,25,70,15,0.285,0.388,103,20,4,53,95,0.569,0.957,1.0,0.0,1.0,7354 d,LAD 
2,Bobby Witt Jr. ,393,67,18,59,28,0.285,0.338,112,22,6,28,76,0.506,0.844,0.99,0.99,1.0,6810 d,KC 
3,Aaron Judge ,349,68,30,74,4,0.271,0.396,95,17,0,65,111,0.577,0.973,0.99,0.99,1.0,4955 d,NYY 
4,Kyle Tucker ,376,66,22,66,16,0.275,0.368,103,22,2,52,66,0.519,0.886,0.99,0.99,1.0,6006 d,HOU 
5,Juan Soto ,349,70,23,65,7,0.283,0.42,99,18,2,78,70,0.543,0.963,0.99,0.99,1.0,6906 d,NYY 
6,Mookie Betts ,374,72,19,60,10,0.287,0.382,107,23,2,54,61,0.515,0.896,0.99,0.99,1.0,4921 d,LAD 
7,Fernando Tatis Jr. ,376,65,21,61,17,0.268,0.343,101,20,2,40,92,0.499,0.842,0.99,0.99,1.0,6853 d,SD 
8,Jose Ramirez ,379,61,19,65,16,0.275,0.361,104,24,3,42,49,0.5,0.861,0.99,0.99,1.0,5288 d,CLE 
9,Julio Rodriguez ,388,59,17,55,22,0.273,0.335,106,20,2,30,103,0.465,0.8,0.98,0.99,0.97,43685 ,SEA 
10,Freddie Freeman ,374,64,15,60,8,0.297,0.393,111,25,2,48,69,0.492,0.885,0.99,0.99,1.0,3365 d,LAD 
11,Yordan Alvarez ,336,60,22,66,2,0.29,0.39,97,20,1,47,74,0.556,0.946,0.99,0.99,1.0,6461 d,HOU 
12,Gunnar Henderson ,392,68,21,61,9,0.259,0.343,101,19,5,46,110,0.492,0.835,0.99,0.99,1.0,23372 ,BAL 
13,Rafael Devers ,373,59,21,66,3,0.277,0.363,103,23,1,41,83,0.517,0.88,0.99,0.99,0.99,5175 d,BOS 
14,Bryce Harper ,340,59,19,60,8,0.279,0.394,95,21,1,57,87,0.512,0.906,0.99,0.99,1.0,4293 d,PHI 
15,Matt Olson ,375,62,24,69,1,0.259,0.363,97,19,1,54,100,0.508,0.871,0.99,0.99,1.0,5718 d,ATL 
16,Vladimir Guerrero Jr. ,377,58,19,61,4,0.281,0.367,106,21,1,46,67,0.488,0.855,0.99,0.99,0.98,6050 d,TOR 
17,Corbin Carroll ,378,63,12,48,27,0.259,0.339,98,19,6,41,88,0.435,0.774,0.97,0.98,0.95,23993 ,ARI 
18,Elly De La Cruz ,365,58,14,49,32,0.246,0.318,90,18,4,36,126,0.436,0.754,0.99,0.99,0.99,44884 ,CIN 
19,Corey Seager ,341,56,20,58,1,0.285,0.371,97,20,1,39,64,0.52,0.891,0.99,0.99,0.99,4805 d,TEX 
20,Austin Riley ,385,61,20,61,1,0.27,0.343,104,20,2,36,103,0.493,0.835,0.96,0.99,0.93,6022 d,ATL 
21,Michael Harris II ,381,56,13,49,16,0.278,0.324,106,22,2,23,83,0.453,0.778,0.94,0.97,0.92,43924 ,ATL 
22,Pete Alonso ,377,59,25,67,3,0.245,0.338,92,17,1,41,89,0.495,0.833,0.98,0.99,0.98,6960 d,NYM 
23,Ozzie Albies ,386,58,15,55,9,0.272,0.329,105,23,2,30,69,0.46,0.79,0.98,0.99,0.98,5980 d,ATL 
24,Bo Bichette ,387,52,13,54,8,0.284,0.327,110,22,2,23,77,0.448,0.775,0.92,0.97,0.88,6808 d,TOR 
