Team,batter,player_name
CLE,434670,Hanley Ramirez
CLE,641343,Jake Bauers
CLE,543401,Jason Kipnis
CLE,656669,Jordan Luplow
CLE,608070,Jose Ramirez
CLE,608700,Kevin Plawecki
CLE,547982,Leonys Martin
CLE,621559,Max Moroff
CLE,547379,Roberto Perez
CLE,571980,Tyler Naquin
SEA,596129,Daniel Vogelbach
SEA,571679,David Freitas
SEA,543829,Dee Gordon
SEA,570267,Domingo Santana
SEA,664238,Dylan Moore
SEA,429665,Edwin Encarnacion
SEA,457803,Jay Bruce
SEA,605480,Mallex Smith
SEA,571745,Mitch Haniger
SEA,553882,Omar Narvaez
SEA,592387,Ryon Healy
SEA,542921,Tim Beckham
SEA,608596,Tom Murphy
MIA,621573,Austin Dean
MIA,605119,Brian Anderson
MIA,592761,Caleb Smith
MIA,595453,Chad Wallach
MIA,434158,Curtis Granderson
MIA,643265,Garrett Cooper
MIA,595375,JT Riddle
MIA,595751,Jorge Alfaro
MIA,570632,Jose Urena
MIA,621446,Lewis Brinson
MIA,445988,Martin Prado
MIA,500743,Miguel Rojas
MIA,435522,Neil Walker
MIA,641154,Pablo Lopez
MIA,598284,Peter O'Brien
MIA,594011,Rosell Herrera
MIA,645261,Sandy Alcantara
MIA,516770,Starlin Castro
MIA,670950,Trevor Richards
NYM,642708,Amed Rosario
NYM,607043,Brandon Nimmo
NYM,621261,Corey Oswalt
NYM,642086,Dominic Smith
NYM,605204,J.D. Davis
NYM,594798,Jacob deGrom
NYM,450306,Jason Vargas
NYM,643446,Jeff McNeil
NYM,501571,Juan Lagares
NYM,542979,Keon Broxton
NYM,641645,Luis Guillorme
NYM,624424,Michael Conforto
NYM,592789,Noah Syndergaard
NYM,624413,Pete Alonso
NYM,429664,Robinson Cano
NYM,571927,Steven Matz
NYM,621512,Tomas Nido
NYM,518595,Travis d'Arnaud
NYM,467092,Wilson Ramos
NYM,554430,Zack Wheeler
WSH,594809,Adam Eaton
WSH,664057,Andrew Stevenson
WSH,434671,Anibal Sanchez
WSH,543685,Anthony Rendon
WSH,572821,Brian Dozier
WSH,435062,Howie Kendrick
WSH,669738,Jake Noll
WSH,476451,Jeremy Hellickson
WSH,665742,Juan Soto
WSH,435559,Kurt Suzuki
WSH,571431,Matt Adams
WSH,453286,Max Scherzer
WSH,572191,Michael A. Taylor
WSH,571578,Patrick Corbin
WSH,475582,Ryan Zimmerman
WSH,448281,Sean Doolittle
WSH,544931,Stephen Strasburg
WSH,607208,Trea Turner
WSH,645302,Victor Robles
WSH,593833,Wander Suero
WSH,594694,Wilmer Difo
WSH,543228,Yan Gomes
BAL,656775,Cedric Mullins
BAL,448801,Chris Davis
BAL,623515,Drew Jackson
BAL,596105,Dwight Smith Jr.
BAL,593643,Hanser Alberto
BAL,491696,Jesus Sucre
BAL,572073,Joey Rickard
BAL,542340,Jonathan Villar
BAL,600474,Pedro Severino
BAL,600524,Renato Nunez
BAL,621006,Richie Martin
BAL,547004,Rio Ruiz
BAL,641820,Trey Mancini
SD,595978,Austin Hedges
SD,663978,Chris Paddack
SD,543333,Eric Hosmer
SD,641778,Eric Lauer
SD,665487,Fernando Tatis Jr.
SD,614173,Franchy Cordero
SD,642336,Francisco Mejia
SD,614177,Franmil Reyes
SD,594824,Greg Garcia
SD,592669,Hunter Renfroe
SD,435079,Ian Kinsler
SD,664192,Joey Lucchesi
SD,649966,Luis Urias
SD,592518,Manny Machado
SD,622534,Manuel Margot
SD,621381,Matt Strahm
SD,676606,Nick Margevicius
SD,658648,Pedro Avila
SD,664208,Phil Maton
SD,571976,Wil Myers
PHI,571437,Aaron Altherr
PHI,605400,Aaron Nola
PHI,595284,Andrew Knapp
PHI,457705,Andrew McCutchen
PHI,547180,Bryce Harper
PHI,514917,Cesar Hernandez
PHI,592663,J.T. Realmuto
PHI,453562,Jake Arrieta
PHI,516416,Jean Segura
PHI,504379,Juan Nicasio
PHI,596748,Maikel Franco
PHI,601713,Nick Pivetta
PHI,608384,Nick Williams
PHI,546318,Odubel Herrera
PHI,656555,Rhys Hoskins
PHI,664068,Scott Kingery
PHI,622554,Seranthony Dominguez
PHI,592826,Vince Velasquez
PHI,621107,Zach Eflin
PIT,624428,Adam Frazier
PIT,502042,Chris Archer
PIT,592567,Colin Moran
PIT,572816,Corey Dickerson
PIT,570481,Erik Gonzalez
PIT,553878,Felipe Vazquez
PIT,465041,Francisco Cervelli
PIT,543776,JB Shuck
PIT,607732,Jacob Stallings
PIT,592791,Jameson Taillon
PIT,641829,Jason Martin
PIT,605397,Joe Musgrove
PIT,543475,Jordan Lyles
PIT,605137,Josh Bell
PIT,628356,Jung Ho Kang
PIT,621028,Kevin Newman
PIT,466320,Melky Cabrera
PIT,622569,Pablo Reyes
PIT,516782,Starling Marte
PIT,643230,Steven Brault
PIT,592866,Trevor Williams
TEX,452678,Asdrubal Cabrera
TEX,542454,Danny Santana
TEX,592261,Delino DeShields
TEX,462101,Elvis Andrus
TEX,452254,Hunter Pence
TEX,643396,Isiah Kiner-Falefa
TEX,425772,Jeff Mathis
TEX,608336,Joey Gallo
TEX,458681,Lance Lynn
TEX,523253,Logan Forsythe
TEX,501985,Mike Minor
TEX,608577,Nomar Mazara
TEX,621550,Patrick Wisdom
TEX,608597,Ronald Guzman
TEX,596059,Rougned Odor
TEX,425783,Shin-Soo Choo
TB,640457,Austin Meadows
TB,541645,Avisail Garcia
TB,664040,Brandon Lowe
TB,624414,Christian Arroyo
TB,621002,Daniel Robertson
TB,650895,Diego Castillo
TB,628338,Guillermo Heredia
TB,596847,Ji-Man Choi
TB,621563,Joey Wendle
TB,595281,Kevin Kiermaier
TB,605421,Michael Perez
TB,572287,Mike Zunino
TB,502054,Tommy Pham
TB,607192,Tyler Glasnow
TB,642715,Willy Adames
TB,650490,Yandy Diaz
TB,630023,Yonny Chirinos
BOS,643217,Andrew Benintendi
BOS,596119,Blake Swihart
BOS,571788,Brock Holt
BOS,543877,Christian Vazquez
BOS,456034,David Price
BOS,456030,Dustin Pedroia
BOS,456488,Eduardo Nunez
BOS,584171,Hector Velazquez
BOS,502110,J.D. Martinez
BOS,598265,Jackie Bradley Jr.
BOS,519393,Marcus Walden
BOS,598264,Matt Barnes
BOS,519048,Mitch Moreland
BOS,605141,Mookie Betts
BOS,646240,Rafael Devers
BOS,519144,Rick Porcello
BOS,607752,Sam Travis
BOS,456665,Steve Pearce
BOS,624407,Tzu-Wei Lin
BOS,593428,Xander Bogaerts
CIN,543101,Anthony DeSclafani
CIN,592200,Curt Casali
CIN,518618,Derek Dietrich
CIN,553993,Eugenio Suarez
CIN,608385,Jesse Winker
CIN,458015,Joey Votto
CIN,578428,Jose Iglesias
CIN,606299,Jose Peraza
CIN,571657,Kyle Farmer
CIN,622491,Luis Castillo
CIN,461314,Matt Kemp
CIN,547179,Michael Lorenzen
CIN,594988,Scott Schebler
CIN,543243,Sonny Gray
CIN,543699,Tanner Roark
CIN,571466,Tucker Barnhart
CIN,641816,Tyler Mahle
CIN,624577,Yasiel Puig
COL,622608,Antonio Senzatela
COL,518452,Chad Bettis
COL,453568,Charlie Blackmon
COL,455104,Chris Iannetta
COL,502517,Daniel Murphy
COL,621311,David Dahl
COL,460077,Drew Butera
COL,641658,Garrett Hampson
COL,608566,German Marquez
COL,435622,Ian Desmond
COL,592351,Jon Gray
COL,658069,Josh Fuentes
COL,607536,Kyle Freeland
COL,448602,Mark Reynolds
COL,571595,Noel Cuevas
COL,571448,Nolan Arenado
COL,642162,Pat Valaika
COL,606132,Raimel Tapia
COL,641857,Ryan McMahon
COL,547172,Tony Wolters
COL,596115,Trevor Story
COL,542881,Tyler Anderson
COL,622075,Yency Almonte
COL,602074,Yonathan Daza
KC,609275,Adalberto Mondesi
KC,460086,Alex Gordon
KC,571740,Billy Hamilton
KC,595956,Cam Gallagher
KC,572008,Chris Owings
KC,643524,Frank Schwindel
KC,641531,Hunter Dozier
KC,624585,Jorge Soler
KC,446263,Lucas Duda
KC,455117,Martin Maldonado
KC,656811,Ryan O'Hearn
KC,605253,Terrance Gore
KC,593160,Whit Merrifield
DET,621514,Christin Stewart
DET,640460,Dustin Peterson
DET,493596,Gordon Beckham
DET,606988,Grayson Greiner
DET,592444,JaCoby Jones
DET,600869,Jeimer Candelario
DET,543308,John Hicks
DET,474568,Jordy Mercer
DET,543281,Josh Harrison
