Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,PlayerId,Team
Cal Raleigh ,471,64,27,75,1,0.228,0.298,108,25,1,46,142,0.457,0.755,8457 d,SEA 
Ty France ,539,70,15,67,1,0.263,0.313,142,29,1,40,102,0.403,0.717,8163 d,SEA 
MJ Melendez ,496,71,21,67,5,0.24,0.325,119,27,4,62,146,0.438,0.763,10031 ,KC 
Eugenio Suarez ,524,68,23,78,1,0.232,0.314,122,24,1,63,178,0.411,0.725,5332 d,ARI 
Kris Bryant ,446,65,17,61,3,0.269,0.338,120,26,1,46,105,0.45,0.787,4934 d,COL 
Noelvi Marte ,440,60,14,58,15,0.266,0.327,117,24,2,40,103,0.423,0.75,8284 d,CIN 
Willson Contreras ,420,63,20,65,5,0.252,0.329,106,22,1,48,111,0.453,0.782,5919 d,STL 
Jeff McNeil ,531,68,9,59,6,0.28,0.328,148,30,2,38,64,0.398,0.726,8027 d,NYM 
Luis Rengifo ,484,64,17,61,9,0.256,0.311,124,21,4,38,96,0.42,0.731,8153 d,LAA 
Jack Suwinski ,433,64,24,67,9,0.227,0.327,98,20,2,64,156,0.444,0.771,44698 ,PIT 
Joey Meneses ,535,60,17,71,1,0.262,0.308,140,28,1,36,123,0.413,0.721,43684 ,WSH 
Brandon Lowe ,420,64,22,66,6,0.238,0.32,100,20,1,51,125,0.453,0.774,7236 d,TB 
Sal Frelick ,491,66,9,57,15,0.266,0.333,131,25,4,49,79,0.383,0.716,44675 ,MIL 
Anthony Rizzo ,458,66,22,67,4,0.238,0.312,109,20,1,49,109,0.428,0.739,4307 d,NYY 
J.P. Crawford ,547,80,13,59,3,0.255,0.346,140,31,1,76,109,0.386,0.732,4950 d,SEA 
Justin Turner ,477,64,16,68,3,0.256,0.32,122,26,0,45,98,0.413,0.732,4261 d,TOR 
Andrew Benintendi ,527,70,9,54,11,0.269,0.336,142,29,2,53,91,0.387,0.723,5972 d,CWS 
Brent Rooker ,472,62,26,70,3,0.229,0.304,108,21,1,51,175,0.438,0.743,7318 d,OAK 
Jake Cronenworth ,522,72,15,66,5,0.247,0.318,129,29,5,54,107,0.405,0.723,7868 d,SD 
Leody Taveras ,461,62,13,56,16,0.256,0.311,118,24,3,36,114,0.407,0.717,39153 ,TEX 
Jarred Kelenic ,434,62,16,62,14,0.241,0.314,105,25,2,46,135,0.421,0.736,6884 d,ATL 
Maikel Garcia ,476,64,7,49,21,0.266,0.327,127,25,3,43,107,0.372,0.699,44626 ,KC 
Sean Murphy ,393,61,20,64,0,0.253,0.331,99,23,1,46,102,0.466,0.798,6609 d,ATL 
Jose Siri ,433,61,20,60,17,0.222,0.269,96,19,3,28,160,0.415,0.684,5727 d,TB 
Tommy Pham ,437,62,14,56,15,0.248,0.325,108,22,2,50,118,0.407,0.732,5584 d,"LF,CF,RF,DH) FA "
Logan O'Hoppe ,387,54,22,61,3,0.251,0.322,97,16,1,40,94,0.468,0.789,43987 ,LAA 
Giancarlo Stanton ,396,55,26,69,0,0.229,0.309,91,14,0,46,132,0.465,0.774,3783 d,NYY 
Gabriel Moreno ,440,55,10,58,6,0.281,0.336,124,24,1,36,89,0.412,0.748,44003 ,ARI 
Tim Anderson ,498,64,7,46,15,0.275,0.31,137,23,2,25,113,0.37,0.68,4956 d,MIA 
Alex Verdugo ,466,64,13,56,4,0.265,0.322,124,26,2,39,81,0.413,0.735,5983 d,NYY 
Yoan Moncada ,501,63,17,63,3,0.25,0.317,125,27,1,49,155,0.412,0.729,5679 d,CWS 
Francisco Alvarez ,418,58,24,67,2,0.228,0.306,96,17,0,47,123,0.438,0.744,43686 ,NYM 
Edouard Julien ,453,71,15,54,8,0.244,0.356,111,23,1,78,162,0.398,0.754,44887 ,MIN 
Charlie Blackmon ,450,63,11,55,4,0.272,0.331,122,24,5,39,82,0.421,0.752,4418 d,COL 
Keibert Ruiz ,462,53,16,61,2,0.266,0.314,123,25,0,32,54,0.425,0.739,6912 d,WSH 
Joc Pederson ,380,58,18,60,1,0.254,0.337,97,17,3,48,96,0.459,0.796,4769 d,ARI 
Orlando Arcia ,466,62,16,62,2,0.25,0.31,117,22,0,40,99,0.402,0.711,4860 d,ATL 
Wilmer Flores ,418,56,18,60,0,0.258,0.327,108,21,1,43,70,0.438,0.765,4257 d,SF 
Javier Baez ,495,60,15,61,11,0.241,0.278,119,22,3,25,132,0.389,0.667,4606 d,DET 
Brandon Marsh ,439,60,12,56,12,0.25,0.329,110,23,4,52,152,0.403,0.732,7393 d,PHI 
Alek Thomas ,455,60,11,55,9,0.258,0.307,118,24,5,32,97,0.403,0.71,8265 d,ARI 
Wyatt Langford ,363,53,15,54,10,0.257,0.328,93,20,2,38,90,0.45,0.777,47238 ,TEX 
Mark Canha ,438,61,12,55,7,0.257,0.335,113,23,2,51,88,0.402,0.737,5670 d,DET 
Jonah Heim ,447,56,18,63,2,0.246,0.307,110,24,1,40,95,0.42,0.727,6457 d,TEX 
Brendan Donovan ,412,62,10,48,6,0.273,0.35,113,20,1,49,73,0.399,0.749,45005 ,STL 
Luis Garcia ,424,53,11,52,7,0.277,0.319,117,25,3,26,68,0.443,0.762,7507 d,WSH 
