VBR,Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost,Yahoo,ESPN,PlayerId,Team
1,Shohei Ohtani ,108.5,128,8,0,3.35,1.18,40,85,38,13,21,21,5,0,1.0,0.0,1.0,7354 d,LAD 
2,Tarik Skubal ,167.2,202,12,0,2.73,1.03,51,130,36,16,28,28,6,0,0.99,0.99,1.0,43633 ,DET 
3,Paul Skenes ,159.9,188,11,0,2.90,1.11,52,127,44,14,28,28,7,0,0.99,0.99,1.0,47239 ,PIT 
4,Garrett Crochet ,164.0,198,12,0,3.12,1.14,57,136,45,18,27,27,7,0,0.99,0.99,1.0,43886 ,BOS 
5,Cristopher Sanchez ,167.7,169,11,0,3.11,1.18,58,150,43,14,28,28,7,0,0.99,0.99,1.0,39312 ,PHI 
6,Bryan Woo ,157.3,156,11,0,3.47,1.12,61,135,35,19,26,26,8,0,0.99,0.99,0.99,47011 ,SEA 
7,Zack Wheeler ,146.0,164,10,0,3.30,1.15,54,121,41,17,24,24,6,0,0.94,0.94,0.93,4603 d,PHI 
8,Logan Webb ,172.0,160,11,0,3.33,1.23,64,164,42,13,28,28,8,0,0.97,0.98,0.96,8146 d,SF 
9,Jacob deGrom ,141.8,162,9,0,3.45,1.10,54,116,36,19,25,25,7,0,0.98,0.99,0.98,4850 d,TEX 
10,Logan Gilbert ,139.5,154,9,0,3.42,1.12,53,118,34,17,25,25,7,0,0.99,0.99,0.98,7453 d,SEA 
11,Chris Sale ,138.5,165,10,0,3.34,1.18,51,117,39,15,23,23,6,0,0.99,0.99,0.99,3207 d,ATL 
12,Max Fried ,160.6,147,12,0,3.39,1.24,61,143,49,15,26,26,7,0,0.99,0.99,1.0,4729 d,NYY 
13,Jesus Luzardo ,153.7,173,11,0,3.60,1.22,61,133,50,18,26,26,8,0,0.92,0.95,0.89,6889 d,PHI 
14,Dylan Cease ,147.3,181,10,0,3.45,1.23,57,118,59,16,26,26,7,0,0.98,0.99,0.98,6848 d,TOR 
15,Yoshinobu Yamamoto ,134.3,143,10,0,3.38,1.17,50,112,40,14,22,22,6,0,0.99,0.99,1.0,48250 ,LAD 
16,George Kirby ,149.3,144,10,0,3.62,1.18,60,139,31,18,26,26,8,0,0.99,0.99,0.98,20405 ,SEA 
17,Mason Miller ,55.4,92,4,28,2.14,0.98,13,31,21,5,58,0,2,0,0.99,0.99,0.99,45221 ,SD 
18,Joe Ryan ,143.2,155,9,0,3.76,1.16,60,124,35,20,25,25,8,0,0.98,0.99,0.98,43688 ,MIN 
19,Kevin Gausman ,156.0,157,10,0,3.88,1.24,67,143,47,20,26,26,8,0,0.98,0.98,0.98,4671 d,TOR 
20,Framber Valdez ,161.4,144,11,0,3.60,1.31,65,149,55,13,26,26,8,0,0.97,0.98,0.96,7627 d,DET 
21,Shota Imanaga ,144.6,139,9,0,3.96,1.17,64,132,33,24,25,25,8,0,0.9,0.93,0.87,6979 d,CHC 
22,Cole Ragans ,137.6,165,9,0,3.69,1.26,56,114,56,16,25,25,7,0,0.9,0.95,0.86,6834 d,KC 
23,Nathan Eovaldi ,145.1,139,9,0,3.76,1.22,61,133,39,17,25,25,8,0,0.87,0.92,0.82,4423 d,TEX 
24,Tyler Glasnow ,117.4,138,8,0,3.58,1.20,47,95,44,14,21,21,5,0,0.95,0.97,0.92,4587 d,LAD 
25,Freddy Peralta ,141.1,154,10,0,3.86,1.27,61,118,55,19,25,25,8,0,0.97,0.98,0.97,7274 d,NYM 
26,Drew Rasmussen ,135.5,126,8,0,3.68,1.21,55,123,36,16,26,26,8,0,0.86,0.9,0.82,43665 ,TB 
27,Brandon Woodruff ,132.8,137,8,0,3.87,1.19,57,116,37,20,24,24,7,0,0.9,0.93,0.87,6813 d,MIL 
28,Shane McClanahan ,124.5,130,8,0,3.64,1.23,50,108,42,15,22,22,7,0,0.52,0.76,0.28,7487 d,TB 
